# Graph Manager ON/OFF Benchmark Results - Combined
"# All Tests: 1000 entities, 10000 entities, 100000 entities"
# Total configurations per test: 2058
# Each combination tested with Graph OFF and Graph ON

=== DETAILED RESULTS - 1000 Entities ===
# Successful: 2058 / 2058

Rank,Configuration,Node Mode,Edge Mode,Graph Manager,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB),Relationships Time (ms),Relationships Memory (MB)
24,MASSTREE+TREE_GRAPH_BASIC+GraphOFF,MASSTREE,TREE_GRAPH_BASIC,OFF,0.82,457.7,60753343,0.77,457.7,0.01,457.7,0.01,457.7,0.04,457.7
25,STACK+R_TREE+GraphOFF,STACK,R_TREE,OFF,0.82,256.9,60745953,0.76,256.9,0.01,256.9,0.01,256.9,0.04,256.9
26,ART+COMPRESSED_GRAPH+GraphOFF,ART,COMPRESSED_GRAPH,OFF,0.82,446.4,60738600,0.76,446.4,0.01,446.4,0.01,446.4,0.04,446.4
27,ART+NEURAL_GRAPH+GraphOFF,ART,NEURAL_GRAPH,OFF,0.82,445.3,60731214,0.76,445.3,0.01,445.3,0.01,445.3,0.04,445.3
28,ORDERED_MAP+COO+GraphOFF,ORDERED_MAP,COO,OFF,0.82,238.7,60701653,0.77,238.7,0.01,238.7,0.01,238.7,0.04,238.7
29,AHO_CORASICK+NEURAL_GRAPH+GraphOFF,AHO_CORASICK,NEURAL_GRAPH,OFF,0.82,401.2,60686969,0.77,401.2,0.01,401.2,0.01,401.2,0.04,401.2
30,ORDERED_MAP_BALANCED+EDGE_LIST+GraphOFF,ORDERED_MAP_BALANCED,EDGE_LIST,OFF,0.82,247.2,60657520,0.77,247.2,0.01,247.2,0.01,247.2,0.04,247.2
31,HEAP+CSC+GraphOFF,HEAP,CSC,OFF,0.82,294.0,60642857,0.76,294.0,0.01,294.0,0.01,294.0,0.04,294.0
32,TREE_GRAPH_HYBRID+CSR+GraphOFF,TREE_GRAPH_HYBRID,CSR,OFF,0.82,226.7,60642823,0.77,226.7,0.01,226.7,0.01,226.7,0.04,226.7
33,ORDERED_MAP_BALANCED+FLOW_NETWORK+GraphOFF,ORDERED_MAP_BALANCED,FLOW_NETWORK,OFF,0.82,246.2,60642823,0.77,246.2,0.01,246.2,0.01,246.2,0.04,246.2
34,AHO_CORASICK+R_TREE+GraphOFF,AHO_CORASICK,R_TREE,OFF,0.82,400.3,60628133,0.77,400.2,0.01,400.2,0.01,400.2,0.04,400.3
35,T_TREE+INCIDENCE_MATRIX+GraphOFF,T_TREE,INCIDENCE_MATRIX,OFF,0.82,479.0,60620808,0.76,479.0,0.01,479.0,0.01,479.0,0.05,479.0
36,CUCKOO_HASH+R_TREE+GraphOFF,CUCKOO_HASH,R_TREE,OFF,0.82,317.7,60613348,0.77,317.7,0.01,317.7,0.01,317.7,0.04,317.7
37,LINKED_LIST+ADJ_LIST+GraphOFF,LINKED_LIST,ADJ_LIST,OFF,0.83,248.4,60606027,0.77,248.4,0.01,248.4,0.01,248.4,0.04,248.4
38,HASH_MAP+ADJ_LIST+GraphOFF,HASH_MAP,ADJ_LIST,OFF,0.83,231.4,60598707,0.77,231.4,0.01,231.4,0.01,231.4,0.04,231.4
39,ARRAY_LIST+HYPEREDGE_SET+GraphOFF,ARRAY_LIST,HYPEREDGE_SET,OFF,0.83,250.4,60584073,0.77,250.3,0.01,250.4,0.01,250.4,0.04,250.4
40,COW_TREE+COO+GraphOFF,COW_TREE,COO,OFF,0.83,371.1,60562067,0.77,371.1,0.01,371.1,0.01,371.1,0.04,371.1
41,DEQUE+HYPEREDGE_SET+GraphOFF,DEQUE,HYPEREDGE_SET,OFF,0.83,272.9,60554689,0.77,272.9,0.01,272.9,0.01,272.9,0.04,272.9
42,PATRICIA+INCIDENCE_MATRIX+GraphOFF,PATRICIA,INCIDENCE_MATRIX,OFF,0.83,291.6,60532704,0.77,291.6,0.01,291.6,0.01,291.6,0.04,291.6
43,ARRAY_LIST+TREE_GRAPH_BASIC+GraphOFF,ARRAY_LIST,TREE_GRAPH_BASIC,OFF,0.83,247.9,60496076,0.77,247.9,0.01,247.9,0.01,247.9,0.04,247.9
44,TREE_GRAPH_HYBRID+TEMPORAL_EDGESET+GraphOFF,TREE_GRAPH_HYBRID,TEMPORAL_EDGESET,OFF,0.83,227.8,60481457,0.77,227.8,0.01,227.8,0.01,227.8,0.04,227.8
45,RADIX_TRIE+ADJ_LIST+GraphOFF,RADIX_TRIE,ADJ_LIST,OFF,0.83,281.5,60481457,0.77,281.5,0.01,281.5,0.01,281.5,0.04,281.5
46,TREE_GRAPH_HYBRID+NEURAL_GRAPH+GraphOFF,TREE_GRAPH_HYBRID,NEURAL_GRAPH,OFF,0.83,229.7,60422951,0.77,229.7,0.01,229.7,0.01,229.7,0.04,229.7
47,ADJACENCY_LIST+TREE_GRAPH_BASIC+GraphOFF,ADJACENCY_LIST,TREE_GRAPH_BASIC,OFF,0.83,342.1,60393758,0.77,342.1,0.01,342.1,0.01,342.1,0.04,342.1
48,COUNT_MIN_SKETCH+DYNAMIC_ADJ_LIST+GraphOFF,COUNT_MIN_SKETCH,DYNAMIC_ADJ_LIST,OFF,0.83,403.0,60386455,0.77,403.0,0.01,403.0,0.01,403.0,0.04,403.0
49,AHO_CORASICK+INCIDENCE_MATRIX+GraphOFF,AHO_CORASICK,INCIDENCE_MATRIX,OFF,0.83,401.8,60342745,0.77,401.8,0.01,401.8,0.01,401.8,0.04,401.8
50,HYPERLOGLOG+ADJ_LIST+GraphOFF,HYPERLOGLOG,ADJ_LIST,OFF,0.83,408.3,60284541,0.77,408.3,0.01,408.3,0.01,408.3,0.04,408.3

=== SUMMARY - 1000 Entities ===

Metric,Value
Total Configurations Tested,2058
Successful,2058
Failed,0
Fastest Time (ms),0.79
Slowest Time (ms),93.12
Average Time (ms),1.16
Lowest Memory (MB),225.3
Highest Memory (MB),490.8
Average Memory (MB),356.2
Overall Winner (Fastest),SPARSE_MATRIX+EDGE_PROPERTY_STORE+GraphOFF
Average Speedup (Graph ON vs OFF),0.64x

=== DETAILED RESULTS - 10000 Entities ===
# Successful: 2058 / 2058

Rank,Configuration,Node Mode,Edge Mode,Graph Manager,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB),Relationships Time (ms),Relationships Memory (MB)
1,TREE_GRAPH_HYBRID+OCTREE+GraphOFF,TREE_GRAPH_HYBRID,OCTREE,OFF,9.53,509.3,5248297,7.73,509.3,0.04,509.3,0.03,509.3,1.73,509.3
2,T_TREE+WEIGHTED_GRAPH+GraphOFF,T_TREE,WEIGHTED_GRAPH,OFF,9.57,2744.8,5223241,7.67,2744.8,0.03,2744.8,0.03,2744.8,1.84,2744.8
3,T_TREE+NEURAL_GRAPH+GraphOFF,T_TREE,NEURAL_GRAPH,OFF,9.60,2742.4,5208821,7.73,2742.4,0.03,2742.4,0.03,2742.4,1.81,2742.4
4,T_TREE+FLOW_NETWORK+GraphOFF,T_TREE,FLOW_NETWORK,OFF,9.61,2739.6,5203834,7.74,2739.6,0.03,2739.6,0.03,2739.6,1.81,2739.6
5,T_TREE+OCTREE+GraphOFF,T_TREE,OCTREE,OFF,9.65,2737.1,5183496,7.75,2737.1,0.03,2737.1,0.03,2737.1,1.83,2737.1
6,T_TREE+COMPRESSED_GRAPH+GraphOFF,T_TREE,COMPRESSED_GRAPH,OFF,9.71,2752.5,5151825,7.85,2752.5,0.03,2752.5,0.03,2752.5,1.80,2752.5
7,HASH_MAP+TREE_GRAPH_BASIC+GraphOFF,HASH_MAP,TREE_GRAPH_BASIC,OFF,9.71,510.9,5151612,7.87,510.9,0.03,510.9,0.03,510.9,1.78,510.9
8,HASH_MAP+ADJ_MATRIX+GraphOFF,HASH_MAP,ADJ_MATRIX,OFF,9.76,511.4,5124473,7.96,511.4,0.03,511.4,0.03,511.4,1.73,511.4
9,TREE_GRAPH_HYBRID+BIDIR_WRAPPER+GraphOFF,TREE_GRAPH_HYBRID,BIDIR_WRAPPER,OFF,9.76,507.9,5123686,7.94,507.9,0.04,507.9,0.03,507.9,1.75,507.9
10,T_TREE+QUADTREE+GraphOFF,T_TREE,QUADTREE,OFF,9.80,2734.5,5103134,7.91,2734.5,0.03,2734.5,0.03,2734.5,1.83,2734.5
11,TREE_GRAPH_HYBRID+NEURAL_GRAPH+GraphOFF,TREE_GRAPH_HYBRID,NEURAL_GRAPH,OFF,9.83,509.7,5084401,7.96,509.7,0.04,509.7,0.03,509.7,1.80,509.7
12,TREE_GRAPH_HYBRID+WEIGHTED_GRAPH+GraphOFF,TREE_GRAPH_HYBRID,WEIGHTED_GRAPH,OFF,9.85,509.8,5076297,7.90,509.8,0.04,509.8,0.04,509.8,1.87,509.8
13,TREE_GRAPH_HYBRID+R_TREE+GraphOFF,TREE_GRAPH_HYBRID,R_TREE,OFF,9.86,508.5,5069040,8.03,508.5,0.04,508.5,0.03,508.5,1.77,508.5
14,T_TREE+EDGE_LIST+GraphOFF,T_TREE,EDGE_LIST,OFF,9.87,2750.1,5068372,8.02,2750.1,0.03,2750.1,0.03,2750.1,1.79,2750.1
15,TREE_GRAPH_HYBRID+TEMPORAL_EDGESET+GraphOFF,TREE_GRAPH_HYBRID,TEMPORAL_EDGESET,OFF,9.87,508.0,5066986,8.00,508.0,0.04,508.0,0.03,508.0,1.79,508.0
16,TREE_GRAPH_HYBRID+TREE_GRAPH_BASIC+GraphOFF,TREE_GRAPH_HYBRID,TREE_GRAPH_BASIC,OFF,9.87,506.2,5065599,7.91,506.2,0.04,506.2,0.03,506.2,1.89,506.2
17,HASH_MAP+ADJ_LIST+GraphOFF,HASH_MAP,ADJ_LIST,OFF,9.89,511.0,5058067,8.02,511.0,0.04,511.0,0.03,511.0,1.80,511.0
18,HASH_MAP+BLOCK_ADJ_MATRIX+GraphOFF,HASH_MAP,BLOCK_ADJ_MATRIX,OFF,9.89,511.4,5055049,7.93,511.4,0.04,511.4,0.03,511.4,1.89,511.4
19,TREE_GRAPH_HYBRID+HYPEREDGE_SET+GraphOFF,TREE_GRAPH_HYBRID,HYPEREDGE_SET,OFF,9.90,508.1,5049383,8.03,508.1,0.04,508.1,0.04,508.1,1.80,508.1
20,TREE_GRAPH_HYBRID+FLOW_NETWORK+GraphOFF,TREE_GRAPH_HYBRID,FLOW_NETWORK,OFF,9.91,509.7,5047599,8.04,509.7,0.04,509.7,0.04,509.7,1.79,509.7
21,T_TREE+INCIDENCE_MATRIX+GraphOFF,T_TREE,INCIDENCE_MATRIX,OFF,9.91,2747.6,5047497,7.90,2747.6,0.04,2747.6,0.03,2747.6,1.94,2747.6
22,LSM_TREE+BLOCK_ADJ_MATRIX+GraphOFF,LSM_TREE,BLOCK_ADJ_MATRIX,OFF,9.95,1585.8,5026439,8.14,1585.8,0.04,1585.8,0.03,1585.8,1.74,1585.8
23,LEARNED_INDEX+TREE_GRAPH_BASIC+GraphOFF,LEARNED_INDEX,TREE_GRAPH_BASIC,OFF,9.96,2755.2,5017813,8.07,2755.2,0.03,2755.2,0.03,2755.2,1.83,2755.2
24,HASH_MAP+DYNAMIC_ADJ_LIST+GraphOFF,HASH_MAP,DYNAMIC_ADJ_LIST,OFF,9.97,511.0,5014492,8.17,511.0,0.04,511.0,0.04,511.0,1.73,511.0
25,TREE_GRAPH_HYBRID+EDGE_LIST+GraphOFF,TREE_GRAPH_HYBRID,EDGE_LIST,OFF,10.03,510.2,4982809,8.08,510.2,0.04,510.2,0.03,510.2,1.88,510.2
26,TREE_GRAPH_HYBRID+ADJ_LIST+GraphOFF,TREE_GRAPH_HYBRID,ADJ_LIST,OFF,10.04,506.4,4982164,8.09,506.4,0.03,506.4,0.03,506.4,1.88,506.4
27,TREE_GRAPH_HYBRID+QUADTREE+GraphOFF,TREE_GRAPH_HYBRID,QUADTREE,OFF,10.05,509.2,4975075,8.04,509.2,0.04,509.2,0.03,509.2,1.94,509.2
28,TREE_GRAPH_HYBRID+ADJ_MATRIX+GraphOFF,TREE_GRAPH_HYBRID,ADJ_MATRIX,OFF,10.08,506.8,4961942,8.11,506.8,0.04,506.8,0.04,506.8,1.89,506.8
29,TREE_GRAPH_HYBRID+DYNAMIC_ADJ_LIST+GraphOFF,TREE_GRAPH_HYBRID,DYNAMIC_ADJ_LIST,OFF,10.08,506.6,4959334,8.16,506.6,0.03,506.6,0.03,506.6,1.86,506.6
30,ORDERED_MAP+NEURAL_GRAPH+GraphOFF,ORDERED_MAP,NEURAL_GRAPH,OFF,10.08,496.7,4958252,8.12,496.7,0.04,496.7,0.03,496.7,1.89,496.7
31,ORDERED_MAP+EDGE_LIST+GraphOFF,ORDERED_MAP,EDGE_LIST,OFF,10.09,497.4,4954027,8.27,497.4,0.04,497.4,0.03,497.4,1.75,497.4
32,TREE_GRAPH_HYBRID+EDGE_PROPERTY_STORE+GraphOFF,TREE_GRAPH_HYBRID,EDGE_PROPERTY_STORE,OFF,10.11,508.3,4947507,8.11,508.3,0.04,508.3,0.03,508.3,1.93,508.3
33,ORDERED_MAP+OCTREE+GraphOFF,ORDERED_MAP,OCTREE,OFF,10.13,496.5,4934616,8.06,496.5,0.04,496.5,0.04,496.5,2.00,496.5
34,T_TREE+R_TREE+GraphOFF,T_TREE,R_TREE,OFF,10.13,2732.0,4933594,8.12,2732.0,0.03,2732.0,0.03,2732.0,1.95,2732.0
35,T_TREE+HYPEREDGE_SET+GraphOFF,T_TREE,HYPEREDGE_SET,OFF,10.16,2726.9,4919904,8.20,2726.9,0.03,2726.9,0.03,2726.9,1.90,2726.9
36,LSM_TREE+CSR+GraphOFF,LSM_TREE,CSR,OFF,10.20,1588.2,4902586,8.28,1588.2,0.04,1588.2,0.04,1588.2,1.84,1588.2
37,TREE_GRAPH_HYBRID+BLOCK_ADJ_MATRIX+GraphOFF,TREE_GRAPH_HYBRID,BLOCK_ADJ_MATRIX,OFF,10.21,506.9,4898887,8.18,506.9,0.05,506.9,0.04,506.9,1.94,506.9
38,LSM_TREE+BIDIR_WRAPPER+GraphOFF,LSM_TREE,BIDIR_WRAPPER,OFF,10.24,1596.0,4883957,8.30,1596.0,0.04,1596.0,0.03,1596.0,1.87,1596.0
39,LSM_TREE+TEMPORAL_EDGESET+GraphOFF,LSM_TREE,TEMPORAL_EDGESET,OFF,10.24,1598.8,4882241,8.32,1598.8,0.04,1598.8,0.03,1598.8,1.85,1598.8
40,T_TREE+TEMPORAL_EDGESET+GraphOFF,T_TREE,TEMPORAL_EDGESET,OFF,10.26,2724.5,4874767,8.25,2724.5,0.03,2724.5,0.03,2724.5,1.94,2724.5
41,LSM_TREE+COO+GraphOFF,LSM_TREE,COO,OFF,10.28,1593.3,4865091,8.37,1593.3,0.04,1593.3,0.03,1593.3,1.84,1593.3
42,ORDERED_MAP+FLOW_NETWORK+GraphOFF,ORDERED_MAP,FLOW_NETWORK,OFF,10.29,496.6,4858709,8.25,496.6,0.04,496.6,0.04,496.6,1.97,496.6
43,TREE_GRAPH_HYBRID+INCIDENCE_MATRIX+GraphOFF,TREE_GRAPH_HYBRID,INCIDENCE_MATRIX,OFF,10.31,510.1,4847921,8.27,510.1,0.04,510.1,0.03,510.1,1.97,510.1
44,T_TREE+EDGE_PROPERTY_STORE+GraphOFF,T_TREE,EDGE_PROPERTY_STORE,OFF,10.31,2729.6,4847545,8.36,2729.6,0.03,2729.6,0.03,2729.6,1.89,2729.6
45,TREE_GRAPH_HYBRID+COMPRESSED_GRAPH+GraphOFF,TREE_GRAPH_HYBRID,COMPRESSED_GRAPH,OFF,10.32,510.5,4846652,8.44,510.5,0.04,510.5,0.03,510.5,1.81,510.5
46,LSM_TREE+ADJ_MATRIX+GraphOFF,LSM_TREE,ADJ_MATRIX,OFF,10.38,1583.3,4817327,8.38,1583.3,0.04,1583.3,0.03,1583.3,1.93,1583.3
47,TREE_GRAPH_HYBRID+COO+GraphOFF,TREE_GRAPH_HYBRID,COO,OFF,10.39,507.6,4810190,8.40,507.6,0.04,507.6,0.03,507.6,1.92,507.6
48,TREE_GRAPH_HYBRID+CSR+GraphOFF,TREE_GRAPH_HYBRID,CSR,OFF,10.41,507.2,4803259,8.49,507.2,0.04,507.2,0.03,507.2,1.85,507.2
49,LSM_TREE+CSC+GraphOFF,LSM_TREE,CSC,OFF,10.43,1590.9,4792715,8.34,1590.9,0.04,1590.9,0.15,1590.9,1.90,1590.9
50,LSM_TREE+EDGE_PROPERTY_STORE+GraphOFF,LSM_TREE,EDGE_PROPERTY_STORE,OFF,10.56,1603.6,4736553,8.50,1603.6,0.05,1603.6,0.03,1603.6,1.98,1603.6

=== SUMMARY - 10000 Entities ===

Metric,Value
Total Configurations Tested,2058
Successful,2058
Failed,0
Fastest Time (ms),9.53
Slowest Time (ms),887.93
Average Time (ms),28.05
Lowest Memory (MB),491.7
Highest Memory (MB),2861.2
Average Memory (MB),1561.9
Overall Winner (Fastest),TREE_GRAPH_HYBRID+OCTREE+GraphOFF
Average Speedup (Graph ON vs OFF),0.80x

=== DETAILED RESULTS - 100000 Entities ===
# Successful: 2058 / 2058

Rank,Configuration,Node Mode,Edge Mode,Graph Manager,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB),Relationships Time (ms),Relationships Memory (MB)
1,ART+FLOW_NETWORK+GraphON,ART,FLOW_NETWORK,ON,110.84,22039.9,451114,108.60,22039.6,0.50,22039.6,0.26,22039.6,1.47,22039.9
2,SPLAY_TREE+QUADTREE+GraphON,SPLAY_TREE,QUADTREE,ON,110.86,21454.5,451029,108.70,21454.2,0.41,21454.2,0.29,21454.3,1.45,21454.5
3,DATA_INTERCHANGE_OPTIMIZED+EDGE_PROPERTY_STORE+GraphON,DATA_INTERCHANGE_OPTIMIZED,EDGE_PROPERTY_STORE,ON,111.06,26215.8,450199,108.72,26215.6,0.49,26215.6,0.27,26215.6,1.59,26215.8
4,ART+QUADTREE+GraphON,ART,QUADTREE,ON,111.19,21989.1,449681,109.06,21988.9,0.45,21988.9,0.25,21988.9,1.43,21989.1
5,RED_BLACK_TREE+NEURAL_GRAPH+GraphON,RED_BLACK_TREE,NEURAL_GRAPH,ON,111.26,19926.8,449389,109.11,19926.6,0.46,19926.6,0.25,19926.6,1.45,19926.8
6,ART+INCIDENCE_MATRIX+GraphON,ART,INCIDENCE_MATRIX,ON,111.28,22116.1,449322,109.12,22115.9,0.48,22115.9,0.25,22115.9,1.43,22116.1
7,RED_BLACK_TREE+HYPEREDGE_SET+GraphON,RED_BLACK_TREE,HYPEREDGE_SET,ON,111.31,19774.2,449211,109.20,19773.9,0.41,19773.9,0.25,19773.9,1.45,19774.2
8,AVL_TREE+COMPRESSED_GRAPH+GraphON,AVL_TREE,COMPRESSED_GRAPH,ON,111.39,20563.5,448862,109.03,20563.3,0.49,20563.3,0.25,20563.3,1.62,20563.5
9,ART+WEIGHTED_GRAPH+GraphON,ART,WEIGHTED_GRAPH,ON,111.43,22091.0,448717,109.22,22090.8,0.44,22090.8,0.28,22090.8,1.49,22091.0
10,RED_BLACK_TREE+EDGE_LIST+GraphON,RED_BLACK_TREE,EDGE_LIST,ON,111.47,20003.2,448550,109.20,20003.0,0.48,20003.0,0.27,20003.0,1.51,20003.2
11,ART+ADJ_MATRIX+GraphON,ART,ADJ_MATRIX,ON,111.48,21734.3,448523,109.25,21734.0,0.45,21734.0,0.26,21734.0,1.52,21734.3
12,EXTENDIBLE_HASH+BLOCK_ADJ_MATRIX+GraphON,EXTENDIBLE_HASH,BLOCK_ADJ_MATRIX,ON,111.56,23898.7,448185,109.43,23898.4,0.45,23898.4,0.26,23898.4,1.42,23898.7
13,ART+TREE_GRAPH_BASIC+GraphON,ART,TREE_GRAPH_BASIC,ON,111.57,21657.8,448155,109.35,21657.5,0.43,21657.5,0.29,21657.6,1.50,21657.8
14,MASSTREE+ADJ_MATRIX+GraphON,MASSTREE,ADJ_MATRIX,ON,111.57,23338.0,448140,109.29,23337.8,0.47,23337.8,0.26,23337.8,1.55,23338.0
15,TREAP+WEIGHTED_GRAPH+GraphON,TREAP,WEIGHTED_GRAPH,ON,111.58,21021.7,448125,109.23,21021.5,0.55,21021.5,0.29,21021.5,1.51,21021.7
16,RED_BLACK_TREE+FLOW_NETWORK+GraphON,RED_BLACK_TREE,FLOW_NETWORK,ON,111.59,19901.0,448068,109.40,19900.8,0.45,19900.8,0.25,19900.8,1.49,19901.0
17,SPLAY_TREE+INCIDENCE_MATRIX+GraphON,SPLAY_TREE,INCIDENCE_MATRIX,ON,111.62,21581.5,447956,109.46,21581.2,0.46,21581.2,0.25,21581.3,1.44,21581.5
18,AVL_TREE+CSR+GraphON,AVL_TREE,CSR,ON,111.63,20181.6,447906,109.46,20181.3,0.47,20181.3,0.25,20181.4,1.46,20181.6
19,SPLAY_TREE+R_TREE+GraphON,SPLAY_TREE,R_TREE,ON,111.64,21428.5,447886,109.36,21428.3,0.50,21428.3,0.27,21428.3,1.51,21428.5
20,BW_TREE+FLOW_NETWORK+GraphON,BW_TREE,FLOW_NETWORK,ON,111.66,22574.4,447777,109.43,22574.1,0.49,22574.1,0.25,22574.2,1.49,22574.4
21,RED_BLACK_TREE+COO+GraphON,RED_BLACK_TREE,COO,ON,111.67,19697.8,447741,109.30,19697.6,0.52,19697.6,0.25,19697.6,1.61,19697.8
22,BW_TREE+OCTREE+GraphON,BW_TREE,OCTREE,ON,111.68,22549.2,447700,109.46,22549.0,0.45,22549.0,0.26,22549.0,1.52,22549.2
23,MASSTREE+CSR+GraphON,MASSTREE,CSR,ON,111.72,23389.4,447558,109.27,23389.1,0.47,23389.1,0.25,23389.1,1.73,23389.4
24,EXTENDIBLE_HASH+WEIGHTED_GRAPH+GraphON,EXTENDIBLE_HASH,WEIGHTED_GRAPH,ON,111.72,24229.3,447555,109.54,24229.1,0.45,24229.1,0.26,24229.1,1.47,24229.3
25,DATA_INTERCHANGE_OPTIMIZED+BIDIR_WRAPPER+GraphON,DATA_INTERCHANGE_OPTIMIZED,BIDIR_WRAPPER,ON,111.74,26139.4,447449,109.52,26139.2,0.46,26139.2,0.26,26139.2,1.51,26139.4
26,AVL_TREE+EDGE_LIST+GraphON,AVL_TREE,EDGE_LIST,ON,111.75,20537.9,447437,109.45,20537.7,0.43,20537.7,0.25,20537.7,1.62,20537.9
27,RED_BLACK_TREE+OCTREE+GraphON,RED_BLACK_TREE,OCTREE,ON,111.75,19876.0,447432,109.65,19875.8,0.43,19875.8,0.26,19875.8,1.42,19876.0
28,COW_TREE+ADJ_MATRIX+GraphON,COW_TREE,ADJ_MATRIX,ON,111.78,14783.5,447301,109.65,14783.3,0.45,14783.3,0.26,14783.3,1.43,14783.5
