"giudizio","genere","nazione","anno","durata","visibilita"
"buono","DRA","ITA",80,100,"GEN"
"mediocre","BEL","ITA",68,100,"ADU"
"mediocre","COM","ITA",85,102,"GEN"
"buono","DRA","ITA",60,98,"ADU"
"mediocre","DRA","ITA",77,105,"GEN"
"buono","BEL","ITA",86,130,"GEN"
"mediocre","SPI","ITA",67,80,"GEN"
"mediocre","BIO","ITA",71,137,"TUT"
"mediocre","COM","ITA",57,91,"TUT"
"mediocre","DRA","ITA",82,104,"ADU"
"buono","DRA","ITA",51,100,"ADU"
"mediocre","DRA","ITA",73,112,"ADU"
"mediocre","AVV","ITA",69,101,"GEN"
"scadente","CMC","ITA",75,130,"ADU"
"mediocre","COM","ITA",63,90,"GEN"
"mediocre","DRA","ITA",90,120,"ADU"
"buono","DRA","ITA",86,125,"ADU"
"scadente","CMC","ITA",88,103,"ADU"
"mediocre","DRA","ITA",59,95,"GEN"
"ottimo","DRA","ITA",68,98,"ADU"
"mediocre","DRA","ITA",90,90,"ADU"
"buono","DRA","ITA",94,89,"ADU"
"mediocre","AVV","ITA",87,92,"TUT"
"scadente","CMC","ITA",81,85,"GEN"
"buono","DRA","ITA",50,95,"GEN"
"scadente","CMC","ITA",71,90,"TUT"
"scadente","AVV","ITA",82,98,"GEN"
"mediocre","COM","ITA",86,94,"GEN"
"mediocre","AVV","ITA",73,128,"GEN"
"scadente","ERO","ITA",85,100,"ADU"
"mediocre","DRA","ITA",86,168,"ADU"
"scadente","COM","ITA",84,98,"TUT"
"ottimo","DRA","ITA",50,107,"GEN"
"buono","DRA","ITA",62,105,"GEN"
"mediocre","COM","ITA",73,102,"GEN"
"mediocre","COM","ITA",78,115,"TUT"
"mediocre","COM","ITA",90,125,"GEN"
"mediocre","DRA","ITA",92,85,"GEN"
"scadente","DRA","ITA",59,96,"TUT"
"mediocre","COM","ITA",94,97,"ADU"
"buono","COM","ITA",74,110,"GEN"
"scadente","DRA","ITA",93,105,"GEN"
"ottimo","DRA","ITA",91,88,"ADU"
"mediocre","DRA","ITA",54,100,"ADU"
"scadente","COM","ITA",81,91,"ADU"
"mediocre","DRA","ITA",52,90,"ADU"
"ottimo","COM","ITA",91,98,"ADU"
"mediocre","COM","ITA",52,88,"GEN"
"buono","COM","ITA",63,119,"ADU"
"mediocre","MUS","ITA",66,110,"GEN"
"mediocre","COM","ITA",62,98,"TUT"
"buono","DRA","ITA",60,105,"ADU"
"mediocre","COM","ITA",90,100,"GEN"
"mediocre","COM","ITA",40,90,"TUT"
"mediocre","COM","ITA",87,89,"GEN"
"mediocre","COM","ITA",61,95,"TUT"
"buono","COM","ITA",42,86,"GEN"
"scadente","DRA","ITA",92,105,"ADU"
"mediocre","COM","ITA",91,115,"GEN"
"mediocre","POL","ITA",67,105,"GEN"
"mediocre","COM","ITA",81,105,"GEN"
"scadente","COM","ITA",73,118,"TUT"
"scadente","COM","ITA",90,105,"ADU"
"mediocre","COM","ITA",86,87,"GEN"
"mediocre","COM","ITA",92,100,"TUT"
"mediocre","COM","ITA",89,90,"ADU"
"scadente","COM","ITA",63,100,"GEN"
"mediocre","COM","ITA",84,128,"ADU"
"mediocre","COM","ITA",59,104,"GEN"
"scadente","COM","ITA",83,91,"TUT"
"mediocre","BEL","ITA",67,103,"GEN"
"buono","COM","ITA",89,90,"TUT"
"buono","DRA","ITA",92,106,"ADU"
"mediocre","COM","ITA",92,105,"GEN"
"mediocre","CMC","ITA",91,88,"TUT"
"scadente","COM","ITA",70,95,"TUT"
"scadente","CMC","ITA",93,108,"GEN"
"mediocre","WES","ITA",65,94,"ADU"
"mediocre","CMC","ITA",82,112,"TUT"
"mediocre","COM","ITA",78,117,"GEN"
"mediocre","DRA","ITA",89,110,"GEN"
"mediocre","COM","ITA",62,92,"GEN"
"mediocre","DRA","ITA",60,120,"ADU"
"mediocre","DRA","ITA",59,94,"GEN"
"scadente","DRA","ITA",93,87,"ADU"
"scadente","DRA","ITA",73,95,"GEN"
"mediocre","COM","ITA",69,124,"GEN"
"mediocre","HOR","ITA",91,117,"ADU"
"scadente","COM","ITA",84,95,"GEN"
"scadente","DRA","ITA",40,90,"TUT"
"mediocre","WES","ITA",71,150,"GEN"
"scadente","HOR","ITA",80,95,"ADU"
"mediocre","COM","ITA",85,114,"TUT"
"mediocre","HOR","ITA",89,106,"ADU"
"mediocre","AVV","ITA",92,114,"TUT"
"mediocre","DRA","ITA",94,115,"GEN"
"mediocre","WES","ITA",72,128,"TUT"
"mediocre","AVV","ITA",83,86,"GEN"
"mediocre","WES","ITA",67,100,"ADU"
"scadente","COM","ITA",91,98,"GEN"
"buono","COM","ITA",63,95,"ADU"
"mediocre","SPI","ITA",88,113,"GEN"
"buono","COM","ITA",62,102,"TUT"
"scadente","DRA","ITA",87,94,"ADU"
"mediocre","COM","ITA",89,114,"TUT"
"scadente","COM","ITA",74,100,"ADU"
"mediocre","COM","ITA",86,110,"TUT"
"buono","DRA","ITA",91,90,"ADU"
"buono","COM","ITA",81,110,"TUT"
"scadente","COM","ITA",93,98,"ADU"
"mediocre","COM","ITA",92,110,"TUT"
"mediocre","COM","ITA",61,94,"TUT"
"scadente","COM","ITA",73,95,"GEN"
"mediocre","COM","ITA",75,95,"ADU"
"buono","COM","ITA",79,99,"TUT"
"mediocre","COM","ITA",53,94,"TUT"
"mediocre","COM","ITA",67,115,"GEN"
"scadente","COM","ITA",89,80,"GEN"
"mediocre","COM","ITA",70,108,"GEN"
"ottimo","DRA","ITA",87,160,"ADU"
"buono","COM","ITA",71,103,"ADU"
"scadente","CMC","ITA",90,97,"ADU"
"buono","WES","ITA",68,167,"GEN"
"mediocre","COM","ITA",69,96,"GEN"
"scadente","COM","ITA",84,92,"GEN"
"mediocre","DRA","ITA",92,89,"GEN"
"buono","COM","ITA",78,100,"GEN"
"buono","CMC","ITA",80,95,"TUT"
"mediocre","COM","ITA",82,99,"GEN"
"scadente","POL","ITA",83,90,"ADU"
"mediocre","COM","ITA",91,97,"ADU"
"mediocre","GIA","ITA",68,91,"ADU"
"mediocre","COM","ITA",54,101,"GEN"
"mediocre","COM","ITA",93,91,"GEN"
"mediocre","WES","ITA",68,132,"ADU"
"ottimo","COM","MES",92,144,"GEN"
"ottimo","DRA","NZ",93,110,"GEN"
"buono","DRA","SVE",47,90,"GEN"
"ottimo","COM","URSS",84,143,"GEN"
"ottimo","DRA","USA",60,125,"GEN"
"mediocre","BEL","USA",68,141,"GEN"
"buono","DRA","USA",62,132,"GEN"
"mediocre","COM","USA",77,88,"GEN"
"mediocre","DRA","USA",51,90,"TUT"
"mediocre","COM","USA",89,108,"GEN"
"mediocre","BEL","USA",80,100,"GEN"
"scadente","COM","USA",87,90,"GEN"
"buono","DRA","USA",55,108,"GEN"
"mediocre","COM","USA",70,100,"TUT"
"mediocre","AZI","USA",84,120,"GEN"
"mediocre","COM","USA",74,78,"TUT"
"mediocre","AZI","USA",90,90,"ADU"
"mediocre","COM","USA",68,98,"ADU"
"mediocre","DRA","USA",66,99,"ADU"
"mediocre","COM","USA",91,110,"TUT"
"scadente","AZI","USA",93,89,"GEN"
"mediocre","COM","USA",92,112,"GEN"
"buono","DRA","USA",90,129,"GEN"
"mediocre","COM","USA",59,92,"GEN"
"mediocre","DRA","USA",41,125,"ADU"
"ottimo","COM","USA",53,91,"GEN"
"buono","DRA","USA",53,118,"GEN"
"ottimo","COM","USA",38,93,"GEN"
"scadente","AZI","USA",91,95,"ADU"
"mediocre","COM","USA",90,90,"GEN"
"buono","DRA","USA",87,105,"GEN"
"mediocre","COM","USA",87,99,"GEN"
"scadente","AZI","USA",79,90,"ADU"
"mediocre","COM","USA",33,83,"GEN"
"scadente","AZI","USA",83,107,"ADU"
"buono","COM","USA",92,98,"TUT"
"scadente","DRA","USA",87,120,"ADU"
"mediocre","COM","USA",89,112,"GEN"
"scadente","DRA","USA",93,105,"ADU"
"buono","COM","USA",92,128,"TUT"
"mediocre","AZI","USA",91,90,"GEN"
"scadente","COM","USA",78,88,"GEN"
"mediocre","DRA","USA",80,99,"ADU"
"buono","COM","USA",88,98,"GEN"
"buono","AZI","USA",93,109,"GEN"
"mediocre","COM","USA",56,108,"TUT"
"ottimo","DRA","USA",40,129,"GEN"
"mediocre","COM","USA",86,100,"GEN"
"mediocre","AZI","USA",72,105,"GEN"
"buono","COM","USA",89,123,"GEN"
"scadente","AZI","USA",93,97,"ADU"
"mediocre","COM","USA",65,118,"GEN"
"mediocre","DRA","USA",52,117,"TUT"
"mediocre","COM","USA",87,100,"TUT"
"mediocre","DRA","USA",86,105,"GEN"
"mediocre","COM","USA",78,112,"TUT"
"scadente","DRA","USA",90,98,"ADU"
"scadente","COM","USA",80,100,"GEN"
"buono","ERO","USA",75,121,"ADU"
"mediocre","COM","USA",44,101,"GEN"
"scadente","AZI","USA",95,88,"ADU"
"scadente","DRA","USA",93,120,"GEN"
"scadente","ERO","USA",89,110,"ADU"
"mediocre","DRA","USA",92,100,"ADU"
"mediocre","FAN","USA",89,110,"TUT"
"scadente","COM","USA",85,84,"GEN"
"mediocre","AZI","USA",88,86,"ADU"
"buono","COM","USA",88,100,"GEN"
"mediocre","FAN","USA",85,109,"TUT"
"mediocre","DRA","USA",56,97,"GEN"
"buono","FAN","USA",91,140,"GEN"
"buono","DRA","USA",88,116,"GEN"
"mediocre","FAN","USA",80,127,"TUT"
"buono","DRA","USA",73,105,"ADU"
"buono","FAN","USA",88,100,"TUT"
"buono","COM","USA",40,95,"GEN"
"mediocre","AZI","USA",82,137,"GEN"
"buono","COM","USA",55,101,"GEN"
"scadente","FAN","USA",74,78,"GEN"
"buono","DRA","USA",41,107,"ADU"
"mediocre","FAN","USA",89,91,"ADU"
"buono","DRA","USA",85,98,"ADU"
"mediocre","FAN","USA",92,105,"GEN"
"buono","DRA","USA",91,90,"GEN"
"buono","FAN","USA",92,98,"TUT"
"buono","COM","USA",91,85,"GEN"
"scadente","FAN","USA",92,105,"ADU"
"mediocre","COM","USA",92,101,"GEN"
"mediocre","FAN","USA",92,102,"GEN"
"buono","COM","USA",52,97,"GEN"
"ottimo","FAN","USA",33,103,"GEN"
"buono","DRA","USA",56,93,"GEN"
"scadente","FAN","USA",90,95,"TUT"
"buono","DRA","USA",85,124,"GEN"
"mediocre","FAN","USA",90,118,"ADU"
"buono","DRA","USA",78,145,"GEN"
"mediocre","FAN","USA",85,84,"TUT"
"mediocre","DRA","USA",80,98,"ADU"
"mediocre","FAN","USA",48,99,"TUT"
"scadente","DRA","USA",79,123,"GEN"
"mediocre","GAN","USA",59,91,"GEN"
"buono","COM","USA",86,102,"GEN"
"ottimo","GAN","USA",75,114,"GEN"
"buono","COM","USA",85,92,"GEN"
"buono","GAN","USA",42,80,"GEN"
"buono","COM","USA",55,138,"GEN"
"buono","GAN","USA",89,94,"TUT"
"mediocre","COM","USA",87,107,"GEN"
"mediocre","GIA","USA",93,103,"ADU"
"mediocre","DRA","USA",93,98,"GEN"
"mediocre","GIA","USA",78,112,"GEN"
"buono","COM","USA",49,105,"GEN"
"buono","GIA","USA",81,113,"ADU"
"buono","DRA","USA",59,159,"ADU"
"mediocre","AZI","USA",92,118,"ADU"
"mediocre","COM","USA",87,105,"ADU"
"mediocre","GIA","USA",88,91,"GEN"
"mediocre","DRA","USA",93,116,"ADU"
"mediocre","AZI","USA",92,98,"GEN"
"mediocre","DRA","USA",94,90,"ADU"
"mediocre","GIA","USA",59,80,"GEN"
"mediocre","COM","USA",63,108,"GEN"
"mediocre","AZI","USA",89,85,"ADU"
"mediocre","DRA","USA",91,90,"ADU"
"mediocre","GIA","USA",72,105,"GEN"
"mediocre","COM","USA",83,102,"GEN"
"mediocre","AZI","USA",91,95,"TUT"
"scadente","COM","USA",86,88,"GEN"
"buono","GIA","USA",91,90,"GEN"
"mediocre","DRA","USA",90,122,"GEN"
"mediocre","GIA","USA",91,97,"ADU"
"buono","DRA","USA",91,100,"ADU"
"scadente","GIA","USA",88,91,"ADU"
"buono","DRA","USA",93,121,"ADU"
"buono","GIA","USA",92,140,"GEN"
"buono","COM","USA",70,129,"GEN"
"mediocre","GIA","USA",65,74,"GEN"
"mediocre","DRA","USA",79,117,"ADU"
"buono","GIA","USA",47,113,"GEN"
"mediocre","DRA","USA",33,123,"GEN"
"mediocre","GIA","USA",85,108,"GEN"
"mediocre","DRA","USA",57,99,"ADU"
"ottimo","GIA","USA",57,114,"TUT"
"mediocre","COM","USA",91,98,"TUT"
"mediocre","AZI","USA",90,91,"GEN"
"mediocre","DRA","USA",92,100,"GEN"
"mediocre","GRO","USA",85,86,"ADU"
"buono","DRA","USA",83,120,"TUT"
"mediocre","HOR","USA",87,89,"ADU"
"ottimo","COM","USA",77,94,"ADU"
"buono","HOR","USA",82,118,"ADU"
"ottimo","DRA","USA",74,123,"ADU"
"mediocre","HOR","USA",91,102,"ADU"
"buono","COM","USA",58,120,"GEN"
"ottimo","HOR","USA",73,130,"GEN"
"mediocre","DRA","USA",57,99,"GEN"
"mediocre","HOR","USA",76,111,"ADU"
"buono","DRA","USA",89,103,"ADU"
"mediocre","HOR","USA",93,114,"ADU"
"mediocre","DRA","USA",94,93,"ADU"
"mediocre","AZI","USA",90,105,"GEN"
"buono","DRA","USA",61,124,"ADU"
"scadente","AZI","USA",86,89,"ADU"
"mediocre","CMC","USA",92,92,"GEN"
"mediocre","AVV","USA",84,94,"ADU"
"mediocre","CMC","USA",81,92,"TUT"
"mediocre","HOR","USA",81,91,"ADU"
"scadente","CMC","USA",93,80,"GEN"
"mediocre","HOR","USA",89,100,"ADU"
"buono","DRA","USA",92,122,"GEN"
"scadente","HOR","USA",85,96,"ADU"
"buono","DRA","USA",63,117,"GEN"
"scadente","HOR","USA",89,104,"ADU"
"buono","DRA","USA",86,100,"GEN"
"mediocre","AVV","USA",85,105,"TUT"
"mediocre","DRA","USA",76,111,"ADU"
"mediocre","HOR","USA",70,114,"ADU"
"mediocre","BIO","USA",52,82,"TUT"
"mediocre","AVV","USA",90,112,"GEN"
"mediocre","DRA","USA",50,98,"GEN"
"mediocre","MUS","USA",64,128,"TUT"
"ottimo","BEL","USA",87,110,"ADU"
"ottimo","MUS","USA",65,101,"TUT"
"buono","BEL","USA",49,118,"GEN"
"mediocre","MUS","USA",52,115,"TUT"
"buono","DRA","USA",87,144,"GEN"
"mediocre","MUS","USA",91,104,"GEN"
"buono","DRA","USA",83,120,"GEN"
"buono","AVV","USA",80,105,"GEN"
"mediocre","DRA","USA",34,81,"TUT"
"scadente","POL","USA",86,83,"ADU"
"scadente","DRA","USA",87,100,"ADU"
"ottimo","POL","USA",46,105,"ADU"
"buono","DRA","USA",93,112,"GEN"
"mediocre","POL","USA",82,110,"GEN"
"mediocre","DRA","USA",50,90,"GEN"
"buono","POL","USA",49,71,"GEN"
"buono","DRA","USA",41,106,"GEN"
"mediocre","POL","USA",89,97,"GEN"
"buono","DRA","USA",66,123,"GEN"
"scadente","POL","USA",94,91,"ADU"
"buono","DRA","USA",40,93,"GEN"
"buono","POL","USA",81,165,"ADU"
"mediocre","DRA","USA",59,115,"GEN"
"buono","POL","USA",68,113,"GEN"
"mediocre","COM","USA",52,85,"ADU"
"mediocre","AVV","USA",53,79,"GEN"
"mediocre","COM","USA",64,101,"TUT"
"ottimo","POL","USA",87,119,"ADU"
"mediocre","COM","USA",90,91,"ADU"
"mediocre","POL","USA",49,97,"GEN"
"scadente","COM","USA",79,100,"GEN"
"mediocre","POL","USA",90,100,"GEN"
"mediocre","COM","USA",85,100,"GEN"
"mediocre","POL","USA",84,115,"ADU"
"mediocre","COM","USA",92,86,"ADU"
"buono","AVV","USA",92,110,"GEN"
"buono","COM","USA",55,123,"GEN"
"buono","POL","USA",89,115,"ADU"
"buono","COM","USA",57,118,"GEN"
"mediocre","POL","USA",88,91,"GEN"
"mediocre","COM","USA",63,93,"TUT"
"ottimo","POL","USA",91,110,"GEN"
"mediocre","COM","USA",76,113,"GEN"
"mediocre","POL","USA",42,66,"GEN"
"mediocre","COM","USA",88,101,"TUT"
"scadente","AVV","USA",91,80,"ADU"
"mediocre","COM","USA",79,122,"ADU"
"buono","POL","USA",89,125,"ADU"
"mediocre","COM","USA",91,117,"GEN"
"scadente","POL","USA",95,85,"ADU"
"mediocre","DRA","USA",87,119,"GEN"
"mediocre","POL","USA",82,110,"ADU"
"buono","DRA","USA",88,110,"ADU"
"mediocre","POL","USA",40,77,"TUT"
"mediocre","DRA","USA",52,85,"GEN"
"buono","POL","USA",77,108,"ADU"
"mediocre","DRA","USA",93,120,"GEN"
"mediocre","POL","USA",87,90,"ADU"
"ottimo","DRA","USA",36,94,"ADU"
"mediocre","POL","USA",89,100,"ADU"
"buono","DRA","USA",63,107,"GEN"
"mediocre","POL","USA",91,137,"ADU"
"buono","DRA","USA",78,109,"ADU"
"mediocre","POL","USA",46,86,"ADU"
"mediocre","DRA","USA",63,101,"ADU"
"buono","POL","USA",71,114,"ADU"
"mediocre","DRA","USA",87,97,"ADU"
"mediocre","POL","USA",71,97,"GEN"
"mediocre","DRA","USA",91,100,"GEN"
"mediocre","POL","USA",91,105,"GEN"
"mediocre","COM","USA",87,107,"TUT"
"mediocre","POL","USA",81,108,"GEN"
"buono","COM","USA",67,108,"GEN"
"mediocre","POL","USA",90,132,"ADU"
"buono","COM","USA",84,118,"GEN"
"mediocre","AVV","USA",55,112,"GEN"
"mediocre","DRA","USA",84,110,"GEN"
"mediocre","POL","USA",86,87,"ADU"
"mediocre","COM","USA",92,100,"TUT"
"buono","SEN","USA",39,114,"TUT"
"mediocre","COM","USA",88,109,"GEN"
"mediocre","SEN","USA",90,105,"GEN"
"mediocre","DRA","USA",91,145,"ADU"
"mediocre","AVV","USA",55,87,"GEN"
"mediocre","DRA","USA",81,129,"GEN"
"buono","AVV","USA",86,98,"TUT"
"buono","DRA","USA",87,152,"ADU"
"mediocre","SEN","USA",88,95,"TUT"
"buono","DRA","USA",90,95,"TUT"
"buono","SEN","USA",61,115,"TUT"
"mediocre","DRA","USA",90,133,"GEN"
"mediocre","SEN","USA",56,87,"GEN"
"mediocre","DRA","USA",90,100,"GEN"
"mediocre","SEN","USA",60,92,"GEN"
"mediocre","DRA","USA",91,130,"GEN"
"scadente","AVV","USA",84,117,"GEN"
"buono","COM","USA",53,119,"TUT"
"buono","SPI","USA",62,140,"GEN"
"buono","DRA","USA",79,113,"GEN"
"mediocre","AVV","USA",74,89,"TUT"
"mediocre","DRA","USA",47,119,"GEN"
"buono","AVV","USA",44,100,"GEN"
"buono","DRA","USA",65,192,"GEN"
"mediocre","AVV","USA",93,119,"ADU"
"ottimo","CMC","USA",32,68,"TUT"
"ottimo","SPI","USA",46,101,"GEN"
"buono","CMC","USA",31,77,"TUT"
"mediocre","AVV","USA",68,95,"TUT"
"mediocre","BIO","USA",54,113,"GEN"
"mediocre","AVV","USA",93,90,"ADU"
"mediocre","DRA","USA",61,122,"ADU"
"mediocre","THR","USA",53,81,"GEN"
"mediocre","BEL","USA",76,132,"GEN"
"mediocre","THR","USA",91,100,"ADU"
"mediocre","DRA","USA",91,98,"ADU"
"mediocre","AVV","USA",78,97,"TUT"
"buono","DRA","USA",33,97,"GEN"
"mediocre","THR","USA",92,92,"ADU"
"buono","BEL","USA",88,109,"GEN"
"mediocre","AVV","USA",93,95,"ADU"
"buono","BEL","USA",61,151,"GEN"
"mediocre","THR","USA",86,105,"ADU"
"mediocre","COM","USA",59,100,"ADU"
"buono","THR","USA",81,105,"ADU"
"mediocre","COM","USA",59,100,"GEN"
"mediocre","THR","USA",94,80,"GEN"
"mediocre","COM","USA",88,111,"TUT"
"scadente","THR","USA",92,100,"ADU"
"scadente","COM","USA",90,110,"GEN"
"mediocre","THR","USA",93,90,"ADU"
"buono","COM","USA",66,99,"TUT"
"mediocre","THR","USA",92,100,"ADU"
"mediocre","COM","USA",93,98,"ADU"
"mediocre","AVV","USA",93,106,"GEN"
"mediocre","COM","USA",91,100,"TUT"
"buono","THR","USA",86,90,"ADU"
"buono","DRA","USA",40,103,"ADU"
"mediocre","THR","USA",85,100,"GEN"
"buono","COM","USA",55,109,"TUT"
"mediocre","THR","USA",90,97,"GEN"
"mediocre","DRA","USA",91,111,"ADU"
"mediocre","AVV","USA",93,91,"TUT"
"mediocre","DRA","USA",93,90,"ADU"
"mediocre","THR","USA",92,110,"ADU"
"scadente","DRA","USA",88,90,"ADU"
"mediocre","THR","USA",60,112,"ADU"
"buono","DRA","USA",77,121,"ADU"
"buono","THR","USA",91,100,"GEN"
"capolavoro","DRA","USA",39,212,"GEN"
"mediocre","THR","USA",87,90,"ADU"
"mediocre","DRA","USA",94,100,"GEN"
"buono","THR","USA",56,120,"GEN"
"ottimo","DRA","USA",35,95,"ADU"
"mediocre","THR","USA",87,100,"ADU"
"mediocre","DRA","USA",49,115,"ADU"
"buono","THR","USA",90,135,"GEN"
"buono","DRA","USA",52,117,"GEN"
"mediocre","THR","USA",83,100,"ADU"
"buono","DRA","USA",66,123,"ADU"
"mediocre","THR","USA",93,90,"GEN"
"buono","DRA","USA",55,105,"GEN"
"mediocre","THR","USA",87,110,"ADU"
"buono","CMC","USA",53,95,"TUT"
"buono","THR","USA",67,107,"ADU"
"scadente","BIO","USA",87,100,"ADU"
"scadente","THR","USA",94,92,"ADU"
"mediocre","DRA","USA",54,105,"ADU"
"buono","THR","USA",88,105,"GEN"
"mediocre","DRA","USA",61,98,"GEN"
"mediocre","THR","USA",92,128,"GEN"
"mediocre","DRA","USA",57,157,"ADU"
"buono","THR","USA",91,97,"GEN"
"mediocre","COM","USA",82,98,"GEN"
"mediocre","THR","USA",91,109,"GEN"
"mediocre","COM","USA",89,100,"GEN"
"mediocre","WES","USA",55,88,"TUT"
"mediocre","COM","USA",80,101,"GEN"
"buono","WES","USA",71,105,"GEN"
"mediocre","COM","USA",91,110,"GEN"
"buono","WES","USA",73,105,"GEN"
"mediocre","COM","USA",87,107,"GEN"
"mediocre","WES","USA",66,101,"TUT"
"buono","DRA","USA",56,105,"GEN"
"mediocre","AVV","USA",59,109,"TUT"
"mediocre","DRA","USA",91,105,"ADU"
"ottimo","WES","USA",40,92,"GEN"
"mediocre","COM","USA",52,89,"GEN"
"mediocre","AVV","USA",59,105,"GEN"
"buono","DRA","USA",43,89,"GEN"
"mediocre","AVV","USA",52,110,"GEN"
"buono","DRA","USA",81,120,"GEN"
"mediocre","AVV","USA",54,86,"GEN"
"mediocre","DRA","USA",52,96,"ADU"
"mediocre","WES","USA",76,99,"ADU"
"buono","BEL","USA",65,102,"GEN"
"buono","WES","USA",76,99,"ADU"
"buono","DRA","USA",67,126,"GEN"
"mediocre","AVV","USA",93,105,"TUT"
"mediocre","COM","USA",74,90,"GEN"
"buono","WES","USA",69,130,"GEN"
"mediocre","COM","USA",86,91,"GEN"
"buono","WES","USA",58,100,"GEN"
"scadente","DRA","USA",88,90,"GEN"
"buono","AVV","USA",52,118,"TUT"
"mediocre","DRA","USA",52,96,"GEN"
"buono","WES","USA",58,94,"GEN"
"mediocre","COM","USA",73,103,"GEN"
"buono","WES","USA",53,98,"GEN"
"mediocre","DRA","USA",89,127,"GEN"
"mediocre","WES","USA",51,105,"GEN"
"mediocre","COM","USA",85,95,"ADU"
"buono","WES","USA",48,127,"ADU"
"buono","DRA","USA",87,82,"GEN"
"mediocre","WES","USA",89,119,"ADU"
"mediocre","DRA","USA",94,90,"TUT"
"mediocre","WES","USA",71,102,"TUT"
"buono","DRA","USA",87,115,"GEN"
"mediocre","WES","USA",75,107,"GEN"
"mediocre","COM","USA",90,90,"GEN"
"buono","WES","USA",78,102,"ADU"
"mediocre","COM","USA",89,105,"GEN"
"mediocre","WES","USA",71,109,"GEN"
"mediocre","DRA","ITA",58,110,"GEN"
"mediocre","COM","ITA",76,40,"ADU"
"buono","AVV","USA",32,77,"GEN"
"ottimo","GAN","USA",31,80,"GEN"
"mediocre","COM","ITA",90,80,"GEN"
"buono","MUS","USA",38,80,"GEN"
"mediocre","WES","USA",54,80,"GEN"
"mediocre","DRA","GB",52,80,"GEN"
"mediocre","CMC","USA",93,80,"TUT"
"mediocre","CMC","USA",90,80,"TUT"
"ottimo","POL","USA",52,82,"GEN"
"buono","COM","GB",51,82,"GEN"
"mediocre","HOR","ITA",82,82,"ADU"
"buono","CMC","USA",71,82,"TUT"
"mediocre","POL","USA",89,82,"ADU"
"mediocre","DRA","ITA",41,82,"TUT"
"ottimo","POL","USA",52,82,"GEN"
"buono","COM","GB",51,82,"GEN"
"scadente","DRA","USA",94,83,"GEN"
"scadente","DRA","USA",94,83,"GEN"
"scadente","POL","USA",86,83,"ADU"
"mediocre","HOR","GB",65,83,"ADU"
