# Exhaustive Strategy Benchmark Results - Combined
"# All Tests: 10000 entities, 100000 entities"
# Total combinations per test: 1078

=== DETAILED RESULTS - 10000 Entities ===
# Successful: 1078 / 1078

Rank,Configuration,Node Mode,Edge Mode,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB),Relationships Time (ms),Relationships Memory (MB)
5,BITMAP+TREE_GRAPH_BASIC,BITMAP,TREE_GRAPH_BASIC,280.22,4167.4,178433,83.58,4167.4,0.50,4167.4,0.26,4167.4,195.88,4167.4
6,CUCKOO_HASH+None,CUCKOO_HASH,None,281.23,3939.2,177789,83.35,3939.2,0.45,3939.2,0.25,3939.2,197.18,3939.2
7,BLOOM_FILTER+CSC,BLOOM_FILTER,CSC,281.99,3790.9,177310,82.57,3790.9,0.52,3790.9,0.27,3790.9,198.64,3790.9
8,STACK+R_TREE,STACK,R_TREE,282.41,1677.1,177049,83.60,1677.1,0.42,1677.1,0.27,1677.1,198.11,1677.1
9,STACK+BIDIR_WRAPPER,STACK,BIDIR_WRAPPER,282.78,1637.6,176818,81.05,1637.6,1.25,1637.6,0.31,1637.6,200.16,1637.6
10,CUCKOO_HASH+R_TREE,CUCKOO_HASH,R_TREE,283.15,4068.3,176582,84.09,4068.3,0.47,4068.3,0.26,4068.3,198.33,4068.3
11,BITMAP+CSC,BITMAP,CSC,283.16,4227.1,176577,82.05,4227.1,0.42,4227.1,0.26,4227.1,200.44,4227.1
12,CUCKOO_HASH+OCTREE,CUCKOO_HASH,OCTREE,283.54,4088.0,176343,85.07,4088.0,0.61,4088.0,0.28,4088.0,197.59,4088.0
13,QUEUE+TEMPORAL_EDGESET,QUEUE,TEMPORAL_EDGESET,283.82,1864.7,176167,83.19,1864.7,0.41,1864.7,0.24,1864.7,199.98,1864.7
14,CUCKOO_HASH+NEURAL_GRAPH,CUCKOO_HASH,NEURAL_GRAPH,283.88,4108.0,176129,82.48,4108.0,0.42,4108.0,0.26,4108.0,200.72,4108.0
15,BITMAP+CSR,BITMAP,CSR,284.42,4217.1,175796,84.39,4217.1,0.48,4217.1,0.36,4217.1,199.18,4217.1
16,STACK+FLOW_NETWORK,STACK,FLOW_NETWORK,284.66,1706.6,175649,83.60,1706.6,0.48,1706.6,0.28,1706.6,200.30,1706.6
17,CUCKOO_HASH+CSC,CUCKOO_HASH,CSC,284.74,4008.8,175599,83.94,4008.8,0.47,4008.8,0.27,4008.8,200.06,4008.0
18,BLOOM_FILTER+EDGE_LIST,BLOOM_FILTER,EDGE_LIST,285.05,3919.5,175407,83.69,3919.5,0.41,3919.5,0.25,3919.5,200.70,3919.5
19,BITMAP+COO,BITMAP,COO,285.18,4237.0,175331,84.93,4237.0,0.43,4237.0,0.27,4237.0,199.54,4236.2
20,BLOOM_FILTER+FLOW_NETWORK,BLOOM_FILTER,FLOW_NETWORK,285.89,3879.8,174890,84.47,3879.8,0.48,3879.8,0.27,3879.8,200.68,3879.8
21,QUEUE+BLOCK_ADJ_MATRIX,QUEUE,BLOCK_ADJ_MATRIX,285.95,1815.4,174854,82.16,1815.4,0.37,1815.4,0.28,1815.4,203.15,1814.6
22,COW_TREE+ADJ_LIST,COW_TREE,ADJ_LIST,286.28,6142.8,174654,85.70,6142.8,0.50,6142.8,0.27,6142.8,199.81,6142.0
23,DATA_INTERCHANGE_OPTIMIZED+NEURAL_GRAPH,DATA_INTERCHANGE_OPTIMIZED,NEURAL_GRAPH,286.65,10876.7,174429,87.36,10876.7,0.66,10876.7,0.29,10876.7,198.34,10876.7
24,BITMAP+ADJ_MATRIX,BITMAP,ADJ_MATRIX,287.30,4197.4,174035,86.41,4197.4,0.48,4197.4,0.25,4197.4,200.16,4196.5
25,COW_TREE+R_TREE,COW_TREE,R_TREE,287.30,6252.0,174032,88.57,6252.0,0.60,6252.0,0.27,6252.0,197.87,6252.0
26,STACK+BLOCK_ADJ_MATRIX,STACK,BLOCK_ADJ_MATRIX,287.58,1598.1,173863,83.56,1598.1,0.49,1598.1,0.29,1598.1,203.24,1598.1
27,STACK+OCTREE,STACK,OCTREE,287.63,1696.9,173835,81.39,1696.9,0.38,1696.9,0.26,1696.9,205.61,1696.0
28,BLOOM_FILTER+COMPRESSED_GRAPH,BLOOM_FILTER,COMPRESSED_GRAPH,287.72,3929.5,173783,88.17,3929.4,0.69,3929.4,0.29,3929.5,198.56,3928.6
29,QUEUE+ADJ_MATRIX,QUEUE,ADJ_MATRIX,287.72,1805.5,173778,84.20,1805.5,0.40,1805.5,0.26,1805.5,202.86,1805.5
30,LEARNED_INDEX+TEMPORAL_EDGESET,LEARNED_INDEX,TEMPORAL_EDGESET,287.86,10588.7,173697,86.98,10588.7,0.65,10588.7,0.28,10588.7,199.95,10588.7
31,DATA_INTERCHANGE_OPTIMIZED+BIDIR_WRAPPER,DATA_INTERCHANGE_OPTIMIZED,BIDIR_WRAPPER,287.87,10797.2,173690,87.87,10797.2,0.59,10797.2,0.27,10797.2,199.14,10797.2
32,CUCKOO_HASH+ADJ_LIST,CUCKOO_HASH,ADJ_LIST,287.99,3959.2,173616,83.18,3959.2,0.65,3959.2,0.27,3959.2,203.89,3959.2
33,QUEUE+DYNAMIC_ADJ_LIST,QUEUE,DYNAMIC_ADJ_LIST,288.06,1795.6,173572,83.84,1795.6,0.56,1795.6,0.25,1795.6,203.42,1795.6
34,STACK+EDGE_PROPERTY_STORE,STACK,EDGE_PROPERTY_STORE,288.10,1667.2,173549,81.77,1667.2,0.39,1667.2,0.25,1667.2,205.70,1667.2
35,STACK+COMPRESSED_GRAPH,STACK,COMPRESSED_GRAPH,288.66,1756.1,173216,83.33,1756.1,0.43,1756.1,0.27,1756.1,204.63,1756.1
36,CUCKOO_HASH+INCIDENCE_MATRIX,CUCKOO_HASH,INCIDENCE_MATRIX,288.95,4127.8,173039,85.28,4127.8,0.59,4127.8,0.28,4127.8,202.79,4127.8
37,PERSISTENT_TREE+INCIDENCE_MATRIX,PERSISTENT_TREE,INCIDENCE_MATRIX,288.98,6093.1,173021,87.74,6093.1,0.61,6093.1,0.25,6093.1,200.39,6093.1
38,CUCKOO_HASH+TEMPORAL_EDGESET,CUCKOO_HASH,TEMPORAL_EDGESET,289.16,4038.6,172916,84.19,4038.6,0.47,4038.6,0.26,4038.6,204.23,4038.6
39,DATA_INTERCHANGE_OPTIMIZED+ADJ_MATRIX,DATA_INTERCHANGE_OPTIMIZED,ADJ_MATRIX,289.20,10747.5,172889,88.38,10747.5,0.69,10747.5,0.28,10747.5,199.85,10747.5
40,CUCKOO_HASH+WEIGHTED_GRAPH,CUCKOO_HASH,WEIGHTED_GRAPH,289.62,4118.0,172637,85.64,4117.9,0.41,4117.9,0.27,4118.0,203.31,4117.2
41,STACK+COO,STACK,COO,289.64,1627.6,172631,82.15,1627.6,0.55,1627.6,0.26,1627.6,206.68,1627.6
42,LINEAR_HASH+HYPEREDGE_SET,LINEAR_HASH,HYPEREDGE_SET,289.70,10162.1,172593,89.34,10162.1,0.58,10162.1,0.26,10162.1,199.52,10162.1
43,QUEUE+COO,QUEUE,COO,290.10,1845.1,172353,84.35,1845.1,0.48,1845.1,0.26,1845.1,205.02,1845.1
44,LEARNED_INDEX+QUADTREE,LEARNED_INDEX,QUADTREE,290.31,10628.4,172232,89.73,10628.4,0.59,10628.4,0.28,10628.4,199.71,10628.4
45,CUCKOO_HASH+EDGE_LIST,CUCKOO_HASH,EDGE_LIST,290.35,4137.9,172206,83.72,4137.8,0.43,4137.8,0.25,4137.9,205.94,4137.9
46,CUCKOO_HASH+QUADTREE,CUCKOO_HASH,QUADTREE,290.42,4078.3,172166,86.88,4078.3,0.61,4078.3,0.27,4078.3,202.66,4077.5
47,DATA_INTERCHANGE_OPTIMIZED+CSC,DATA_INTERCHANGE_OPTIMIZED,CSC,290.51,10777.1,172109,87.75,10777.1,0.60,10777.1,0.27,10777.1,201.89,10777.1
48,STACK+HYPEREDGE_SET,STACK,HYPEREDGE_SET,290.66,1657.5,172023,84.93,1657.5,0.59,1657.5,0.27,1657.5,204.87,1656.5
49,STACK+TEMPORAL_EDGESET,STACK,TEMPORAL_EDGESET,290.67,1647.5,172014,86.08,1647.5,0.40,1647.5,0.26,1647.5,203.94,1647.5
50,LINEAR_HASH+COMPRESSED_GRAPH,LINEAR_HASH,COMPRESSED_GRAPH,290.69,10261.1,172002,86.35,10261.1,0.61,10261.1,0.28,10261.1,203.45,10261.1

=== SUMMARY - 100000 Entities ===

Metric,Value
Total Combinations Tested,1078
Successful,1078
Failed,0
Fastest Time (ms),274.65
Slowest Time (ms),2166.34
Average Time (ms),541.40
Lowest Memory (MB),1214.9
Highest Memory (MB),10916.4
Average Memory (MB),5622.6
Winner (Fastest),STACK+NEURAL_GRAPH
Memory Champion,TREE_GRAPH_HYBRID+TREE_GRAPH_BASIC

