https://doi.org/10.1371/journal.pone.0254482
Wavelength (nm)	Absolute spectral value (W/m2/nm)
646	4.36E-01
647	4.64E-01
648	4.96E-01
649	5.30E-01
650	5.63E-01
651	5.99E-01
652	6.38E-01
653	6.74E-01
654	7.08E-01
655	7.38E-01
656	7.60E-01
657	7.77E-01
658	7.79E-01
659	7.74E-01
660	7.57E-01
661	7.29E-01
662	6.94E-01
663	6.47E-01
664	5.97E-01
665	5.41E-01
666	4.84E-01
667	4.27E-01
668	3.73E-01
669	3.23E-01
670	2.79E-01
671	2.40E-01
672	2.04E-01
673	1.77E-01
674	1.53E-01
675	1.33E-01
676	1.17E-01
677	1.03E-01
678	9.12E-02
679	8.09E-02
680	7.26E-02
681	6.52E-02
682	5.82E-02
683	5.35E-02
684	4.90E-02
685	4.46E-02
686	4.19E-02
687	3.95E-02
688	3.60E-02
689	3.38E-02
690	3.29E-02
691	3.10E-02
692	2.90E-02
693	2.72E-02
694	2.59E-02
695	2.51E-02
696	2.39E-02
697	2.25E-02
698	2.06E-02
699	1.97E-02
700	1.94E-02
701	1.96E-02
702	1.91E-02
703	1.72E-02
704	1.64E-02
705	1.60E-02
706	1.60E-02
707	1.55E-02
708	1.43E-02
709	1.42E-02
710	1.42E-02
711	1.31E-02
712	1.22E-02
713	1.16E-02
714	1.14E-02
715	1.14E-02
716	1.18E-02
717	1.10E-02
718	9.75E-03
719	1.05E-02
720	1.03E-02
721	8.74E-03
722	8.21E-03
723	8.06E-03
724	8.52E-03
725	8.78E-03
726	8.87E-03
727	8.94E-03
728	8.54E-03
729	6.93E-03
730	6.69E-03
731	7.21E-03
732	7.39E-03
733	7.13E-03
734	6.23E-03
735	5.68E-03
736	5.42E-03
737	6.20E-03
738	6.20E-03
739	5.51E-03
740	5.68E-03
741	5.61E-03
742	4.82E-03
743	4.56E-03
744	4.59E-03
745	5.18E-03
746	5.14E-03
747	4.33E-03
748	4.13E-03
749	4.11E-03
750	4.22E-03
751	3.87E-03
752	3.21E-03
753	3.30E-03
754	3.19E-03
755	2.75E-03
756	3.48E-03
757	4.34E-03
758	3.81E-03
759	3.22E-03
760	2.56E-03
