TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,HB,EB-B,CDS,PST,PH,PTE-UC,FE-JONS,PORE,PDP,POSI,UCE,F.N.,PNCL-PANCAL,AP,PAR,PED,CIU,BNG,AIC,UV,LA,P.A.,EA...(E87),PNV...(E87),ANEMYA,LV,C.V.,EE...(E87),E.U.,PCV,AS,CSD
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,463,352,,352,7,345,111,58,24,0,8,0,1,2,0,0,13,0,0,0,1,72,0,0,1,0,0,0,1,1,20,120,0,1,4,16,0,0,2,0
Bizkaia,ERRIGOITI,,79,4,412,356,1,355,1,354,56,2,112,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,50,177,2,0,0,6,0,0,0,0
Gipuzkoa,ESKORIATZA,,34,4,2924,2153,10,2143,16,2127,771,262,505,7,14,72,0,4,0,3,0,1,1,0,2,18,1,0,0,0,0,0,0,2,709,337,1,4,1,180,2,0,0,1
Bizkaia,ETXEBARRI,,29,3,4443,3032,1,3031,2,3029,1411,1247,415,93,118,18,1,13,8,4,9,1,2,2,0,81,0,0,1,3,0,1,2,0,396,430,6,19,1,150,4,1,3,0
Bizkaia,ETXEBARRIA,,30,4,609,341,1,340,1,339,268,4,184,2,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,25,104,0,1,0,12,0,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,499,377,2,375,,375,122,1,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,13,0,0,0,17,0,0,0,0
Bizkaia,FORUA,,906,4,728,558,2,556,3,553,170,21,185,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,124,194,0,0,0,16,0,0,0,0
Bizkaia,FRUIZ,,35,4,292,208,,208,1,207,84,0,43,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,121,0,0,0,3,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,378,317,2,315,8,307,61,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,14,0,0,0,45,0,0,0,0
Gipuzkoa,GAINTZA,,37,3,114,79,,79,2,77,35,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,5,0,0,0,0
Bizkaia,GALDAKAO,,36,3,19698,13568,197,13371,96,13275,6130,2637,2928,190,353,23,12,60,5,9,7,11,6,3,1,495,4,2,3,5,4,4,3,3,2196,3143,16,31,12,1093,4,2,8,2
Bizkaia,GALDAMES,,37,2,711,606,4,602,9,593,105,14,97,3,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,126,291,0,4,0,51,0,0,0,0
Bizkaia,GAMIZ-FIKA,,38,4,724,540,1,539,3,536,184,3,146,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118,250,0,0,0,15,0,0,0,0
Bizkaia,GARAI,,39,3,200,162,,162,3,159,38,0,49,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26,75,0,0,0,5,0,0,0,0
Bizkaia,GATIKA,,40,4,652,556,2,554,2,552,96,5,116,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,186,228,0,1,0,12,0,0,0,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,648,528,10,518,1,517,120,1,146,2,2,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,101,231,4,1,0,13,0,0,0,0
Bizkaia,GERNIKA-LUMO,,46,4,12422,9265,32,9233,30,9203,3157,666,2440,20,79,7,7,11,0,7,5,1,2,3,6,361,0,1,1,1,0,2,1,3,1874,2878,30,8,6,780,0,0,3,0
Gipuzkoa,GETARIA,,39,4,1774,1527,13,1514,10,1504,247,6,398,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,493,504,0,1,0,97,0,0,0,0
Bizkaia,GETXO,,44,4,56233,36228,180,36048,228,35820,20005,3634,5384,165,1663,41,53,176,18,17,143,16,7,237,22,5394,16,4,15,11,1,1,2,107,4949,9776,163,115,72,3473,10,5,99,31
