TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,POSI,PSE-EE/PSOE,ATTKA/PACMA,URE-EEB,UPYD,Cs,PSYV,EQUO,EB-AZ,O.E.,EH BILDU,RECORTES CERO,VOX,IRABAZI,GVG,GUK BAI,AHORA AMURRIO/ORAIN ,OMNIA,PLAZ!,ABOTSANITZ,VOX / PFYV,SUMANDO-HEMEN GAUDE,GANEMOS,I.N.D.A.Z.,BD,AHORA SOPELA-BARRIKA,DB-TU,G.I.GORLIZ,XMKB,PXL-CON LA MANOS LIM,SQ-2D,CLI,K.Z.,CMB,UDALBERRI-BILBAO,IND. ALEGRIA-DUL. 15,IND. 1 ASPARRENA 15,IND. 2 ASPARRENA 15,IND. BERANTEVILLA 15,IND. BERNEDO 15,IND. KANPEZU 15,IND. ELCIEGO 15,IND. RIBERA ALTA 15 ,IND. 1 IRUÑA OKA 15,IND. 2 IRUÑA OKA 15,IND. LAPUEBLA 15,IND. LEZA 15,IND. NAVARIDAS 15,IND. OION 15,IND. PEÑACERRADA 15,IND. RIBERA BAJA 15,IND. DONEMILIAGA 15,IND. AÑANA 15,IND. IEKORA 15,IND. ZAMBRANA 15,IND. ZIGOITIA 15,IND. ZUIA 15,IND. AIARA 15,IND. OKONDO 15,IND. URKABUSTAIZ 15,IND. VALDEGOVÍA 15,IND. BEIZAMA 15,IND. BIDANIA-GOI. 15,IND. DEBA 15,IND. EZKIO-ITSASO 15,IND. GABIRIA 15,IND. MUTILOA 15,IND. ORMAIZTEGI 15,IND. ZEGAMA 15,IND. ZERAIN 15,IND. ARRASATE 15,IND. ELGETA 15,IND. ESKORIATZA 15,IND. LEINTZ-GATZ. 15,IND. MUTRIKU 15,IND. ERRENTERIA 15,IND. HERNANI 15,IND. IRUN 15,IND. LASARTE-ORIA 15,IND. ORIO 15,IND. PASAIA 15,IND. ABALTZISKETA 15,IND. ALKIZA 15,IND. 1 ALTZAGA 15,IND. 2 ALTZAGA 15,IND. AMEZKETA 15,IND. 1 ARAMA 15,IND. 2 ARAMA 15,IND. ASTEASU 15,IND. ATAUN 15,IND. 1 BELAUNTZA 15,IND. 2 BELAUNTZA 15,IND. GAINTZA 15,IND. GAZTELU 15,IND. HERNIALDE 15,IND. IDIAZABAL 15,IND. LARRAUL 15,IND. LEABURU 15,IND. 1 OLABERRIA 15,IND. 2 OLABERRIA 15,IND. ORDIZIA 15,IND. ZALDIBIA 15,IND. ARRIGORRIAGA 15,IND. BARRIKA 15,IND. BASAURI 15,IND. OROZKO 15,IND. ETXEBARRI 15,IND. 1 GALDAKAO 15,IND. 2 GALDAKAO 15,IND. GETXO 15,IND. GORLIZ 15,IND. LEIOA 15,IND. ORTUELLA 15,IND. PORTUGALETE 15,IND. 1 SANTURTZI 15,IND. 2 SANTURTZI 15,IND. SESTAO 15,IND. PLENTZIA 15,IND. TRAPAGA 15,IND. ZARATAMO 15,IND. ABADIÑO 15,IND. AMOREBIETA 15,IND. ARTEA 15,IND. ERMUA 15,IND. GARAI 15,IND. UBIDE 15,IND. GORDEXOLA 15,IND. SOPUERTA 15,IND. AMOROTO 15,IND. BAKIO 15,IND. 1 BERMEO 15,IND. 2 BERMEO 15,IND. GATIKA 15,IND. GIZABURUAGA 15,IND. IBARRANGELU 15,IND. ISPASTER 15,IND. MURUETA 15,IND. SUKARRIETA 15,IND. ZALLA 15,IND. BUSTURIA 15,IND. BALIARRAIN 15
Gipuzkoa,ANOETA,,10,3,1481,1029,17,1012,30,982,452,445,,,,,25,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANTZUOLA,,11,4,1675,1170,16,1154,24,1130,505,339,,,,,89,,,,,,,,,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARAKALDO,,5,3,116,93,3,90,5,85,23,37,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARAMA,,12,3,147,117,,117,11,106,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARAMAIO,,3,2,1197,842,32,810,39,771,355,228,0,,,,13,,,,,,,,,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARANTZAZU,,6,3,301,271,5,266,2,264,30,132,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AREATZA,,93,3,915,757,16,741,13,728,158,336,21,,,,14,,,,,,,,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARETXABALETA,,13,4,5404,3653,50,3603,57,3546,1751,1616,,,,,262,,,,,,,,,1381,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARMIÑÓN,,6,2,179,120,10,110,6,104,59,63,25,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRAIA-MAEZTU,,37,2,596,458,6,452,6,446,138,231,38,,,,8,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRANKUDIAGA,,9,3,782,644,8,636,15,621,138,267,6,,,,6,,,,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17630,10841,133,10708,157,10551,6789,3738,385,,,,1321,,,,,,,,,3348,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRATZU,,914,4,332,291,2,289,1,288,41,194,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
