TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,POSI,PSE-EE/PSOE,ATTKA/PACMA,URE-EEB,UPYD,Cs,PSYV,EQUO,EB-AZ,O.E.,EH BILDU,RECORTES CERO,VOX,IRABAZI,GVG,GUK BAI,AHORA AMURRIO/ORAIN ,OMNIA,PLAZ!,ABOTSANITZ,VOX / PFYV,SUMANDO-HEMEN GAUDE,GANEMOS,I.N.D.A.Z.,BD,AHORA SOPELA-BARRIKA,DB-TU,G.I.GORLIZ,XMKB,PXL-CON LA MANOS LIM,SQ-2D,CLI,K.Z.,CMB,UDALBERRI-BILBAO,IND. ALEGRIA-DUL. 15,IND. 1 ASPARRENA 15,IND. 2 ASPARRENA 15,IND. BERANTEVILLA 15,IND. BERNEDO 15,IND. KANPEZU 15,IND. ELCIEGO 15,IND. RIBERA ALTA 15 ,IND. 1 IRUÑA OKA 15,IND. 2 IRUÑA OKA 15,IND. LAPUEBLA 15,IND. LEZA 15,IND. NAVARIDAS 15,IND. OION 15,IND. PEÑACERRADA 15,IND. RIBERA BAJA 15,IND. DONEMILIAGA 15,IND. AÑANA 15,IND. IEKORA 15,IND. ZAMBRANA 15,IND. ZIGOITIA 15,IND. ZUIA 15,IND. AIARA 15,IND. OKONDO 15,IND. URKABUSTAIZ 15,IND. VALDEGOVÍA 15,IND. BEIZAMA 15,IND. BIDANIA-GOI. 15,IND. DEBA 15,IND. EZKIO-ITSASO 15,IND. GABIRIA 15,IND. MUTILOA 15,IND. ORMAIZTEGI 15,IND. ZEGAMA 15,IND. ZERAIN 15,IND. ARRASATE 15,IND. ELGETA 15,IND. ESKORIATZA 15,IND. LEINTZ-GATZ. 15,IND. MUTRIKU 15,IND. ERRENTERIA 15,IND. HERNANI 15,IND. IRUN 15,IND. LASARTE-ORIA 15,IND. ORIO 15,IND. PASAIA 15,IND. ABALTZISKETA 15,IND. ALKIZA 15,IND. 1 ALTZAGA 15,IND. 2 ALTZAGA 15,IND. AMEZKETA 15,IND. 1 ARAMA 15,IND. 2 ARAMA 15,IND. ASTEASU 15,IND. ATAUN 15,IND. 1 BELAUNTZA 15,IND. 2 BELAUNTZA 15,IND. GAINTZA 15,IND. GAZTELU 15,IND. HERNIALDE 15,IND. IDIAZABAL 15,IND. LARRAUL 15,IND. LEABURU 15,IND. 1 OLABERRIA 15,IND. 2 OLABERRIA 15,IND. ORDIZIA 15,IND. ZALDIBIA 15,IND. ARRIGORRIAGA 15,IND. BARRIKA 15,IND. BASAURI 15,IND. OROZKO 15,IND. ETXEBARRI 15,IND. 1 GALDAKAO 15,IND. 2 GALDAKAO 15,IND. GETXO 15,IND. GORLIZ 15,IND. LEIOA 15,IND. ORTUELLA 15,IND. PORTUGALETE 15,IND. 1 SANTURTZI 15,IND. 2 SANTURTZI 15,IND. SESTAO 15,IND. PLENTZIA 15,IND. TRAPAGA 15,IND. ZARATAMO 15,IND. ABADIÑO 15,IND. AMOREBIETA 15,IND. ARTEA 15,IND. ERMUA 15,IND. GARAI 15,IND. UBIDE 15,IND. GORDEXOLA 15,IND. SOPUERTA 15,IND. AMOROTO 15,IND. BAKIO 15,IND. 1 BERMEO 15,IND. 2 BERMEO 15,IND. GATIKA 15,IND. GIZABURUAGA 15,IND. IBARRANGELU 15,IND. ISPASTER 15,IND. MURUETA 15,IND. SUKARRIETA 15,IND. ZALLA 15,IND. BUSTURIA 15,IND. BALIARRAIN 15
Bizkaia,ETXEBARRIA,,30,4,613,533,10,523,9,514,80,308,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,EZKIO-ITSASO,,35,3,492,333,12,321,28,293,159,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,FORUA,,906,4,789,663,5,658,5,653,126,406,,,,,8,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,FRUIZ,,35,4,421,320,4,316,5,311,101,172,,,,,5,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GABIRIA,,38,3,392,266,12,254,36,218,126,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GAINTZA,,37,3,99,71,,71,,71,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GALDAKAO,,36,3,24193,14786,236,14550,264,14286,9407,5023,745,,,,1518,,,,,,,,,2662,,,1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GALDAMES,,37,2,684,537,33,504,13,491,147,281,1,,,,6,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GAMIZ-FIKA,,38,4,1119,808,19,789,17,772,311,404,,,,,8,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GARAI,,39,3,245,217,2,215,15,200,28,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,
Bizkaia,GATIKA,,40,4,1299,947,21,926,10,916,352,408,7,,,,16,,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,,,,,,,,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,701,556,9,547,20,527,145,352,,,,,3,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GAZTELU,,907,3,125,103,5,98,5,93,22,,0,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GERNIKA-LUMO,,46,4,12857,8784,175,8609,236,8373,4073,4950,175,,,,357,,,,,,,,,2891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GETARIA,,39,4,2112,1660,22,1638,41,1597,452,640,3,,,,21,,,,,,,,,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GETXO,,44,4,63549,40331,365,39966,822,39144,23218,13625,7432,,,,3044,,,331,2362,,,,,5760,,,,,,,,,,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GIZABURUAGA,,47,4,162,116,,116,8,108,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,
Bizkaia,GORDEXOLA,,42,2,1393,1094,34,1060,17,1043,299,538,44,,,,16,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,
Bizkaia,GORLIZ,,43,4,4405,2890,49,2841,55,2786,1515,1115,79,,,,52,,,,,,,,,620,,,,,,,,,,,,,,,167,,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GÜEÑES,,45,2,5154,3799,136,3663,126,3537,1355,1725,113,,,,460,,,,,,,,,1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,HARANA/VALLE DE ARANA,,56,2,222,155,1,154,1,153,67,105,10,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,HERNANI,,40,1,15286,9301,136,9165,202,8963,5985,2071,285,,,,1077,,,,,,,,,4182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,HERNIALDE,,41,3,266,145,2,143,15,128,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,HONDARRIBIA,,36,2,13224,8259,124,8135,321,7814,4965,4267,427,,,,810,,,,,,,,,867,,,,,,,,,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IBARRA,,42,3,3275,2116,29,2087,69,2018,1159,882,42,,,,153,,,,,,,,,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IBARRANGELU,,48,4,559,450,9,441,5,436,109,108,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,,,,,,
Gipuzkoa,IDIAZABAL,,43,3,1758,1295,8,1287,17,1270,463,,12,,,,11,,,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IGORRE,,94,3,3237,2303,40,2263,40,2223,934,1013,28,,,,55,,,,,,,,,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IKAZTEGIETA,,44,3,367,264,12,252,9,243,103,110,1,,,,2,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IRUN,,45,2,46955,28397,258,28139,363,27776,18558,5133,2197,,,,9405,,,239,1042,,,,,3491,,,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IRURA,,46,3,1174,804,9,795,39,756,370,419,,,,,22,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,IRURAIZ-GAUNA,,27,2,415,261,6,255,12,243,154,116,33,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2326,1558,44,1514,23,1491,768,248,235,,,,510,,,,,,,,,221,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ISPASTER,,49,4,553,445,10,435,15,420,108,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,
Gipuzkoa,ITSASONDO,,47,3,484,298,2,296,6,290,186,81,,,,,11,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IURRETA,,910,3,3000,1931,33,1898,27,1871,1069,825,128,,,,258,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IZURTZA,,50,3,208,163,13,150,8,142,45,55,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2382,1903,25,1878,15,1863,479,821,11,,,,20,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,KORTEZUBI,,907,4,359,307,2,305,2,303,52,172,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,KRIPAN,,19,2,145,113,3,110,5,105,32,74,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,KUARTANGO,,20,2,322,246,6,240,7,233,76,146,25,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LABASTIDA/BASTIDA,,28,2,1100,803,15,788,20,768,297,310,268,,,,52,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAGRÁN,,30,2,156,123,9,114,3,111,33,73,39,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAGUARDIA,,31,2,1211,978,30,948,22,926,233,225,375,,,,38,,,,78,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LANCIEGO/LANTZIEGO,,32,2,529,340,31,309,12,297,189,189,63,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LANESTOSA,,51,2,220,180,1,179,3,176,40,75,0,,,,16,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LANTARÓN,,902,2,760,460,11,449,9,440,300,238,83,,,,33,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAPUEBLA DE LABARCA,,33,2,657,575,10,565,7,558,82,211,47,,,,24,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LARRABETZU,,52,4,1575,1235,31,1204,33,1171,340,492,4,,,,15,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LARRAUL,,48,3,174,91,2,89,8,81,83,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LASARTE-ORIA,,902,1,14215,9540,110,9430,140,9290,4675,1428,477,,,,3540,,,,,,,,,2365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAUDIO/LLODIO,,36,3,15104,9375,142,9233,218,9015,5729,2443,579,,,,1102,,,,,,,,,2902,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LAUKIZ,,53,4,885,604,6,598,24,574,281,310,52,,,,19,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LAZKAO,,49,3,4110,2762,43,2719,82,2637,1348,1285,,,,,176,,,,,,,,,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEABURU,,50,3,270,211,,211,8,203,59,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEGAZPI,,51,3,6946,4888,56,4832,64,4768,2058,1905,105,,,,643,,,,,,,,,1711,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEGORRETA,,52,3,1100,790,8,782,44,738,310,351,,,,,20,,,,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LEGUTIO,,58,2,1319,779,23,756,38,718,540,308,29,,,,63,,,,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,192,121,8,113,32,81,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEIOA,,54,4,24055,14572,195,14377,305,14072,9483,5202,1377,,,72,1862,,,,,,,217,,2280,,,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEKEITIO,,57,4,5794,4130,67,4063,81,3982,1664,2021,20,,,,36,,,,,,,,,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEMOA,,55,3,2690,1932,44,1888,45,1843,758,754,31,,,,112,,,,,,,,,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEMOIZ,,56,4,970,676,21,655,25,630,294,418,4,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LEZA,,34,2,169,136,4,132,3,129,33,66,5,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEZAMA,,81,4,1908,1387,21,1366,40,1326,521,698,29,,,,40,,,,,,,,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
