TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,EA,EB-B,CDS,PST,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,PORE,EK-PCPE,LV
Gipuzkoa,ORENDAIN,,905,3,154,103,1,102,,102,51,9,0,0,43,0,50,0,0,0,0,0,0,0,0,0,0,0,
Gipuzkoa,OREXA,,60,3,70,63,,63,,63,7,13,0,0,48,0,2,0,0,0,0,0,0,0,0,0,0,0,
Gipuzkoa,ORIO,,61,4,3228,2148,7,2141,7,2134,1080,416,228,63,580,262,549,8,8,1,2,9,2,2,1,1,1,1,
Gipuzkoa,ORMAIZTEGI,,62,3,955,784,4,780,2,778,171,263,21,11,201,108,167,1,1,1,0,2,1,1,0,0,0,0,
Bizkaia,OROZKO,,75,3,1630,1124,16,1108,5,1103,506,575,44,83,203,37,143,2,7,3,2,3,1,0,0,0,0,0,
Bizkaia,ORTUELLA,,83,2,6919,4485,51,4434,19,4415,2434,735,1405,128,673,391,333,369,72,23,4,32,3,35,196,2,7,7,
Bizkaia,OTXANDIO,,72,3,934,757,5,752,,752,177,333,12,26,240,74,58,0,9,0,0,0,0,0,0,0,0,0,
Álava,OYÓN-OION,,43,2,1759,1214,16,1198,3,1195,545,221,360,284,108,72,26,39,60,7,0,3,0,8,2,1,0,0,4
Gipuzkoa,OÑATI,,59,4,8428,5945,33,5912,21,5891,2483,2160,372,281,1454,522,949,36,63,11,1,24,2,8,4,0,1,3,
Gipuzkoa,PASAIA,,64,2,15121,9091,119,8972,61,8911,6030,900,2167,428,2497,936,1393,194,177,30,9,72,9,32,38,3,9,17,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,213,155,,155,1,154,58,58,23,27,16,8,6,2,12,0,0,0,0,2,0,0,0,0,0
Bizkaia,PLENTZIA,,77,4,2215,1583,22,1561,5,1556,632,740,71,90,257,124,216,10,21,0,1,10,0,13,1,0,1,1,
Bizkaia,PORTUGALETE,,78,2,44741,29255,261,28994,155,28839,15486,4902,9211,2612,3364,2736,1333,1884,1568,131,27,386,35,220,332,16,42,40,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,343,248,,248,3,245,95,76,47,45,7,18,3,4,38,0,0,0,1,2,1,0,1,0,2
Álava,SAMANIEGO,,52,2,250,171,1,170,,170,79,50,67,13,21,5,5,3,0,0,2,0,0,2,1,0,0,0,1
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,661,307,2,305,5,300,354,124,13,26,45,22,26,4,18,1,0,7,1,5,0,1,0,4,3
Bizkaia,SANTURTZI,,82,2,39654,25656,180,25476,157,25319,13998,4765,7560,1840,4067,2042,1354,1694,1138,120,21,310,21,171,126,17,32,41,
Gipuzkoa,SEGURA,,70,3,1070,846,,846,3,843,224,189,2,6,269,49,323,0,0,0,1,2,0,1,1,0,0,0,
Bizkaia,SESTAO,,84,2,29224,18062,251,17811,121,17690,11162,2557,6357,1426,2208,1302,829,1091,1022,95,7,339,6,97,309,15,15,15,
Bizkaia,SONDIKA,,904,4,3219,2286,29,2257,17,2240,933,1129,244,104,310,108,230,17,50,9,0,23,2,6,1,3,4,0,
Bizkaia,SOPELA,,85,4,5481,3675,10,3665,23,3642,1806,1203,468,125,931,387,301,69,68,10,1,27,7,27,11,1,2,4,
Bizkaia,SOPUERTA,,86,2,1755,1327,6,1321,7,1314,428,407,187,93,136,62,358,39,10,1,1,6,0,4,1,0,0,9,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3967,3004,22,2982,12,2970,963,855,564,161,691,247,316,24,81,4,0,13,1,9,2,1,1,0,
Bizkaia,SUKARRIETA,,76,4,236,185,4,181,1,180,51,76,3,6,27,6,58,0,0,1,0,2,0,0,0,0,0,1,
Gipuzkoa,TOLOSA,,71,3,14650,9421,108,9313,49,9264,5229,1630,1016,721,2237,1103,2158,116,138,13,3,53,3,28,27,4,2,12,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,445,331,4,327,1,326,114,129,39,38,32,10,63,3,9,0,0,2,0,0,0,1,0,0,
Bizkaia,UBIDE,,88,3,143,128,1,127,,127,15,38,0,16,61,9,3,0,0,0,0,0,0,0,0,0,0,0,
Bizkaia,UGAO-MIRABALLES,,65,3,3240,2266,27,2239,13,2226,974,730,413,125,522,101,225,32,34,7,0,16,2,11,5,0,2,1,
Bizkaia,URDULIZ,,89,4,1882,1404,4,1400,3,1397,478,616,148,52,325,56,148,20,18,1,0,5,0,7,1,0,0,0,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3363,2392,32,2360,8,2352,971,871,235,261,454,142,254,27,54,4,1,14,7,19,3,0,3,3,
Álava,URKABUSTAIZ,,54,2,711,496,2,494,5,489,215,150,55,45,114,42,32,13,19,1,3,2,1,7,0,3,0,1,1
Gipuzkoa,URNIETA,,72,1,3197,2069,11,2058,9,2049,1128,461,523,82,537,111,217,21,28,9,0,15,1,7,30,2,3,2,
Gipuzkoa,URRETXU,,77,3,4909,3706,21,3685,16,3669,1203,433,867,127,614,336,1015,86,73,4,3,29,3,6,66,1,5,1,
Gipuzkoa,USURBIL,,73,1,4170,2843,21,2822,13,2809,1327,373,488,88,946,141,528,63,32,6,0,7,0,4,3,125,3,2,
Álava,VALDEGOVÍA/GAUBEA,,55,2,788,520,8,512,8,504,268,146,106,84,56,26,22,2,38,2,2,5,1,11,1,0,1,0,1
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10223,7097,79,7018,38,6980,3126,1707,1969,324,1203,575,327,422,150,28,5,74,5,30,143,6,10,2,
Gipuzkoa,VILLABONA,,75,3,3917,2718,25,2693,12,2681,1199,342,408,89,826,428,519,11,37,1,1,8,1,4,4,1,0,1,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,291,236,,236,1,235,55,106,8,37,32,1,43,1,6,0,0,0,0,1,0,0,0,0,0
Álava,VITORIA-GASTEIZ,,59,1,154486,101557,857,100819,822,99997,52929,13358,28869,14589,10337,9641,7791,3546,7576,470,90,785,83,1446,336,66,114,134,766
Álava,YÉCORA/IEKORA,,60,2,214,165,2,163,2,161,49,51,31,55,5,4,1,0,9,0,1,2,0,2,0,0,0,0,0
Bizkaia,ZALDIBAR,,95,3,2458,1618,9,1609,8,1601,840,437,351,135,286,92,189,41,36,3,1,10,3,11,1,2,1,2,
Gipuzkoa,ZALDIBIA,,78,3,1324,940,,940,4,936,384,67,61,13,476,103,194,7,1,0,0,4,0,3,3,0,3,1,
Álava,ZALDUONDO,,61,2,112,80,2,78,2,76,32,30,8,5,17,6,2,2,2,2,0,0,0,1,0,0,1,0,0
Bizkaia,ZALLA,,96,2,5760,4030,71,3959,40,3919,1730,1721,510,180,600,231,497,61,49,10,0,30,5,18,1,4,1,1,
Álava,ZAMBRANA,,62,2,302,224,7,217,2,215,78,66,34,47,8,27,10,9,8,1,0,0,0,3,0,0,0,1,1
Bizkaia,ZAMUDIO,,905,4,2683,1845,6,1839,6,1833,838,862,238,58,410,78,108,15,31,1,0,14,1,12,1,2,0,2,
Bizkaia,ZARATAMO,,97,3,1267,975,5,970,4,966,292,358,155,21,216,26,152,15,5,0,2,4,2,5,3,0,0,2,
Gipuzkoa,ZARAUTZ,,79,4,12622,8901,15,8886,52,8834,3721,1493,1173,599,1613,1071,2543,92,120,16,2,34,8,21,42,0,5,2,
Bizkaia,ZEANURI,,24,3,1049,894,6,888,3,885,155,331,4,32,198,13,301,2,2,0,0,1,0,1,0,0,0,0,
Bizkaia,ZEBERIO,,25,3,844,665,4,661,2,659,179,409,9,5,161,17,50,2,3,0,0,2,0,1,0,0,0,0,
Gipuzkoa,ZEGAMA,,25,3,1195,808,4,804,,804,387,67,22,17,297,34,357,1,3,0,0,0,1,3,1,1,0,0,
Gipuzkoa,ZERAIN,,26,3,195,116,,116,,116,79,28,0,0,47,2,39,0,0,0,0,0,0,0,0,0,0,0,
Gipuzkoa,ZESTOA,,27,4,2779,1969,6,1963,10,1953,810,495,124,33,654,79,534,15,9,0,0,7,1,2,0,0,0,0,
Álava,ZIGOITIA,,18,2,676,420,10,410,2,408,256,122,28,23,96,42,67,7,15,2,2,1,1,2,0,0,0,0,0
Gipuzkoa,ZIZURKIL,,28,3,2004,1416,17,1399,18,1381,588,225,296,36,398,98,284,5,17,1,0,5,0,8,5,1,1,1,
Álava,ZUIA,,63,2,1047,746,12,730,10,720,301,307,38,106,110,35,79,4,17,2,3,2,0,9,0,0,0,1,7
Gipuzkoa,ZUMAIA,,81,4,6000,4169,28,4141,17,4124,1831,1136,821,157,858,348,666,33,63,6,0,12,2,10,10,2,0,0,
Gipuzkoa,ZUMARRAGA,,80,3,9028,6309,36,6273,39,6234,2719,782,1845,281,771,653,1338,238,136,21,0,35,2,12,71,3,7,39,
