TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EB-B,CDS,PST,FE-JONS,POSI,UPR,PCE-EPK,UCE,AP-PDP-PL
Álava,LANCIEGO/LANTZIEGO,,32,2,518,404,,404,2,402,114,171,104,9,11,1,25,1,,0,0,0,1,79
Bizkaia,LANESTOSA,,51,2,249,184,12,172,,172,65,59,52,6,8,0,7,0,1,0,1,0,0,38
Álava,LANTARÓN,,902,2,735,496,21,475,3,472,239,127,127,31,11,4,50,0,,0,3,0,3,116
Álava,LAPUEBLA DE LABARCA,,33,2,645,541,3,538,1,537,104,288,91,19,10,0,14,0,,0,0,4,0,111
Bizkaia,LARRABETZU,,52,4,1291,993,18,975,2,973,298,560,47,295,33,1,8,1,0,0,0,0,0,28
Gipuzkoa,LARRAUL,,48,3,142,79,,79,,79,63,28,0,42,6,0,0,0,,0,0,0,1,2
Gipuzkoa,LASARTE-ORIA,,902,1,13190,8847,81,8766,46,8720,4343,1585,3363,1653,704,85,528,60,,16,18,146,25,537
Álava,LAUDIO/LLODIO,,36,3,15696,10830,295,10535,66,10469,4866,2369,2714,2298,695,75,778,45,,9,37,64,23,1362
Bizkaia,LAUKIZ,,53,4,773,557,20,537,,537,216,348,12,75,30,2,23,0,0,0,1,0,2,44
Gipuzkoa,LAZKAO,,49,3,3923,2791,32,2759,13,2746,1132,882,608,792,225,27,64,4,,3,4,25,2,110
Gipuzkoa,LEABURU,,50,3,509,297,1,296,3,293,212,40,14,201,28,0,1,1,,0,0,1,0,7
Gipuzkoa,LEGAZPI,,51,3,8182,5739,63,5676,25,5651,2443,1971,1282,1176,593,48,204,17,,2,2,72,8,276
Gipuzkoa,LEGORRETA,,52,3,1240,931,4,927,2,925,309,312,154,226,139,1,24,6,,0,0,10,0,53
Álava,LEGUTIO,,58,2,1041,719,11,708,2,706,322,270,167,153,36,0,22,7,,2,0,3,2,44
Gipuzkoa,LEINTZ-GATZAGA,,68,4,169,129,,129,,129,40,73,2,48,2,0,2,0,,0,1,0,0,1
Bizkaia,LEIOA,,54,4,15903,10824,205,10619,53,10566,5079,3292,2776,1647,1088,188,549,35,9,11,14,65,15,877
Bizkaia,LEKEITIO,,57,4,5808,4206,132,4074,17,4057,1602,1996,150,1399,327,2,49,1,1,0,1,3,3,125
Bizkaia,LEMOA,,55,3,2304,1833,82,1751,16,1735,471,943,203,372,72,11,18,2,0,1,0,4,2,107
Bizkaia,LEMOIZ,,56,4,712,477,1,476,,476,235,259,18,127,55,1,4,0,1,0,0,0,1,10
Álava,LEZA,,34,2,164,132,3,129,,129,32,29,39,17,13,3,5,1,,0,0,0,0,22
Bizkaia,LEZAMA,,81,4,1432,1059,10,1049,2,1047,373,634,61,216,40,31,10,1,2,2,0,2,0,48
Gipuzkoa,LEZO,,53,2,4051,2706,26,2680,13,2667,1345,654,626,944,225,35,55,12,,3,6,17,2,88
Gipuzkoa,LIZARTZA,,54,3,597,469,2,467,,467,128,176,5,263,16,0,0,0,,0,0,0,0,7
Bizkaia,LOIU,,903,4,1452,1019,5,1014,9,1005,433,633,28,123,64,0,22,1,0,1,1,2,1,129
Bizkaia,MALLABIA,,58,3,871,546,11,535,8,527,325,201,88,161,32,2,9,0,1,0,0,3,0,30
Bizkaia,MARKINA-XEMEIN,,60,4,4011,2424,37,2387,9,2378,1587,1270,129,690,111,10,42,2,0,3,1,8,2,110
Bizkaia,MARURI-JATABE,,61,4,397,238,4,234,,234,159,153,7,37,20,1,2,0,0,0,0,1,0,13
Bizkaia,MAÑARIA,,59,3,438,306,2,304,,304,132,180,13,84,1,0,4,0,0,1,0,1,0,20
Gipuzkoa,MENDARO,,901,4,1303,867,5,862,3,859,436,429,171,139,69,0,7,2,,1,3,9,0,29
Bizkaia,MENDATA,,62,4,332,223,,223,2,221,109,155,2,44,8,0,2,0,0,1,0,0,1,6
Bizkaia,MENDEXA,,63,4,291,219,,219,1,218,72,93,2,95,12,2,0,0,0,0,0,0,2,12
Bizkaia,MEÑAKA,,64,4,357,244,1,243,,243,113,158,2,48,20,0,0,0,0,0,0,0,0,15
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,279,229,1,228,1,227,50,67,86,5,8,0,8,2,,0,0,0,1,50
Bizkaia,MORGA,,66,4,317,230,2,228,,228,87,167,0,34,11,0,1,0,0,0,0,0,0,15
Bizkaia,MUNDAKA,,68,4,1246,992,26,966,6,960,254,575,29,250,62,0,8,1,0,2,0,0,0,33
Bizkaia,MUNGIA,,69,4,8256,5597,73,5524,11,5513,2659,2993,620,967,407,16,95,13,1,3,2,14,9,371
Álava,MUNICIPIO CERA ARABA,,999,99,926,196,1,195,,195,730,42,52,10,6,7,9,2,,1,0,4,1,61
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,4637,1109,12,1097,2,1095,3528,313,305,85,29,71,59,6,7,2,5,40,4,169
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,3946,844,4,840,2,838,3102,270,235,61,34,41,43,8,,3,8,10,5,120
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,442,325,1,324,1,323,117,203,3,103,9,0,0,0,0,0,0,0,0,5
Bizkaia,MUSKIZ,,71,2,4811,3408,29,3379,3,3376,1403,1115,886,565,277,175,91,8,6,0,5,54,6,188
Gipuzkoa,MUTILOA,,57,3,173,81,1,80,,80,92,33,0,33,9,0,0,0,,0,0,0,0,5
Gipuzkoa,MUTRIKU,,56,4,3512,2493,20,2473,5,2468,1019,1284,143,703,120,1,25,3,,1,1,1,1,185
Bizkaia,MUXIKA,,67,4,1306,849,12,837,10,827,457,458,15,289,29,2,9,2,0,0,1,3,3,16
Álava,NAVARIDAS,,41,2,186,139,4,135,,135,47,39,15,1,4,1,14,0,,0,1,0,0,60
Gipuzkoa,OIARTZUN,,63,2,5911,4127,25,4102,11,4091,1784,1470,353,1764,278,8,56,7,,3,2,16,4,130
Álava,OKONDO,,42,3,605,444,14,430,3,427,161,212,12,87,11,0,7,1,,1,0,0,0,96
Gipuzkoa,OLABERRIA,,58,3,1076,722,1,721,4,717,354,184,181,152,59,2,31,5,,2,2,5,0,94
Bizkaia,ONDARROA,,73,4,8526,5457,96,5361,23,5338,3069,2091,294,2091,388,8,41,5,4,1,4,5,4,402
Gipuzkoa,ORDIZIA,,76,3,7540,5243,46,5197,20,5177,2297,1397,958,1325,727,49,164,2,,4,5,102,4,440
Gipuzkoa,OREXA,,60,3,76,64,,64,,64,12,15,0,49,0,0,0,0,,0,0,0,0,0
Gipuzkoa,ORIO,,61,4,3153,2241,22,2219,7,2212,912,856,285,610,311,5,25,2,,1,2,7,3,105
Gipuzkoa,ORMAIZTEGI,,62,3,969,758,2,756,5,751,211,365,36,191,138,4,5,0,,0,1,1,0,10
Bizkaia,OROZKO,,75,3,1671,1082,18,1064,9,1055,589,595,63,202,60,0,17,1,0,0,2,0,0,115
Bizkaia,ORTUELLA,,83,2,6783,4831,51,4780,25,4755,1952,889,1774,814,366,194,129,13,9,3,5,357,18,184
Bizkaia,OTXANDIO,,72,3,989,731,1,730,1,729,258,324,43,253,63,2,7,1,0,0,0,0,0,36
Álava,OYÓN-OION,,43,2,1856,1416,25,1391,6,1385,440,267,469,114,79,12,92,2,,0,2,2,4,342
Gipuzkoa,OÑATI,,59,4,8495,5852,35,5817,25,5792,2643,2517,504,1636,573,7,106,17,,6,3,5,6,412
Gipuzkoa,PASAIA,,64,2,15594,9576,105,9471,30,9441,6018,2140,2535,2710,1069,72,301,60,,7,14,76,19,438
Álava,PEÑACERRADA-URIZAHARRA,,44,2,198,150,1,149,,149,48,42,27,11,6,0,26,0,,3,3,0,3,28
Bizkaia,PLENTZIA,,77,4,2243,1650,55,1595,9,1586,593,887,93,299,157,4,45,1,1,3,3,0,1,92
Bizkaia,PORTUGALETE,,78,2,44116,30245,466,29779,139,29640,13871,5056,11292,3764,2793,828,1855,109,16,38,36,651,89,3113
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,359,260,11,249,1,248,99,69,65,4,14,2,34,0,,0,2,0,2,56
Álava,SAMANIEGO,,52,2,223,180,,180,1,179,43,50,71,21,9,2,2,2,,0,0,2,2,18
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,665,391,15,376,4,372,274,104,56,70,48,2,26,1,,3,1,1,1,59
Bizkaia,SANTURTZI,,82,2,39460,26565,611,25954,94,25860,12895,4839,9466,4515,2086,849,1324,148,23,52,42,354,88,2074
Gipuzkoa,SEGURA,,70,3,1070,757,6,751,,751,313,380,15,255,61,0,7,0,,0,0,1,2,30
Bizkaia,SESTAO,,84,2,29985,20087,225,19862,85,19777,9898,3019,8356,2519,1614,568,1036,127,41,23,34,627,62,1751
Bizkaia,SONDIKA,,904,4,3115,2270,28,2242,8,2234,845,1189,331,344,148,16,95,4,1,1,2,3,3,97
Bizkaia,SOPELA,,85,4,4764,3278,51,3227,10,3217,1486,1255,502,871,327,22,106,12,0,4,3,14,3,98
Bizkaia,SOPUERTA,,86,2,1797,1212,12,1200,3,1197,585,497,248,139,92,57,39,7,0,1,0,2,1,114
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4222,3097,21,3076,12,3064,1125,1015,613,755,293,16,59,5,,3,4,7,1,293
Bizkaia,SUKARRIETA,,76,4,228,156,4,152,,152,72,99,2,27,14,0,2,0,0,0,0,0,0,8
Gipuzkoa,TOLOSA,,71,3,14913,8810,55,8755,52,8703,6103,2844,1239,2102,1168,85,283,26,,6,8,45,11,886
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,453,336,8,328,1,327,117,138,55,47,22,0,12,1,0,0,0,2,1,49
Bizkaia,UBIDE,,88,3,135,112,,112,,112,23,33,2,59,4,0,0,0,0,0,0,0,0,14
Bizkaia,UGAO-MIRABALLES,,65,3,3199,2241,48,2193,5,2188,958,781,495,521,134,20,40,12,0,3,2,17,5,158
Bizkaia,URDULIZ,,89,4,1839,1315,19,1296,5,1291,524,610,183,303,83,5,24,4,1,1,1,7,1,68
Bizkaia,URDUÑA/ORDUÑA,,74,3,3469,2403,101,2302,7,2295,1066,939,351,456,137,5,93,5,1,2,4,7,7,288
Álava,URKABUSTAIZ,,54,2,718,477,9,468,4,464,241,148,86,99,30,1,21,0,,0,2,2,0,75
Gipuzkoa,URNIETA,,72,1,3214,2138,13,2125,9,2116,1076,708,603,486,95,7,61,9,,0,2,38,5,102
Gipuzkoa,URRETXU,,77,3,4923,3615,22,3593,19,3574,1308,1194,956,606,366,48,123,7,,13,2,92,4,163
Gipuzkoa,USURBIL,,73,1,4169,2856,23,2833,8,2825,1313,784,579,1026,182,9,65,7,,3,9,36,2,123
Álava,VALDEGOVÍA/GAUBEA,,55,2,832,601,18,583,11,572,231,197,104,46,36,2,40,2,,2,1,1,2,139
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10117,7168,70,7098,31,7067,2949,1732,2443,1236,696,134,209,20,7,7,7,284,10,282
Gipuzkoa,VILLABONA,,75,3,3851,2567,36,2531,8,2523,1284,769,476,772,315,10,42,4,,1,1,9,3,121
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,293,259,3,256,1,255,34,154,14,35,1,0,3,0,,0,0,0,0,48
Álava,VITORIA-GASTEIZ,,59,1,144423,100914,1682,99237,749,98488,43509,14675,36837,10669,8727,935,9715,400,,125,105,634,236,15421
Álava,YÉCORA/IEKORA,,60,2,222,185,3,182,3,179,37,62,33,6,2,1,9,2,,0,0,0,1,63
Bizkaia,ZALDIBAR,,95,3,2398,1555,26,1529,7,1522,843,528,414,280,88,20,55,11,0,3,2,2,1,118
Gipuzkoa,ZALDIBIA,,78,3,1366,902,2,900,1,899,464,175,87,467,116,1,13,0,,1,2,7,0,30
Álava,ZALDUONDO,,61,2,111,94,2,92,4,88,17,35,15,15,14,0,4,0,,0,0,1,0,4
Bizkaia,ZALLA,,96,2,5396,3947,90,3857,12,3845,1449,1854,687,605,263,45,89,23,5,7,2,15,5,245
Álava,ZAMBRANA,,62,2,304,240,6,234,,234,64,98,38,11,16,2,14,0,,0,1,0,0,54
Bizkaia,ZAMUDIO,,905,4,2495,1805,35,1770,15,1755,690,828,288,383,103,7,69,9,0,0,4,2,3,59
Bizkaia,ZARATAMO,,97,3,1309,943,9,934,4,930,366,352,247,193,47,6,35,4,0,5,1,7,1,32
Gipuzkoa,ZARAUTZ,,79,4,11704,8233,105,8128,37,8091,3471,3132,1253,1609,1076,18,146,33,,7,6,85,7,719
