TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,FE-JONS,LKI-LCR,PCE-EPK,UCD,PSOE(H),ORT,UFV,EMK-OIC,IRE,P. PROVERISTA,PCTE / ELAK,UN,ULE,PTE
Bizkaia,SANTURTZI,,82,2,37588,24481,812,23631,38,23631,13107,4072,6769,3808,1369,13,40,128,2390,3360,192,288,652,326,45,20,,159,0,
Gipuzkoa,SEGURA,,70,3,1021,738,9,729,,729,283,333,8,191,123,3,0,5,3,62,,0,0,0,0,,,1,0,
Bizkaia,SESTAO,,84,2,30390,19426,437,18958,31,18958,10964,3037,5899,2084,1138,32,30,136,2222,2778,113,135,484,597,34,15,,221,3,
Bizkaia,SOPELA,,85,4,3568,496,13,483,,483,3072,149,71,140,36,0,1,8,19,29,3,0,5,17,2,1,,2,0,
Bizkaia,SOPUERTA,,86,2,1649,1090,8,1080,2,1080,559,593,92,99,62,3,1,6,66,82,10,0,42,11,0,0,,13,0,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4370,3135,73,3055,7,3055,1235,911,454,597,293,167,5,36,70,476,,9,11,14,4,,,6,2,
Bizkaia,SUKARRIETA,,76,4,216,153,1,151,1,151,63,106,3,19,4,0,0,0,3,5,10,0,0,1,0,0,,0,0,
Gipuzkoa,TOLOSA,,71,3,14544,8777,146,8604,27,8604,5767,2453,1023,1558,1164,370,4,28,212,1365,,157,99,75,25,,,70,1,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,443,343,14,329,,329,100,141,12,18,8,1,1,2,7,89,0,0,44,5,0,0,,1,0,
Bizkaia,UBIDE,,88,3,139,109,,109,,109,30,33,0,48,1,2,0,0,0,0,1,0,24,0,0,0,,0,0,
Bizkaia,UGAO-MIRABALLES,,65,3,3093,2008,70,1934,4,1934,1085,584,278,510,215,7,5,7,80,137,9,7,34,6,4,3,,48,0,
Bizkaia,URDULIZ,,89,4,1829,1154,11,1142,1,1142,675,526,122,287,63,5,0,1,21,59,7,2,15,27,1,1,,5,0,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3550,2414,40,2368,6,2368,1136,909,125,429,104,31,1,6,37,434,50,4,149,8,4,5,,72,0,
Álava,URKABUSTAIZ,,54,2,665,354,17,336,1,336,311,84,34,62,7,12,,1,4,107,8,1,4,1,,0,0,6,,5
Gipuzkoa,URNIETA,,72,1,7977,5339,173,5158,8,5158,2638,922,1792,667,423,33,11,15,204,862,,65,32,101,6,,,21,4,
Gipuzkoa,URRETXU,,77,3,4735,3461,53,3400,8,3400,1274,971,778,346,460,31,2,7,356,375,,13,6,54,1,,,0,0,
Gipuzkoa,USURBIL,,73,1,3991,2630,74,2546,10,2546,1361,594,436,702,399,11,7,3,77,255,,12,22,19,4,,,4,1,
Álava,VALDEGOVÍA/GAUBEA,,55,2,950,604,16,588,,588,346,166,70,17,4,0,,1,4,219,3,2,91,3,,1,0,2,,5
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9696,5976,151,5819,6,5819,3720,1441,1675,537,681,8,6,18,682,445,27,31,113,71,8,10,,66,0,
Gipuzkoa,VILLABONA,,75,3,3314,2196,45,2146,5,2146,1118,634,234,439,296,39,2,2,23,234,,175,24,38,2,,,4,0,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,264,217,1,216,,216,47,123,10,6,2,16,,0,1,42,0,0,16,0,,0,0,0,,0
Álava,VITORIA-GASTEIZ,,59,1,123348,85614,2238,83013,363,83013,37734,17301,19193,7890,4750,424,,421,3060,20484,541,1022,5352,986,,146,2,853,,588
Álava,YÉCORA/IEKORA,,60,2,231,168,10,158,,158,63,14,13,3,1,3,,0,2,105,1,0,16,0,,0,0,0,,0
Bizkaia,ZALDIBAR,,95,3,2162,1309,25,1282,2,1282,853,452,230,193,83,2,6,10,40,185,20,12,30,9,2,3,,5,0,
Gipuzkoa,ZALDIBIA,,78,3,1377,821,43,777,1,777,556,121,37,298,138,23,1,18,23,104,,3,4,5,1,,,1,0,
Álava,ZALDUONDO,,61,2,121,100,,100,,100,21,4,12,45,6,2,,0,9,17,0,0,4,0,,0,0,0,,1
Bizkaia,ZALLA,,96,2,4686,3241,64,3170,7,3170,1445,1500,454,607,62,4,3,5,132,271,16,20,64,12,4,3,,11,2,
Álava,ZAMBRANA,,62,2,282,219,7,208,4,208,63,30,45,14,10,1,,0,3,88,1,0,15,0,,0,0,0,,1
Bizkaia,ZARATAMO,,97,3,1300,879,25,854,,854,421,318,95,194,46,1,0,7,50,82,16,3,5,20,7,6,,4,0,
Gipuzkoa,ZARAUTZ,,79,4,11732,7419,90,7318,11,7318,4313,2825,943,878,1125,106,5,98,214,959,,37,43,43,1,,,41,0,
Bizkaia,ZEANURI,,24,3,1160,756,6,749,1,749,404,400,9,248,12,3,0,0,7,22,0,0,30,2,0,0,,16,0,
Bizkaia,ZEBERIO,,25,3,1048,531,4,527,,527,517,256,6,103,114,1,0,1,6,29,1,0,3,3,1,0,,3,0,
Gipuzkoa,ZEGAMA,,25,3,1246,790,6,784,,784,456,298,15,198,173,10,0,0,7,75,,3,1,2,0,,,2,0,
Gipuzkoa,ZERAIN,,26,3,234,117,,117,,117,117,57,2,47,7,0,0,0,0,3,,0,0,1,0,,,0,0,
Gipuzkoa,ZESTOA,,27,4,2898,1847,33,1812,2,1812,1051,788,125,413,134,24,0,19,87,122,,10,7,81,1,,,1,0,
Álava,ZIGOITIA,,18,2,551,330,16,312,2,312,221,151,30,29,4,0,,0,6,63,0,0,24,1,,0,0,1,,3
Gipuzkoa,ZIZURKIL,,28,3,1853,1249,8,1239,2,1239,604,381,198,296,71,11,0,2,20,132,,89,6,26,2,,,5,0,
Álava,ZUIA,,63,2,1052,683,12,669,2,669,369,373,33,35,9,2,,0,2,148,0,2,59,1,,0,0,4,,1
Gipuzkoa,ZUMAIA,,81,4,5165,3797,73,3698,26,3698,1368,1415,719,565,302,126,5,7,66,352,,12,14,86,0,,,29,0,
Gipuzkoa,ZUMARRAGA,,80,3,8452,6065,108,5951,6,5951,2387,1326,1610,614,722,82,4,8,773,712,,25,13,50,3,,,7,2,
