TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EA,EB-B,PSE-EE/PSOE,CNPS
Álava,BERANTEVILLA,,14,2,344,234,1,233,6,227,110,93,35,10,56,5,17,11,0
Gipuzkoa,BERASTEGI,,22,3,765,417,1,416,2,414,348,112,7,108,0,169,10,8,0
Gipuzkoa,BERGARA,,74,4,12766,7823,31,7792,107,7685,4943,2245,436,2449,27,1294,435,796,3
Bizkaia,BERMEO,,17,4,14443,9151,71,9080,70,9010,5292,3539,284,1834,18,2463,221,648,3
Álava,BERNEDO,,16,2,500,252,,252,2,250,248,107,62,19,40,4,8,10,0
Bizkaia,BERRIATUA,,18,4,829,487,,487,3,484,342,281,8,123,0,51,8,13,0
Bizkaia,BERRIZ,,19,3,3383,2158,15,2143,25,2118,1225,972,142,400,12,149,147,292,4
Gipuzkoa,BERROBI,,23,3,487,237,,237,1,236,250,58,13,98,0,47,4,15,1
Gipuzkoa,BIDANIA-GOIATZ,,24,4,370,239,,239,2,237,131,72,0,69,0,95,0,1,0
Bizkaia,BILBAO,,20,1,309910,182819,945,181874,3033,178841,127091,60448,38260,19184,520,10596,18894,30658,281
Bizkaia,BUSTURIA,,21,4,1401,988,5,983,6,977,413,459,27,256,0,137,23,73,2
Álava,CAMPEZO/KANPEZU,,17,2,972,632,3,629,13,616,340,258,122,46,71,39,14,65,1
Gipuzkoa,DEBA,,29,4,4037,2555,20,2535,57,2478,1482,723,128,637,1,648,96,242,3
Bizkaia,DERIO,,901,4,3970,2543,30,2513,56,2457,1427,1022,219,302,4,188,173,547,2
Bizkaia,DIMA,,26,3,891,741,5,736,8,728,150,306,36,324,0,58,2,2,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147473,84515,411,84104,2450,81654,62958,14658,17407,14657,238,14038,6662,13906,88
Bizkaia,DURANGO,,27,3,18506,11822,47,11775,174,11601,6684,4825,1683,1869,31,843,881,1448,21
Bizkaia,EA,,28,4,708,537,1,536,1,535,171,283,11,149,0,84,3,5,0
Gipuzkoa,EIBAR,,30,4,26316,15160,53,15107,245,14862,11156,3677,1950,2662,31,1900,1153,3478,11
Bizkaia,ELANTXOBE,,31,4,448,361,2,359,2,357,87,195,3,110,0,37,6,6,0
Álava,ELBURGO/BURGELU,,21,2,178,101,,101,,101,77,36,14,7,28,5,6,5,0
Álava,ELCIEGO,,22,2,782,568,7,561,6,555,214,92,136,13,62,48,37,166,1
Gipuzkoa,ELDUAIN,,31,3,219,144,,144,3,141,75,27,1,72,0,40,0,0,1
Gipuzkoa,ELGETA,,33,4,826,528,,528,9,519,298,239,21,159,1,54,23,22,0
Gipuzkoa,ELGOIBAR,,32,4,9364,6153,22,6131,88,6043,3211,2328,530,1161,17,793,394,816,4
Bizkaia,ELORRIO,,32,3,6109,4060,38,4022,41,3981,2049,1562,329,939,15,298,248,583,7
Álava,ELVILLAR/BILAR,,23,2,307,207,,207,3,204,100,106,20,10,48,2,5,13,0
Bizkaia,ERANDIO,,902,4,19612,10729,49,10680,161,10519,8883,3895,1049,1570,40,687,1149,2101,28
Bizkaia,EREÑO,,33,4,232,163,1,162,3,159,69,95,6,39,0,16,2,1,0
Bizkaia,ERMUA,,34,3,14138,8071,45,8026,110,7916,6067,1325,1772,764,61,388,1190,2392,24
Gipuzkoa,ERRENTERIA,,67,2,34198,18175,86,18089,369,17720,16023,2404,1809,4669,61,2013,1902,4838,24
Gipuzkoa,ERREZIL,,66,4,544,305,,305,1,304,239,87,4,158,0,52,1,2,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,477,327,,327,3,324,150,111,58,21,81,10,16,27,0
Bizkaia,ERRIGOITI,,79,4,379,309,,309,2,307,70,153,7,78,0,66,2,1,0
Gipuzkoa,ESKORIATZA,,34,4,3166,1917,10,1907,22,1885,1249,409,100,491,0,490,83,311,1
Bizkaia,ETXEBARRI,,29,3,5099,2719,10,2709,26,2683,2380,803,311,244,11,230,349,730,5
Bizkaia,ETXEBARRIA,,30,4,635,386,3,383,6,377,249,161,3,174,0,30,6,3,0
Gipuzkoa,EZKIO-ITSASO,,35,3,440,288,1,287,1,286,152,51,0,146,0,84,1,4,0
Bizkaia,FORUA,,906,4,763,543,,543,1,542,220,237,27,168,0,70,6,34,0
Bizkaia,FRUIZ,,35,4,267,168,1,167,2,165,99,121,7,25,0,12,0,0,0
Gipuzkoa,GABIRIA,,38,3,361,259,,259,,259,102,45,6,54,0,154,0,0,0
Gipuzkoa,GAINTZA,,37,3,112,56,,56,1,55,56,12,2,24,0,17,0,0,0
Bizkaia,GALDAKAO,,36,3,23180,13810,69,13741,183,13558,9370,4985,1286,2398,35,1313,1365,2160,16
Bizkaia,GALDAMES,,37,2,702,517,3,514,3,511,185,286,25,65,0,68,22,45,0
Bizkaia,GAMIZ-FIKA,,38,4,793,549,2,547,5,542,244,353,5,117,0,52,9,5,1
Bizkaia,GARAI,,39,3,212,159,,159,5,154,53,99,6,35,0,13,1,0,0
Bizkaia,GATIKA,,40,4,796,575,4,571,8,563,221,259,36,108,0,141,3,16,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,632,492,6,486,8,478,140,301,17,91,0,56,6,7,0
Bizkaia,GERNIKA-LUMO,,46,4,12805,8820,66,8754,102,8652,3985,3758,653,1969,8,1176,331,750,7
Gipuzkoa,GETARIA,,39,4,1925,1431,13,1418,22,1396,494,617,38,378,0,311,19,33,0
Bizkaia,GETXO,,44,4,65047,41971,158,41813,914,40899,23076,15088,10839,4385,111,3437,2905,4091,43
Bizkaia,GIZABURUAGA,,47,4,117,87,,87,3,84,30,40,1,36,0,7,0,0,0
Bizkaia,GORDEXOLA,,42,2,1280,997,24,973,10,963,283,555,165,68,3,67,48,54,3
Bizkaia,GORLIZ,,43,4,2594,1610,23,1587,33,1554,984,803,136,231,1,207,94,80,2
Bizkaia,GÜEÑES,,45,2,4866,3810,30,3780,50,3730,1056,1841,212,525,4,539,166,438,5
Álava,HARANA/VALLE DE ARANA,,56,2,350,211,1,210,2,208,139,104,36,13,47,3,3,2,0
Gipuzkoa,HERNANI,,40,1,15212,8583,43,8540,200,8340,6629,1215,521,3301,13,1194,675,1411,10
Gipuzkoa,HERNIALDE,,41,3,225,96,,96,,96,129,29,7,34,0,17,5,4,0
Gipuzkoa,HONDARRIBIA,,36,2,11279,6129,26,6103,152,5951,5150,1620,696,1437,10,1278,316,582,12
Gipuzkoa,IBARRA,,42,3,3439,1986,11,1975,22,1953,1453,398,113,653,3,376,130,276,4
Bizkaia,IBARRANGELU,,48,4,479,364,3,361,3,358,115,238,6,73,0,36,0,5,0
Gipuzkoa,IDIAZABAL,,43,3,1623,1059,8,1051,16,1035,564,327,34,260,1,368,17,28,0
Bizkaia,IGORRE,,94,3,2984,2222,19,2203,17,2186,762,1175,97,467,4,304,43,94,2
Gipuzkoa,IKAZTEGIETA,,44,3,303,185,1,184,1,183,118,54,7,92,1,26,1,2,0
Gipuzkoa,IRUN,,45,2,44100,23501,77,23424,609,22815,20599,4347,4242,2969,120,2565,2596,5922,54
Gipuzkoa,IRURA,,46,3,560,322,,322,7,315,238,116,11,116,0,52,13,6,1
Álava,IRURAIZ-GAUNA,,27,2,353,191,2,189,3,186,162,52,42,26,45,9,11,1,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1293,831,3,828,22,806,462,173,178,33,157,22,60,183,0
Bizkaia,ISPASTER,,49,4,521,393,1,392,,392,128,268,19,61,0,35,5,4,0
Gipuzkoa,ITSASONDO,,47,3,536,353,1,352,3,349,183,90,15,157,0,60,13,14,0
Bizkaia,IURRETA,,910,3,3861,2435,15,2420,29,2391,1426,923,257,477,7,106,148,471,2
Bizkaia,IZURTZA,,50,3,228,163,2,161,,161,65,96,8,37,0,14,4,2,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2612,1405,5,1400,6,1394,1207,809,134,184,0,74,30,161,2
Bizkaia,KORTEZUBI,,907,4,321,268,4,264,1,263,53,174,6,57,0,19,2,5,0
Álava,KRIPAN,,19,2,174,116,,116,,116,58,87,15,3,0,4,4,3,0
Álava,KUARTANGO,,20,2,322,189,1,188,1,187,133,86,14,48,23,2,7,7,0
Álava,LABASTIDA/BASTIDA,,28,2,811,541,,541,4,537,270,107,116,102,82,10,41,78,1
Álava,LAGRÁN,,30,2,177,123,1,122,1,121,54,61,18,0,23,3,6,10,0
Álava,LAGUARDIA,,31,2,1170,809,9,800,5,795,361,256,278,32,69,47,22,89,2
Álava,LANCIEGO/LANTZIEGO,,32,2,535,360,2,358,1,357,175,159,62,16,46,0,4,70,0
Bizkaia,LANESTOSA,,51,2,257,189,2,187,3,184,68,112,21,16,1,0,4,30,0
Álava,LANTARÓN,,902,2,717,469,1,468,2,466,248,185,80,19,121,5,22,34,0
Álava,LAPUEBLA DE LABARCA,,33,2,674,541,3,538,3,535,133,305,107,8,31,24,16,42,2
Bizkaia,LARRABETZU,,52,4,1255,973,5,968,8,960,282,516,44,310,0,43,13,34,0
Gipuzkoa,LARRAUL,,48,3,116,56,,56,,56,60,21,0,25,0,9,1,0,0
Gipuzkoa,LASARTE-ORIA,,902,1,14599,8477,47,8430,169,8261,6122,1175,867,1590,36,948,850,2782,13
Álava,LAUDIO/LLODIO,,36,3,16750,10425,98,10327,163,10164,6325,2873,1392,1993,505,843,761,1776,21
Bizkaia,LAUKIZ,,53,4,795,565,2,563,9,554,230,319,82,47,0,90,8,8,0
Gipuzkoa,LAZKAO,,49,3,3962,2557,6,2551,51,2500,1405,721,136,784,2,322,179,355,1
Gipuzkoa,LEABURU,,50,3,468,286,3,283,2,281,182,57,15,177,0,19,3,10,0
Gipuzkoa,LEGAZPI,,51,3,7987,4914,38,4876,102,4774,3073,1217,322,948,9,1091,303,880,4
Gipuzkoa,LEGORRETA,,52,3,1199,801,4,797,20,777,398,303,62,223,0,70,22,97,0
Álava,LEGUTIO,,58,2,1048,621,2,619,8,611,427,217,29,120,32,129,34,50,0
Gipuzkoa,LEINTZ-GATZAGA,,68,4,202,138,,138,2,136,64,56,0,60,0,18,2,0,0
Bizkaia,LEIOA,,54,4,19788,11830,56,11774,258,11516,7958,4456,1395,1408,23,697,1557,1959,21
Bizkaia,LEKEITIO,,57,4,6262,4460,14,4446,53,4393,1802,1776,97,1408,4,945,83,79,1
Bizkaia,LEMOA,,55,3,2130,1786,21,1765,10,1755,344,976,96,275,3,285,47,72,1
Bizkaia,LEMOIZ,,56,4,684,463,6,457,11,446,221,276,19,108,0,26,6,11,0
Álava,LEZA,,34,2,174,109,1,108,1,107,65,31,15,8,6,25,2,20,0
Bizkaia,LEZAMA,,81,4,1634,1200,11,1189,7,1182,434,794,52,190,1,72,40,33,0
Gipuzkoa,LEZO,,53,2,4352,2395,19,2376,32,2344,1957,289,136,1035,4,368,163,346,3
Gipuzkoa,LIZARTZA,,54,3,580,449,3,446,4,442,131,60,14,257,0,110,1,0,0
Bizkaia,LOIU,,903,4,1509,1077,3,1074,17,1057,432,623,165,103,0,127,21,18,0
Bizkaia,MALLABIA,,58,3,915,637,2,635,3,632,278,235,19,273,0,26,17,62,0
Bizkaia,MARKINA-XEMEIN,,60,4,3919,2438,16,2422,21,2401,1481,1232,149,674,2,216,51,74,3
Bizkaia,MARURI-JATABE,,61,4,444,284,1,283,2,281,160,165,33,25,1,44,8,5,0
Bizkaia,MAÑARIA,,59,3,412,306,3,303,5,298,106,203,13,64,0,13,2,3,0
Gipuzkoa,MENDARO,,901,4,1166,741,5,736,7,729,425,332,27,175,0,103,21,70,1
Bizkaia,MENDATA,,62,4,293,240,,240,1,239,53,149,6,41,0,38,1,4,0
Bizkaia,MENDEXA,,63,4,305,235,2,233,,233,70,121,9,82,0,15,2,3,1
Bizkaia,MEÑAKA,,64,4,372,294,2,292,1,291,78,137,13,43,0,97,0,1,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,246,181,,181,,181,65,81,37,2,9,2,4,46,0
Bizkaia,MORGA,,66,4,287,210,,210,,210,77,161,9,22,0,18,0,0,0
Bizkaia,MUNDAKA,,68,4,1436,1173,14,1159,8,1151,263,641,35,250,0,189,19,17,0
Bizkaia,MUNGIA,,69,4,9890,6080,37,6043,71,5972,3810,3357,519,816,8,576,241,450,5
Álava,MUNICIPIO CERA ARABA,,999,99,1182,269,,269,1,268,913,56,64,14,20,28,16,66,4
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,7514,1629,11,1618,6,1612,5885,637,192,149,8,62,95,458,11
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,5661,1221,10,1211,3,1208,4440,285,175,149,3,161,88,334,13
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,373,273,3,270,4,266,100,172,2,74,0,18,0,0,0
Bizkaia,MURUETA,,908,4,168,122,,122,5,117,46,71,3,22,0,21,0,0,0
Bizkaia,MUSKIZ,,71,2,5236,3681,32,3649,59,3590,1555,1601,211,386,5,290,328,766,3
Gipuzkoa,MUTILOA,,57,3,149,86,1,85,1,84,63,24,6,27,0,24,2,1,0
Gipuzkoa,MUTRIKU,,56,4,3825,2698,39,2659,30,2629,1127,1271,165,868,4,211,32,77,1
Bizkaia,MUXIKA,,67,4,1226,974,4,970,2,968,252,468,24,349,0,117,8,2,0
Bizkaia,NABARNIZ,,909,4,218,180,1,179,3,176,38,77,0,84,0,14,1,0,0
Álava,NAVARIDAS,,41,2,186,134,5,129,,129,52,46,56,1,7,7,4,7,1
Gipuzkoa,OIARTZUN,,63,2,6886,4396,46,4350,68,4282,2490,843,192,2037,5,913,117,171,4
Álava,OKONDO,,42,3,629,545,4,541,4,537,84,205,45,80,9,183,3,12,0
Gipuzkoa,OLABERRIA,,58,3,952,539,,539,2,537,413,137,60,116,3,82,41,98,0
Bizkaia,ONDARROA,,73,4,8567,5665,53,5612,53,5559,2902,2228,388,2150,10,542,86,152,3
Gipuzkoa,ORDIZIA,,76,3,7549,4767,31,4736,125,4611,2782,1089,470,1253,5,704,427,659,4
Gipuzkoa,ORENDAIN,,905,3,140,94,,94,3,91,46,10,0,53,0,28,0,0,0
Gipuzkoa,OREXA,,60,3,71,59,,59,,59,12,5,0,52,0,1,0,0,1
Gipuzkoa,ORIO,,61,4,3397,1995,9,1986,22,1964,1402,757,105,534,3,357,48,159,1
Gipuzkoa,ORMAIZTEGI,,62,3,950,706,24,682,11,671,244,285,15,186,1,165,10,8,1
Bizkaia,OROZKO,,75,3,1642,1047,13,1034,13,1021,595,613,126,177,1,67,11,26,0
Bizkaia,ORTUELLA,,83,2,7086,4344,25,4319,54,4265,2742,1149,300,472,5,275,768,1293,3
Bizkaia,OTXANDIO,,72,3,920,667,5,662,2,660,253,329,44,198,0,52,17,20,0
Álava,OYÓN-OION,,43,2,1873,1099,4,1095,4,1091,774,243,318,109,119,42,86,174,0
Gipuzkoa,OÑATI,,59,4,8596,5418,24,5394,54,5340,3178,2137,328,1485,8,892,149,338,3
Gipuzkoa,PASAIA,,64,2,15219,7776,47,7729,163,7566,7443,1223,678,2230,21,1238,725,1436,15
Álava,PEÑACERRADA-URIZAHARRA,,44,2,222,161,1,160,,160,61,87,20,13,24,0,3,12,1
Bizkaia,PLENTZIA,,77,4,2408,1655,15,1640,30,1610,753,874,132,251,2,199,58,94,0
Bizkaia,PORTUGALETE,,78,2,46277,27263,179,27084,494,26590,19014,6857,4171,2495,77,1292,4340,7314,44
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,352,236,,236,2,234,116,88,57,11,30,2,17,29,0
Álava,SAMANIEGO,,52,2,236,155,3,152,3,149,81,66,14,16,5,2,10,36,0
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,591,282,4,278,1,277,309,120,39,36,48,14,9,9,2
Bizkaia,SANTURTZI,,82,2,41088,23454,141,23313,310,23003,17634,6234,2984,3157,67,1099,3617,5797,48
Gipuzkoa,SEGURA,,70,3,1018,775,7,768,12,756,243,189,14,246,0,296,3,8,0
Bizkaia,SESTAO,,84,2,29555,16146,87,16059,250,15809,13409,3618,2091,1640,37,649,3068,4685,21
Bizkaia,SONDIKA,,904,4,2998,2155,25,2130,46,2084,843,1230,171,254,6,161,80,181,1
Bizkaia,SOPELA,,85,4,6905,4199,43,4156,77,4079,2706,1708,328,893,5,304,392,446,3
Bizkaia,SOPUERTA,,86,2,1830,1216,3,1213,19,1194,614,443,101,134,3,255,65,193,0
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3852,2449,24,2425,38,2387,1403,809,231,588,3,284,96,376,0
Bizkaia,SUKARRIETA,,76,4,260,201,1,200,1,199,59,109,15,31,0,36,3,5,0
Gipuzkoa,TOLOSA,,71,3,14949,8361,53,8308,184,8124,6588,1909,996,2116,18,1804,406,864,11
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,441,310,9,301,1,300,131,186,46,18,0,16,3,31,0
Bizkaia,UBIDE,,88,3,137,124,,124,1,123,13,48,13,53,0,5,4,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3348,2168,15,2153,17,2136,1180,878,177,501,4,160,106,307,3
Bizkaia,URDULIZ,,89,4,2166,1501,10,1491,22,1469,665,760,85,326,0,108,61,128,1
Bizkaia,URDUÑA/ORDUÑA,,74,3,3318,2257,47,2210,23,2187,1061,979,300,389,15,159,138,206,1
Álava,URKABUSTAIZ,,54,2,716,460,11,449,4,445,256,143,67,112,39,26,34,24,0
Gipuzkoa,URNIETA,,72,1,3699,2157,15,2142,60,2082,1542,739,126,492,4,198,135,386,2
Gipuzkoa,URRETXU,,77,3,5081,3269,32,3237,60,3177,1812,627,182,588,8,850,279,636,7
Gipuzkoa,USURBIL,,73,1,4321,2768,18,2750,39,2711,1553,551,143,1148,10,395,144,315,5
Álava,VALDEGOVÍA/GAUBEA,,55,2,795,542,5,537,7,530,253,233,65,41,127,12,15,37,0
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10834,6487,56,6431,107,6324,4347,2011,505,878,16,263,885,1764,2
Gipuzkoa,VILLABONA,,75,3,4257,2535,11,2524,60,2464,1722,475,163,885,2,508,146,284,1
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,295,243,,243,,243,52,114,37,42,27,13,6,4,0
Álava,VITORIA-GASTEIZ,,59,1,171162,102255,591,101664,1741,99923,68907,18203,16591,8889,22280,6394,10534,16811,221
Álava,YÉCORA/IEKORA,,60,2,209,159,2,157,,157,50,86,16,2,34,2,2,15,0
Bizkaia,ZALDIBAR,,95,3,2457,1410,12,1398,10,1388,1047,444,188,261,3,114,106,271,1
Gipuzkoa,ZALDIBIA,,78,3,1279,855,4,851,9,842,424,125,35,496,3,119,19,45,0
Álava,ZALDUONDO,,61,2,109,70,,70,1,69,39,25,3,17,4,4,5,10,1
Bizkaia,ZALLA,,96,2,5960,4331,72,4259,58,4201,1629,2420,277,365,12,332,219,575,1
Álava,ZAMBRANA,,62,2,290,209,1,208,1,207,81,110,17,2,49,2,17,10,0
Bizkaia,ZAMUDIO,,905,4,2566,1792,27,1765,28,1737,774,950,78,365,3,87,58,192,4
Bizkaia,ZARATAMO,,97,3,1298,903,4,899,11,888,395,327,32,208,2,149,55,113,2
Gipuzkoa,ZARAUTZ,,79,4,14467,8915,65,8850,214,8636,5552,2021,967,1753,28,2495,389,977,6
Bizkaia,ZEANURI,,24,3,982,745,2,743,4,739,237,373,42,118,0,197,6,3,0
Bizkaia,ZEBERIO,,25,3,808,596,1,595,2,593,212,386,10,159,0,21,7,9,1
Gipuzkoa,ZEGAMA,,25,3,1149,777,5,772,7,765,372,113,21,278,0,333,6,14,0
Gipuzkoa,ZERAIN,,26,3,186,116,,116,,116,70,38,0,44,1,31,0,2,0
Gipuzkoa,ZESTOA,,27,4,2759,1928,19,1909,20,1889,831,578,35,643,2,513,33,84,1
Álava,ZIGOITIA,,18,2,778,456,6,450,4,446,322,126,44,101,62,56,36,21,0
Gipuzkoa,ZIZURKIL,,28,3,2121,1244,7,1237,20,1217,877,272,77,400,1,192,72,203,0
Álava,ZUIA,,63,2,1140,802,8,794,10,784,338,325,136,111,84,61,27,40,0
Gipuzkoa,ZUMAIA,,81,4,6418,3922,16,3906,78,3828,2496,1350,223,902,6,583,162,601,1
Gipuzkoa,ZUMARRAGA,,80,3,8840,5443,32,5411,143,5268,3397,1039,377,722,19,1018,697,1394,2
