TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EA,EB-B,EKA,PH,POSI,PSE-EE/PSOE,PLAZANDREOK,EAJ-PNV / EA,PKD,FEI-FE 2000,ARALAR,FRENTE.ESPAÑOL,ATTKA/PACMA,EB-IU/ IND/ARALAR,IND. ABANTO-ZIER. 03,IND. 1 AÑANA 03,IND. 2 AÑANA 03,IND. 1 OKONDO 03,IND. 2 OKONDO 03,IND. 1 VALDEGOVIA 03,IND. 2 VALDEGOVIA 03,IND. ARMIÑON 03,IND. ARRAIA-MAEZ. 03,IND. ASPARRENA 03,IND. BARRUNDIA 03,IND. BERANTEVILLA 03,IND. 1 IRUÑA OKA 03,IND. 2 IRUÑA OKA 03,IND. LABASTIDA 03,IND. 1 LAGRAN 03,IND. 2 LAGRAN 03,IND. LAPUEBLA  03,IND. LEGUTIO 03,IND. PEÑACERRADA 03,IND. RIBERA ALTA 03,IND. RIBERA BAJA 03,IND. AGURAIN 03,IND. ALONSOTEGI 03,IND. ARRIGORRIAGA 03,IND. 1 ETXEBARRI 03,IND. 2 ETXEBARRI 03,IND. GORLIZ 03,IND. LAUKIZ 03,IND. ORDUÑA 03,IND. PLENTZIA 03,IND. SESTAO 03,IND. SOPELANA 03,IND. ABADIÑO 03,IND. AMOREBIETA 03,IND. ARANTZAZU 03,IND. AREATZA 03,IND. BEDIA 03,IND. DURANGO 03,IND. GARAI 03,IND. IGORRE 03,IND. IZURTZA 03,IND. OTXANDIO 03,IND. ZALDIBAR 03,IND. AMOROTO 03,IND. AULESTI 03,IND. BERRIATUA 03,IND. BUSTURIA 03,IND. ERRIGOITI 03,IND. GATIKA 03,IND. GAUT.ARTEAGA 03,IND. GIZABURUAGA 03,IND. MUNDAKA 03,IND. MUNITIBAR 03,IND. MURUETA 03,IND. 1 BALMASEDA 03,IND. 2 BALMASEDA 03,IND. KARRANTZA 03,IND. SOPUERTA 03,IND. AZKOITIA 03,IND. DEBA 03,IND. 1 ERREZIL 03,IND. 2 ERREZIL 03,IND. EZKIO-ITSASO 03,IND. 1 GABIRIA 03,IND. 2 GABIRIA 03,IND. MUTILOA 03,IND. ORMAIZTEGI 03,IND. ZERAIN 03,IND. ZESTOA 03,IND. ESKORIATZA 03,IND. LEINTZ-GATZ. 03,IND. MENDARO 03,IND. SORALUCE 03,IND. ADUNA 03,IND. HONDARRIBIA 03,IND. IRUN 03,IND. ABALTZISKETA 03,IND. ALBIZTUR 03,IND. ALEGIA 03,IND. ALKIZA 03,IND. ALTZAGA 03,IND. 1 AMEZKETA 03,IND. 2 AMEZKETA 03,IND. ARAMA 03,IND. ATAUN 03,IND. BALIARRAIN 03,IND. 1 BELAUNTZA 03,IND. 2 BELAUNTZA 03,IND. 1 BERROBI 03,IND. 2 BERROBI 03,IND. 3 BERROBI 03,IND. GAINTZA 03,IND. 1 GAZTELU 03,IND. 2 GAZTELU 03,IND. LARRAUL 03,IND. OLABERRIA 03,IND. OREXA 03
Gipuzkoa,ANTZUOLA,,11,4,1652,1291,438,853,57,796,361,,39,,,,,,,142,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARAKALDO,,5,3,94,69,21,48,6,42,25,38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARAMA,,12,3,141,104,5,99,10,89,37,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,
Álava,ARAMAIO,,3,2,1264,988,306,682,15,667,276,,10,2,,,,,,18,,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARANTZAZU,,6,3,255,233,18,215,1,214,22,111,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AREATZA,,93,3,843,709,24,685,8,677,134,371,86,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARETXABALETA,,13,4,5300,3765,688,3077,39,3038,1535,,231,,,235,,,,399,,1298,,,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARMIÑÓN,,6,2,161,126,5,121,5,115,35,,48,3,,,,,,52,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRAIA-MAEZTU,,37,2,674,492,8,484,3,481,182,,86,7,,,,,,13,,213,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRANKUDIAGA,,9,3,689,568,175,393,11,382,121,369,9,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19835,13732,2798,10934,125,10809,6103,,1262,,,1838,,,,2375,,4677,,,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRATZU,,914,4,316,273,117,156,2,154,43,154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,648,491,50,441,6,435,157,255,93,11,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIETA,,10,4,470,345,59,286,6,280,125,267,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIGORRIAGA,,11,3,9484,6669,665,6004,92,5912,2815,,586,,,439,,,,897,,2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTEA,,23,3,570,492,119,376,10,366,78,215,35,,115,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTZENTALES,,8,2,599,524,27,497,4,493,75,278,2,,211,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARTZINIEGA,,4,3,1165,956,90,866,4,862,209,,195,1,,,,,,49,,425,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ASPARRENA,,9,2,1378,998,9,989,15,974,380,,84,3,,24,,,,53,,450,,,129,,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTEASU,,14,3,1077,772,309,463,16,447,305,,13,,,,,,,5,,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTIGARRAGA,,903,1,3160,2092,723,1369,56,1313,1068,,115,,,103,,,,148,,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ATAUN,,15,3,1396,1144,528,616,23,593,252,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,,,,,,,,,,,,
Bizkaia,ATXONDO,,91,3,1200,876,243,634,23,611,324,503,44,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AULESTI,,70,4,569,446,11,435,28,407,123,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AYALA/AIARA,,10,3,1965,1600,174,1426,30,1396,365,,290,4,,,,,,83,,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZKOITIA,,17,4,8666,6471,1009,5462,31,5431,2195,,488,,,90,,,,468,,3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZPEITIA,,18,4,11382,8269,1879,6390,82,6308,3113,,355,,,138,,,,356,,5459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AÑANA,,49,2,176,161,11,150,1,149,15,74,,2,,,,,,1,,,,,,,,,,26,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BAKIO,,12,4,1605,1348,190,1158,13,1145,257,845,55,,161,71,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BALIARRAIN,,904,3,83,65,,65,,65,18,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,
Bizkaia,BALMASEDA,,90,2,6204,5105,289,4816,28,4828,1099,2387,112,,197,,,,,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARAKALDO,,13,2,84046,54232,2976,51256,825,50431,29814,,11108,,,6401,,,,17448,,15474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARRIKA,,14,4,1061,774,160,614,22,592,287,452,77,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BARRUNDIA,,13,2,645,460,72,388,15,373,185,214,54,11,,,,,,19,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BASAURI,,15,3,39588,26818,1668,25150,329,24821,12770,,4309,,,2145,,152,,7170,,11045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,282,256,5,251,1,250,26,115,122,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEASAIN,,19,3,10269,7083,1107,5976,98,5878,3186,,766,,,469,,,,1178,,3465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BEDIA,,92,3,837,678,4,673,8,665,159,408,50,,30,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEIZAMA,,20,4,151,121,45,58,,76,30,,0,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BELAUNTZA,,21,3,260,232,2,230,3,127,28,,1,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,100,,,,,,,,,
Bizkaia,BERANGO,,16,4,4709,3458,398,3060,32,3028,1251,,478,,,255,,,,446,,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BERANTEVILLA,,14,2,426,347,10,337,9,328,79,188,,8,,,,,,7,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERASTEGI,,22,3,803,619,269,350,19,331,184,,5,,,,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERGARA,,74,4,12797,9029,1881,7148,95,7053,3768,,506,,,460,,,,719,,3920,,,1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERMEO,,17,4,14608,10710,1217,9490,68,9422,3898,3574,292,,4748,435,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BERNEDO,,16,2,505,328,28,300,10,290,177,162,114,0,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIATUA,,18,4,918,672,3,669,16,653,246,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIZ,,19,3,3810,2764,523,2241,41,2200,1046,,284,,,145,,,,333,,1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
