TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PP,U.AL.,EB-B,EKA,PH,POSI,PSE-EE/PSOE,EAJ-PNV / EA,ARALAR,PUM+J,BERDEAK-PACMA,PCTV-EHAK
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,271,223,1,222,3,219,48,91,7,3,,0,0,23,88,0,,0,7
Gipuzkoa,BEASAIN,,19,3,10167,6976,18,6958,37,6921,3191,679,1,373,,13,14,1395,3059,285,,23,1079
Bizkaia,BEDIA,,92,3,808,615,4,611,3,608,193,45,0,17,0,0,0,51,409,3,0,0,83
Gipuzkoa,BEIZAMA,,20,4,145,107,,107,,107,38,1,0,1,,0,0,0,59,2,,0,44
Gipuzkoa,BELAUNTZA,,21,3,255,178,2,176,2,174,77,7,0,2,,0,0,3,68,25,,0,69
Bizkaia,BERANGO,,16,4,4764,3434,13,3421,35,3386,1330,532,0,218,0,3,3,598,1514,60,4,5,449
Álava,BERANTEVILLA,,14,2,406,298,1,297,3,294,108,99,7,9,,0,0,32,125,7,,0,15
Gipuzkoa,BERASTEGI,,22,3,793,561,1,560,1,559,232,6,1,9,,0,0,12,357,25,,0,149
Gipuzkoa,BERGARA,,74,4,12425,8735,23,8712,31,8681,3690,512,3,509,,4,6,982,3871,782,,9,2003
Bizkaia,BERMEO,,17,4,14149,10449,31,10418,19,10399,3700,339,2,291,3,1,6,670,7434,178,14,14,1447
Álava,BERNEDO,,16,2,499,311,1,310,2,308,188,100,5,14,,0,1,31,115,6,,0,36
Bizkaia,BERRIATUA,,18,4,945,681,,681,,681,264,7,0,12,0,0,0,6,398,30,1,1,226
Bizkaia,BERRIZ,,19,3,3811,2684,11,2673,15,2658,1127,295,1,134,0,4,4,480,1158,116,13,4,449
Gipuzkoa,BERROBI,,23,3,449,313,1,312,,312,136,21,0,5,,0,0,13,162,10,,0,101
Gipuzkoa,BIDANIA-GOIATZ,,24,4,360,263,,263,1,262,97,8,0,2,,0,0,1,163,5,,0,83
Bizkaia,BILBAO,,20,1,293291,198745,570,198175,1650,196525,94546,46575,66,11664,54,216,448,48742,70667,2599,395,649,14450
Bizkaia,BUSTURIA,,21,4,1505,1145,2,1143,2,1141,360,52,0,46,0,0,1,96,703,27,0,0,216
Álava,CAMPEZO/KANPEZU,,17,2,913,664,2,662,3,659,249,163,6,33,,1,1,70,296,5,,0,84
Gipuzkoa,DEBA,,29,4,4344,3246,1,3245,14,3231,1098,192,2,173,,3,2,294,1760,147,,12,646
Bizkaia,DERIO,,901,4,4236,3006,9,2997,24,2973,1230,343,1,157,0,3,7,837,1347,26,13,17,222
Bizkaia,DIMA,,26,3,962,821,1,820,5,815,141,25,0,13,0,0,1,3,470,29,1,0,273
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,150090,102324,263,102061,1019,101042,47766,22156,29,5820,,133,146,23805,32753,3200,,318,12682
Bizkaia,DURANGO,,27,3,21415,15240,32,15208,94,15114,6175,2192,4,868,5,18,21,2646,6561,599,20,24,2156
Bizkaia,EA,,28,4,714,609,1,608,1,607,105,10,0,13,1,0,0,3,406,12,0,0,162
Gipuzkoa,EIBAR,,30,4,23740,16464,25,16439,119,16320,7276,2125,4,899,,20,34,4410,6334,494,,48,1952
Bizkaia,ELANTXOBE,,31,4,416,356,,356,,356,60,5,0,6,0,0,0,7,253,7,0,0,78
Álava,ELBURGO/BURGELU,,21,2,371,266,1,265,1,264,105,70,3,12,,0,2,39,115,2,,1,20
Álava,ELCIEGO,,22,2,816,619,9,610,4,606,197,211,15,24,,0,0,175,158,2,,1,20
Gipuzkoa,ELDUAIN,,31,3,175,128,,128,,128,47,2,0,0,,0,0,1,63,1,,0,61
Gipuzkoa,ELGETA,,33,4,860,659,,659,8,651,201,25,0,27,,0,0,22,301,106,,0,170
Gipuzkoa,ELGOIBAR,,32,4,8965,6500,23,6477,36,6441,2465,717,0,356,,8,14,1132,2873,281,,13,1047
Bizkaia,ELORRIO,,32,3,6014,4355,12,4343,17,4326,1659,458,0,221,1,2,7,649,1792,257,4,2,933
Álava,ELVILLAR/BILAR,,23,2,306,228,1,227,1,226,78,91,2,7,,0,1,18,93,2,,0,12
Bizkaia,ERANDIO,,902,4,19669,12458,32,12426,110,12316,7211,1541,6,668,6,18,36,3270,5491,102,26,39,1113
Bizkaia,EREÑO,,33,4,229,201,,201,,201,28,3,0,2,1,0,0,3,146,4,0,2,40
Bizkaia,ERMUA,,34,3,13749,9014,25,8989,41,8948,4735,2515,9,521,3,11,60,3367,1709,122,35,46,550
Gipuzkoa,ERRENTERIA,,67,2,32161,20053,59,19994,125,19869,12108,2542,8,1249,,37,68,6225,5344,557,,113,3726
Gipuzkoa,ERREZIL,,66,4,501,361,1,360,1,359,140,3,0,2,,0,0,0,188,6,,0,160
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,515,374,1,373,1,372,141,127,4,6,,2,1,42,147,7,,1,35
Bizkaia,ERRIGOITI,,79,4,452,388,2,386,1,385,64,12,0,3,0,0,0,2,278,6,0,3,81
Gipuzkoa,ESKORIATZA,,34,4,3277,2176,4,2172,10,2162,1101,142,1,136,,4,9,365,928,96,,11,470
Bizkaia,ETXEBARRI,,29,3,6413,4052,17,4035,33,4002,2361,722,2,290,2,6,22,1413,1273,31,8,22,211
Bizkaia,ETXEBARRIA,,30,4,638,514,1,513,1,512,124,4,0,7,0,0,1,4,303,10,0,0,183
Gipuzkoa,EZKIO-ITSASO,,35,3,456,345,,345,1,344,111,3,0,12,,0,0,1,165,29,,0,134
Bizkaia,FORUA,,906,4,820,652,,652,2,650,168,29,0,12,0,0,0,28,397,16,0,1,167
Bizkaia,FRUIZ,,35,4,321,259,,259,,259,62,16,0,4,0,0,0,7,170,4,0,0,58
Gipuzkoa,GABIRIA,,38,3,331,266,1,265,,265,65,4,0,2,,1,0,3,182,12,,0,61
Gipuzkoa,GAINTZA,,37,3,103,81,2,79,1,78,22,0,1,1,,0,0,0,47,3,,0,26
Bizkaia,GALDAKAO,,36,3,24600,16762,58,16704,106,16598,7838,2176,5,1061,5,19,39,3614,7314,304,38,43,1980
Bizkaia,GALDAMES,,37,2,736,584,2,582,3,579,152,24,0,38,0,0,0,40,365,19,1,0,92
Bizkaia,GAMIZ-FIKA,,38,4,1037,855,4,851,9,842,182,46,0,22,0,0,0,28,585,20,1,2,138
Bizkaia,GARAI,,39,3,243,214,2,212,,212,29,4,0,4,0,2,0,6,148,5,0,2,41
Bizkaia,GATIKA,,40,4,1151,891,10,881,8,873,260,37,0,27,1,0,0,56,583,23,0,0,146
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,724,624,2,622,1,621,100,30,0,20,0,0,0,32,402,22,0,0,115
Gipuzkoa,GAZTELU,,907,3,127,98,,98,,98,29,0,0,9,,0,0,1,41,1,,0,46
Bizkaia,GERNIKA-LUMO,,46,4,12923,9938,22,9916,42,9874,2985,685,4,373,2,10,10,1023,5614,276,12,13,1852
Gipuzkoa,GETARIA,,39,4,1979,1630,10,1620,4,1616,349,27,0,43,,0,0,40,943,152,,1,410
Bizkaia,GETXO,,44,4,66836,49848,120,49728,462,49266,16988,14476,6,2270,10,44,94,8925,18824,782,60,125,3650
Bizkaia,GIZABURUAGA,,47,4,118,97,,97,,97,21,0,0,2,0,0,0,1,60,2,0,0,32
Bizkaia,GORDEXOLA,,42,2,1341,1141,9,1132,6,1126,200,177,0,52,1,1,3,108,705,16,0,2,61
Bizkaia,GORLIZ,,43,4,3923,2962,9,2953,29,2924,961,275,0,178,2,0,5,324,1727,63,3,4,343
Bizkaia,GÜEÑES,,45,2,5071,4011,35,3976,34,3942,1060,297,1,140,2,4,6,569,2492,46,4,10,371
Álava,HARANA/VALLE DE ARANA,,56,2,296,198,1,197,2,195,98,55,5,2,,0,2,10,98,5,,0,18
Gipuzkoa,HERNANI,,40,1,15412,10077,17,10060,71,9989,5335,822,1,538,,14,10,1691,2876,467,,26,3544
Gipuzkoa,HERNIALDE,,41,3,262,176,,176,,176,86,5,0,8,,0,1,6,79,17,,0,60
Gipuzkoa,HONDARRIBIA,,36,2,12757,8887,85,8802,87,8715,3870,1012,1,446,,8,7,1217,4470,422,,22,1110
Gipuzkoa,IBARRA,,42,3,3608,2416,5,2411,19,2392,1192,174,0,118,,0,1,370,914,106,,5,704
Bizkaia,IBARRANGELU,,48,4,498,415,,415,,415,83,11,0,4,0,0,0,11,297,11,1,0,80
Gipuzkoa,IDIAZABAL,,43,3,1775,1372,1,1371,10,1361,403,49,0,25,,0,0,48,853,67,,0,319
Bizkaia,IGORRE,,94,3,3303,2559,12,2547,18,2529,744,98,0,55,1,1,5,162,1525,109,2,8,563
Gipuzkoa,IKAZTEGIETA,,44,3,317,239,,239,,239,78,6,0,11,,0,0,9,108,12,,1,92
Gipuzkoa,IRUN,,45,2,48252,31065,202,30863,298,30565,17187,6065,12,1663,,63,67,10279,9241,639,,151,2385
Gipuzkoa,IRURA,,46,3,873,624,1,623,4,619,249,36,0,17,,0,1,48,290,38,,3,186
Álava,IRURAIZ-GAUNA,,27,2,405,285,4,281,1,280,120,58,7,9,,0,0,23,125,2,,3,53
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1771,1202,7,1195,5,1190,569,357,23,37,,4,2,366,313,10,,8,70
Bizkaia,ISPASTER,,49,4,555,451,3,448,,448,104,20,0,3,0,0,0,1,315,13,2,1,93
Gipuzkoa,ITSASONDO,,47,3,473,331,,331,2,329,142,6,0,5,,0,0,7,157,21,,0,133
Bizkaia,IURRETA,,910,3,3420,2344,13,2331,11,2320,1076,334,2,98,1,3,13,516,872,63,4,0,414
Bizkaia,IZURTZA,,50,3,230,197,3,194,,194,33,5,0,4,0,0,0,11,107,2,0,0,65
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2472,1650,10,1640,3,1637,822,135,0,64,0,1,1,151,1102,27,1,3,152
Bizkaia,KORTEZUBI,,907,4,331,293,,293,,293,38,7,0,1,0,0,0,9,207,1,0,0,68
Álava,KRIPAN,,19,2,158,139,,139,1,138,19,29,2,1,,0,0,3,98,0,,1,4
Álava,KUARTANGO,,20,2,326,239,1,238,,238,87,26,3,6,,0,0,18,138,6,,1,40
Álava,LABASTIDA/BASTIDA,,28,2,1097,790,,790,8,782,307,269,14,45,,1,0,147,234,8,,3,61
Álava,LAGRÁN,,30,2,179,137,,137,1,136,42,54,8,2,,0,0,19,44,6,,2,1
Álava,LAGUARDIA,,31,2,1224,955,9,946,12,934,269,423,13,8,,1,1,123,321,8,,0,36
Álava,LANCIEGO/LANTZIEGO,,32,2,543,406,7,399,4,395,137,109,12,9,,2,0,86,159,2,,2,14
Bizkaia,LANESTOSA,,51,2,245,193,,193,1,192,52,28,0,10,0,1,0,26,113,3,1,3,7
Álava,LANTARÓN,,902,2,849,547,1,546,3,543,302,194,14,24,,0,0,85,179,9,,1,37
Álava,LAPUEBLA DE LABARCA,,33,2,702,549,,549,1,548,153,136,5,10,,0,0,86,297,8,,0,6
Bizkaia,LARRABETZU,,52,4,1376,1139,4,1135,8,1127,237,45,0,42,0,0,0,34,624,35,0,1,346
Gipuzkoa,LARRAUL,,48,3,131,88,,88,1,87,43,1,0,4,,0,0,1,44,2,,0,35
Gipuzkoa,LASARTE-ORIA,,902,1,14843,9948,20,9928,81,9847,4895,1475,10,502,,21,20,3655,2577,244,,46,1297
Álava,LAUDIO/LLODIO,,36,3,15967,11324,55,11269,67,11202,4643,1835,100,460,,16,8,2179,4811,145,,34,1614
Bizkaia,LAUKIZ,,53,4,791,647,3,644,1,643,144,91,0,14,2,0,2,47,424,3,1,2,57
Gipuzkoa,LAZKAO,,49,3,4142,2903,3,2900,22,2878,1239,229,0,105,,6,5,500,1161,120,,8,744
Gipuzkoa,LEABURU,,50,3,311,256,1,255,1,254,55,7,0,4,,0,1,4,89,16,,1,132
Gipuzkoa,LEGAZPI,,51,3,7362,5307,14,5293,28,5265,2055,532,1,296,,8,6,890,2402,282,,15,833
Gipuzkoa,LEGORRETA,,52,3,1148,828,5,823,2,821,320,50,0,34,,1,1,92,398,34,,1,210
Álava,LEGUTIO,,58,2,1250,872,2,870,4,866,378,57,12,49,,0,0,120,410,25,,4,189
Gipuzkoa,LEINTZ-GATZAGA,,68,4,214,176,,176,,176,38,4,0,4,,0,1,1,88,10,,1,67
Bizkaia,LEIOA,,54,4,23376,16254,61,16193,148,16045,7122,2827,6,1126,1,11,50,4016,6446,234,42,61,1225
Bizkaia,LEKEITIO,,57,4,6190,4881,9,4872,26,4846,1309,135,1,123,3,0,0,130,2756,149,5,4,1540
Bizkaia,LEMOA,,55,3,2344,1884,14,1870,9,1861,460,145,1,74,1,4,4,141,1147,30,5,3,306
Bizkaia,LEMOIZ,,56,4,770,612,3,609,3,606,158,21,0,19,0,0,0,20,437,14,0,1,94
Álava,LEZA,,34,2,182,149,,149,2,147,33,18,0,5,,1,1,25,85,0,,2,10
Bizkaia,LEZAMA,,81,4,1845,1441,1,1440,5,1435,404,81,0,63,0,0,0,107,954,25,4,1,200
Gipuzkoa,LEZO,,53,2,4847,3093,3,3090,15,3075,1754,187,0,150,,3,2,525,980,126,,6,1096
Gipuzkoa,LIZARTZA,,54,3,517,390,2,388,3,385,127,8,0,3,,1,0,4,125,14,,0,230
Bizkaia,LOIU,,903,4,1709,1366,10,1356,12,1344,343,210,0,28,0,0,0,92,909,14,0,2,89
Bizkaia,MALLABIA,,58,3,971,718,1,717,1,716,253,44,0,27,1,0,0,72,339,13,0,2,218
Bizkaia,MARKINA-XEMEIN,,60,4,3927,2894,11,2883,12,2871,1033,81,0,84,0,1,1,87,1792,116,2,2,705
Bizkaia,MARURI-JATABE,,61,4,686,536,4,532,,532,150,41,0,29,0,0,0,35,360,13,1,0,53
Bizkaia,MAÑARIA,,59,3,390,309,,309,3,306,81,10,0,10,0,0,0,9,181,10,1,0,85
Gipuzkoa,MENDARO,,901,4,1380,993,4,989,7,982,387,66,0,33,,3,1,124,542,46,,3,164
Bizkaia,MENDATA,,62,4,296,250,2,248,1,247,46,7,0,1,0,0,0,3,193,4,0,0,39
Bizkaia,MENDEXA,,63,4,314,257,2,255,,255,57,5,0,4,0,0,0,4,121,7,0,1,113
Bizkaia,MEÑAKA,,64,4,486,429,2,427,,427,57,9,0,12,0,0,0,6,317,11,0,1,71
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,236,186,,186,,186,50,52,1,8,,0,0,58,64,0,,1,2
Bizkaia,MORGA,,66,4,356,299,2,297,,297,57,7,0,4,0,0,0,0,235,6,0,0,45
Bizkaia,MUNDAKA,,68,4,1599,1337,3,1334,6,1328,262,27,0,31,1,0,2,45,956,23,0,2,241
Bizkaia,MUNGIA,,69,4,11586,8619,20,8599,48,8551,2967,898,0,343,1,7,10,869,5437,153,14,14,805
Álava,MUNICIPIO CERA ARABA,,999,99,3161,824,1,823,,823,2337,221,26,19,,8,4,219,286,7,,7,26
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,20983,5079,2,5077,48,5029,15904,942,4,150,8,22,29,1158,2438,50,42,48,138
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,14121,3997,12,3985,19,3966,10124,743,4,136,,22,19,1014,1601,88,,57,282
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,315,262,1,261,2,259,53,3,0,3,0,0,0,0,166,5,0,1,81
Bizkaia,MURUETA,,908,4,226,176,,176,,176,50,3,0,5,0,0,0,3,130,7,0,0,28
Bizkaia,MUSKIZ,,71,2,5693,4186,22,4164,36,4128,1507,274,0,253,1,2,7,779,2320,43,5,10,434
Gipuzkoa,MUTILOA,,57,3,140,97,1,96,1,95,43,0,0,1,,0,0,0,60,4,,0,30
Gipuzkoa,MUTRIKU,,56,4,3935,2969,20,2949,16,2933,966,151,0,68,,1,2,124,1559,112,,58,858
Bizkaia,MUXIKA,,67,4,1142,907,2,905,1,904,235,12,0,16,1,0,0,12,578,29,1,0,255
Bizkaia,NABARNIZ,,909,4,198,171,,171,,171,27,0,0,2,0,0,0,0,89,3,0,0,77
Álava,NAVARIDAS,,41,2,168,135,,135,2,133,33,66,3,2,,0,0,11,50,0,,1,0
Gipuzkoa,OIARTZUN,,63,2,7817,5582,8,5574,26,5548,2235,277,1,249,,2,1,325,2238,247,,5,2203
Álava,OKONDO,,42,3,833,676,4,672,1,671,157,58,2,21,,0,0,19,442,11,,2,116
Gipuzkoa,OLABERRIA,,58,3,780,555,2,553,5,548,225,63,0,25,,1,2,115,223,14,,5,100
Bizkaia,ONDARROA,,73,4,7694,5613,26,5587,16,5571,2081,285,0,126,6,1,1,193,2632,208,0,1,2118
Gipuzkoa,ORDIZIA,,76,3,7196,5050,11,5039,21,5018,2146,530,0,294,,6,8,936,1934,239,,12,1059
Gipuzkoa,ORENDAIN,,905,3,141,109,1,108,,108,32,0,0,1,,0,0,0,58,6,,0,43
Gipuzkoa,OREXA,,60,3,73,72,,72,1,71,1,0,0,0,,0,0,0,6,1,,0,64
Gipuzkoa,ORIO,,61,4,3754,2731,8,2723,19,2704,1023,102,0,129,,1,3,250,1508,166,,4,541
Gipuzkoa,ORMAIZTEGI,,62,3,1004,805,1,804,1,803,199,30,0,27,,1,0,35,481,43,,2,184
Bizkaia,OROZKO,,75,3,1876,1427,6,1421,9,1412,449,128,2,33,0,0,0,48,983,39,1,1,177
Bizkaia,ORTUELLA,,83,2,7281,4791,15,4776,39,4737,2490,381,3,336,1,9,9,1527,2060,48,14,19,330
Bizkaia,OTXANDIO,,72,3,918,748,,748,2,746,170,52,0,14,0,0,1,37,393,40,1,0,208
Álava,OYÓN-OION,,43,2,2257,1476,5,1471,4,1467,781,507,22,51,,0,1,360,372,11,,9,134
Gipuzkoa,OÑATI,,59,4,8853,6587,13,6574,30,6544,2266,372,0,298,,1,11,465,3367,517,,12,1501
Gipuzkoa,PASAIA,,64,2,13194,7955,23,7932,65,7867,5239,980,6,448,,14,17,1679,2552,211,,36,1924
Álava,PEÑACERRADA-URIZAHARRA,,44,2,230,168,3,165,,165,62,49,5,10,,0,1,22,61,3,,1,13
Bizkaia,PLENTZIA,,77,4,3221,2516,12,2504,5,2499,705,278,0,124,0,0,4,226,1526,59,7,10,265
Bizkaia,PORTUGALETE,,78,2,43226,28768,86,28682,207,28475,14458,5101,6,1947,1,25,70,10106,9015,254,56,92,1802
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,808,566,5,561,7,554,242,199,11,18,,3,2,151,150,3,,3,14
Álava,SAMANIEGO,,52,2,249,200,2,198,1,197,49,22,2,6,,0,3,40,92,6,,0,26
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,614,368,,368,4,364,246,48,5,16,,0,1,21,196,15,,2,60
Bizkaia,SANTURTZI,,82,2,40335,25923,75,25848,205,25643,14412,3895,10,1695,5,33,74,8522,8764,177,53,63,2352
Gipuzkoa,SEGURA,,70,3,1003,790,5,785,5,780,213,23,0,6,,0,1,12,480,26,,2,230
Bizkaia,SESTAO,,84,2,26238,15872,57,15815,125,15690,10366,2518,7,1168,7,14,41,5607,4877,137,38,54,1222
Bizkaia,SONDIKA,,904,4,3560,2794,8,2786,12,2774,766,328,0,96,0,1,3,422,1646,27,5,8,238
Bizkaia,SOPELA,,85,4,9137,6349,17,6332,55,6277,2788,581,0,500,0,3,6,979,3076,146,4,14,968
Bizkaia,SOPUERTA,,86,2,1968,1410,8,1402,3,1399,558,133,0,71,1,0,3,188,843,28,1,5,126
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3475,2390,8,2382,8,2374,1085,309,1,93,,3,2,434,928,90,,5,509
Bizkaia,SUKARRIETA,,76,4,314,265,,265,2,263,49,10,0,12,0,0,1,14,162,5,2,0,57
Gipuzkoa,TOLOSA,,71,3,14678,10060,20,10040,74,9966,4618,906,3,580,,7,18,1169,4447,502,,25,2309
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,463,343,1,342,1,341,120,39,0,6,0,0,0,28,215,30,2,0,21
Bizkaia,UBIDE,,88,3,132,109,,109,,109,23,8,0,1,0,0,0,1,53,6,0,0,40
Bizkaia,UGAO-MIRABALLES,,65,3,3403,2377,12,2365,17,2348,1026,238,0,114,0,1,3,392,1139,26,3,5,427
Bizkaia,URDULIZ,,89,4,2648,1962,3,1959,13,1946,686,164,0,74,0,4,2,252,1107,23,5,11,304
Bizkaia,URDUÑA/ORDUÑA,,74,3,3357,2473,17,2456,10,2446,884,302,1,100,1,2,9,300,1261,52,5,3,410
Álava,URKABUSTAIZ,,54,2,788,566,3,563,3,560,222,72,5,16,,0,1,64,244,12,,0,146
