TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,PST,FE-JONS,EMK-MCE,LKI-LCR,PCE-EPK,UC,UCD,ORT-PTE,ESEI,AP,PSOE(H)
Bizkaia,GERNIKA-LUMO,,46,4,13761,8150,55,8048,47,8048,5611,4459,211,1896,441,4,43,3,99,63,117,7,248,8,14,410,25
Gipuzkoa,GETARIA,,39,4,1758,1424,7,1412,5,1412,334,793,22,262,205,1,,,4,1,0,0,71,0,47,6,
Bizkaia,GETXO,,44,4,45468,28555,217,28256,82,28256,16913,13264,2034,3520,2136,14,54,73,121,147,540,21,2739,14,79,3375,125
Bizkaia,GIZABURUAGA,,47,4,130,81,,81,,81,49,41,2,24,9,0,0,0,0,2,0,0,0,0,0,3,0
Bizkaia,GORDEXOLA,,42,2,1532,1040,5,1034,1,1034,492,725,26,84,29,0,2,1,7,0,4,0,54,1,1,96,4
Bizkaia,GORLIZ,,43,4,1697,1172,3,1161,8,1161,525,704,33,171,137,2,6,0,3,1,3,0,42,1,1,52,5
Bizkaia,GÜEÑES,,45,2,5034,3722,10,3687,25,3687,1312,2370,177,799,78,0,3,6,6,1,39,11,62,54,10,60,11
Álava,HARANA/VALLE DE ARANA,,56,2,421,236,,235,1,235,185,80,7,34,7,0,,,0,0,0,0,98,0,2,7,
Gipuzkoa,HERNANI,,40,1,20904,11589,75,11488,26,11488,9315,3343,2211,2768,1417,26,,,402,84,373,15,530,23,122,174,
Gipuzkoa,HERNIALDE,,41,3,210,138,2,135,1,135,72,55,0,25,36,1,,,0,0,3,0,6,2,2,5,
Gipuzkoa,HONDARRIBIA,,36,2,8593,4782,54,4716,12,4716,3811,2258,455,780,664,9,,,41,10,58,6,245,9,64,117,
Gipuzkoa,IBARRA,,42,3,2940,1550,14,1536,,1536,1390,489,205,309,274,12,,,28,2,64,1,76,46,14,16,
Bizkaia,IBARRANGELU,,48,4,482,350,2,348,,348,132,280,0,43,7,0,0,0,1,2,0,0,1,0,0,14,0
Gipuzkoa,IDIAZABAL,,43,3,1550,1190,5,1183,2,1183,360,670,8,172,281,1,,,2,0,6,0,22,1,9,11,
Bizkaia,IGORRE,,94,3,2357,1657,5,1649,3,1649,700,1016,88,425,47,2,2,0,2,3,10,0,6,0,2,45,1
Gipuzkoa,IKAZTEGIETA,,44,3,596,357,,357,,357,239,157,8,149,30,0,,,0,0,0,0,4,5,2,2,
Gipuzkoa,IRUN,,45,2,38400,21965,351,21516,98,21516,16435,5694,5389,2324,3307,67,,,211,104,665,50,2457,215,199,834,
Gipuzkoa,IRURA,,46,3,553,344,,344,,344,209,161,8,123,17,3,,,0,1,3,1,15,6,1,5,
Álava,IRURAIZ-GAUNA,,27,2,442,217,2,214,1,214,225,85,1,39,25,2,,,1,0,0,1,47,1,7,5,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1281,655,22,631,2,631,626,138,111,58,24,1,,,5,4,42,6,190,9,13,30,
Bizkaia,ISPASTER,,49,4,541,433,2,431,,431,108,295,0,62,37,6,0,0,3,0,0,1,17,0,0,10,0
Gipuzkoa,ITSASONDO,,47,3,695,457,6,450,1,450,238,124,14,147,121,0,,,5,10,6,0,19,0,1,3,
Bizkaia,IZURTZA,,50,3,243,208,4,204,,204,35,121,3,68,2,0,0,0,4,0,0,0,0,0,1,5,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,1584,1283,8,1270,5,1270,301,667,51,195,194,1,6,0,2,4,15,0,78,2,2,46,7
Álava,KRIPAN,,19,2,178,128,1,127,,127,50,71,0,9,2,0,,,1,0,0,1,40,0,0,3,
Álava,KUARTANGO,,20,2,313,161,3,158,,158,152,58,5,18,8,1,,,0,0,4,2,49,0,5,8,
Álava,LABASTIDA/BASTIDA,,28,2,906,513,6,503,4,503,393,107,88,35,5,12,,,0,1,55,0,148,0,7,45,
Álava,LAGRÁN,,30,2,211,143,10,127,6,127,68,62,2,6,2,2,,,0,0,1,0,48,0,0,4,
Álava,LAGUARDIA,,31,2,1232,965,10,950,5,950,267,255,17,50,18,30,,,2,0,2,0,540,0,2,34,
Álava,LANCIEGO/LANTZIEGO,,32,2,518,318,3,314,1,314,200,104,57,21,11,4,,,1,0,0,0,101,0,1,14,
Bizkaia,LANESTOSA,,51,2,264,144,1,143,,148,120,65,7,25,4,0,3,0,2,2,0,0,10,0,0,29,1
Álava,LANTARÓN,,902,2,729,384,3,377,4,377,345,124,18,43,12,5,,,4,4,4,1,110,3,13,36,
Álava,LAPUEBLA DE LABARCA,,33,2,612,461,2,459,,459,151,227,48,11,5,0,,,0,0,18,0,147,0,0,3,
Bizkaia,LARRABETZU,,52,4,1378,854,5,848,1,854,524,466,17,326,19,0,1,0,2,8,0,1,9,0,0,5,0
Gipuzkoa,LARRAUL,,48,3,158,78,,78,,78,80,27,1,32,17,0,,,1,0,0,0,0,0,0,0,
Álava,LAUDIO/LLODIO,,36,3,13831,8213,73,8093,47,8093,5618,2766,1243,1507,385,87,,,98,64,247,9,1334,20,55,278,
Bizkaia,LAUKIZ,,53,4,670,535,,534,1,600,135,388,10,72,87,0,0,0,1,0,8,0,16,0,2,16,0
Gipuzkoa,LAZKAO,,49,3,3583,2277,14,2250,13,2250,1306,900,263,548,256,1,,,11,50,102,1,82,3,13,20,
Gipuzkoa,LEABURU,,50,3,569,286,8,278,,278,283,55,2,111,65,3,,,2,1,3,0,4,22,2,8,
Gipuzkoa,LEGAZPI,,51,3,7334,4912,105,4802,5,4802,2422,2172,273,722,849,21,,,161,12,179,5,248,10,89,61,
Gipuzkoa,LEGORRETA,,52,3,1317,945,13,931,1,931,372,343,94,192,143,0,,,9,4,30,0,12,88,3,13,
Álava,LEGUTIO,,58,2,1057,582,2,580,,580,475,317,49,128,22,3,,,10,1,8,0,34,2,2,4,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,189,126,,126,,126,63,66,3,44,10,0,,,0,1,2,0,0,0,0,0,
Bizkaia,LEIOA,,54,4,12787,7921,192,7699,30,7699,4866,3230,1096,1276,872,3,15,11,78,57,324,21,341,11,19,299,46
Bizkaia,LEKEITIO,,57,4,5358,3794,6,3780,8,3780,1564,2264,28,997,285,3,1,0,6,13,6,1,61,2,6,103,4
Bizkaia,LEMOA,,55,3,2194,1649,18,1629,2,1639,545,1028,27,324,94,3,0,0,5,3,35,0,26,1,4,86,3
Bizkaia,LEMOIZ,,56,4,686,443,2,441,,441,243,255,3,88,85,0,1,0,0,0,0,0,4,0,0,5,0
Álava,LEZA,,34,2,171,133,5,126,2,126,38,61,15,6,8,8,,,0,0,7,0,15,0,0,6,
Bizkaia,LEZAMA,,81,4,1324,967,2,961,4,941,357,636,17,203,27,0,0,0,1,4,11,0,8,0,0,33,1
Gipuzkoa,LEZO,,53,2,4153,1997,11,1983,3,1983,2156,741,256,523,233,1,,,54,3,38,8,72,9,28,17,
Gipuzkoa,LIZARTZA,,54,3,580,383,8,375,,375,197,135,1,199,20,0,,,0,0,0,0,16,3,0,1,
Bizkaia,MALLABIA,,58,3,897,483,2,479,2,531,414,219,82,159,22,1,1,0,1,1,4,0,19,1,2,18,1
Bizkaia,MARKINA-XEMEIN,,60,4,3864,2327,18,2305,4,2305,1537,1419,39,471,86,0,0,6,5,117,2,0,55,0,16,87,2
Bizkaia,MARURI-JATABE,,61,4,370,248,1,247,,247,122,192,2,11,22,0,0,0,0,0,1,0,7,0,0,12,0
Bizkaia,MAÑARIA,,59,3,472,327,1,322,4,322,145,160,1,108,2,1,0,0,3,0,3,0,7,0,0,37,0
Bizkaia,MENDATA,,62,4,346,239,3,236,,236,107,165,0,44,3,2,0,0,7,4,0,0,5,0,0,5,1
Bizkaia,MENDEXA,,63,4,275,193,,192,1,192,82,102,1,64,14,3,0,0,0,2,0,0,2,0,0,4,0
Bizkaia,MEÑAKA,,64,4,376,245,6,239,,239,131,169,0,28,25,0,0,0,1,0,0,0,10,0,0,6,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,311,194,,191,3,191,117,54,18,10,3,12,,,0,1,1,0,80,0,0,12,
Bizkaia,MORGA,,66,4,337,203,1,201,1,201,134,148,0,28,15,0,0,0,0,0,1,0,1,0,0,8,0
Bizkaia,MUNDAKA,,68,4,1251,979,30,949,,949,272,640,6,230,17,0,0,2,3,1,9,0,3,0,5,32,1
Bizkaia,MUNGIA,,69,4,7196,4364,16,4342,6,4342,2832,2940,204,550,353,1,6,2,1,4,39,2,78,0,12,148,2
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,397,294,2,291,1,291,103,167,1,108,4,0,0,0,0,0,0,0,5,0,0,6,0
Bizkaia,MUSKIZ,,71,2,4610,2970,11,2951,8,2951,1640,1197,465,394,301,0,7,4,11,4,389,7,69,1,3,89,10
Gipuzkoa,MUTILOA,,57,3,205,116,,116,,116,89,73,1,30,9,0,,,1,0,0,0,1,0,1,0,
Gipuzkoa,MUTRIKU,,56,4,4223,2703,7,2691,5,2691,1520,1633,88,525,127,3,,,49,19,22,0,164,0,9,52,
Bizkaia,MUXIKA,,67,4,1236,853,4,848,1,848,383,526,3,258,30,1,0,1,1,3,2,0,8,0,0,14,1
Álava,NAVARIDAS,,41,2,186,131,,129,2,129,55,37,4,2,2,3,,,0,0,1,0,68,2,1,9,
Gipuzkoa,OIARTZUN,,63,2,5496,3396,7,3383,6,3383,2100,1649,128,1142,263,12,,,5,51,21,3,58,0,32,19,
Álava,OKONDO,,42,3,623,454,2,451,1,451,169,280,6,79,5,0,,,0,0,3,0,67,0,0,11,
Gipuzkoa,OLABERRIA,,58,3,992,685,6,674,5,674,307,226,118,109,91,4,,,16,13,9,0,59,3,4,22,
Bizkaia,ONDARROA,,73,4,8508,5727,25,5692,5,5397,2781,2826,68,1584,191,22,2,56,38,278,7,1,67,2,8,243,4
Gipuzkoa,ORDIZIA,,76,3,7472,4633,57,4569,7,4569,2839,1272,385,961,877,47,,,60,77,316,4,450,6,39,75,
Gipuzkoa,OREXA,,60,3,88,72,,72,,72,16,14,0,55,2,0,,,0,0,0,0,0,1,0,0,
Gipuzkoa,ORIO,,61,4,2976,2012,19,1982,11,1982,964,877,186,455,329,8,,,8,2,9,1,38,2,48,19,
Gipuzkoa,ORMAIZTEGI,,62,3,870,662,1,661,,661,208,388,12,112,130,0,,,0,3,6,0,10,0,0,0,
Bizkaia,OROZKO,,75,3,1819,1080,7,1068,5,1068,739,717,12,157,41,2,1,0,0,8,1,1,111,0,1,16,0
Bizkaia,ORTUELLA,,83,2,5716,3302,16,3777,9,3737,2414,768,1081,547,398,1,6,8,102,12,613,20,89,5,2,76,9
Bizkaia,OTXANDIO,,72,3,946,657,3,654,,654,289,307,10,212,16,5,1,1,1,0,70,0,12,0,0,18,1
Álava,OYÓN-OION,,43,2,1824,967,12,952,3,952,857,278,116,122,20,3,,,7,4,10,1,324,6,2,59,
Gipuzkoa,OÑATI,,59,4,8281,5256,51,5192,13,5192,3025,2524,188,1155,572,4,,,112,58,41,3,389,5,49,92,
Gipuzkoa,PASAIA,,64,2,16977,8571,49,8501,21,8501,8406,2680,1138,2198,1335,25,,,109,33,251,34,504,23,68,103,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,215,122,1,121,,121,93,55,3,2,5,0,,,5,1,0,0,43,0,3,4,
Bizkaia,PLENTZIA,,77,4,2503,1520,8,1505,7,1505,983,930,29,264,167,1,6,4,5,4,7,0,36,0,1,48,3
Bizkaia,PORTUGALETE,,78,2,43602,22494,280,22127,87,22127,21108,5842,5789,3043,1859,11,87,82,341,59,2276,98,1373,54,26,1086,101
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,414,235,,233,2,233,179,64,15,12,13,2,,,0,2,7,1,101,0,0,16,
Álava,SAMANIEGO,,52,2,192,143,5,137,1,137,49,34,49,20,1,9,,,0,0,6,0,12,2,0,4,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,751,329,4,322,3,322,422,136,5,74,33,3,,,1,1,1,0,53,2,3,10,
Bizkaia,SANTURTZI,,82,2,36877,20435,304,20149,32,20149,16442,5528,4548,3937,1560,19,109,21,252,62,1800,190,1067,84,27,841,104
Gipuzkoa,SEGURA,,70,3,1015,671,2,665,4,665,344,368,7,178,89,0,,,0,4,1,1,12,0,3,2,
Bizkaia,SESTAO,,84,2,30085,17490,153,17254,83,17254,12595,3967,4885,2549,1324,29,73,38,546,45,1761,48,1086,78,14,715,96
Bizkaia,SOPELA,,85,4,3733,2259,8,2248,3,2248,1474,1025,198,658,150,2,3,2,37,17,61,12,44,2,3,27,7
Bizkaia,SOPUERTA,,86,2,1706,1132,,1128,4,1128,574,585,81,121,136,1,3,0,1,4,57,31,66,0,0,39,3
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4423,2899,28,2858,13,2858,1524,1187,353,624,252,54,,,4,26,61,6,223,4,26,38,
Bizkaia,SUKARRIETA,,76,4,212,147,,147,,147,65,112,1,20,6,0,0,0,0,0,2,0,5,0,0,1,0
Gipuzkoa,TOLOSA,,71,3,14829,8578,63,8499,16,8499,6251,3412,777,1450,1266,166,,,66,23,211,1,718,83,48,278,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,489,310,1,309,,309,179,180,6,38,6,0,2,2,0,2,0,0,21,0,6,46,0
Bizkaia,UBIDE,,88,3,137,127,,127,,127,10,46,1,60,0,1,0,0,0,0,0,0,0,0,0,19,0
Bizkaia,UGAO-MIRABALLES,,65,3,3017,1945,6,1935,4,1941,1072,790,214,528,225,2,7,1,2,8,57,3,33,2,3,63,3
Bizkaia,URDULIZ,,89,4,1896,1135,3,1130,2,1130,761,577,98,287,63,1,1,0,25,0,26,0,24,0,0,27,1
Bizkaia,URDUÑA/ORDUÑA,,74,3,3605,2146,17,2119,10,2119,1459,1177,54,332,114,5,11,5,3,3,17,2,164,4,9,190,29
