TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,POSI,PSE-EE/PSOE,BERDEAK-LV,ARALAR,ATTKA/PACMA,PUM+J,PFYV,UPYD
Gipuzkoa,BALIARRAIN,,904,3,87,55,29,26,,26,32,19,0,1,0,,,,0,1,5,,0,,0
Bizkaia,BALMASEDA,,90,2,6008,4593,257,4336,32,4304,1415,2251,296,191,90,1,1,10,1292,7,100,10,8,4,43
Bizkaia,BARAKALDO,,13,2,81803,51187,2140,49047,554,48493,30616,14209,7612,826,2044,11,36,120,20963,230,1069,136,82,107,1048
Bizkaia,BARRIKA,,14,4,1151,806,83,723,10,713,345,391,52,68,23,0,0,0,106,6,54,4,0,1,8
Álava,BARRUNDIA,,13,2,683,428,61,367,1,366,255,167,45,17,17,,,0,59,6,47,,0,,8
Bizkaia,BASAURI,,15,3,36013,23928,1099,22829,214,22615,12085,8366,2885,348,760,12,29,32,8875,87,701,87,44,38,351
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,252,197,2,195,8,187,55,83,65,6,3,,,0,27,1,1,,1,,0
Gipuzkoa,BEASAIN,,19,3,10182,6571,719,5852,80,5772,3611,2394,396,343,174,,,,1768,30,608,,24,,35
Bizkaia,BEDIA,,92,3,783,604,57,547,6,541,179,388,30,10,12,0,1,2,66,1,23,0,1,0,7
Gipuzkoa,BEIZAMA,,20,4,146,96,30,66,,66,50,49,0,5,1,,,,1,1,8,,0,,1
Gipuzkoa,BELAUNTZA,,21,3,240,120,31,89,,89,120,54,3,5,1,,,,9,0,16,,0,,1
Bizkaia,BERANGO,,16,4,5054,3597,362,3235,32,3203,1457,1393,411,122,104,0,1,2,907,19,141,10,6,6,81
Álava,BERANTEVILLA,,14,2,394,279,5,274,7,267,115,94,83,3,9,,,0,57,4,9,,0,,8
Gipuzkoa,BERASTEGI,,22,3,818,510,92,418,5,413,308,278,5,42,8,,,,17,3,58,,2,,0
Gipuzkoa,BERGARA,,74,4,11891,7633,1358,6275,45,6230,4258,2866,300,288,312,,,,1290,29,1117,,10,,18
Bizkaia,BERMEO,,17,4,13632,9525,786,8739,51,8688,4107,5712,186,1367,142,0,2,12,736,23,467,10,6,7,18
Álava,BERNEDO,,16,2,481,267,19,248,6,242,214,103,58,9,2,,,0,49,2,12,,1,,6
Bizkaia,BERRIATUA,,18,4,945,601,160,441,,441,344,336,2,21,5,0,0,0,19,2,51,1,1,2,1
Bizkaia,BERRIZ,,19,3,3869,2559,333,2226,25,2201,1310,1008,185,76,60,1,1,0,611,6,202,12,13,3,23
Gipuzkoa,BERROBI,,23,3,464,275,65,210,,210,189,120,9,5,16,,,,25,2,30,,1,,2
Gipuzkoa,BIDANIA-GOIATZ,,24,4,382,221,43,178,5,173,161,99,8,31,1,,,,6,0,27,,1,,0
Bizkaia,BILBAO,,20,1,281807,188845,8572,180273,1917,178356,92962,64830,33669,3226,6161,49,153,271,57425,911,6245,439,440,330,4207
Bizkaia,BUSTURIA,,21,4,1464,1069,177,892,8,884,395,543,35,85,25,0,0,0,122,0,65,1,2,2,4
Álava,CAMPEZO/KANPEZU,,17,2,913,569,66,503,1,502,344,231,109,26,20,,,0,84,2,17,,1,,12
Gipuzkoa,DEBA,,29,4,4321,2952,495,2457,35,2422,1369,1111,110,330,118,,,,347,15,369,,7,,15
Bizkaia,DERIO,,901,4,4309,3046,136,2910,30,2880,1263,1294,254,101,82,1,3,6,981,23,75,7,20,6,27
Bizkaia,DIMA,,26,3,1057,836,232,604,4,600,221,472,11,22,8,0,1,0,10,1,72,0,0,0,3
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147257,93007,8119,84888,1259,83629,54250,24187,13757,3648,2909,,,,28569,469,6885,,331,,2874
Bizkaia,DURANGO,,27,3,21633,14806,1490,13316,110,13206,6827,5898,1529,287,468,3,4,27,3339,45,1387,27,24,16,152
Bizkaia,EA,,28,4,780,619,149,470,6,464,161,316,6,89,7,0,0,0,17,1,24,1,2,0,1
Gipuzkoa,EIBAR,,30,4,22628,14994,1244,13750,157,13593,7634,4887,1337,533,538,,,,5032,70,1038,,40,,118
Bizkaia,ELANTXOBE,,31,4,389,301,61,240,,240,88,184,2,25,0,0,0,0,5,0,23,0,0,0,1
Álava,ELBURGO/BURGELU,,21,2,409,282,6,276,2,274,127,123,52,10,6,,,0,65,0,7,,0,,11
Álava,ELCIEGO,,22,2,855,611,18,593,4,589,244,134,149,34,14,,,0,219,4,13,,0,,22
Gipuzkoa,ELDUAIN,,31,3,188,123,55,68,1,67,65,48,0,5,2,,,,3,1,8,,0,,0
Gipuzkoa,ELGETA,,33,4,846,603,133,470,3,467,243,256,16,17,13,,,,34,0,129,,0,,2
Gipuzkoa,ELGOIBAR,,32,4,8990,6091,702,5389,38,5351,2899,2406,427,306,168,,,,1462,35,508,,16,,23
Bizkaia,ELORRIO,,32,3,5903,3994,796,3198,18,3180,1909,1488,301,105,84,1,1,5,725,9,431,4,4,9,13
Álava,ELVILLAR/BILAR,,23,2,290,200,5,195,4,191,90,85,61,4,4,,,1,32,0,3,,0,,1
Bizkaia,ERANDIO,,902,4,19331,12390,768,11622,113,11509,6941,5309,1173,176,342,5,6,15,3926,62,319,30,25,15,106
Bizkaia,EREÑO,,33,4,219,172,23,149,2,147,47,108,6,12,1,0,0,0,7,0,13,0,0,0,0
Bizkaia,ERMUA,,34,3,13317,8845,275,8570,72,8498,4472,1755,1742,106,366,2,8,23,3888,54,340,20,25,14,155
Gipuzkoa,ERRENTERIA,,67,2,31419,18129,2503,15626,175,15451,13290,4236,1515,525,739,,,,6781,135,1160,,68,,292
Gipuzkoa,ERREZIL,,66,4,483,281,119,162,1,161,202,134,3,2,1,,,,6,0,15,,0,,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,602,404,19,385,4,381,198,151,87,13,15,,,0,77,1,19,,1,,17
Bizkaia,ERRIGOITI,,79,4,441,361,55,306,,306,80,239,6,30,4,1,0,0,6,1,17,0,0,0,2
Gipuzkoa,ESKORIATZA,,34,4,3270,1992,324,1668,8,1660,1278,676,86,117,69,,,,504,11,180,,4,,13
Bizkaia,ETXEBARRI,,29,3,7313,4684,188,4496,43,4453,2629,1395,565,116,176,1,5,8,1887,46,119,10,17,3,105
Bizkaia,ETXEBARRIA,,30,4,637,472,138,334,2,332,165,264,6,12,0,0,0,1,11,1,34,2,0,1,0
Gipuzkoa,EZKIO-ITSASO,,35,3,461,323,113,210,2,208,138,119,1,25,2,,,,4,1,55,,0,,1
Bizkaia,FORUA,,906,4,821,597,145,452,1,451,224,333,7,18,6,0,0,1,42,0,40,0,0,0,4
Bizkaia,FRUIZ,,35,4,346,277,55,222,1,221,69,176,4,7,5,0,0,0,15,1,10,0,1,0,2
Gipuzkoa,GABIRIA,,38,3,362,268,52,216,3,213,94,113,2,58,1,,,,6,1,32,,0,,0
Gipuzkoa,GAINTZA,,37,3,112,69,19,50,1,49,43,34,0,3,5,,,,0,0,7,,0,,0
Bizkaia,GALDAKAO,,36,3,24107,16017,1206,14811,129,14682,8090,6551,1465,476,638,3,16,26,4348,70,771,33,32,19,234
Bizkaia,GALDAMES,,37,2,715,541,62,479,3,476,174,313,17,46,16,0,0,2,48,1,27,2,0,1,3
Bizkaia,GAMIZ-FIKA,,38,4,1064,816,98,718,,718,248,509,24,56,8,0,0,1,52,2,60,0,0,0,6
Bizkaia,GARAI,,39,3,255,205,37,168,2,166,50,122,4,4,0,0,0,0,10,0,25,0,0,0,1
Bizkaia,GATIKA,,40,4,1246,934,100,834,8,826,312,560,27,82,16,0,0,0,68,2,63,1,1,1,5
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,723,594,100,494,6,488,129,351,13,24,6,0,0,0,43,2,45,0,0,1,3
Gipuzkoa,GAZTELU,,907,3,137,92,39,53,,53,45,36,1,1,0,,,,3,0,12,,0,,0
Bizkaia,GERNIKA-LUMO,,46,4,12617,9251,1269,7982,51,7931,3366,4333,413,1080,163,0,7,12,1158,20,680,13,5,9,38
Gipuzkoa,GETARIA,,39,4,2018,1492,324,1168,7,1161,526,757,23,86,29,,,,63,2,200,,0,,1
Bizkaia,GETXO,,44,4,64533,46547,2372,44175,541,43634,17986,16361,10733,964,1035,13,25,50,10718,195,1713,108,83,105,1531
Bizkaia,GIZABURUAGA,,47,4,157,61,,61,1,60,96,45,0,4,3,0,0,0,0,0,8,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1418,1180,39,1141,9,1132,238,657,127,63,45,0,0,1,171,4,35,2,2,4,21
Bizkaia,GORLIZ,,43,4,4183,2996,249,2747,32,2715,1187,1555,186,120,96,1,2,1,437,16,236,13,9,3,40
Bizkaia,GÜEÑES,,45,2,5061,3961,326,3635,23,3612,1100,2094,197,199,96,0,3,6,755,15,169,10,5,2,61
Álava,HARANA/VALLE DE ARANA,,56,2,279,190,11,179,1,178,89,113,24,1,3,,,0,30,0,6,,0,,1
Gipuzkoa,HERNANI,,40,1,15249,8814,2494,6320,102,6218,6435,2092,512,326,297,,,,1992,43,845,,23,,88
Gipuzkoa,HERNIALDE,,41,3,275,145,29,116,2,114,130,73,3,8,4,,,,6,0,17,,1,,2
Gipuzkoa,HONDARRIBIA,,36,2,12782,8130,755,7375,118,7257,4652,3526,591,445,237,,,,1592,33,700,,21,,112
Gipuzkoa,IBARRA,,42,3,3480,2023,454,1569,22,1547,1457,657,98,108,49,,,,401,6,214,,4,,10
Bizkaia,IBARRANGELU,,48,4,538,424,63,361,1,360,114,278,3,16,4,0,0,0,18,1,37,0,0,2,1
Gipuzkoa,IDIAZABAL,,43,3,1777,1229,219,1010,12,998,548,551,39,165,10,,,,73,4,153,,1,,2
Bizkaia,IGORRE,,94,3,3382,2400,445,1955,17,1938,982,1293,64,114,36,1,2,4,198,5,195,2,2,7,15
Gipuzkoa,IKAZTEGIETA,,44,3,353,222,84,138,3,135,131,91,4,3,2,,,,12,1,21,,1,,0
Gipuzkoa,IRUN,,45,2,47090,28772,1497,27275,375,26900,18318,7365,4006,610,1058,,,,11539,186,1331,,123,,682
Gipuzkoa,IRURA,,46,3,1093,662,142,520,10,510,431,273,22,36,10,,,,83,1,80,,3,,2
Álava,IRURAIZ-GAUNA,,27,2,412,257,34,223,11,212,155,98,46,7,5,,,0,28,2,23,,0,,3
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2196,1427,39,1388,29,1359,769,372,332,17,33,,,1,465,17,56,,14,,52
Bizkaia,ISPASTER,,49,4,578,436,68,368,3,365,142,273,6,24,3,0,0,0,10,1,47,0,0,1,0
Gipuzkoa,ITSASONDO,,47,3,510,321,113,208,,208,189,112,6,9,4,,,,32,2,43,,0,,0
Bizkaia,IURRETA,,910,3,3140,2051,293,1758,15,1743,1089,753,222,23,52,0,1,8,537,7,119,4,2,2,13
Bizkaia,IZURTZA,,50,3,225,168,57,111,1,110,57,91,2,4,1,0,0,0,5,1,5,1,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2430,1590,105,1485,16,1469,840,1046,74,38,48,1,0,4,193,0,58,0,3,1,3
Bizkaia,KORTEZUBI,,907,4,346,300,67,233,1,232,46,169,6,26,1,0,0,0,10,0,17,1,1,0,1
Álava,KRIPAN,,19,2,157,128,3,125,,125,29,94,21,0,1,,,0,7,0,2,,0,,0
Álava,KUARTANGO,,20,2,324,220,34,186,3,183,104,115,19,7,3,,,0,20,1,15,,1,,2
Álava,LABASTIDA/BASTIDA,,28,2,1131,758,44,714,16,698,373,201,219,15,47,,,0,159,2,30,,1,,24
Álava,LAGRÁN,,30,2,177,125,2,123,1,122,52,43,44,2,2,,,0,23,2,3,,1,,2
Álava,LAGUARDIA,,31,2,1235,890,30,860,12,848,345,298,303,45,19,,,0,143,4,14,,2,,20
Álava,LANCIEGO/LANTZIEGO,,32,2,547,396,16,380,,380,151,151,103,14,3,,,0,92,2,11,,0,,4
Bizkaia,LANESTOSA,,51,2,240,174,4,170,,170,66,96,19,3,2,0,0,0,37,0,6,2,0,0,5
Álava,LANTARÓN,,902,2,812,517,17,500,6,494,295,180,145,6,30,,,1,89,12,18,,1,,12
Álava,LAPUEBLA DE LABARCA,,33,2,699,517,14,503,2,501,182,261,99,34,3,,,0,90,0,6,,2,,6
Bizkaia,LARRABETZU,,52,4,1491,1155,331,824,7,817,336,576,23,18,26,0,0,0,52,2,112,1,0,1,6
Gipuzkoa,LARRAUL,,48,3,179,100,34,66,1,65,79,33,0,6,2,,,,7,2,15,,0,,0
Gipuzkoa,LASARTE-ORIA,,902,1,14275,9134,817,8317,105,8212,5141,2092,991,226,279,,,,3816,59,528,,46,,175
Álava,LAUDIO/LLODIO,,36,3,15358,10445,1026,9419,97,9322,4913,4500,1189,273,257,,,9,2482,43,441,,40,,88
Bizkaia,LAUKIZ,,53,4,836,667,51,616,1,615,169,395,76,27,5,0,0,0,88,0,16,1,0,1,6
Gipuzkoa,LAZKAO,,49,3,4094,2679,549,2130,33,2097,1415,913,114,157,62,,,,616,13,213,,2,,7
Gipuzkoa,LEABURU,,50,3,310,198,93,105,1,104,112,80,3,5,0,,,,2,0,14,,0,,0
Gipuzkoa,LEGAZPI,,51,3,7162,4767,573,4194,38,4156,2395,1695,319,290,165,,,,1114,15,526,,10,,22
Gipuzkoa,LEGORRETA,,52,3,1171,794,196,598,5,593,377,320,33,18,23,,,,123,0,74,,1,,1
Álava,LEGUTIO,,58,2,1263,779,131,648,5,643,484,282,49,78,26,,,0,144,3,55,,3,,3
Gipuzkoa,LEINTZ-GATZAGA,,68,4,207,131,46,85,,85,76,66,1,3,3,,,,2,0,10,,0,,0
Bizkaia,LEIOA,,54,4,23548,16193,871,15322,170,15152,7355,5946,2004,350,628,2,12,48,4924,78,525,51,52,35,497
Bizkaia,LEKEITIO,,57,4,6069,4354,1103,3251,14,3237,1715,2062,92,465,68,0,0,0,175,8,355,3,0,3,6
Bizkaia,LEMOA,,55,3,2510,1910,283,1627,25,1602,600,908,93,139,54,0,0,5,278,7,102,0,2,4,10
Bizkaia,LEMOIZ,,56,4,837,603,78,525,4,521,234,386,16,21,19,0,0,0,39,1,37,1,0,0,1
Álava,LEZA,,34,2,176,131,13,118,2,116,45,50,12,16,1,,,0,28,0,5,,2,,2
Bizkaia,LEZAMA,,81,4,1934,1405,155,1250,12,1238,529,822,67,47,35,0,1,0,175,4,68,3,1,3,12
Gipuzkoa,LEZO,,53,2,4853,2557,776,1781,37,1744,2296,733,112,61,57,,,,515,5,230,,7,,24
Gipuzkoa,LIZARTZA,,54,3,498,345,205,140,5,135,153,88,13,7,2,,,,3,0,22,,0,,0
Bizkaia,LOIU,,903,4,1680,1308,70,1238,10,1228,372,826,141,26,19,0,0,2,143,3,41,1,3,5,18
Bizkaia,MALLABIA,,58,3,988,641,178,463,2,461,347,271,27,17,8,0,0,0,96,3,37,0,0,0,2
Bizkaia,MARKINA-XEMEIN,,60,4,3675,2417,458,1959,18,1941,1258,1379,54,73,37,0,0,1,107,1,283,0,0,1,5
Bizkaia,MARURI-JATABE,,61,4,726,577,55,522,2,520,149,329,28,33,17,0,0,0,59,3,46,1,0,0,4
Bizkaia,MAÑARIA,,59,3,383,296,76,220,1,219,87,163,5,10,4,0,0,0,12,0,24,0,1,0,0
Gipuzkoa,MENDARO,,901,4,1489,982,83,899,14,885,507,460,30,48,17,,,,208,3,113,,2,,4
Bizkaia,MENDATA,,62,4,313,252,35,217,1,216,61,161,3,36,2,0,0,0,5,0,8,0,0,1,0
Bizkaia,MENDEXA,,63,4,363,276,111,165,4,161,87,120,0,8,7,0,0,0,7,2,17,0,0,0,0
Bizkaia,MEÑAKA,,64,4,572,464,51,413,,413,108,228,9,93,8,0,0,0,22,0,50,0,1,2,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,227,183,6,177,3,174,44,49,42,0,2,,,0,68,6,3,,1,,3
Bizkaia,MORGA,,66,4,360,272,30,242,,242,88,204,4,10,2,0,0,0,3,2,15,1,0,0,1
Bizkaia,MUNDAKA,,68,4,1579,1238,146,1092,13,1079,341,805,18,96,15,1,0,0,60,3,79,2,0,0,0
Bizkaia,MUNGIA,,69,4,12137,8675,514,8161,64,8097,3462,4929,628,431,203,1,1,8,1257,28,484,9,16,9,93
Álava,MUNICIPIO CERA ARABA,,999,99,3476,436,3,433,1,432,3040,146,83,6,16,,,3,140,13,7,,6,,12
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,23371,3733,51,3682,35,3647,19638,1410,548,80,96,1,16,24,1182,38,53,74,24,23,78
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,16863,3208,105,3103,12,3091,13655,1135,366,133,126,,,,951,62,189,,29,,100
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,347,249,2,247,65,182,98,152,4,3,1,0,0,0,4,0,18,0,0,0,0
Bizkaia,MURUETA,,908,4,248,193,42,151,,151,55,114,0,6,2,0,0,0,15,0,11,0,0,2,1
Bizkaia,MUSKIZ,,71,2,5972,4302,320,3982,44,3938,1670,1923,200,314,171,2,4,5,1072,15,183,15,6,6,22
Gipuzkoa,MUTILOA,,57,3,188,104,28,76,,76,84,51,0,1,2,,,,3,1,18,,0,,0
Gipuzkoa,MUTRIKU,,56,4,3984,2472,500,1972,28,1944,1512,1254,86,108,38,,,,164,55,230,,1,,8
Bizkaia,MUXIKA,,67,4,1216,913,179,734,6,728,303,513,13,75,8,0,0,4,34,0,80,0,0,0,1
Bizkaia,NABARNIZ,,909,4,194,171,51,120,2,118,23,98,0,9,1,0,0,0,0,0,9,0,0,1,0
Álava,NAVARIDAS,,41,2,160,106,2,104,2,102,54,33,48,3,1,,,0,12,0,2,,1,,2
Gipuzkoa,OIARTZUN,,63,2,7854,4786,1787,2999,36,2963,3068,1510,174,239,122,,,,384,14,491,,4,,25
Álava,OKONDO,,42,3,878,679,92,587,2,585,199,352,50,99,6,,,1,34,3,34,,4,,2
Gipuzkoa,OLABERRIA,,58,3,783,551,74,477,5,472,232,186,47,20,9,,,,156,4,46,,1,,3
Bizkaia,ONDARROA,,73,4,7231,4862,1580,3282,26,3256,2369,2190,204,200,39,6,0,4,233,4,366,3,1,2,4
Gipuzkoa,ORDIZIA,,76,3,7015,4595,775,3820,40,3780,2420,1452,283,226,158,,,,1107,21,493,,10,,30
Gipuzkoa,ORENDAIN,,905,3,151,101,38,63,,63,50,39,0,9,1,,,,0,0,14,,0,,0
Gipuzkoa,OREXA,,60,3,95,80,70,10,4,6,15,5,0,0,0,,,,0,0,1,,0,,0
Gipuzkoa,ORIO,,61,4,3862,2566,353,2213,15,2198,1296,1334,59,116,70,,,,288,10,310,,6,,5
Gipuzkoa,ORMAIZTEGI,,62,3,1017,718,148,570,6,564,299,327,32,24,20,,,,65,0,88,,5,,3
Bizkaia,OROZKO,,75,3,1892,1422,138,1284,5,1279,470,923,97,62,17,0,1,1,84,1,82,1,3,2,5
Bizkaia,ORTUELLA,,83,2,7166,4799,233,4566,40,4526,2367,2044,235,144,178,0,3,14,1683,15,124,14,9,7,56
Bizkaia,OTXANDIO,,72,3,996,746,236,510,1,509,250,329,32,29,15,0,0,0,41,0,61,0,0,0,2
Álava,OYÓN-OION,,43,2,2320,1321,89,1232,8,1224,999,355,360,23,26,,,3,382,4,37,,6,,28
Gipuzkoa,OÑATI,,59,4,8769,5900,946,4954,40,4914,2869,2528,253,326,223,,,,612,10,950,,5,,7
Gipuzkoa,PASAIA,,64,2,12577,6739,1288,5451,85,5366,5838,1790,592,299,252,,,,1862,29,443,,24,,75
Álava,PEÑACERRADA-URIZAHARRA,,44,2,245,186,18,168,2,166,59,64,38,19,8,,,0,28,4,3,,0,,2
Bizkaia,PLENTZIA,,77,4,3341,2461,195,2266,20,2246,880,1357,200,95,59,0,1,4,308,13,159,5,3,4,38
Bizkaia,PORTUGALETE,,78,2,40796,26678,1113,25565,264,25301,14118,8257,3562,363,1169,1,5,34,10578,110,555,68,53,52,494
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,879,581,15,566,6,560,298,158,161,5,15,,,0,178,5,8,,7,,23
Álava,SAMANIEGO,,52,2,234,189,12,177,,177,45,91,12,2,7,,,2,50,0,9,,0,,4
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,611,334,45,289,2,287,277,175,36,9,16,,,0,25,1,23,,0,,2
Bizkaia,SANTURTZI,,82,2,38990,24628,1414,23214,230,22984,14362,8876,2763,316,950,4,11,37,8940,83,509,43,51,47,354
Gipuzkoa,SEGURA,,70,3,1084,764,207,557,8,549,320,316,11,102,7,,,,19,6,88,,0,,0
Bizkaia,SESTAO,,84,2,24456,14729,765,13964,146,13818,9727,4551,1711,223,744,5,12,29,5906,53,292,46,33,23,190
Bizkaia,SONDIKA,,904,4,3609,2707,153,2554,28,2526,902,1497,245,81,41,0,0,2,523,10,96,6,1,4,20
Bizkaia,SOPELA,,85,4,9652,6485,668,5817,73,5744,3167,2890,415,194,286,7,2,5,1380,49,367,20,13,3,113
