TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,LKI-LCR,PCE-EPK,A.I.LL.,UCD,ESEI,PSOE(H),ORT,UFV,EMK-OIC,IRE,C.I.,PTE,IND. ALEGRIA-DUL. 79,IND. AMURRIO 79,IND. ARAMAIO 79,IND. ARTZINIEGA 79,IND. 1 ASPARRENA 79,IND. 2 ASPARRENA 79,IND. AIARA 79,IND. KUARTANGO 79,IND. ELCIEGO 79,IND. ELVILLAR 79,IND. 1 IRUÑA OKA 79,IND. 2 IRUÑA OKA 79,IND. LABASTIDA 79,IND. LAGUARDA 79,IND. LAUDIO 79,IND. MOREDA 79,IND. OKONDO 79,IND. 1 OION 79,IND. 2 OION 79,IND. RIBERA BAJA 79,IND. AÑANA 79,IND. 1 AGURAIN 79,IND. 2 AGURAIN 79,IND. VALDEGOVIA 79,IND. HARANA 79,IND. 1 VITORIA-G. 79,IND. 2 VITORIA-G. 79,IND. 1 ZALDUONDO 79,IND. 2 ZALDUONDO 79,IND. ZUIA 79,IND. ABADIÑO 79,IND. ABANTO-ZIER. 79,IND. AMOROTO 79,IND. ARAKALDO 79,IND. ARANTZAZU 79,IND. MUNITIBAR 79,IND. ARCENTALES 79,IND. AREATZA 79,IND. ARRIETA 79,IND. ARRIGORRIAGA 79,IND. ATXONDO 79,IND. AULESTI 79,IND. BALMASEDA 79,IND. BARAKALDO 79,IND. BEDIA 79,IND. BERANGO 79,IND. MUNGIA 79,IND. BERRIZ 79,IND. KARRANTZA 79,IND. ZEANURI 79,IND. EA 79,IND. ETXEBARRIA 79,IND. ELORRIO 79,IND. 1 EREÑO 79,IND. ERMUA 79,IND. GALDAKAO 79,IND. GALDAMES 79,IND. GAMIZ-FIKA 79,IND. GARAI 79,IND. GATIKA 79,IND. GAUT.ARTEAGA 79,IND. GERNIKA -LUM 79,IND. GORDEXOLA 79,IND. GIZABURUAGA 79,IND. ISPASTER 79,IND. IZURTZA 79,IND. LANESTOSA 79,IND. LARRABETZU 79,IND. LAUKIZ 79,IND. LEIOA 79,IND. LEKEITIO 79,IND. LEMOA 79,IND .LEMOIZ 79,IND. LEZAMA 79,IND. MALLABIA 79,IND. MAÑARIA 79,IND. MARKINA 79,IND. MENDEXA 79,IND. UGAO-MIRAV. 79,IND. MUSKIZ 79,IND. ORDUÑA 79,IND. OROZKO 79,IND. ORTUELLA 79,IND. OTXANDIO 79,IND. ERRIGOITI 79,IND. SOPELANA 79,IND. SOPUERTA 79,IND. TURTZIOZ 79,IND. UBIDE 79,IND. 1 ZALDIBAR.79,IND. 1 ZARATAMO 79,IND. 2 ZARATAMO 79,IND. ZEBERIO 79,IND. ABALTZISKETA 79,IND. ADUNA 79,IND. AIZARNAZABAL 79,IND. ALBIZTUR 79,IND. ALEGIA 79,IND. ALKIZA 79,IND. ALTZO 79,IND. AMEZKETA 79,IND. ANOETA 79,IND. ANTZUOLA 79,IND. ARAMA 79,IND. ARRASATE 79,IND. ASTEASU 79,IND. AZKOITIA 79,IND. BEIZAMA 79,IND. 1 BELAUNTZA 79,IND. 2 BELAUNTZA 79,IND. 1 BERASTEGI 79,IND. 2 BERASTEGI 79,IND. 1 BERROBI 79,IND. 2 BERROBI 79,IND. BIDEGOIAN  79,IND. ARRANKUDIAGA 79,IND. ELDUAIN 79,IND. 1 ELGETA 79,IND. 2 ELGETA 79,IND. 1 ELGOIBAR 79,IND. 2 ELGOIBAR 79,IND. ESKORIATZA 79,IND. EZKIO-ITSASO 79,IND. GABIRIA 79,IND. GAINTZA 79,IND. GETARIA 79,IND. HERNANI 79,IND. 1 HERNIALADE 79,IND. 2 HERNIAALDE 79,IND. HONDARRIBIA 79,IND. IDIAZABAL 79,IND. IRUN 79,IND. 1 ITSASONDO 79,IND. 2 ITSASONDO 79,IND. LARRAUL 79,IND. LAZKAO 79,IND. 1 LEABURU-G. 79,IND. 2 LEABURU-G. 79,IND. LEGORRETA 79,IND. LEZO 79,IND. LIZARTZA 79,IND. MUTILOA 79,IND. MUTRIKU 79,IND. OLABERRIA 79,IND. OÑATI 79,IND. OREXA 79,IND. OIARTZUN 79,IND. SORALUZE 79,IND. ERREZIL 79,IND. SEGURA 79,IND. URRETXU 79,IND. USURBIL 79,IND. VILLABONA 79,IND. ZALDIBIA 79,IND. ZARAUTZ 79,IND. ZEGAMA 79,IND. ZERAIN 79,IND. ZESTOA 79,IND. 2 EREÑO 79,IND. 2 ZALDIBAR 79
Gipuzkoa,ALKIZA,,6,3,216,160,,160,,160,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZO,,7,3,257,194,,194,,194,63,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AMEZKETA,,8,3,915,286,4,258,24,258,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,10757,7255,55,7161,39,7161,3502,2989,914,1628,255,,417,655,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOROTO,,4,4,327,241,,241,,241,86,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AMURRIO,,2,3,6174,4071,23,4033,15,4033,2103,1508,674,,,,,,,673,,,,,,,,,,1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANDOAIN,,9,3,10575,6781,139,6583,59,6583,3794,2727,1016,,1779,,,314,,,,,,,436,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANOETA,,10,3,1030,756,13,743,,743,274,197,38,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANTZUOLA,,11,4,1649,1310,12,1287,11,1287,339,608,164,,,,98,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARAKALDO,,5,3,127,100,7,93,,93,27,,,,0,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARAMA,,12,3,147,115,2,113,,113,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARAMAIO,,3,2,1169,878,17,861,,861,291,563,,,,,,,,,,,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARANTZAZU,,6,3,224,191,,189,2,189,33,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AREATZA,,93,3,1019,757,31,725,1,725,262,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARETXABALETA,,13,4,4236,3107,38,3054,15,3054,1129,1651,392,760,,,,167,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARMIÑÓN,,6,2,147,100,,95,5,100,47,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRAIA-MAEZTU,,37,2,791,476,5,470,1,470,315,294,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRANKUDIAGA,,9,3,658,537,1,531,5,531,121,263,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,18794,11651,157,11343,151,11343,7143,4747,1686,1977,963,,364,442,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,563,370,14,354,2,354,193,134,99,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIETA,,10,4,523,274,,274,,274,249,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIGORRIAGA,,11,3,7099,4500,77,4404,20,4404,2599,1734,292,1356,,,,346,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTEA,,23,3,571,460,9,451,,451,111,295,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTZENTALES,,8,2,591,403,2,401,,401,188,227,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARTZINIEGA,,4,3,839,694,18,674,2,674,145,178,13,,,,,,,383,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ASPARRENA,,9,2,1418,1005,24,978,3,978,413,338,,,,,,,,,,,,,,,,,,,,,500,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTEASU,,14,3,943,634,5,627,2,627,309,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ATAUN,,15,3,1618,1034,1,1028,5,1028,584,341,,523,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ATXONDO,,91,3,927,627,4,622,1,622,300,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AULESTI,,70,4,611,325,21,288,16,288,286,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AYALA/AIARA,,10,3,1797,1372,5,1360,7,1360,425,581,,,,,,,,363,,,,148,,,,,,,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZKOITIA,,17,4,7917,5325,163,5105,57,5105,2592,2588,478,645,,601,,148,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZPEITIA,,18,4,8916,5777,87,5608,82,5608,3139,3297,312,,1169,423,165,77,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
