TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,PSE-EE/PSOE,ATTKA/PACMA,UPYD,Cs,EH BILDU,VOX,PODEMOS-AHAL DUGU,IRABAZI,IKUNE,VOX / PFYV
Bizkaia,AMOREBIETA-ETXANO,,3,3,14314,9482,123,9359,115,9244,4832,3910,249,25,,819,84,39,,2719,12,1202,185,,
Bizkaia,AMOROTO,,4,4,327,225,,225,6,219,102,112,0,,,0,0,0,0,100,,7,0,,0
Álava,AMURRIO,,2,3,8167,5494,103,5391,84,5307,2673,1921,349,,,380,,,46,1454,16,957,50,134,
Gipuzkoa,ANDOAIN,,9,3,11601,7212,96,7116,109,7007,4389,1748,341,,,1645,,,,2012,,1029,232,,
Gipuzkoa,ANOETA,,10,3,1473,1022,9,1013,10,1003,451,375,17,,,54,,,,476,,74,7,,
Gipuzkoa,ANTZUOLA,,11,4,1673,1172,12,1160,17,1143,501,360,9,,,90,,,,645,,35,4,,
Bizkaia,ARAKALDO,,5,3,115,88,,88,3,85,27,45,0,0,,0,1,0,,29,0,8,2,,
Gipuzkoa,ARAMA,,12,3,147,112,,112,4,108,35,37,2,,,2,,,,55,,11,1,,
Álava,ARAMAIO,,3,2,1195,841,17,824,9,815,354,248,5,,,10,,,0,495,3,47,7,,
Bizkaia,ARANTZAZU,,6,3,297,265,6,259,6,253,32,114,0,0,,1,0,0,,124,1,12,1,,
Bizkaia,AREATZA,,93,3,904,749,19,730,12,718,155,328,27,0,,14,3,1,,309,0,33,3,,
Gipuzkoa,ARETXABALETA,,13,4,5401,3650,40,3610,35,3575,1751,1462,58,,,288,,,,1289,,371,107,,
Álava,ARMIÑÓN,,6,2,177,120,6,114,4,110,57,24,33,,,11,,,3,12,0,26,1,,
Álava,ARRAIA-MAEZTU,,37,2,590,455,9,446,2,444,135,202,53,,,14,,,6,133,0,33,3,,
Bizkaia,ARRANKUDIAGA,,9,3,781,644,5,639,15,624,137,287,8,1,,9,3,1,,296,0,17,2,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17591,10818,112,10706,140,10566,6773,3586,434,,,1358,,,,3355,,1414,419,,
Bizkaia,ARRATZU,,914,4,330,288,4,284,1,283,42,161,0,,,1,0,0,0,118,,3,0,,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,795,517,8,509,14,495,278,180,74,,,27,,,17,148,2,38,9,,
Bizkaia,ARRIETA,,10,4,457,348,1,347,4,343,109,187,0,,,6,1,0,1,128,,13,7,,0
Bizkaia,ARRIGORRIAGA,,11,3,9710,6119,95,6024,91,5933,3591,2230,272,14,,702,61,38,,1414,15,1063,124,,
Bizkaia,ARTEA,,23,3,595,484,14,470,5,465,111,237,9,0,,4,3,1,,184,2,24,1,,
Bizkaia,ARTZENTALES,,8,2,607,447,17,430,6,424,160,274,7,,1,7,,2,6,93,0,30,3,1,
Álava,ARTZINIEGA,,4,3,1414,984,21,963,13,950,430,360,126,,,38,,,16,292,2,96,14,6,
Álava,ASPARRENA,,9,2,1285,931,11,920,50,870,354,306,52,,,42,,,8,348,1,100,13,,
Gipuzkoa,ASTEASU,,14,3,1119,702,6,696,12,684,417,217,5,,,18,,,,382,,57,5,,
Gipuzkoa,ASTIGARRAGA,,903,1,4187,2665,37,2628,35,2593,1522,942,62,,,224,,7,34,942,,336,46,,
Gipuzkoa,ATAUN,,15,3,1278,997,15,982,30,952,281,340,1,,,3,,,,564,,39,5,,
Bizkaia,ATXONDO,,91,3,1142,815,10,805,20,785,327,328,17,0,,33,4,0,,339,0,62,2,,
Bizkaia,AULESTI,,70,4,546,409,7,402,8,394,137,125,1,,,1,0,0,0,266,,1,0,,0
Álava,AYALA/AIARA,,10,3,2264,1631,32,1599,23,1576,633,612,123,,,60,,,12,502,1,174,13,79,
Gipuzkoa,AZKOITIA,,17,4,8609,5948,53,5895,79,5816,2661,2743,155,,,418,,,,2043,,379,78,,
Gipuzkoa,AZPEITIA,,18,4,11081,7280,55,7225,115,7110,3801,3048,132,,,214,,,,3440,,245,31,,
Álava,AÑANA,,49,2,143,119,,119,,119,24,57,10,,,4,,,4,32,3,8,1,,
Bizkaia,BAKIO,,12,4,2034,1560,28,1532,24,1508,474,749,34,,,27,13,0,25,541,,101,18,,0
Gipuzkoa,BALIARRAIN,,904,3,99,50,,50,1,49,49,5,0,,,0,,,,42,,2,0,,
Bizkaia,BALMASEDA,,90,2,6090,4354,143,4211,64,4147,1736,2001,178,,16,602,,17,67,638,11,555,37,25,
Bizkaia,BARAKALDO,,13,2,80336,47153,736,46417,680,45737,33183,12044,4199,,165,10888,,405,1036,5870,231,8053,2332,514,
Bizkaia,BARRIKA,,14,4,1223,822,13,809,20,789,401,339,33,,,43,8,2,13,217,,121,13,,0
Álava,BARRUNDIA,,13,2,714,464,5,459,2,457,250,142,44,,,7,,,12,180,3,58,11,,
Bizkaia,BASAURI,,15,3,33988,20659,257,20402,308,20094,13329,7619,1595,82,,3700,162,134,,2690,37,3549,526,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,237,204,7,197,15,182,33,72,81,,,17,,,3,5,0,3,1,,
Gipuzkoa,BEASAIN,,19,3,10073,6241,59,6182,82,6100,3832,2624,210,,,778,,,,1653,,738,97,,
Bizkaia,BEDIA,,92,3,832,618,15,603,14,589,214,336,17,1,,30,1,2,,147,3,47,5,,
Gipuzkoa,BEIZAMA,,20,4,130,93,,93,2,91,37,34,2,,,0,,,,50,,3,2,,
Gipuzkoa,BELAUNTZA,,21,3,201,158,3,155,6,149,43,55,2,,,1,,,,75,,15,1,,
Bizkaia,BERANGO,,16,4,5263,3348,48,3300,46,3254,1915,1172,227,,,253,21,11,135,771,,585,75,,4
Álava,BERANTEVILLA,,14,2,370,274,7,267,8,259,96,84,70,,,22,,,10,26,5,34,8,,
Gipuzkoa,BERASTEGI,,22,3,823,520,3,517,17,500,303,183,4,,,2,,,,289,,21,1,,
Gipuzkoa,BERGARA,,74,4,11625,7312,64,7248,78,7170,4313,3008,130,,,448,,,,2744,,574,266,,
Bizkaia,BERMEO,,17,4,13365,8565,95,8470,103,8367,4800,4029,111,,,232,50,13,40,3049,,756,80,,7
Álava,BERNEDO,,16,2,447,249,4,245,8,237,198,93,48,,,9,,,3,57,0,27,0,,
Bizkaia,BERRIATUA,,18,4,881,582,3,579,7,572,299,240,1,,,4,6,0,2,289,,29,1,,0
Bizkaia,BERRIZ,,19,3,3603,2344,27,2317,26,2291,1259,933,85,5,,227,17,11,,668,0,317,28,,
Gipuzkoa,BERROBI,,23,3,446,275,12,263,5,258,171,57,9,,,2,,,,168,,19,3,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,391,288,2,286,5,281,103,97,3,,,3,,,,166,,10,2,,
Bizkaia,BILBAO,,20,1,274353,162830,1489,161341,2415,158926,111523,59712,19313,295,,19233,1497,1230,5636,21630,,24423,5357,,600
Bizkaia,BUSTURIA,,21,4,1365,940,13,927,12,915,425,473,13,,,42,2,3,4,302,,66,8,,2
Álava,CAMPEZO/KANPEZU,,17,2,871,607,11,596,27,569,264,259,75,,,22,,,7,147,0,50,9,,
Gipuzkoa,DEBA,,29,4,4295,3169,32,3137,62,3075,1126,1280,83,,,184,,,,1160,,292,76,,
Bizkaia,DERIO,,901,4,4731,3131,50,3081,69,3012,1600,1198,129,,,499,21,10,66,613,,416,50,,10
Bizkaia,DIMA,,26,3,1119,914,24,890,7,883,205,363,5,0,,5,3,2,,462,0,39,4,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147314,98401,668,97733,1220,96513,48913,28342,9331,,,20940,,574,3018,19016,,12762,2530,,
Bizkaia,DURANGO,,27,3,21985,13911,158,13753,202,13551,8074,4982,935,24,,1239,73,94,,3841,23,2143,197,,
Bizkaia,EA,,28,4,723,576,5,571,3,568,147,246,3,,,1,0,0,0,302,,14,2,,0
Gipuzkoa,EIBAR,,30,4,21630,13447,133,13314,203,13111,8183,3426,694,,,4361,,,,3061,,1227,342,,
Bizkaia,ELANTXOBE,,31,4,341,272,2,270,3,267,69,162,0,,,0,1,0,0,103,,1,0,,0
Álava,ELBURGO/BURGELU,,21,2,465,282,4,278,4,274,183,136,49,,,13,,,6,35,1,22,12,,
Álava,ELCIEGO,,22,2,824,641,25,616,19,597,183,151,136,,,137,,,23,59,5,70,16,,
Gipuzkoa,ELDUAIN,,31,3,180,108,1,107,1,106,72,34,0,,,1,,,,68,,2,1,,
Gipuzkoa,ELGETA,,33,4,868,654,10,644,9,635,214,220,10,,,12,,,,332,,49,12,,
Gipuzkoa,ELGOIBAR,,32,4,8834,5618,77,5541,96,5445,3216,2469,251,,,622,,,,1583,,464,56,,
Bizkaia,ELORRIO,,32,3,5751,4124,76,4048,59,3989,1627,1510,194,2,,230,12,12,,1636,6,368,19,,
Álava,ELVILLAR/BILAR,,23,2,277,203,6,197,13,184,74,87,35,,,20,,,1,32,1,7,1,,
Bizkaia,ERANDIO,,902,4,19159,11399,184,11215,167,11048,7760,4232,582,,,1660,97,49,198,1688,,2237,286,,19
Bizkaia,EREÑO,,33,4,214,179,1,178,3,175,35,102,2,,,0,0,0,1,55,,12,2,,1
Bizkaia,ERMUA,,34,3,12954,8093,122,7971,139,7832,4861,1339,955,22,,2481,101,102,,1058,14,1255,505,,
Gipuzkoa,ERRENTERIA,,67,2,30908,18809,196,18613,219,18394,12099,3100,858,,,4600,,90,324,5195,,3368,859,,
Gipuzkoa,ERREZIL,,66,4,455,313,7,306,,306,142,83,0,,,0,,,,215,,8,0,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,613,457,6,451,6,445,156,187,81,,,25,,,10,68,8,60,6,,
Bizkaia,ERRIGOITI,,79,4,426,357,5,352,12,340,69,169,8,,,3,0,0,0,147,,11,2,,0
Gipuzkoa,ESKORIATZA,,34,4,3169,2101,30,2071,32,2039,1068,922,31,,,158,,,,645,,197,86,,
Bizkaia,ETXEBARRI,,29,3,8293,5098,70,5028,149,4879,3195,1486,330,21,,859,70,82,,621,23,1248,139,,
Bizkaia,ETXEBARRIA,,30,4,609,526,3,523,5,518,83,284,1,,,3,0,0,0,220,,2,0,,8
Gipuzkoa,EZKIO-ITSASO,,35,3,489,334,6,328,6,322,155,98,0,,,10,,,,183,,26,5,,
Bizkaia,FORUA,,906,4,776,649,4,645,9,636,127,339,11,,,13,1,0,2,248,,21,1,,0
Bizkaia,FRUIZ,,35,4,421,321,,321,4,317,100,180,1,,,3,0,0,4,105,,22,2,,0
Gipuzkoa,GABIRIA,,38,3,390,261,1,260,7,253,129,104,1,,,7,,,,125,,12,4,,
Gipuzkoa,GAINTZA,,37,3,98,69,,69,2,67,29,31,0,,,0,,,,29,,7,0,,
Bizkaia,GALDAKAO,,36,3,24165,14699,253,14446,260,14186,9466,5377,752,29,,1599,127,133,,3106,26,2479,558,,
Bizkaia,GALDAMES,,37,2,684,537,10,527,9,518,147,281,5,,1,19,,0,2,174,0,27,8,1,
Bizkaia,GAMIZ-FIKA,,38,4,1111,805,9,796,10,786,306,405,16,,,8,0,1,3,303,,45,5,,0
Bizkaia,GARAI,,39,3,243,209,2,207,4,203,34,111,5,0,,5,1,1,,72,0,6,2,,
Bizkaia,GATIKA,,40,4,1293,926,30,896,18,878,367,485,11,,,18,4,1,8,278,,66,4,,3
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,699,555,4,551,13,538,144,322,5,,,10,4,0,4,160,,31,2,,0
Gipuzkoa,GAZTELU,,907,3,125,97,2,95,1,94,28,35,0,,,1,,,,51,,2,5,,
Bizkaia,GERNIKA-LUMO,,46,4,12623,8671,91,8580,111,8469,3952,4304,232,,,381,31,15,56,2752,,606,88,,4
Gipuzkoa,GETARIA,,39,4,2098,1654,15,1639,23,1616,444,699,13,,,27,,,,790,,76,11,,
Bizkaia,GETXO,,44,4,63253,40163,367,39796,720,39076,23090,14071,7107,,,3053,331,302,2179,5669,,5080,707,,577
Bizkaia,GIZABURUAGA,,47,4,162,112,,112,1,111,50,31,1,,,0,0,0,0,68,,10,1,,0
Bizkaia,GORDEXOLA,,42,2,1387,1082,30,1052,15,1037,305,615,72,,2,40,,10,23,155,4,87,23,6,
Bizkaia,GORLIZ,,43,4,4396,2845,48,2797,52,2745,1551,1294,134,,,122,29,11,47,682,,373,47,,6
Bizkaia,GÜEÑES,,45,2,5126,3780,104,3676,82,3594,1346,1709,122,,5,353,,18,24,951,4,365,31,12,
Álava,HARANA/VALLE DE ARANA,,56,2,222,155,1,154,4,150,67,91,15,,,4,,,0,36,0,3,1,,
Gipuzkoa,HERNANI,,40,1,15252,9231,110,9121,146,8975,6021,1935,302,,,1082,,30,112,4036,,1341,137,,
Gipuzkoa,HERNIALDE,,41,3,264,142,1,141,7,134,122,51,1,,,2,,,,58,,19,3,,
Gipuzkoa,HONDARRIBIA,,36,2,13137,8203,100,8103,163,7940,4934,3880,395,,,644,,39,195,1606,,1057,124,,
Gipuzkoa,IBARRA,,42,3,3269,2116,28,2088,40,2048,1153,743,57,,,165,,,,872,,190,21,,
Bizkaia,IBARRANGELU,,48,4,557,442,8,434,14,420,115,209,2,,,10,1,1,1,167,,20,9,,0
Gipuzkoa,IDIAZABAL,,43,3,1749,1282,18,1264,29,1235,467,635,27,,,32,,,,476,,59,6,,
Bizkaia,IGORRE,,94,3,3218,2299,32,2267,28,2239,919,1015,33,6,,56,3,2,,1005,3,103,13,,
Gipuzkoa,IKAZTEGIETA,,44,3,367,254,1,253,8,245,113,97,1,,,2,,,,126,,19,0,,
Gipuzkoa,IRUN,,45,2,46694,28223,286,27937,379,27558,18471,6414,2404,,,7245,,265,1113,3605,,5660,852,,
Gipuzkoa,IRURA,,46,3,1168,802,3,799,21,778,366,351,10,,,45,,,,294,,69,9,,
Álava,IRURAIZ-GAUNA,,27,2,414,263,4,259,7,252,151,96,39,,,6,,,5,72,0,29,5,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2313,1529,52,1477,30,1447,784,267,277,,,414,,,42,211,6,167,63,,
Bizkaia,ISPASTER,,49,4,551,435,2,433,14,419,116,241,3,,,0,0,2,1,139,,31,1,,1
Gipuzkoa,ITSASONDO,,47,3,481,297,2,295,4,291,184,87,0,,,12,,,,170,,20,2,,
Bizkaia,IURRETA,,910,3,2980,1931,12,1919,15,1904,1049,725,141,5,,241,7,5,,590,0,179,11,,
Bizkaia,IZURTZA,,50,3,208,163,3,160,2,158,45,59,2,1,,2,0,0,,85,0,8,1,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2376,1844,36,1808,57,1751,532,1214,35,,3,66,,9,7,225,0,179,10,3,
Bizkaia,KORTEZUBI,,907,4,359,308,,308,4,304,51,167,0,,,0,0,0,1,122,,12,1,,1
Álava,KRIPAN,,19,2,145,113,2,111,2,109,32,72,13,,,3,,,0,14,0,7,0,,
Álava,KUARTANGO,,20,2,322,245,3,242,3,239,77,119,27,,,4,,,1,75,0,9,4,,
Álava,LABASTIDA/BASTIDA,,28,2,1087,770,18,752,20,732,317,236,232,,,62,,,15,123,0,53,11,,
Álava,LAGRÁN,,30,2,155,121,3,118,2,116,34,48,28,,,10,,,2,18,0,10,0,,
Álava,LAGUARDIA,,31,2,1203,967,44,923,17,906,236,243,326,,,53,,,55,169,1,54,5,,
Álava,LANCIEGO/LANTZIEGO,,32,2,527,342,14,328,1,327,185,128,73,,,36,,,10,49,2,26,3,,
Bizkaia,LANESTOSA,,51,2,219,178,,178,2,176,41,77,4,,0,16,,1,2,52,3,20,1,0,
Álava,LANTARÓN,,902,2,753,454,5,449,11,438,299,168,97,,,28,,,15,81,1,42,6,,
Álava,LAPUEBLA DE LABARCA,,33,2,657,557,9,548,10,538,100,273,92,,,64,,,14,73,1,18,3,,
Bizkaia,LARRABETZU,,52,4,1570,1237,13,1224,15,1209,333,465,16,,,16,5,2,7,620,,69,8,,1
Gipuzkoa,LARRAUL,,48,3,174,102,3,99,,99,72,23,0,,,2,,,,59,,12,3,,
Gipuzkoa,LASARTE-ORIA,,902,1,14184,9483,68,9415,118,9297,4701,1614,559,,,3065,,46,189,2166,,1527,131,,
Álava,LAUDIO/LLODIO,,36,3,15088,9352,125,9227,172,9055,5736,2532,670,,,1046,,,108,2582,15,1200,94,808,
Bizkaia,LAUKIZ,,53,4,876,597,7,590,9,581,279,331,45,,,23,3,0,13,136,,26,3,,1
Gipuzkoa,LAZKAO,,49,3,4091,2758,19,2739,46,2693,1333,1109,40,,,197,,,,1095,,228,24,,
Gipuzkoa,LEABURU,,50,3,268,204,,204,9,195,64,70,1,,,0,,,,122,,2,0,,
Gipuzkoa,LEGAZPI,,51,3,6930,4859,48,4811,80,4731,2071,1774,165,,,632,,,,1599,,382,179,,
Gipuzkoa,LEGORRETA,,52,3,1094,787,5,782,20,762,307,313,13,,,34,,,,333,,60,9,,
Álava,LEGUTIO,,58,2,1312,795,21,774,21,753,517,232,43,,,50,,,11,325,1,76,15,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,192,121,4,117,6,111,71,37,0,,,0,,,,62,,12,0,,
Bizkaia,LEIOA,,54,4,24009,14565,172,14393,230,14163,9444,5043,1209,,,1720,166,110,496,2072,,2889,399,,59
Bizkaia,LEKEITIO,,57,4,5776,4116,32,4084,52,4032,1660,1868,33,,,42,3,0,10,1900,,162,14,,0
Bizkaia,LEMOA,,55,3,2675,1920,37,1883,30,1853,755,744,35,3,,92,7,3,,781,0,172,16,,
Bizkaia,LEMOIZ,,56,4,969,681,9,672,20,652,288,376,5,,,7,7,0,2,198,,50,7,,0
Álava,LEZA,,34,2,166,131,1,130,2,128,35,63,7,,,18,,,2,26,0,10,2,,
Bizkaia,LEZAMA,,81,4,1885,1373,20,1353,26,1327,512,701,30,,,32,4,0,7,438,,96,17,,2
Gipuzkoa,LEZO,,53,2,4807,2906,29,2877,37,2840,1901,873,83,,,252,,13,36,1102,,448,33,,
Gipuzkoa,LIZARTZA,,54,3,450,319,5,314,5,309,131,61,5,,,0,,,,238,,5,0,,
Bizkaia,LOIU,,903,4,1843,1264,25,1239,11,1228,579,749,103,,,40,7,4,22,173,,116,12,,2
Bizkaia,MALLABIA,,58,3,984,697,6,691,9,682,287,281,3,1,,37,2,3,,297,0,54,4,,
Bizkaia,MARKINA-XEMEIN,,60,4,3645,2427,20,2407,25,2382,1218,1146,31,,,24,4,0,9,1061,,90,16,,1
Bizkaia,MARURI-JATABE,,61,4,765,553,2,551,9,542,212,307,12,,,10,4,3,10,147,,40,9,,0
Bizkaia,MAÑARIA,,59,3,409,340,2,338,6,332,69,176,2,0,,1,0,0,,137,0,16,0,,
Gipuzkoa,MENDARO,,901,4,1443,903,12,891,28,863,540,363,19,,,64,,,,313,,87,17,,
Bizkaia,MENDATA,,62,4,299,252,2,250,3,247,47,153,0,,,0,0,0,0,86,,6,2,,0
Bizkaia,MENDEXA,,63,4,376,326,5,321,8,313,50,167,0,,,1,2,0,1,124,,17,1,,0
Bizkaia,MEÑAKA,,64,4,591,469,2,467,6,461,122,180,2,,,3,1,2,4,245,,22,2,,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,205,161,6,155,1,154,44,50,21,,,38,,,5,14,0,21,5,,
Bizkaia,MORGA,,66,4,355,280,,280,3,277,75,158,2,,,1,0,0,0,101,,14,1,,0
Bizkaia,MUNDAKA,,68,4,1565,1195,22,1173,16,1157,370,747,7,,,13,3,0,1,315,,61,10,,0
Bizkaia,MUNGIA,,69,4,12736,7964,137,7827,137,7690,4772,3765,452,,,374,70,27,233,1817,,837,103,,12
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,369,274,3,271,1,270,95,124,1,,,0,0,0,0,141,,2,2,,0
Bizkaia,MURUETA,,908,4,245,217,2,215,2,213,28,107,3,,,7,1,1,1,76,,16,1,,0
Bizkaia,MUSKIZ,,71,2,6124,4217,87,4130,76,4054,1907,1833,96,,11,589,,7,37,770,5,475,55,176,
Gipuzkoa,MUTILOA,,57,3,202,125,,125,2,123,77,37,0,,,0,,,,74,,11,1,,
Gipuzkoa,MUTRIKU,,56,4,4098,2621,41,2580,48,2532,1477,1089,69,,,79,,,,1077,,144,74,,
Bizkaia,MUXIKA,,67,4,1180,824,3,821,8,813,356,370,4,,,15,1,0,4,383,,32,4,,0
Bizkaia,NABARNIZ,,909,4,191,155,2,153,2,151,36,72,0,,,0,0,0,0,75,,4,0,,0
Álava,NAVARIDAS,,41,2,153,130,5,125,4,121,23,49,52,,,1,,,3,8,0,6,2,,
Gipuzkoa,OIARTZUN,,63,2,7967,5115,55,5060,80,4980,2852,1192,79,,,182,,14,36,3002,,413,62,,
Álava,OKONDO,,42,3,904,731,40,691,23,668,173,327,34,,,10,,,1,223,0,50,5,18,
Gipuzkoa,OLABERRIA,,58,3,754,558,8,550,16,534,196,212,31,,,67,,,,160,,57,7,,
Bizkaia,ONDARROA,,73,4,6984,4213,74,4139,74,4065,2771,1559,103,,,74,3,3,8,2154,,142,16,,3
Gipuzkoa,ORDIZIA,,76,3,7013,4774,32,4742,77,4665,2239,1741,158,,,446,,,,1588,,636,96,,
Gipuzkoa,ORENDAIN,,905,3,142,112,1,111,2,109,30,25,0,,,0,,,,77,,6,1,,
Gipuzkoa,OREXA,,60,3,90,78,2,76,5,71,12,1,0,,,0,,,,70,,0,0,,
Gipuzkoa,ORIO,,61,4,4254,2816,33,2783,54,2729,1438,1255,41,,,184,,,,965,,247,37,,
Gipuzkoa,ORMAIZTEGI,,62,3,973,731,4,727,9,718,242,318,11,,,31,,,,277,,73,8,,
Bizkaia,OROZKO,,75,3,1980,1477,138,1339,30,1309,503,682,57,3,,19,5,5,,384,3,138,13,,
Bizkaia,ORTUELLA,,83,2,6977,4587,68,4519,71,4448,2390,1742,110,,10,714,,12,36,586,11,1029,167,31,
Bizkaia,OTXANDIO,,72,3,985,754,6,748,7,741,231,277,15,0,,13,3,0,,401,0,32,0,,
Álava,OYÓN-OION,,43,2,2336,1669,37,1632,32,1600,667,453,475,,,158,,,58,275,2,148,31,,
Gipuzkoa,OÑATI,,59,4,8865,6078,42,6036,77,5959,2787,2388,105,,,250,,,,2896,,273,47,,
Gipuzkoa,PASAIA,,64,2,12470,7901,73,7828,106,7722,4569,2072,350,,,1849,,28,111,1846,,1281,185,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,235,181,2,179,1,178,54,60,33,,,19,,,6,38,0,18,4,,
Bizkaia,PLENTZIA,,77,4,3371,2255,24,2231,39,2192,1116,1125,115,,,88,25,10,49,517,,220,37,,6
Bizkaia,PORTUGALETE,,78,2,38951,23987,414,23573,358,23215,14964,6137,1892,,142,6417,,130,472,2798,46,4307,738,136,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,967,624,22,602,20,582,343,194,142,,,92,,,21,51,3,65,14,,
Álava,SAMANIEGO,,52,2,239,199,4,195,2,193,40,82,10,,,38,,,1,54,0,7,1,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,592,359,6,353,9,344,233,114,36,,,2,,,3,140,2,36,11,,
Bizkaia,SANTURTZI,,82,2,37896,22872,259,22613,328,22285,15024,8433,1351,,71,3499,,96,374,3464,47,4229,587,134,
Gipuzkoa,SEGURA,,70,3,1103,828,12,816,20,796,275,340,3,,,4,,,,412,,31,6,,
Bizkaia,SESTAO,,84,2,22760,13827,245,13582,204,13378,8933,5790,789,,31,2260,,44,152,1559,33,2340,324,56,
Bizkaia,SONDIKA,,904,4,3522,2412,34,2378,46,2332,1110,1269,129,,,148,15,5,33,480,,227,21,,5
Bizkaia,SOPELA,,85,4,10199,6592,98,6494,123,6371,3607,2511,223,,,375,49,23,140,1688,,1203,146,,13
Bizkaia,SOPUERTA,,86,2,2070,1542,44,1498,37,1461,528,729,40,,4,82,,5,15,398,4,147,18,19,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3037,1968,22,1946,30,1916,1069,576,109,,,307,,,,762,,143,19,,
Bizkaia,SUKARRIETA,,76,4,319,248,2,246,7,239,71,149,5,,,2,1,0,2,64,,10,6,,0
Gipuzkoa,TOLOSA,,71,3,14803,9731,71,9660,142,9518,5072,4148,316,,,621,,,,3477,,810,146,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,431,368,6,362,3,359,63,247,8,,0,16,,0,3,57,0,23,2,3,
Bizkaia,UBIDE,,88,3,137,115,1,114,2,112,22,27,3,0,,0,3,0,,76,0,0,3,,
Bizkaia,UGAO-MIRABALLES,,65,3,3332,2204,45,2159,21,2138,1128,1078,76,1,,138,16,7,,590,2,211,19,,
Bizkaia,URDULIZ,,89,4,3248,2145,29,2116,31,2085,1103,974,61,,,97,15,14,36,509,,344,34,,1
Bizkaia,URDUÑA/ORDUÑA,,74,3,3355,2384,47,2337,29,2308,971,903,122,5,,140,10,8,,915,3,187,15,,
Álava,URKABUSTAIZ,,54,2,956,721,10,711,23,688,235,254,34,,,18,,,4,307,2,53,16,,
Gipuzkoa,URNIETA,,72,1,4713,2941,31,2910,34,2876,1772,1175,78,,,390,,11,64,743,,379,36,,
Gipuzkoa,URRETXU,,77,3,5295,3483,13,3470,57,3413,1812,1271,115,,,547,,,,1085,,269,126,,
Gipuzkoa,USURBIL,,73,1,4683,3025,19,3006,52,2954,1658,705,58,,,186,,10,30,1637,,285,43,,
