TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,HB,EB-B,CDS,EKA,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,EK-PCPE,F.N.,UNA,CIU,BNG,LA,P.A.,CSD,EE...(E89),FPR,PNV...(E89),AV-MEC,BACTERIA,PED,EA...(E89),EPV,PST-PORE,PV,IDE,LB
Bizkaia,ARRIGORRIAGA,,11,3,7115,4275,41,4234,40,4194,2840,878,66,920,70,56,6,4,40,3,27,48,2,18,4,1,4,6,4,0,14,409,12,1215,4,0,0,356,0,5,,3,19
Bizkaia,ARTEA,,23,3,531,441,5,436,1,435,90,1,21,112,3,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,7,0,152,0,0,0,130,0,0,,0,3
Bizkaia,ARTZENTALES,,8,2,601,358,4,354,,354,243,17,8,60,2,0,0,0,5,1,2,0,0,0,0,0,0,1,0,0,1,4,1,185,0,0,0,67,0,0,,0,0
Álava,ARTZINIEGA,,4,3,885,626,6,620,2,618,259,41,96,107,3,18,0,0,6,0,12,0,0,0,0,0,0,0,0,1,0,18,0,258,1,,0,55,0,0,0,0,2
Álava,ASPARRENA,,9,2,1285,832,21,811,16,795,453,90,59,207,8,22,2,0,8,3,2,7,1,1,1,1,1,1,2,0,3,75,1,216,2,,1,68,3,3,0,1,5
Gipuzkoa,ASTEASU,,14,3,950,513,3,510,3,507,437,27,0,248,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,22,0,36,0,,0,167,1,0,,0,1
Gipuzkoa,ASTIGARRAGA,,903,1,2396,1459,16,1443,10,1433,937,83,25,580,5,4,0,0,4,0,6,29,0,0,0,0,0,1,0,0,0,70,0,263,0,,0,358,1,1,,0,3
Gipuzkoa,ATAUN,,15,3,1491,993,7,986,8,978,498,9,1,451,6,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,80,0,133,0,,0,292,0,0,,0,2
Bizkaia,ATXONDO,,91,3,1133,778,6,772,5,767,355,59,6,220,3,3,0,0,3,0,4,2,0,0,0,0,1,2,0,0,1,16,0,388,1,0,0,56,1,0,,1,0
Bizkaia,AULESTI,,70,4,581,349,1,348,7,341,232,5,1,167,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,136,1,0,0,26,0,0,,0,0
Álava,AYALA/AIARA,,10,3,1707,1087,8,1079,9,1070,620,42,202,153,8,10,0,0,4,2,10,0,0,0,1,1,1,0,0,2,2,42,0,368,0,,0,217,1,0,0,0,4
Gipuzkoa,AZKOITIA,,17,4,8286,5121,52,5069,56,5013,3165,539,287,1051,37,46,59,0,24,2,12,21,2,4,4,2,0,2,0,3,11,239,0,1895,0,,0,747,5,6,,0,15
Gipuzkoa,AZPEITIA,,18,4,10037,6237,37,6200,42,6158,3800,321,241,1177,26,23,12,2,14,6,13,15,1,4,5,4,0,1,0,1,1,372,1,1768,6,,2,2119,4,2,,3,14
Álava,AÑANA,,49,2,173,130,3,131,1,130,43,28,20,18,1,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,9,0,36,0,,0,7,0,0,0,0,0
Bizkaia,BAKIO,,12,4,948,740,3,737,3,734,208,10,7,144,1,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,25,0,423,0,0,0,106,0,0,,0,2
Gipuzkoa,BALIARRAIN,,904,3,87,56,,56,1,55,31,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,16,0,0,,0,0
Bizkaia,BALMASEDA,,90,2,6179,4053,45,4008,27,3981,2126,990,166,596,36,51,3,5,23,4,33,9,4,2,13,0,2,1,0,1,3,206,2,1234,6,0,13,554,1,2,,2,19
Bizkaia,BARAKALDO,,13,2,88166,49039,402,48637,594,48043,39127,13640,3386,7157,1442,1872,13,32,471,64,677,1014,30,123,75,19,13,35,35,30,175,4678,33,8891,59,3,29,3633,65,78,,9,262
Bizkaia,BARRIKA,,14,4,590,333,2,331,1,330,257,14,13,89,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,27,0,177,0,0,0,0,0,1,,0,1
Álava,BARRUNDIA,,13,2,502,195,2,193,4,189,307,5,13,33,1,11,1,2,1,0,5,1,0,0,0,0,1,0,0,0,0,7,0,88,2,,0,17,0,0,0,0,1
Bizkaia,BASAURI,,15,3,39146,22385,245,22140,204,21936,16761,5564,1058,3851,597,745,7,11,198,71,272,335,18,38,10,11,7,7,7,21,102,2238,37,5016,28,0,6,1421,34,130,,15,81
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,289,181,,181,,181,108,17,49,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11,0,97,0,,0,0,0,0,0,0,1
Gipuzkoa,BEASAIN,,19,3,9437,5765,35,5730,59,5671,3672,945,166,1258,46,116,6,1,31,2,19,106,1,2,6,3,0,7,4,6,11,693,1,1026,8,,8,1155,7,8,,1,28
Bizkaia,BEDIA,,92,3,897,710,1,709,11,698,187,51,8,110,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,16,0,427,0,0,0,69,0,0,,1,3
Gipuzkoa,BEIZAMA,,20,4,139,91,,91,,91,48,0,2,36,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,37,0,,0,0,0,0,,1,0
Gipuzkoa,BELAUNTZA,,21,3,211,103,,103,,103,108,8,3,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,,0,16,2,0,,0,0
Bizkaia,BERANGO,,16,4,2918,1987,13,1974,18,1956,931,191,33,468,20,21,0,0,2,0,20,6,0,4,0,2,0,0,1,0,3,171,3,707,0,0,2,284,1,11,,0,6
Álava,BERANTEVILLA,,14,2,339,193,,190,7,183,146,7,47,14,1,7,0,0,2,0,9,2,0,2,0,0,1,0,0,0,0,12,0,71,0,,1,5,0,0,0,0,2
Gipuzkoa,BERASTEGI,,22,3,742,370,4,366,,366,372,4,1,131,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,9,0,54,0,,0,162,0,0,,0,0
Gipuzkoa,BERGARA,,74,4,12492,7680,68,7612,52,7560,4812,782,199,2516,114,73,6,0,23,1,16,38,3,23,2,2,3,1,3,1,14,666,2,1589,5,,1,1429,11,6,,0,31
Bizkaia,BERMEO,,17,4,14616,8990,81,8909,32,8877,5626,620,87,2258,46,51,4,0,33,6,38,12,3,4,1,5,2,1,2,1,4,986,2,2256,11,0,1,2411,6,0,,6,20
Álava,BERNEDO,,16,2,512,193,,193,3,190,319,17,46,19,1,17,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,7,0,69,1,,0,4,0,0,0,0,1
Bizkaia,BERRIATUA,,18,4,848,491,1,490,4,486,357,11,4,145,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,1,0,23,0,194,0,0,0,96,0,0,,0,2
Bizkaia,BERRIZ,,19,3,3243,2226,18,2208,27,2181,1017,363,41,440,23,46,0,0,0,2,24,9,1,2,5,1,1,0,0,0,1,195,1,755,4,0,3,254,0,2,,1,7
Gipuzkoa,BERROBI,,23,3,445,209,,209,1,208,236,10,0,64,2,1,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,7,0,35,0,,1,80,0,0,,0,0
Gipuzkoa,BIDANIA-GOIATZ,,24,4,416,284,1,283,5,278,132,0,4,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,,0,148,0,0,,0,0
Bizkaia,BILBAO,,20,1,306176,173716,1476,172240,1767,170473,132460,30431,20170,24475,3051,5140,105,192,1722,240,4586,1226,167,353,386,65,101,116,78,101,640,17740,106,43729,222,0,94,13167,571,308,,80,1111
Bizkaia,BUSTURIA,,21,4,1382,951,13,938,7,931,431,69,9,277,3,6,0,0,1,0,7,2,0,1,0,0,0,0,0,0,0,14,0,378,1,0,0,160,0,2,,0,1
Álava,CAMPEZO/KANPEZU,,17,2,996,600,7,593,4,589,396,92,149,61,2,9,0,2,2,0,3,1,0,0,0,1,0,0,0,0,1,30,0,189,0,,2,43,0,0,0,0,2
Gipuzkoa,DEBA,,29,4,3786,2425,17,2408,18,2390,1361,172,41,646,14,9,0,0,10,1,4,1,0,3,1,1,0,1,0,0,2,416,0,443,1,,0,611,5,0,,1,7
Bizkaia,DERIO,,901,4,4158,2448,7,2441,23,2418,1710,550,54,348,25,56,2,0,19,4,25,7,1,7,1,1,2,2,0,3,0,318,1,613,6,0,1,349,3,9,,3,8
Bizkaia,DIMA,,26,3,883,688,7,681,5,676,195,0,27,257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,234,0,0,0,150,0,0,,0,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,137702,77047,691,76356,945,75411,60655,12267,8794,15481,840,1706,49,43,610,73,1165,456,23,75,148,13,23,26,13,41,143,10268,22,7647,85,,16,14243,396,113,,24,608
Bizkaia,DURANGO,,27,3,20870,13230,83,13147,117,13030,7640,1894,1047,2598,222,246,6,9,102,13,147,40,4,29,11,2,9,2,3,8,28,1109,9,3924,16,0,2,1355,123,22,,1,49
Bizkaia,EA,,28,4,708,462,3,459,2,457,246,1,8,121,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,231,0,0,0,81,0,0,,0,1
Gipuzkoa,EIBAR,,30,4,27430,15703,116,15587,218,15369,11727,4040,764,3067,355,295,16,11,89,12,124,46,6,25,10,3,6,14,5,8,57,1508,7,2418,9,,7,2351,19,18,,6,73
Bizkaia,ELANTXOBE,,31,4,466,366,7,359,1,358,100,4,2,136,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,159,0,0,0,48,0,0,,0,0
Álava,ELBURGO/BURGELU,,21,2,173,86,2,84,2,82,87,7,6,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,41,0,,0,9,1,0,0,1,0
Álava,ELCIEGO,,22,2,737,507,13,494,8,486,230,204,83,22,7,18,0,1,5,1,7,1,1,0,4,0,1,2,0,0,0,22,1,16,0,,1,85,0,0,0,0,4
Gipuzkoa,ELDUAIN,,31,3,223,138,,138,1,137,85,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,,0,59,0,0,,0,1
Gipuzkoa,ELGETA,,33,4,808,543,6,537,10,527,265,15,9,171,2,2,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,36,0,188,1,,0,98,0,0,,0,0
Gipuzkoa,ELGOIBAR,,32,4,9640,6278,30,6248,62,6186,3362,909,167,1242,64,92,0,4,20,4,19,14,2,22,1,1,1,6,4,1,12,714,4,1764,4,,0,1087,9,7,,1,12
Bizkaia,ELORRIO,,32,3,6028,4115,30,4085,23,4062,1913,579,119,935,27,104,1,1,22,6,20,5,6,9,1,0,3,6,1,0,3,410,0,1270,2,0,0,502,11,6,,1,12
Álava,ELVILLAR/BILAR,,23,2,328,184,,184,2,182,144,30,63,8,3,8,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,7,0,45,0,,0,5,2,1,0,2,0
Bizkaia,ERANDIO,,902,4,18779,10144,93,10051,94,9957,8635,2123,277,1732,168,278,9,13,71,7,97,119,5,18,10,3,5,10,1,3,20,895,6,3127,13,0,8,835,20,16,,1,67
Bizkaia,EREÑO,,33,4,234,156,,156,,156,78,1,4,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,46,0,0,0,37,0,0,,0,0
Bizkaia,ERMUA,,34,3,13805,8124,60,8064,150,7914,5681,2523,735,944,374,491,5,14,122,21,111,235,7,26,8,8,5,17,10,6,39,768,17,800,10,0,14,497,21,31,,4,51
Gipuzkoa,ERRENTERIA,,67,2,32377,18652,164,18488,250,18238,13725,4893,682,5026,448,383,6,12,188,20,100,110,5,69,21,10,3,8,7,8,50,2327,7,1194,25,,6,2452,33,44,,2,99
Gipuzkoa,ERREZIL,,66,4,600,315,1,314,1,313,285,1,0,177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,56,0,,0,76,0,0,,0,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,476,254,5,249,4,245,222,39,66,23,0,9,2,0,1,1,1,0,0,0,0,0,0,1,0,0,1,12,0,64,1,,0,21,0,0,0,0,3
Bizkaia,ERRIGOITI,,79,4,413,294,,294,,294,119,4,3,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,145,0,0,0,27,0,0,,0,0
Gipuzkoa,ESKORIATZA,,34,4,2997,1825,18,1807,16,1791,1172,280,39,466,22,16,0,0,16,2,2,4,0,5,0,1,0,0,1,1,5,97,0,310,1,,0,497,4,7,,5,10
Bizkaia,ETXEBARRI,,29,3,4480,2589,20,2569,22,2547,1891,867,95,333,68,132,3,1,18,5,57,32,5,7,1,1,1,3,1,2,3,182,1,423,1,0,1,289,2,5,,0,8
Bizkaia,ETXEBARRIA,,30,4,620,339,1,338,6,332,281,8,2,162,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,108,0,0,0,41,1,0,,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,486,285,,285,,285,201,1,0,136,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0,22,0,,0,112,0,0,,0,0
Bizkaia,FORUA,,906,4,757,491,5,486,5,481,266,29,22,170,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,148,2,0,0,90,1,0,,0,0
Bizkaia,FRUIZ,,35,4,291,168,2,166,1,165,123,1,1,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,100,0,0,0,16,0,0,,0,0
Gipuzkoa,GABIRIA,,38,3,366,248,3,245,2,243,118,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,0,,0,159,0,0,,0,0
Gipuzkoa,GAINTZA,,37,3,112,56,,56,1,55,56,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,29,0,0,,0,0
Bizkaia,GALDAKAO,,36,3,20428,12169,82,12087,111,11976,8259,2158,443,2660,214,264,9,8,76,12,115,103,7,28,11,3,4,3,3,7,29,969,4,3018,13,0,1,1696,30,21,,4,63
Bizkaia,GALDAMES,,37,2,705,500,3,497,3,494,205,19,5,91,3,1,0,1,1,0,2,5,0,0,0,0,0,2,0,1,0,31,0,223,1,0,0,108,0,0,,0,0
Bizkaia,GAMIZ-FIKA,,38,4,735,436,,436,5,431,299,4,2,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,214,0,0,0,64,0,0,,0,0
Bizkaia,GARAI,,39,3,204,160,1,159,2,157,44,0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,71,0,0,0,30,0,0,,0,0
Bizkaia,GATIKA,,40,4,659,496,2,494,1,493,163,6,7,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,210,2,0,0,151,0,1,,0,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,648,468,7,461,2,459,180,8,14,118,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11,0,234,0,0,0,69,0,0,,0,1
Bizkaia,GERNIKA-LUMO,,46,4,12715,8607,77,8530,63,8467,4108,593,310,2279,48,114,0,2,21,5,23,11,7,9,5,1,5,4,3,2,15,495,0,2998,7,0,3,1466,7,4,,1,29
Gipuzkoa,GETARIA,,39,4,1855,1412,8,1404,8,1396,443,22,9,412,4,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,69,0,462,0,,0,410,1,0,,0,1
Bizkaia,GETXO,,44,4,58499,34244,138,34106,315,33791,24255,3114,5293,4938,355,817,8,15,293,23,1159,153,14,20,71,3,12,7,6,10,55,3581,12,9737,26,0,4,3720,186,19,,7,133
Bizkaia,GIZABURUAGA,,47,4,124,77,,77,1,76,47,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,0,11,0,0,,0,0
Bizkaia,GORDEXOLA,,42,2,1288,897,18,879,5,874,391,38,101,80,6,13,0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,27,0,441,0,0,0,151,2,0,,0,5
Bizkaia,GORLIZ,,43,4,2090,1266,16,1250,6,1244,824,51,46,241,10,19,1,0,5,1,7,1,0,0,0,1,0,1,0,0,1,161,0,511,0,0,0,175,3,2,,0,7
Bizkaia,GÜEÑES,,45,2,4858,3721,46,3675,37,3638,1137,351,56,660,25,35,1,2,14,2,28,4,3,3,1,0,1,0,0,4,3,113,2,1560,4,0,0,743,3,2,,0,18
Álava,HARANA/VALLE DE ARANA,,56,2,371,139,,139,1,138,232,13,39,14,0,5,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,2,54,0,,0,5,0,0,0,0,0
Gipuzkoa,HERNANI,,40,1,14627,8365,54,8311,96,8215,6262,1489,157,3234,91,113,7,8,50,3,42,138,2,16,4,0,2,3,1,2,13,794,4,660,8,,1,1305,19,11,,3,35
Gipuzkoa,HERNIALDE,,41,3,222,96,,96,,96,126,0,2,36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,0,,0,31,0,0,,0,1
Gipuzkoa,HONDARRIBIA,,36,2,10073,5474,30,5444,68,5376,4599,541,244,1394,39,107,2,3,48,5,68,12,6,2,11,1,2,2,1,5,9,663,2,698,1,,2,1451,11,3,,1,42
Gipuzkoa,IBARRA,,42,3,3281,1893,25,1868,14,1854,1388,324,34,537,9,27,6,2,5,1,13,13,0,0,0,4,2,4,0,2,0,236,0,160,6,,1,456,4,4,,0,4
Bizkaia,IBARRANGELU,,48,4,470,353,1,352,,352,117,0,6,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,219,0,0,0,42,0,0,,0,0
Gipuzkoa,IDIAZABAL,,43,3,1572,1084,6,1078,9,1069,488,17,16,213,2,1,0,0,2,0,1,0,0,1,0,0,0,2,0,1,2,99,0,295,0,,0,416,0,0,,0,1
Bizkaia,IGORRE,,94,3,2720,1945,18,1927,11,1916,775,65,17,496,4,12,1,2,9,1,6,2,0,0,0,0,0,0,0,0,0,61,0,850,4,0,0,385,0,0,,1,0
Gipuzkoa,IKAZTEGIETA,,44,3,290,176,,176,1,175,114,0,1,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,16,0,,0,56,0,0,,0,0
Gipuzkoa,IRUN,,45,2,41385,23029,222,22807,370,22437,18356,6197,1975,3496,433,750,25,15,281,41,299,206,20,35,64,6,10,11,7,17,94,2814,10,2084,36,,15,3218,69,46,,14,149
Gipuzkoa,IRURA,,46,3,483,292,5,287,3,284,191,14,3,105,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,0,67,1,,0,73,0,0,,0,1
Álava,IRURAIZ-GAUNA,,27,2,379,198,5,193,1,192,181,5,32,32,1,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,8,0,87,0,,0,13,0,0,0,0,1
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1172,719,23,696,15,681,453,202,116,64,11,33,2,2,10,1,18,5,0,1,1,1,1,0,0,1,3,46,1,104,1,,0,39,7,4,0,2,5
Bizkaia,ISPASTER,,49,4,515,388,2,386,3,383,127,0,3,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,236,0,0,0,57,0,0,,0,0
Gipuzkoa,ITSASONDO,,47,3,623,376,4,372,6,366,247,9,6,158,2,1,0,0,1,0,3,1,0,0,0,0,0,2,0,0,0,28,0,62,1,,0,88,0,0,,0,4
Bizkaia,IZURTZA,,50,3,216,169,4,165,2,163,47,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,78,0,0,0,30,0,0,,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2773,1080,6,1074,1,1073,1693,110,61,183,2,6,0,1,7,4,14,3,0,1,1,0,0,0,0,3,2,43,0,470,3,0,2,152,1,1,,1,2
Bizkaia,KORTEZUBI,,907,4,322,225,1,224,,224,97,0,2,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,124,0,0,0,24,0,0,,0,0
Álava,KRIPAN,,19,2,171,104,,104,2,102,67,0,3,9,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,77,1,,0,1,1,1,0,0,1
Álava,KUARTANGO,,20,2,301,148,5,148,4,144,153,11,18,36,1,4,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,13,0,40,0,,0,7,0,2,0,1,0
Álava,LABASTIDA/BASTIDA,,28,2,760,466,1,465,2,463,294,93,169,66,8,8,0,0,2,1,12,10,0,0,3,0,0,1,0,2,4,22,0,46,0,,1,12,1,1,0,0,1
Álava,LAGRÁN,,30,2,176,109,,109,3,106,67,17,19,3,1,7,0,0,0,0,3,0,1,0,0,1,0,0,0,0,3,4,0,41,1,,0,4,0,1,0,0,0
