TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,FE-JONS,EK-PCPE,POSI,PSE-EE/PSOE,BERDEAK-LV,AUN,DN,ARALAR,ATTKA/PACMA,UCL,PUM+J,PFYV,AES,UPYD,AMD,Cs
Bizkaia,MENDATA,,62,4,311,207,3,204,1,203,104,134,8,49,2,0,0,0,0,0,4,0,0,0,6,0,,0,0,0,0,0,0
Bizkaia,MENDEXA,,63,4,345,131,,131,6,125,214,99,2,4,2,0,1,0,0,0,9,1,0,0,5,1,,1,0,0,0,0,0
Bizkaia,MEÑAKA,,64,4,562,388,2,386,4,382,174,192,14,105,16,0,0,0,0,0,33,1,1,0,19,1,,0,0,0,0,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,232,190,4,186,1,185,42,34,54,0,0,1,0,0,0,0,88,3,0,0,3,0,,0,,0,2,0,0
Bizkaia,MORGA,,66,4,354,220,1,219,3,216,134,187,6,7,6,0,0,0,0,0,5,0,0,0,5,0,,0,0,0,0,0,0
Bizkaia,MUNDAKA,,68,4,1552,1013,17,996,11,985,539,657,27,156,32,0,0,0,1,1,72,1,0,0,31,2,,3,0,0,1,0,1
Bizkaia,MUNGIA,,69,4,12009,8058,75,7983,117,7866,3951,4279,928,430,312,0,4,0,4,9,1582,39,0,3,177,21,,20,3,0,47,1,7
Álava,MUNICIPIO CERA ARABA,,999,99,3380,716,5,711,4,707,2664,139,195,19,11,0,3,0,2,2,300,6,0,0,7,7,,5,,0,11,0,0
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,22769,6412,57,6355,49,6306,16357,1713,1312,109,97,10,10,6,23,30,2624,63,4,15,53,80,,32,25,7,79,4,10
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,16306,4902,28,4874,75,4799,11404,1012,865,196,156,2,12,4,,,2181,71,,6,139,45,0,22,17,2,64,3,2
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,313,158,,158,3,155,155,136,6,2,2,0,0,0,0,0,4,1,0,0,3,0,,0,1,0,0,0,0
Bizkaia,MURUETA,,908,4,244,152,2,150,4,146,92,89,4,15,6,0,0,0,0,0,22,0,0,0,10,0,,0,0,0,0,0,0
Bizkaia,MUSKIZ,,71,2,5889,4219,53,4166,58,4108,1670,1421,307,494,177,1,0,1,8,6,1581,17,0,1,50,19,,4,1,1,15,1,3
Gipuzkoa,MUTILOA,,57,3,190,66,1,65,1,64,124,25,0,12,1,0,0,0,,,15,0,,0,11,0,0,0,0,0,0,0,0
Gipuzkoa,MUTRIKU,,56,4,3997,1913,40,1873,48,1825,2084,1023,124,159,66,1,0,0,,,263,70,,1,113,0,0,1,0,0,4,0,0
Bizkaia,MUXIKA,,67,4,1219,656,9,647,9,638,563,442,21,84,19,0,0,0,0,0,40,1,0,1,25,2,,0,3,0,0,0,0
Bizkaia,NABARNIZ,,909,4,190,100,3,97,4,93,90,77,0,8,1,0,0,0,0,0,1,0,0,0,3,2,,0,1,0,0,0,0
Álava,NAVARIDAS,,41,2,169,130,,130,1,129,39,39,64,1,2,0,0,1,0,0,19,0,0,0,1,0,,0,,0,2,0,0
Gipuzkoa,OIARTZUN,,63,2,7846,2475,26,2449,58,2391,5371,761,255,407,172,0,0,1,,,577,9,,0,181,5,0,6,3,0,8,3,3
Álava,OKONDO,,42,3,882,556,23,533,4,529,326,260,67,99,12,1,0,0,0,0,74,2,0,0,13,1,,0,,0,0,0,0
Gipuzkoa,OLABERRIA,,58,3,779,506,5,501,10,491,273,133,64,36,19,0,0,1,,,201,6,,1,24,3,0,0,1,0,2,0,0
Bizkaia,ONDARROA,,73,4,7300,3051,59,2992,53,2939,4249,1747,278,274,90,5,0,10,3,0,403,4,0,0,111,5,,1,1,0,6,1,0
Gipuzkoa,ORDIZIA,,76,3,7053,4034,37,3997,101,3896,3019,1078,439,348,249,4,1,0,,,1437,15,,2,283,12,1,2,3,1,14,5,2
Gipuzkoa,ORENDAIN,,905,3,147,46,,46,2,44,101,28,0,10,3,0,0,0,,,0,0,,0,3,0,0,0,0,0,0,0,0
Gipuzkoa,OREXA,,60,3,95,2,,2,1,1,93,1,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ORIO,,61,4,3852,2159,34,2125,52,2073,1693,1015,106,158,107,0,0,0,,,463,7,,0,203,2,1,0,9,0,1,0,1
Gipuzkoa,ORMAIZTEGI,,62,3,1015,489,2,487,19,468,526,214,35,64,20,0,1,0,,,79,2,,0,48,3,0,1,0,0,1,0,0
Bizkaia,OROZKO,,75,3,1893,1247,38,1209,15,1194,646,800,122,65,28,1,0,0,1,1,123,6,0,0,43,1,,0,1,0,1,1,0
Bizkaia,ORTUELLA,,83,2,7191,5033,33,5000,59,4941,2158,1467,451,189,242,0,3,2,9,13,2416,17,1,2,56,25,,11,5,1,29,1,1
Bizkaia,OTXANDIO,,72,3,995,488,4,484,10,474,507,293,42,31,17,0,0,0,2,0,61,1,0,0,25,0,,0,0,0,2,0,0
Álava,OYÓN-OION,,43,2,2317,1606,10,1596,17,1579,711,269,528,22,51,0,0,0,5,2,660,5,0,0,11,3,,5,,0,17,0,1
Gipuzkoa,OÑATI,,59,4,8783,4812,36,4776,101,4675,3971,2091,281,499,309,44,2,0,,,925,14,,2,488,8,4,0,2,1,4,1,0
Gipuzkoa,PASAIA,,64,2,12776,6326,55,6271,165,6106,6450,1053,867,490,341,2,6,2,,,3000,40,,2,212,42,2,8,10,0,19,6,4
Álava,PEÑACERRADA-URIZAHARRA,,44,2,235,174,4,170,1,169,61,45,46,10,6,0,1,0,0,0,51,2,0,0,7,0,,0,,0,1,0,0
Bizkaia,PLENTZIA,,77,4,3338,2284,43,2241,39,2202,1054,1116,304,114,88,4,1,1,1,1,429,13,0,0,72,11,,10,4,0,15,18,0
Bizkaia,PORTUGALETE,,78,2,41233,29109,262,28847,452,28395,12124,6350,5131,487,1474,4,15,9,37,52,14001,107,5,7,208,140,,54,33,6,235,26,14
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,873,661,8,653,19,634,212,116,220,10,19,0,0,1,1,1,252,1,0,0,1,4,,0,,0,8,0,0
Álava,SAMANIEGO,,52,2,239,173,,173,4,169,66,70,18,1,8,0,0,0,2,0,63,1,0,0,4,0,,0,,0,1,0,1
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,615,293,1,292,9,283,322,138,43,10,16,1,0,1,0,1,57,1,0,1,12,0,,1,,0,1,0,0
Bizkaia,SANTURTZI,,82,2,39357,26352,198,26154,335,25819,13005,6676,4152,339,1265,15,8,8,40,46,12598,102,0,6,156,85,,51,27,2,211,18,14
Gipuzkoa,SEGURA,,70,3,1087,450,8,442,15,427,637,179,18,145,10,0,1,0,,,36,1,,0,35,1,1,0,0,0,0,0,0
Bizkaia,SESTAO,,84,2,24861,16479,221,16258,218,16040,8382,3291,2624,249,875,6,20,7,29,28,8475,71,2,7,109,69,,31,14,2,98,21,12
Bizkaia,SONDIKA,,904,4,3606,2680,30,2650,42,2608,926,1429,323,97,85,0,1,0,3,3,585,7,2,0,34,15,,4,0,2,16,1,1
Bizkaia,SOPELA,,85,4,9654,6026,48,5978,158,5820,3628,2245,662,236,417,0,6,4,6,8,1917,48,0,0,137,36,,16,1,0,64,12,5
Bizkaia,SOPUERTA,,86,2,2015,1368,23,1345,23,1322,647,488,157,216,55,0,0,0,5,0,370,10,0,0,11,2,,1,2,0,3,1,1
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3339,1884,19,1865,24,1841,1455,537,282,154,46,1,0,0,,,717,9,,0,85,0,0,0,0,2,6,2,0
Bizkaia,SUKARRIETA,,76,4,300,209,2,207,5,202,91,130,11,28,6,2,0,0,0,0,17,1,0,0,5,0,,2,0,0,0,0,0
Gipuzkoa,TOLOSA,,71,3,14419,7554,82,7472,221,7251,6865,2600,759,744,360,24,5,4,,,2085,33,,2,557,19,0,15,9,0,24,6,5
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,461,358,5,353,6,347,103,199,50,3,9,0,0,0,0,1,78,1,0,0,5,1,,0,0,0,0,0,0
Bizkaia,UBIDE,,88,3,123,47,,47,1,46,76,32,6,1,3,0,0,0,0,0,0,0,0,0,4,0,,0,0,0,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3343,2030,31,1999,23,1976,1313,845,247,102,85,0,2,0,3,4,617,7,1,2,30,9,,7,2,0,11,1,1
Bizkaia,URDULIZ,,89,4,2705,1756,24,1732,24,1708,949,823,169,131,68,0,1,0,0,0,453,8,0,1,25,7,,6,1,0,10,5,0
Bizkaia,URDUÑA/ORDUÑA,,74,3,3425,2126,52,2074,42,2032,1299,895,304,94,103,0,0,0,6,5,518,9,0,0,59,12,,9,2,1,11,2,2
Álava,URKABUSTAIZ,,54,2,883,478,9,469,10,459,405,173,67,36,18,0,0,0,0,1,136,2,0,0,17,6,,0,,0,1,2,0
Gipuzkoa,URNIETA,,72,1,4635,2649,33,2616,61,2555,1986,549,365,93,138,2,1,0,,,1222,15,,0,136,5,0,7,3,0,13,5,1
Gipuzkoa,URRETXU,,77,3,5424,3449,42,3407,55,3352,1975,801,282,457,198,0,1,0,,,1385,10,,4,176,16,0,6,1,0,11,3,1
Gipuzkoa,USURBIL,,73,1,4644,1947,17,1930,43,1887,2697,474,177,242,88,1,0,2,,,629,8,,0,237,7,0,1,6,1,9,4,1
Álava,VALDEGOVÍA/GAUBEA,,55,2,955,638,8,630,12,618,317,205,217,13,14,0,0,1,1,0,147,6,0,0,6,4,,1,,0,2,1,0
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10527,7239,64,7175,105,7070,3288,1957,731,84,384,1,6,0,15,9,3709,28,1,1,47,21,,17,4,0,44,8,3
Gipuzkoa,VILLABONA,,75,3,4544,2004,16,1988,46,1942,2540,559,257,176,93,4,0,0,,,666,11,,0,149,3,0,5,2,0,13,4,0
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,267,202,,202,3,199,65,123,45,11,3,0,0,0,0,0,16,0,0,0,0,0,,0,,0,0,1,0
Álava,VITORIA-GASTEIZ,,59,1,182012,130459,1453,129006,1933,127073,51553,18821,36108,3282,5607,43,132,48,196,268,56349,842,20,49,2043,639,,554,,26,1746,163,137
Álava,YÉCORA/IEKORA,,60,2,241,199,5,194,2,192,42,68,91,0,1,0,0,0,0,0,29,0,0,0,0,0,,1,,0,2,0,0
Bizkaia,ZALDIBAR,,95,3,2344,1374,14,1360,24,1336,970,413,241,60,43,0,4,0,1,3,532,4,0,0,21,3,,4,0,0,3,4,0
Gipuzkoa,ZALDIBIA,,78,3,1182,346,3,343,6,337,836,93,24,34,0,0,0,0,,,64,4,,0,116,0,1,0,1,0,0,0,0
Álava,ZALDUONDO,,61,2,155,107,2,105,7,98,48,41,8,1,9,0,0,0,1,0,29,1,0,0,4,0,,2,,0,1,1,0
Bizkaia,ZALLA,,96,2,6619,5158,140,5018,75,4943,1461,2663,374,151,205,0,1,6,5,8,1391,18,2,1,81,12,,2,2,0,14,6,1
Álava,ZAMBRANA,,62,2,316,225,4,221,,221,91,61,84,4,2,0,0,0,2,0,66,0,0,0,0,0,,0,,0,1,1,0
Bizkaia,ZAMUDIO,,905,4,2645,1733,41,1692,30,1662,912,886,190,53,49,0,0,0,4,2,433,4,0,0,21,6,,2,2,2,6,0,2
Bizkaia,ZARATAMO,,97,3,1397,898,20,878,9,869,499,315,73,83,30,0,0,0,0,2,332,2,0,0,19,5,,1,1,0,2,0,4
Gipuzkoa,ZARAUTZ,,79,4,17250,10743,115,10628,278,10350,6507,2954,1225,1413,470,3,9,0,,,3166,62,,2,906,27,1,19,8,5,60,14,6
Bizkaia,ZEANURI,,24,3,1061,652,14,638,14,624,409,439,26,73,7,0,0,0,0,0,40,4,0,0,30,1,,1,0,0,2,1,0
Bizkaia,ZEBERIO,,25,3,877,466,12,454,7,447,411,347,15,15,12,0,0,0,0,0,46,1,0,0,10,0,,1,0,0,0,0,0
Gipuzkoa,ZEGAMA,,25,3,1162,605,17,588,4,584,557,158,8,325,21,0,0,0,,,28,1,,0,40,2,0,1,0,0,0,0,0
Gipuzkoa,ZERAIN,,26,3,208,89,,89,5,84,119,59,0,7,3,0,0,0,,,3,0,,0,11,0,0,0,0,0,0,1,0
Gipuzkoa,ZESTOA,,27,4,2786,1224,12,1212,41,1171,1562,573,29,232,52,0,0,0,,,164,7,,0,107,1,0,2,1,1,2,0,0
Bizkaia,ZIERBENA,,913,2,1142,800,16,784,11,773,342,461,55,29,34,0,0,0,0,1,174,4,0,0,6,4,,0,2,0,2,1,0
Álava,ZIGOITIA,,18,2,1271,817,7,810,21,789,454,240,141,90,33,0,1,0,0,0,238,6,0,2,24,5,,2,,0,7,0,0
Bizkaia,ZIORTZA - BOLIBAR,,915,4,350,170,2,168,2,166,180,142,3,7,4,0,0,0,0,0,6,1,0,0,3,0,,0,0,0,0,0,0
Gipuzkoa,ZIZURKIL,,28,3,2192,931,11,920,15,905,1261,264,118,65,28,0,1,0,,,376,7,,1,34,2,0,1,0,0,2,5,1
Álava,ZUIA,,63,2,1726,1202,21,1181,18,1163,524,457,204,65,32,1,1,0,2,2,306,7,0,1,51,7,,7,,0,16,1,3
Gipuzkoa,ZUMAIA,,81,4,7192,4170,35,4135,112,4023,3022,1295,269,543,215,1,1,2,,,1364,18,,0,287,7,0,4,2,0,14,1,0
Gipuzkoa,ZUMARRAGA,,80,3,8226,5434,54,5380,101,5279,2792,960,666,420,242,2,3,1,,,2723,25,,4,172,11,1,15,2,0,23,7,2
