TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EA,EB-B,CDS,PH,PTE-UC,FAP,CSI,PDP,PSDV,A.I.T.E.,PDP-PL
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,133682,84600,735,83865,665,83200,49082,7692,13747,17137,11186,20993,285,2847,,405,8757,,,,,151
Bizkaia,DURANGO,,27,3,20274,14412,128,14284,174,14110,5862,4176,2069,2765,1520,1972,204,247,,54,1103,,,,,
Bizkaia,EA,,28,4,695,546,3,543,2,541,149,266,5,142,12,107,0,0,,0,6,,3,,,
Gipuzkoa,EIBAR,,30,4,27217,17780,127,17653,184,17469,9437,2604,4863,3339,1781,3551,272,,,46,1013,,,,,
Bizkaia,ELANTXOBE,,31,4,463,396,7,389,,389,67,190,1,136,10,50,0,0,,0,2,,0,,,
Álava,ELBURGO/BURGELU,,21,2,166,114,5,109,,109,52,81,5,3,2,15,,0,,,2,,,,1,
Álava,ELCIEGO,,22,2,724,635,15,620,4,616,89,20,285,31,21,147,,36,,,56,,,,20,
Gipuzkoa,ELDUAIN,,31,3,220,165,3,162,,162,55,11,0,54,4,93,0,,,0,0,,,,,
Gipuzkoa,ELGETA,,33,4,807,651,6,645,8,637,156,221,35,200,45,122,1,,,2,11,,,,,
Gipuzkoa,ELGOIBAR,,32,4,9578,6844,48,6796,70,6726,2734,1781,1065,1384,802,1436,12,,,15,231,,,,,
Bizkaia,ELORRIO,,32,3,5956,4576,29,4547,30,4517,1380,1257,515,1046,670,884,12,45,,14,74,,,,,
Álava,ELVILLAR/BILAR,,23,2,325,247,,247,1,246,78,130,4,13,9,9,,5,,,60,,,,16,
Bizkaia,ERANDIO,,902,4,18068,11512,131,11381,104,11277,6556,3428,2640,1971,1024,1360,79,335,,100,326,,14,,,
Bizkaia,EREÑO,,33,4,238,178,,178,3,175,60,48,0,72,2,53,0,0,,0,0,,0,,,
Bizkaia,ERMUA,,34,3,13147,9047,62,8985,123,8862,4100,970,3695,1017,863,662,332,415,,234,674,,,,,
Gipuzkoa,ERRENTERIA,,67,2,31716,20813,211,20602,209,20393,10903,1197,6210,5630,2665,3209,275,378,,72,757,,,,,
Gipuzkoa,ERREZIL,,66,4,621,501,1,500,,500,120,64,0,292,6,137,0,,,0,1,,,,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,463,350,1,349,3,346,113,105,44,20,11,11,,2,,,10,,,,143,
Bizkaia,ERRIGOITI,,79,4,414,356,,356,,356,58,182,1,113,6,48,0,1,,0,5,,0,,,
Gipuzkoa,ESKORIATZA,,34,4,2930,2150,14,2136,13,2123,780,357,317,501,181,733,8,,,6,20,,,,,
Bizkaia,ETXEBARRI,,29,3,4453,3107,47,3060,32,3028,1346,466,1271,404,182,447,94,88,,20,56,,,,,
Bizkaia,ETXEBARRIA,,30,4,610,339,2,337,5,332,271,110,5,173,8,35,0,0,,0,1,,0,,,
Gipuzkoa,EZKIO-ITSASO,,35,3,500,378,,378,,378,122,14,1,161,16,186,0,,,0,0,,,,,
Bizkaia,FORUA,,906,4,728,558,3,555,3,552,170,211,17,187,17,113,0,0,,1,6,,0,,,
Bizkaia,FRUIZ,,35,4,292,209,,209,,209,83,123,0,46,3,36,0,0,,0,1,,0,,,
Gipuzkoa,GABIRIA,,38,3,379,317,2,315,6,309,62,20,0,41,48,200,0,,,0,0,,,,,
Gipuzkoa,GAINTZA,,37,3,114,77,,77,2,75,37,10,0,32,0,33,0,,,0,0,,,,,
Bizkaia,GALDAKAO,,36,3,19725,13558,141,13417,96,13321,6167,3418,2593,2865,1152,2340,162,267,,80,444,,,,,
Bizkaia,GALDAMES,,37,2,711,605,4,601,10,591,106,289,20,90,51,131,4,1,,1,4,,0,,,
Bizkaia,GAMIZ-FIKA,,38,4,726,540,3,537,2,535,186,251,3,143,14,122,0,0,,2,0,,0,,,
Bizkaia,GARAI,,39,3,200,162,,162,3,159,38,75,0,47,4,30,0,0,,0,3,,,,,
Bizkaia,GATIKA,,40,4,652,556,3,553,3,550,96,229,6,112,13,188,0,0,,0,2,,0,,,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,648,528,6,522,,522,120,243,6,138,11,109,0,1,,0,14,,0,,,
Bizkaia,GERNIKA-LUMO,,46,4,12443,9362,102,9260,54,9206,3081,3121,603,2360,815,1920,14,54,,5,311,,3,,,
Gipuzkoa,GETARIA,,39,4,1775,1537,9,1528,13,1515,238,517,6,385,100,504,0,,,1,2,,,,,
Bizkaia,GETXO,,44,4,56322,36170,226,35944,293,35651,20152,11146,3672,5194,3675,5274,112,1312,,106,5024,,136,,,
Bizkaia,GIZABURUAGA,,47,4,121,77,2,75,1,74,44,29,0,34,4,4,0,1,,0,1,,1,,,
Bizkaia,GORDEXOLA,,42,2,1283,1059,31,1028,10,1018,224,562,42,68,55,184,0,19,,0,82,,6,,,
Bizkaia,GORLIZ,,43,4,1998,1524,15,1509,14,1495,474,624,66,243,213,279,2,27,,1,40,,0,,,
Bizkaia,GÜEÑES,,45,2,4839,4063,36,4027,26,4001,776,1658,455,798,128,883,21,25,,8,19,,6,,,
Álava,HARANA/VALLE DE ARANA,,56,2,378,157,,157,3,154,221,112,3,20,3,3,,7,,,6,,,,0,
Gipuzkoa,HERNANI,,40,1,14240,9568,81,9487,52,9435,4672,771,1819,3607,1008,1780,32,123,,134,157,,,,,4
Gipuzkoa,HERNIALDE,,41,3,221,127,,127,,127,94,28,1,28,14,50,3,,,0,3,,,,,
Gipuzkoa,HONDARRIBIA,,36,2,9703,6306,47,6259,53,6206,3397,660,613,1750,753,2027,7,118,,17,261,,,,,
Gipuzkoa,IBARRA,,42,3,3211,2252,17,2235,22,2213,959,144,364,597,323,720,1,,,6,58,,,,,
Bizkaia,IBARRANGELU,,48,4,469,372,,372,4,368,97,250,2,69,14,31,0,0,,0,2,,0,,,
Gipuzkoa,IDIAZABAL,,43,3,1531,1269,8,1261,10,1251,262,302,16,227,130,557,1,,,1,17,,,,,
Bizkaia,IGORRE,,94,3,2672,2163,10,2153,7,2146,509,865,95,583,54,514,6,7,,0,22,,,,,
Gipuzkoa,IKAZTEGIETA,,44,3,528,373,8,365,3,362,155,34,2,218,8,99,0,,,0,1,,,,,
Gipuzkoa,IRUN,,45,2,40017,25359,263,25096,301,24795,14658,2291,7759,3907,2923,4361,180,1534,,217,1623,,,,,
Gipuzkoa,IRURA,,46,3,498,377,1,376,6,370,121,116,15,121,13,97,2,,,3,3,,,,,
Álava,IRURAIZ-GAUNA,,27,2,379,265,10,255,4,251,114,173,1,40,12,10,,4,,,11,,,,0,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1129,877,13,864,11,853,252,178,291,70,75,86,,24,,,59,,,,70,
Bizkaia,ISPASTER,,49,4,525,434,1,433,5,428,91,242,2,70,10,99,0,2,,0,3,,0,,,
Gipuzkoa,ITSASONDO,,47,3,628,459,4,455,9,446,169,45,4,191,40,147,1,,,1,17,,,,,
Bizkaia,IZURTZA,,50,3,212,193,4,189,2,187,19,87,0,64,2,33,0,0,,0,1,,,,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2817,1919,27,1892,43,1849,898,898,112,233,81,443,9,23,,7,53,,0,,,
Bizkaia,KORTEZUBI,,907,4,317,263,2,261,1,260,54,172,0,57,9,18,1,0,,0,3,,0,,,
Álava,KRIPAN,,19,2,167,111,2,109,,109,56,77,0,8,6,6,,3,,,1,,,,8,
Álava,KUARTANGO,,20,2,294,149,3,146,2,144,145,45,16,34,10,17,,11,,,4,,,,7,
Álava,LABASTIDA/BASTIDA,,28,2,767,591,7,584,7,577,176,91,89,86,18,43,,8,,,183,,,,59,
Álava,LAGRÁN,,30,2,183,117,9,108,1,107,66,59,12,5,2,11,,9,,,6,,,,3,
Álava,LAGUARDIA,,31,2,1218,1024,10,1014,4,1010,194,193,91,83,17,89,,83,,,27,,,,427,
Álava,LANCIEGO/LANTZIEGO,,32,2,518,404,2,402,5,397,114,183,103,18,8,9,,12,,,16,,,,48,
Bizkaia,LANESTOSA,,51,2,258,214,,214,,214,44,129,53,9,8,1,0,0,,0,13,,1,,,
Álava,LANTARÓN,,902,2,708,523,4,519,4,515,185,279,33,36,22,4,,23,,,108,,,,10,
Álava,LAPUEBLA DE LABARCA,,33,2,641,580,2,578,8,570,61,301,56,17,8,87,,4,,,96,,,,1,
Bizkaia,LARRABETZU,,52,4,1248,1055,6,1049,5,1044,193,607,22,345,25,43,0,1,,0,1,,0,,,
Gipuzkoa,LARRAUL,,48,3,141,78,1,77,,77,63,17,0,37,6,17,0,,,0,0,,,,,
Gipuzkoa,LASARTE-ORIA,,902,1,12995,9291,59,9232,84,9148,3704,520,3773,1816,773,1743,36,222,,116,145,,,,,4
Álava,LAUDIO/LLODIO,,36,3,15559,11119,133,10986,139,10847,4440,2175,1610,3119,865,1673,,617,,,788,,,,,
Bizkaia,LAUKIZ,,53,4,772,608,2,606,9,597,164,298,16,97,20,145,0,6,,1,14,,0,,,
Gipuzkoa,LAZKAO,,49,3,3885,2931,14,2917,25,2892,954,730,431,824,258,553,16,,,24,56,,,,,
Gipuzkoa,LEABURU,,50,3,479,339,4,335,7,328,140,20,0,229,14,61,0,,,0,4,,,,,
Gipuzkoa,LEGAZPI,,51,3,7918,6085,71,6014,49,5965,1833,791,777,1148,996,2061,19,,,78,95,,,,,
Gipuzkoa,LEGORRETA,,52,3,1215,999,5,994,11,983,216,261,84,268,244,85,3,,,8,30,,,,,
Álava,LEGUTIO,,58,2,994,728,3,725,4,721,266,231,110,167,39,160,,3,,,10,,,,1,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,164,139,,139,,139,25,17,1,57,1,63,0,,,0,0,,,,,
Bizkaia,LEIOA,,54,4,16548,10892,85,10807,104,10703,5656,3359,2025,1827,1353,1179,176,337,,45,395,,7,,,
Bizkaia,LEKEITIO,,57,4,5784,4420,29,4391,20,4371,1364,1337,38,1422,262,1234,2,10,,1,63,,2,,,
Bizkaia,LEMOA,,55,3,2280,2002,27,1975,13,1962,278,850,57,334,71,594,6,2,,2,46,,,,,
Bizkaia,LEMOIZ,,56,4,638,524,2,522,5,517,114,274,5,138,40,58,0,2,,0,0,,0,,,
Álava,LEZA,,34,2,180,153,2,151,,151,27,34,29,3,5,56,,2,,,2,,,,20,
Bizkaia,LEZAMA,,81,4,1455,1092,22,1070,12,1058,363,652,30,247,38,67,1,1,,2,20,,0,,,
Gipuzkoa,LEZO,,53,2,3964,2789,35,2754,15,2739,1175,169,465,1092,275,647,17,16,,9,49,,,,,
Gipuzkoa,LIZARTZA,,54,3,554,491,2,489,1,488,63,18,0,277,7,184,0,,,0,2,,,,,
Bizkaia,LOIU,,903,4,1520,1055,4,1051,7,1044,465,583,9,119,68,186,1,9,,3,65,,1,,,
Bizkaia,MALLABIA,,58,3,849,656,2,654,9,645,193,247,67,232,32,54,2,4,,0,7,,,,,
Bizkaia,MARKINA-XEMEIN,,60,4,3992,2676,16,2660,22,2638,1316,1188,55,695,89,537,3,14,,0,56,,1,,,
Bizkaia,MARURI-JATABE,,61,4,389,325,,325,1,324,64,162,9,40,17,87,0,0,,0,9,,0,,,
Bizkaia,MAÑARIA,,59,3,426,339,3,336,6,330,87,162,2,97,6,57,0,0,,0,6,,,,,
Gipuzkoa,MENDARO,,901,4,1224,979,3,976,6,970,245,284,150,206,57,263,1,,,6,3,,,,,
Bizkaia,MENDATA,,62,4,318,265,,265,2,263,53,140,0,45,1,73,0,0,,0,4,,0,,,
Bizkaia,MENDEXA,,63,4,292,246,,246,9,237,46,63,0,119,11,37,0,2,,0,5,,0,,,
Bizkaia,MEÑAKA,,64,4,352,289,1,288,,288,63,109,1,43,10,125,0,0,,0,0,,0,,,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,260,215,5,210,1,209,45,70,72,4,6,9,,3,,,17,,,,28,
Bizkaia,MORGA,,66,4,293,237,2,235,,235,56,174,0,25,0,35,0,1,,0,0,,0,,,
Bizkaia,MUNDAKA,,68,4,1263,1110,9,1101,4,1097,153,523,4,265,23,264,0,0,,0,17,,1,,,
Bizkaia,MUNGIA,,69,4,8240,5934,50,5884,47,5837,2306,2657,476,1055,469,998,9,41,,4,127,,1,,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,427,341,6,335,2,333,86,149,1,119,7,57,0,0,,0,0,,0,,,
Bizkaia,MURUETA,,908,4,188,133,,133,1,132,55,74,1,23,6,26,0,0,,0,1,,1,,,
Bizkaia,MUSKIZ,,71,2,4726,3677,25,3652,20,3632,1049,1135,624,641,301,647,168,28,,32,51,,5,,,
Gipuzkoa,MUTILOA,,57,3,160,92,,92,1,91,68,14,0,28,4,42,0,,,1,2,,,,,
Gipuzkoa,MUTRIKU,,56,4,3496,2845,16,2829,18,2811,651,1271,127,805,87,391,2,,,3,125,,,,,
Bizkaia,MUXIKA,,67,4,1236,979,3,976,2,974,257,329,6,347,10,273,1,0,,0,6,,2,,,
Bizkaia,NABARNIZ,,909,4,209,185,,185,1,184,24,80,0,81,2,21,0,0,,0,0,,0,,,
Álava,NAVARIDAS,,41,2,185,151,1,150,4,146,34,36,4,2,4,19,,18,,,11,,,,52,
Gipuzkoa,OIARTZUN,,63,2,5955,4547,29,4518,27,4491,1408,470,220,1918,346,1450,9,16,,6,56,,,,,
Álava,OKONDO,,42,3,583,481,4,477,2,475,102,189,3,98,5,92,,1,,,87,,,,,
Gipuzkoa,OLABERRIA,,58,3,1019,752,10,742,14,728,267,104,146,144,62,203,1,,,2,66,,,,,
Bizkaia,ONDARROA,,73,4,8340,6097,68,6029,25,6004,2243,2042,107,2288,372,853,1,10,,2,325,,4,,,
Gipuzkoa,ORDIZIA,,76,3,7260,5144,34,5110,40,5070,2116,691,570,1288,971,1142,33,,,123,252,,,,,
Gipuzkoa,OREXA,,60,3,73,59,,59,,59,14,5,0,51,0,3,0,,,0,0,,,,,
Gipuzkoa,ORIO,,61,4,3159,2435,29,2406,14,2392,724,254,220,656,379,843,6,,,4,30,,,,,
Gipuzkoa,ORMAIZTEGI,,62,3,967,846,7,839,11,828,121,228,9,209,153,220,1,,,0,8,,,,,
Bizkaia,OROZKO,,75,3,1622,1275,25,1250,5,1245,347,538,12,240,33,375,0,7,,0,40,,,,,
Bizkaia,ORTUELLA,,83,2,6754,4555,18,4537,53,4484,2199,630,1412,835,424,619,168,74,,256,64,,2,,,
Bizkaia,OTXANDIO,,72,3,932,757,4,753,,753,175,317,6,243,109,68,0,0,,0,10,,,,,
Álava,OYÓN-OION,,43,2,1777,1275,15,1260,8,1252,502,290,238,153,107,151,,49,,,224,,,,40,
Gipuzkoa,OÑATI,,59,4,8399,6298,31,6267,39,6228,2101,2435,330,1646,540,1088,3,,,7,179,,,,,
Gipuzkoa,PASAIA,,64,2,14917,9055,106,8949,73,8876,5862,780,1832,2885,1068,1846,27,92,,83,263,,,,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,201,155,2,153,1,152,46,83,8,10,13,6,,8,,,13,,,,11,
Bizkaia,PLENTZIA,,77,4,2174,1732,30,1702,14,1688,442,777,46,307,193,312,3,16,,1,33,,0,,,
Bizkaia,PORTUGALETE,,78,2,43358,27338,213,27125,113,27012,16020,4247,8690,3962,3336,2221,685,1517,,543,1684,,127,,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,328,284,5,279,2,277,44,122,23,6,13,4,,70,,,28,,,,11,
Álava,SAMANIEGO,,52,2,260,201,2,199,1,198,59,90,51,33,9,3,,0,,,6,,,,6,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,656,297,6,291,6,285,359,134,13,55,26,20,,15,,,16,,,,6,
Bizkaia,SANTURTZI,,82,2,38800,25602,246,25356,1494,23862,13198,4094,7092,4798,2477,2502,602,783,,256,1174,,84,,,
Gipuzkoa,SEGURA,,70,3,1080,921,6,915,6,909,159,191,0,271,68,379,0,,,0,0,,,,,
Bizkaia,SESTAO,,84,2,28988,17903,143,17760,138,17622,11085,2484,6496,2762,1713,1336,374,871,,481,1087,,18,,,
Bizkaia,SONDIKA,,904,4,3261,2371,30,2341,22,2319,890,1271,114,357,125,367,3,55,,2,24,,1,,,
Bizkaia,SOPELA,,85,4,4882,3426,18,3408,25,3383,1456,1105,422,931,341,487,13,42,,10,31,,1,,,
Bizkaia,SOPUERTA,,86,2,1758,1472,9,1463,68,1395,286,370,176,192,118,451,23,7,,2,55,,1,,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4078,3202,22,3180,19,3161,876,846,484,761,349,576,9,,,6,130,,,,,
Bizkaia,SUKARRIETA,,76,4,233,191,1,190,,190,42,67,3,36,11,70,0,0,,0,3,,0,,,
Gipuzkoa,TOLOSA,,71,3,14546,9344,84,9261,103,9157,5202,1237,920,2204,1332,2677,50,,,21,716,,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,441,378,5,373,36,337,63,164,28,41,13,77,0,5,,0,8,,1,,,
Bizkaia,UBIDE,,88,3,141,123,1,122,1,121,18,39,0,62,4,3,0,0,,0,13,,,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3135,2352,14,2338,13,2325,783,723,357,567,88,391,15,113,,6,65,,,,,
Bizkaia,URDULIZ,,89,4,1821,1398,13,1385,7,1378,423,565,167,321,77,208,1,11,,2,23,,3,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3386,2507,35,2472,23,2449,879,862,65,464,215,594,0,23,,5,221,,,,,
Álava,URKABUSTAIZ,,54,2,719,535,13,522,9,513,184,161,57,124,27,65,,10,,,64,,,,5,
Gipuzkoa,URNIETA,,72,1,3072,2237,22,2215,15,2200,835,586,472,535,124,350,2,32,,44,53,,,,,2
Gipuzkoa,URRETXU,,77,3,4913,3719,18,3701,37,3664,1194,376,661,623,385,1410,38,,,117,54,,,,,
Gipuzkoa,USURBIL,,73,1,4094,2953,29,2924,23,2901,1141,325,417,901,149,739,9,22,,5,77,,,,,257
Álava,VALDEGOVÍA/GAUBEA,,55,2,784,526,7,519,5,514,258,250,29,54,19,38,,15,,,46,,,,63,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9917,7091,75,7016,29,6987,2826,1636,1859,1439,874,559,138,145,,230,104,,3,,,
Gipuzkoa,VILLABONA,,75,3,3836,2890,25,2865,31,2834,946,299,280,898,582,664,6,,,6,99,,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,291,248,2,246,1,245,43,146,1,31,0,36,,3,,,23,,,,5,
