TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,PST,PCE(M-L),CSI,PCE-EPK,AP-PDP-UL,AUZOLAN
Gipuzkoa,GAINTZA,,37,3,105,92,,92,,92,13,62,2,27,0,,0,,0,0,1
Bizkaia,GALDAKAO,,36,3,19215,13536,79,13410,47,13410,5679,6492,3247,1935,743,43,19,,166,630,135
Bizkaia,GALDAMES,,37,2,688,515,4,510,1,510,173,382,33,47,36,0,0,,1,11,0
Bizkaia,GAMIZ-FIKA,,38,4,718,508,2,506,,506,210,403,3,83,11,0,0,,0,5,1
Bizkaia,GARAI,,39,3,183,148,2,146,,146,35,102,2,32,7,0,0,,0,2,1
Bizkaia,GATIKA,,40,4,701,531,1,530,,530,170,405,12,82,13,0,0,,0,18,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,631,497,3,492,2,492,134,378,8,61,20,1,0,,0,20,4
Bizkaia,GERNIKA-LUMO,,46,4,13618,9921,34,9845,42,9845,3697,5917,910,1765,548,13,6,,29,530,127
Gipuzkoa,GETARIA,,39,4,1761,1504,1,1503,,1503,257,974,30,337,121,,0,,2,24,15
Bizkaia,GETXO,,44,4,48914,34924,113,34642,169,34642,13990,16795,4742,3481,2715,70,21,,173,6358,287
Bizkaia,GIZABURUAGA,,47,4,127,83,,83,,83,44,49,1,30,2,0,0,,0,1,0
Bizkaia,GORDEXOLA,,42,2,1333,1098,4,1089,5,1089,235,753,55,46,43,0,0,,0,190,2
Bizkaia,GORLIZ,,43,4,2129,1300,7,1278,15,1278,829,810,85,163,144,3,0,,2,67,4
Bizkaia,GÜEÑES,,45,2,4946,3924,34,3872,18,3872,1022,2583,440,592,133,10,2,,17,90,5
Álava,HARANA/VALLE DE ARANA,,56,2,388,220,4,214,2,214,168,123,28,9,8,,,0,0,43,3
Gipuzkoa,HERNANI,,40,1,21372,14818,86,14692,40,14692,6554,4530,4213,3915,1045,,14,,200,555,220
Gipuzkoa,HERNIALDE,,41,3,207,128,,127,1,127,79,85,0,26,8,,0,,5,2,1
Gipuzkoa,HONDARRIBIA,,36,2,8315,5829,14,5801,14,5801,2486,3225,797,925,549,,2,,9,257,37
Gipuzkoa,IBARRA,,42,3,3045,1925,34,1888,3,1888,1120,729,419,395,227,,1,,18,66,33
Bizkaia,IBARRANGELU,,48,4,469,365,3,362,,362,104,300,5,33,18,0,0,,0,2,4
Gipuzkoa,IDIAZABAL,,43,3,1521,1217,9,1202,6,1202,304,797,27,195,119,,0,,2,23,39
Bizkaia,IGORRE,,94,3,2424,1905,7,1888,10,1888,519,1286,107,389,40,0,2,,3,55,6
Gipuzkoa,IKAZTEGIETA,,44,3,555,388,1,384,3,384,167,172,9,181,12,,0,,0,8,2
Gipuzkoa,IRUN,,45,2,39525,26662,125,26405,132,26405,12863,8777,9797,2670,2304,,48,,215,2336,258
Gipuzkoa,IRURA,,46,3,488,363,1,361,1,361,125,192,20,115,10,,0,,1,17,6
Álava,IRURAIZ-GAUNA,,27,2,385,252,,250,2,250,133,158,10,29,15,,,0,0,33,5
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1225,796,10,783,3,783,429,250,275,30,31,,,10,16,162,9
Bizkaia,ISPASTER,,49,4,535,441,,441,,441,94,344,7,68,14,1,0,,0,5,2
Gipuzkoa,ITSASONDO,,47,3,660,489,2,484,3,484,171,184,23,176,64,,1,,0,19,17
Bizkaia,IZURTZA,,50,3,237,214,4,207,3,207,23,136,9,56,1,0,0,,0,5,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2871,1469,9,1456,4,1456,1402,1019,119,122,98,4,1,,3,86,4
Álava,KRIPAN,,19,2,162,130,,129,1,129,32,105,1,3,5,,,0,0,14,1
Álava,KUARTANGO,,20,2,305,148,1,145,2,145,157,42,21,28,19,,,4,2,26,3
Álava,LABASTIDA/BASTIDA,,28,2,746,523,,522,1,522,223,136,137,30,16,,,1,22,178,2
Álava,LAGRÁN,,30,2,208,139,7,131,1,131,69,76,23,1,2,,,1,0,28,0
Álava,LAGUARDIA,,31,2,1236,911,3,900,8,900,325,317,127,46,48,,,3,1,351,7
Álava,LANCIEGO/LANTZIEGO,,32,2,501,390,,389,1,389,111,236,86,6,8,,,1,0,48,4
Bizkaia,LANESTOSA,,51,2,251,176,1,175,,175,75,99,36,6,6,1,0,,3,23,1
Álava,LANTARÓN,,902,2,687,447,8,431,8,431,240,197,61,29,23,,,6,2,109,4
Álava,LAPUEBLA DE LABARCA,,33,2,604,513,1,511,1,511,91,313,61,18,3,,,5,0,111,0
Bizkaia,LARRABETZU,,52,4,1261,971,1,968,2,968,290,623,40,256,27,1,0,,2,14,5
Gipuzkoa,LARRAUL,,48,3,146,72,,72,,72,74,40,1,25,5,,0,,0,1,0
Álava,LAUDIO/LLODIO,,36,3,14825,10122,99,9936,87,9936,4703,3847,1679,1904,614,,,225,87,1453,127
Bizkaia,LAUKIZ,,53,4,712,587,,585,2,585,125,449,20,67,12,1,0,,2,34,0
Gipuzkoa,LAZKAO,,49,3,3840,2976,13,2953,10,2953,864,1321,608,706,165,,2,,28,72,51
Gipuzkoa,LEABURU,,50,3,495,305,9,293,3,293,190,117,13,136,20,,0,,1,6,0
Gipuzkoa,LEGAZPI,,51,3,7838,5889,31,5834,24,5834,1949,2906,965,1026,519,,3,,80,240,95
Gipuzkoa,LEGORRETA,,52,3,1233,981,12,964,5,964,252,384,130,204,188,,0,,7,45,6
Álava,LEGUTIO,,58,2,1009,683,16,665,2,665,326,364,98,126,32,,,10,6,24,5
Gipuzkoa,LEINTZ-GATZAGA,,68,4,160,129,,129,,129,31,88,1,37,3,,0,,0,0,0
Bizkaia,LEIOA,,54,4,14992,10420,41,10339,40,10339,4572,4532,2545,1356,880,31,13,,125,758,99
Bizkaia,LEKEITIO,,57,4,5488,4400,25,4362,13,4362,1088,2656,107,1153,282,3,0,,1,123,37
Bizkaia,LEMOA,,55,3,2323,1890,7,1874,9,1874,433,1267,144,263,73,6,1,,5,106,9
Bizkaia,LEMOIZ,,56,4,722,488,1,484,3,484,234,324,11,105,44,0,0,,0,0,0
Álava,LEZA,,34,2,158,128,1,127,,127,30,85,22,2,1,,,0,0,16,1
Bizkaia,LEZAMA,,81,4,1378,1084,3,1078,3,1078,294,778,52,181,30,0,0,,1,33,3
Gipuzkoa,LEZO,,53,2,3810,2598,26,2567,5,2567,1212,915,544,761,246,,0,,10,65,26
Gipuzkoa,LIZARTZA,,54,3,587,437,2,432,3,432,150,210,6,203,9,,0,,0,4,0
Bizkaia,LOIU,,903,4,1393,1106,3,1101,2,1101,287,783,31,95,87,0,0,,2,100,3
Bizkaia,MALLABIA,,58,3,831,577,4,570,3,570,254,333,63,135,21,1,0,,2,14,1
Bizkaia,MARKINA-XEMEIN,,60,4,3951,2508,28,2469,11,2469,1443,1656,93,474,71,2,0,,1,84,88
Bizkaia,MARURI-JATABE,,61,4,385,263,1,259,3,259,122,201,7,22,19,0,0,,0,9,1
Bizkaia,MAÑARIA,,59,3,449,332,1,331,,331,117,234,9,59,3,0,0,,0,25,1
Gipuzkoa,MENDARO,,901,4,1308,886,,884,2,884,422,553,135,104,58,,0,,3,23,8
Bizkaia,MENDATA,,62,4,336,237,1,236,,236,99,200,0,25,1,1,0,,0,4,5
Bizkaia,MENDEXA,,63,4,279,216,1,215,,215,63,121,0,71,11,0,0,,0,9,3
Bizkaia,MEÑAKA,,64,4,331,259,1,258,,258,72,191,0,35,18,0,0,,0,11,3
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,281,222,,220,2,220,59,125,39,6,6,,,0,0,43,1
Bizkaia,MORGA,,66,4,322,238,,238,,238,84,200,0,23,4,0,0,,0,9,2
Bizkaia,MUNDAKA,,68,4,1257,1065,4,1060,1,1060,192,762,17,217,33,0,0,,3,24,4
Bizkaia,MUNGIA,,69,4,8088,5729,22,5694,13,5694,2359,3909,533,674,291,8,2,,7,252,18
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,437,325,5,317,3,317,112,213,0,82,11,0,0,,0,5,6
Bizkaia,MUSKIZ,,71,2,4507,3202,9,3183,10,3183,1305,1513,652,378,274,8,6,,219,129,4
Gipuzkoa,MUTILOA,,57,3,185,109,,108,1,108,76,70,0,32,6,,0,,0,0,0
Gipuzkoa,MUTRIKU,,56,4,3355,2696,23,2661,12,2661,659,1670,131,594,100,,0,,2,152,12
Bizkaia,MUXIKA,,67,4,1278,1003,2,998,3,998,275,704,9,238,26,0,0,,0,12,9
Álava,NAVARIDAS,,41,2,184,142,,135,7,135,42,70,16,1,5,,,0,0,41,2
Gipuzkoa,OIARTZUN,,63,2,5506,4118,4,4107,7,4107,1388,2008,330,1362,227,,1,,8,85,86
Álava,OKONDO,,42,3,557,450,,446,4,446,107,249,11,70,9,,,0,0,106,1
Gipuzkoa,OLABERRIA,,58,3,1027,775,11,756,8,756,252,317,189,112,48,,0,,0,75,15
Bizkaia,ONDARROA,,73,4,8300,5551,26,5500,25,5500,2749,2690,190,1708,326,2,2,,4,396,182
Gipuzkoa,ORDIZIA,,76,3,7251,5209,17,5178,14,5178,2042,1902,859,1090,663,,3,,124,421,116
Gipuzkoa,OREXA,,60,3,78,64,,64,,64,14,21,0,42,1,,0,,0,0,0
Gipuzkoa,ORIO,,61,4,3101,2384,26,2339,19,2339,717,1263,254,472,264,,1,,4,60,21
Gipuzkoa,ORMAIZTEGI,,62,3,947,799,2,789,8,789,148,464,24,156,113,,1,,0,9,22
Bizkaia,OROZKO,,75,3,1596,1076,7,1063,6,1063,520,752,42,145,47,1,0,,1,71,4
Bizkaia,ORTUELLA,,83,2,6676,4552,25,4507,20,4507,2124,1231,1531,702,347,28,8,,470,160,30
Bizkaia,OTXANDIO,,72,3,961,692,1,689,2,689,269,356,34,205,63,0,0,,0,30,1
Álava,OYÓN-OION,,43,2,1789,1248,7,1232,9,1232,541,499,236,108,104,,,12,5,262,6
Gipuzkoa,OÑATI,,59,4,8279,5992,17,5952,23,5952,2287,3186,460,1360,465,,3,,6,385,87
Gipuzkoa,PASAIA,,64,2,15081,9833,102,9686,45,9686,5248,3317,2434,2420,907,,10,,73,353,172
Álava,PEÑACERRADA-URIZAHARRA,,44,2,189,129,3,122,4,122,60,65,19,7,9,,,0,0,22,0
Bizkaia,PLENTZIA,,77,4,2234,1619,6,1609,4,1609,615,1092,92,191,154,0,0,,1,71,8
Bizkaia,PORTUGALETE,,78,2,41830,27765,210,27410,145,27410,14065,8171,10067,3118,2346,91,36,,1107,2294,180
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,360,232,3,226,3,226,128,86,59,7,6,,,3,4,60,1
Álava,SAMANIEGO,,52,2,206,159,4,155,,155,47,70,44,21,4,,,0,6,8,2
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,674,337,2,333,2,333,337,216,11,45,26,,,0,3,25,7
Bizkaia,SANTURTZI,,82,2,38499,24576,128,24367,81,24367,13923,8154,7844,3806,1994,127,48,,755,1459,180
Gipuzkoa,SEGURA,,70,3,1050,848,1,845,2,845,202,531,15,228,50,,0,,0,13,8
Bizkaia,SESTAO,,84,2,29620,19228,110,19051,67,19051,10392,5334,7117,2266,1464,110,45,,936,1643,136
Bizkaia,SONDIKA,,904,4,3051,2339,22,2307,10,2307,712,1516,271,259,120,7,1,,12,109,12
Bizkaia,SOPELA,,85,4,4370,3127,14,3103,10,3103,1243,1583,458,734,232,6,2,,12,63,13
Bizkaia,SOPUERTA,,86,2,1794,1259,1,1252,6,1252,535,745,166,101,123,0,0,,24,85,8
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4243,3240,18,3202,20,3202,1003,1433,620,655,255,,2,,3,201,33
Bizkaia,SUKARRIETA,,76,4,214,150,1,149,,149,64,120,1,15,8,0,0,,0,4,1
Gipuzkoa,TOLOSA,,71,3,14610,9333,54,9251,28,9251,5277,4131,1319,1699,976,,6,,97,879,144
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,449,339,1,338,,338,110,227,30,22,9,1,0,,0,49,0
Bizkaia,UBIDE,,88,3,127,109,,109,,109,18,42,2,49,3,0,0,,0,13,0
Bizkaia,UGAO-MIRABALLES,,65,3,3122,2187,4,2177,6,2177,935,1056,390,453,113,4,0,,13,123,25
Bizkaia,URDULIZ,,89,4,1829,1341,2,1334,5,1334,488,757,162,294,73,5,1,,2,38,2
Bizkaia,URDUÑA/ORDUÑA,,74,3,3434,2292,35,2246,11,2246,1142,1325,218,323,108,11,1,,4,239,17
Álava,URKABUSTAIZ,,54,2,706,396,2,389,5,389,310,186,43,69,21,,,4,2,60,4
Gipuzkoa,URNIETA,,72,1,8255,5781,29,5718,34,5718,2474,1841,2361,854,278,,2,,90,242,50
Gipuzkoa,URRETXU,,77,3,4750,3603,10,3590,3,3590,1147,1638,796,502,350,,0,,175,99,30
Gipuzkoa,USURBIL,,73,1,4069,2986,24,2951,11,2951,1083,1162,538,943,157,,1,,28,100,22
Álava,VALDEGOVÍA/GAUBEA,,55,2,844,533,5,518,10,518,311,233,70,29,31,,,3,1,146,5
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9897,6904,36,6850,18,6850,2993,2445,1984,1085,678,12,8,,412,208,18
Gipuzkoa,VILLABONA,,75,3,3688,2638,10,2625,3,2625,1050,1088,405,660,351,,0,,3,90,28
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,277,238,2,236,,236,39,152,6,23,0,,,0,0,55,0
Álava,VITORIA-GASTEIZ,,59,1,136806,91170,691,89759,720,89759,45636,28314,26154,9042,7700,,,2038,885,14619,1007
Álava,YÉCORA/IEKORA,,60,2,214,149,2,147,,147,65,78,27,1,6,,,0,0,34,1
Bizkaia,ZALDIBAR,,95,3,2336,1593,11,1576,6,1576,743,708,437,187,91,4,0,,9,102,38
Gipuzkoa,ZALDIBIA,,78,3,1373,895,4,891,,891,478,298,69,360,82,,1,,11,32,38
Álava,ZALDUONDO,,61,2,111,90,,88,2,88,21,54,8,12,6,,,0,3,2,3
Bizkaia,ZALLA,,96,2,5185,3925,19,3893,13,3893,1260,2531,478,471,215,14,2,,37,133,12
Álava,ZAMBRANA,,62,2,290,203,7,195,1,195,87,81,23,19,9,,,2,2,57,2
Bizkaia,ZAMUDIO,,905,4,2445,1797,13,1774,10,1774,648,1047,223,334,77,8,4,,3,71,7
Bizkaia,ZARATAMO,,97,3,1295,924,3,918,3,918,371,494,183,170,34,1,1,,4,26,5
Gipuzkoa,ZARAUTZ,,79,4,11051,8424,40,8347,37,8347,2627,4185,1137,1219,962,,0,,75,609,160
Bizkaia,ZEANURI,,24,3,1104,883,5,877,1,877,221,618,13,173,23,0,0,,0,48,2
Bizkaia,ZEBERIO,,25,3,893,618,5,610,3,610,275,434,15,115,26,0,0,,2,14,4
Gipuzkoa,ZEGAMA,,25,3,1203,795,5,788,2,788,408,462,21,229,32,,0,,1,19,24
Gipuzkoa,ZERAIN,,26,3,208,143,,143,,143,65,97,3,37,4,,0,,0,0,2
Gipuzkoa,ZESTOA,,27,4,2936,2053,4,2044,5,2044,883,1208,152,494,101,,0,,3,22,64
Álava,ZIGOITIA,,18,2,567,352,4,346,2,346,215,206,29,55,26,,,2,0,20,8
Gipuzkoa,ZIZURKIL,,28,3,1970,1430,6,1420,4,1420,540,636,288,356,76,,1,,4,41,18
Álava,ZUIA,,63,2,1036,771,6,759,6,759,265,482,56,60,37,,,3,0,111,10
Gipuzkoa,ZUMAIA,,81,4,5663,4193,45,4129,19,4129,1470,1948,833,767,309,,4,,63,165,40
Gipuzkoa,ZUMARRAGA,,80,3,8731,6370,55,6284,31,6284,2361,2434,1823,709,529,,4,,444,283,58
