TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EB-B,EKA,PH,PSE-EE/PSOE,PLAZANDREOK,EAJ-PNV / EA,ARALAR
Gipuzkoa,BERGARA,,74,4,12783,9011,1830,7181,77,7104,3772,,551,,513,,,752,,4227,1061
Bizkaia,BERMEO,,17,4,14604,10777,1251,9526,47,9479,3827,,346,,417,,,422,,8058,236
Álava,BERNEDO,,16,2,504,328,23,305,4,301,176,160,107,4,7,,,15,,,8
Bizkaia,BERRIATUA,,18,4,917,658,163,495,7,488,259,,8,,7,,,4,,429,40
Bizkaia,BERRIZ,,19,3,3806,2761,386,2375,74,2301,1045,1320,328,,157,4,,357,,,135
Gipuzkoa,BERROBI,,23,3,452,354,104,250,18,232,98,,24,,10,2,,8,,165,23
Gipuzkoa,BIDANIA-GOIATZ,,24,4,362,281,72,209,6,203,81,,2,,6,,,2,,180,13
Bizkaia,BILBAO,,20,1,306815,209520,11454,198066,2456,195610,97295,,51768,,19195,134,880,38554,,81918,3161
Bizkaia,BUSTURIA,,21,4,1540,1201,187,1014,10,1004,339,,49,,43,,,75,,802,35
Álava,CAMPEZO/KANPEZU,,17,2,943,715,63,652,8,644,228,374,172,2,39,,,50,,,7
Gipuzkoa,DEBA,,29,4,4424,3293,591,2702,35,2667,1131,,163,,213,,,170,,1948,173
Bizkaia,DERIO,,901,4,4241,3095,197,2898,45,2853,1146,,394,,191,,,703,,1522,43
Bizkaia,DIMA,,26,3,965,819,315,504,4,500,146,437,17,,16,0,,3,,,27
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,156516,103990,10789,93201,1607,91594,52526,,21911,,6430,,,25205,526,33759,3763
Bizkaia,DURANGO,,27,3,21508,15512,1618,13894,176,13718,5996,7280,2536,,1090,21,,1893,,,898
Bizkaia,EA,,28,4,751,612,140,472,9,463,139,,10,,2,,,2,,439,10
Gipuzkoa,EIBAR,,30,4,24733,17554,1718,15836,190,15646,7179,,1964,,917,,,5972,,6183,610
Bizkaia,ELANTXOBE,,31,4,446,365,71,294,1,293,81,,4,,7,,,0,,271,11
Álava,ELBURGO/BURGELU,,21,2,364,272,25,247,3,244,92,141,57,6,11,,,26,,,3
Álava,ELCIEGO,,22,2,823,713,25,688,12,676,110,195,218,0,23,,,232,,,8
Gipuzkoa,ELDUAIN,,31,3,190,160,70,90,,90,30,,1,,0,0,,0,,84,5
Gipuzkoa,ELGETA,,33,4,840,688,124,564,5,559,152,,21,,20,,,16,,344,158
Gipuzkoa,ELGOIBAR,,32,4,9246,6710,888,5822,57,5765,2536,,788,,325,,,886,,3548,218
Bizkaia,ELORRIO,,32,3,6174,4514,950,3564,49,3515,1660,1935,526,,226,3,,497,,,328
Álava,ELVILLAR/BILAR,,23,2,325,268,15,253,4,249,57,112,113,3,6,,,9,,,6
Bizkaia,ERANDIO,,902,4,19643,13262,1002,12260,177,12083,6381,,1661,,1013,,,2788,,6459,162
Bizkaia,EREÑO,,33,4,247,200,23,177,,177,47,,12,,2,,,1,,159,3
Bizkaia,ERMUA,,34,3,14116,9759,488,9271,134,9137,4357,1736,2493,,833,17,,3890,,,168
Gipuzkoa,ERRENTERIA,,67,2,33287,20902,3339,17563,282,17281,12385,5493,2300,,1703,,,7010,89,,686
Gipuzkoa,ERREZIL,,66,4,519,447,181,266,,266,72,,0,,3,,,3,,257,3
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,513,414,30,384,12,372,99,180,143,4,11,,,20,,,14
Bizkaia,ERRIGOITI,,79,4,460,391,85,306,,306,69,,14,,3,,,1,,281,7
Gipuzkoa,ESKORIATZA,,34,4,3329,2308,498,1810,10,1800,1021,,157,,213,,,333,,947,150
Bizkaia,ETXEBARRI,,29,3,6278,4345,236,4109,92,4017,1933,1528,884,,469,11,,1081,,,44
Bizkaia,ETXEBARRIA,,30,4,711,552,163,389,2,387,159,,11,,7,,,1,,358,10
Gipuzkoa,EZKIO-ITSASO,,35,3,463,362,138,224,2,222,101,,2,,17,0,,4,,171,28
Bizkaia,FORUA,,906,4,904,723,150,573,2,571,181,,34,,10,,,7,,499,21
Bizkaia,FRUIZ,,35,4,313,259,35,224,2,222,54,,17,,9,,,2,,188,6
Gipuzkoa,GABIRIA,,38,3,355,301,62,239,1,238,54,,3,,2,0,,4,,215,14
Gipuzkoa,GAINTZA,,37,3,108,83,16,67,4,63,25,,0,,0,0,,1,,52,10
Bizkaia,GALDAKAO,,36,3,24910,17167,1704,15463,214,15249,7743,7833,2271,,1832,20,,2883,,,410
Bizkaia,GALDAMES,,37,2,776,593,79,514,5,509,183,,27,,42,,,40,,381,19
Bizkaia,GAMIZ-FIKA,,38,4,1003,806,87,719,6,713,197,,43,,24,,,14,,592,40
Bizkaia,GARAI,,39,3,252,225,21,204,2,202,27,181,7,,4,0,,0,,,10
Bizkaia,GATIKA,,40,4,1126,936,185,751,25,726,190,,40,,33,,,34,,592,27
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,736,626,94,532,4,528,110,,27,,22,,,4,,456,19
Gipuzkoa,GAZTELU,,907,3,133,123,42,81,2,79,10,,0,,9,0,,0,,62,8
Bizkaia,GERNIKA-LUMO,,46,4,13246,10192,1607,8585,95,8490,3054,,720,,409,,,650,,6427,284
Gipuzkoa,GETARIA,,39,4,2023,1671,395,1276,6,1270,352,,34,,32,,,25,,949,230
Bizkaia,GETXO,,44,4,69107,51320,2934,48386,812,47574,17787,,15512,,3308,,,6765,,20841,1148
Bizkaia,GIZABURUAGA,,47,4,123,87,30,57,1,56,36,,0,,1,,,0,,52,3
Bizkaia,GORDEXOLA,,42,2,1354,1166,65,1101,4,1097,188,,212,,75,,,58,,743,9
Bizkaia,GORLIZ,,43,4,3805,2948,231,2717,32,2685,857,,285,,242,,,195,,1864,99
Bizkaia,GÜEÑES,,45,2,5134,4094,337,3757,40,3717,1040,,296,,162,,,536,,2648,75
Álava,HARANA/VALLE DE ARANA,,56,2,315,225,16,209,4,205,90,129,64,0,2,,,9,,,1
Gipuzkoa,HERNANI,,40,1,15676,9891,3267,6624,153,6471,5785,,737,,722,,,1533,39,2899,541
Gipuzkoa,HERNIALDE,,41,3,248,167,42,125,4,121,81,,3,,3,1,,2,,87,25
Gipuzkoa,HONDARRIBIA,,36,2,12818,8773,976,7797,139,7658,4045,4800,932,,470,,,881,33,,542
Gipuzkoa,IBARRA,,42,3,3680,2446,739,1707,36,1671,1234,,175,,130,5,,296,,953,112
Bizkaia,IBARRANGELU,,48,4,508,418,58,360,1,359,90,,11,,9,,,1,,320,18
Gipuzkoa,IDIAZABAL,,43,3,1817,1391,291,1100,17,1083,426,,57,,21,0,,33,,922,50
Bizkaia,IGORRE,,94,3,3291,2650,555,2095,26,2069,641,1656,97,,74,2,,106,,,134
Gipuzkoa,IKAZTEGIETA,,44,3,321,260,88,172,1,171,61,,10,,8,0,,2,,142,9
Gipuzkoa,IRUN,,45,2,49655,32435,2076,30359,554,29805,17220,9860,6288,,2194,,,10455,148,,860
Gipuzkoa,IRURA,,46,3,858,593,219,374,20,354,265,,30,,15,5,,23,,246,35
Álava,IRURAIZ-GAUNA,,27,2,415,284,35,249,5,244,131,143,59,4,13,,,14,,,11
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1672,1217,73,1144,22,1122,455,305,315,52,64,,,346,,,40
Bizkaia,ISPASTER,,49,4,574,455,73,382,3,379,119,,12,,5,,,1,,350,11
Gipuzkoa,ITSASONDO,,47,3,480,330,129,201,2,199,150,,11,,11,1,,9,,145,22
Bizkaia,IURRETA,,910,3,3548,2477,391,2086,32,2054,1071,1030,377,,136,2,,447,,,62
Bizkaia,IZURTZA,,50,3,254,208,69,139,2,137,46,125,3,,3,0,,0,,,6
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2679,1960,143,1817,24,1793,719,,131,,72,,,89,,1460,41
Bizkaia,KORTEZUBI,,907,4,326,276,53,223,,223,50,,12,,1,,,0,,199,11
Álava,KRIPAN,,19,2,168,147,4,143,1,142,21,107,27,0,1,,,4,,,3
Álava,KUARTANGO,,20,2,339,263,35,228,3,225,76,178,31,0,6,,,7,,,3
Álava,LABASTIDA/BASTIDA,,28,2,1075,842,55,787,15,772,233,255,346,6,43,,,110,,,12
Álava,LAGRÁN,,30,2,191,152,2,150,2,148,39,61,65,2,3,,,12,,,5
Álava,LAGUARDIA,,31,2,1263,1104,30,1074,8,1066,159,417,556,2,14,,,68,,,9
Álava,LANCIEGO/LANTZIEGO,,32,2,553,468,13,455,3,452,85,218,146,3,4,,,76,,,5
Bizkaia,LANESTOSA,,51,2,290,241,9,232,4,228,49,,36,,6,,,14,,171,1
Álava,LANTARÓN,,902,2,842,629,41,588,5,583,213,249,212,17,26,,,76,,,3
Álava,LAPUEBLA DE LABARCA,,33,2,716,623,10,613,8,605,93,356,165,0,10,,,68,,,6
Bizkaia,LARRABETZU,,52,4,1362,1155,313,842,2,840,207,,31,,44,,,28,,696,41
Gipuzkoa,LARRAUL,,48,3,137,91,25,66,1,65,46,,1,,2,0,,3,,49,10
Gipuzkoa,LASARTE-ORIA,,902,1,15080,10393,1222,9171,146,9025,4687,,1098,,708,,,4323,53,2561,282
Álava,LAUDIO/LLODIO,,36,3,16376,11793,1705,10088,130,9958,4583,,1901,239,585,,,1870,,5148,215
Bizkaia,LAUKIZ,,53,4,814,678,46,632,6,626,136,,101,,11,,,46,,461,7
Gipuzkoa,LAZKAO,,49,3,4170,2953,696,2257,48,2209,1217,,242,,127,6,,334,,1375,125
Gipuzkoa,LEABURU,,50,3,330,261,153,108,4,104,69,,6,,3,0,,0,,74,21
Gipuzkoa,LEGAZPI,,51,3,7513,5269,730,4539,70,4469,2244,,518,,332,9,,739,,2521,350
Gipuzkoa,LEGORRETA,,52,3,1169,867,193,674,5,669,302,,53,,30,2,,93,,456,35
Álava,LEGUTIO,,58,2,1228,863,175,688,4,684,365,484,62,1,41,,,75,,,21
Gipuzkoa,LEINTZ-GATZAGA,,68,4,211,181,61,120,1,119,30,,1,,10,,,5,,82,21
Bizkaia,LEIOA,,54,4,23798,16878,986,15892,227,15665,6920,,2888,,1571,,,3208,,7639,359
Bizkaia,LEKEITIO,,57,4,6459,4987,1358,3629,31,3598,1472,,139,,90,,,75,,3097,197
Bizkaia,LEMOA,,55,3,2358,1938,271,1667,11,1656,420,1290,135,,105,1,,91,,,34
Bizkaia,LEMOIZ,,56,4,770,608,82,526,3,523,162,,25,,11,,,12,,454,21
Álava,LEZA,,34,2,180,146,11,135,2,133,34,74,26,5,4,,,19,,,5
Bizkaia,LEZAMA,,81,4,1823,1432,173,1259,11,1248,391,,80,,66,,,75,,997,30
Gipuzkoa,LEZO,,53,2,4974,3032,987,2045,37,2008,1942,1022,204,,179,,,424,16,,163
Gipuzkoa,LIZARTZA,,54,3,523,404,245,159,3,156,119,,7,,3,0,,0,,136,10
Bizkaia,LOIU,,903,4,1688,1353,86,1267,10,1257,335,,205,,45,,,64,,929,14
Bizkaia,MALLABIA,,58,3,968,697,197,500,3,497,271,353,40,,21,1,,58,,,24
Bizkaia,MARKINA-XEMEIN,,60,4,4169,2896,618,2278,16,2262,1273,,89,,107,,,49,,1907,110
Bizkaia,MARURI-JATABE,,61,4,630,529,37,492,11,481,101,,50,,27,,,19,,370,15
Bizkaia,MAÑARIA,,59,3,414,324,95,229,3,226,90,198,10,,7,0,,0,,,11
Gipuzkoa,MENDARO,,901,4,1301,1010,142,868,26,842,291,,61,,52,,,77,,584,68
Bizkaia,MENDATA,,62,4,320,273,42,231,1,230,47,,11,,2,,,0,,212,5
Bizkaia,MENDEXA,,63,4,312,255,93,162,1,161,57,,6,,2,,,0,,149,4
Bizkaia,MEÑAKA,,64,4,477,426,56,370,3,367,51,,7,,10,,,2,,334,14
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,252,201,5,196,,196,51,83,55,2,8,,,48,,,0
Bizkaia,MORGA,,66,4,379,323,45,278,2,276,56,,7,,7,,,2,,251,9
Bizkaia,MUNDAKA,,68,4,1660,1355,201,1154,11,1143,305,,32,,41,,,12,,1005,53
Bizkaia,MUNGIA,,69,4,11441,8491,604,7887,66,7821,2950,,861,,364,,,624,,5768,204
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,353,284,71,213,,213,69,,6,,6,,,0,,189,12
Bizkaia,MURUETA,,908,4,219,190,23,167,1,166,29,,5,,5,,,4,,141,11
Bizkaia,MUSKIZ,,71,2,5712,4418,407,4011,103,3908,1294,,291,,361,,,669,,2523,64
Gipuzkoa,MUTILOA,,57,3,141,101,14,87,,87,40,,0,,4,0,,0,,80,3
Gipuzkoa,MUTRIKU,,56,4,4051,3012,847,2165,22,2143,1039,,162,,63,,,109,,1668,141
Bizkaia,MUXIKA,,67,4,1202,984,264,720,8,712,218,,15,,16,,,10,,658,13
Bizkaia,NABARNIZ,,909,4,204,152,41,111,1,110,52,,1,,2,,,0,,105,2
Álava,NAVARIDAS,,41,2,173,143,1,142,3,139,30,50,74,3,3,,,8,,,1
Gipuzkoa,OIARTZUN,,63,2,7734,5468,2116,3352,49,3303,2266,2384,200,,208,,,220,14,,277
Álava,OKONDO,,42,3,823,738,81,657,3,654,85,,63,1,21,,,12,,543,14
Gipuzkoa,OLABERRIA,,58,3,794,587,95,492,9,483,207,,64,,40,0,,82,,277,20
Bizkaia,ONDARROA,,73,4,8104,5832,2199,3633,37,3596,2272,,323,,113,,,126,,2819,215
Gipuzkoa,ORDIZIA,,76,3,7422,4967,872,4095,46,4049,2455,,555,,322,7,,810,,2076,279
Gipuzkoa,ORENDAIN,,905,3,140,110,45,65,1,64,30,,1,,0,0,,0,,57,6
Gipuzkoa,OREXA,,60,3,73,68,60,8,,8,5,,0,,1,0,,0,,6,1
Gipuzkoa,ORIO,,61,4,3780,2698,491,2207,33,2174,1082,,107,,87,,,216,,1651,113
Gipuzkoa,ORMAIZTEGI,,62,3,1007,835,190,645,7,638,172,,35,,23,1,,25,,511,43
Bizkaia,OROZKO,,75,3,1869,1479,162,1317,11,1306,390,1058,137,,47,2,,12,,,50
Bizkaia,ORTUELLA,,83,2,7497,5253,306,4947,66,4881,2244,,385,,487,,,1709,,2192,108
Bizkaia,OTXANDIO,,72,3,891,725,156,569,10,559,166,428,47,,20,0,,5,,,59
Álava,OYÓN-OION,,43,2,2209,1571,121,1450,17,1433,638,508,528,12,65,,,316,,,4
Gipuzkoa,OÑATI,,59,4,9102,6700,1331,5369,61,5308,2402,,392,,297,,,358,,3751,510
Gipuzkoa,PASAIA,,64,2,13490,8112,1802,6310,95,6215,5378,2668,1041,,653,,,1591,35,,227
Álava,PEÑACERRADA-URIZAHARRA,,44,2,240,200,18,182,3,179,40,87,56,8,8,,,16,,,4
Bizkaia,PLENTZIA,,77,4,3201,2521,212,2309,34,2275,680,,305,,133,,,153,,1607,77
Bizkaia,PORTUGALETE,,78,2,44813,30364,1524,28840,391,28449,14449,,5903,,3273,,,9089,,9783,401
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,717,586,12,574,4,570,131,178,168,14,21,,,174,,,15
Álava,SAMANIEGO,,52,2,258,207,17,190,1,189,51,119,20,0,8,,,40,,,2
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,606,423,53,370,5,365,183,256,60,5,13,,,13,,,18
Bizkaia,SANTURTZI,,82,2,41018,27297,2022,25275,371,24904,13721,,4161,,2600,,,8315,,9519,309
Gipuzkoa,SEGURA,,70,3,1033,860,246,614,8,606,173,,16,,11,0,,10,,534,35
Bizkaia,SESTAO,,84,2,27628,17536,1171,16365,273,16092,10092,,2817,,2357,,,5084,,5478,356
Bizkaia,SONDIKA,,904,4,3520,2815,207,2608,26,2582,705,,337,,112,,,298,,1781,54
Bizkaia,SOPELA,,85,4,8733,6271,842,5429,60,5369,2462,,598,,718,,,669,,3189,195
Bizkaia,SOPUERTA,,86,2,2034,1601,109,1492,55,1437,433,,173,,96,,,184,,951,33
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3579,2553,471,2082,25,2057,1026,,334,,77,,,383,,1137,126
Bizkaia,SUKARRIETA,,76,4,301,253,40,213,3,210,48,,14,,5,,,12,,170,9
Gipuzkoa,TOLOSA,,71,3,15331,10330,2161,8169,109,8060,5001,,954,,586,92,,916,,4892,620
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,467,416,19,397,4,393,51,,48,,7,,,13,,323,2
Bizkaia,UBIDE,,88,3,150,120,37,83,1,82,30,65,10,,3,0,,0,,,4
Bizkaia,UGAO-MIRABALLES,,65,3,3492,2507,392,2115,20,2095,985,1316,242,,140,1,,347,,,49
Bizkaia,URDULIZ,,89,4,2672,2000,267,1733,16,1717,672,,163,,107,,,204,,1205,38
Bizkaia,URDUÑA/ORDUÑA,,74,3,3394,2564,417,2147,28,2119,830,1304,330,,169,12,,225,,,79
Álava,URKABUSTAIZ,,54,2,766,555,99,456,5,451,211,268,90,4,27,,,49,,,13
Gipuzkoa,URNIETA,,72,1,4629,3123,460,2663,45,2618,1506,,280,,245,,,815,4,1126,148
Gipuzkoa,URRETXU,,77,3,5614,4213,652,3561,42,3519,1401,,352,,231,6,,794,,1939,197
Gipuzkoa,USURBIL,,73,1,4596,3180,1018,2162,31,2131,1416,,177,,98,,,280,12,1247,317
Álava,VALDEGOVÍA/GAUBEA,,55,2,938,736,49,687,17,670,202,298,263,9,31,,,54,,,15
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10957,7863,523,7340,77,7263,3094,,677,,708,,,3017,,2749,112
Gipuzkoa,VILLABONA,,75,3,4624,3137,752,2385,29,2356,1487,,246,,170,10,,302,,1480,148
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,290,247,35,212,2,210,43,121,61,0,4,,,24,,,0
Álava,VITORIA-GASTEIZ,,59,1,185543,131428,6570,124858,1702,123156,54115,,37919,5791,10003,,,29934,,37090,2419
Álava,YÉCORA/IEKORA,,60,2,226,185,1,184,2,182,41,74,85,2,2,,,19,,,0
Bizkaia,ZALDIBAR,,95,3,2437,1655,246,1409,24,1385,782,733,190,,88,3,,330,,,41
Gipuzkoa,ZALDIBIA,,78,3,1267,988,460,528,5,523,279,,36,,19,0,,30,,269,169
Álava,ZALDUONDO,,61,2,124,113,8,105,3,102,11,73,4,3,10,,,8,,,4
Bizkaia,ZALLA,,96,2,6699,5405,310,5095,61,5034,1294,,368,,265,,,717,,3565,119
Álava,ZAMBRANA,,62,2,331,262,3,259,1,258,69,151,79,4,1,,,20,,,3
Bizkaia,ZAMUDIO,,905,4,2694,1994,286,1708,21,1687,700,,215,,105,,,180,,1161,26
Bizkaia,ZARATAMO,,97,3,1380,1060,173,887,21,866,320,578,84,,49,4,,123,,,28
Gipuzkoa,ZARAUTZ,,79,4,17517,12705,1687,11018,146,10872,4812,,1379,,630,,,1502,,6634,727
Bizkaia,ZEANURI,,24,3,1040,854,127,727,3,724,186,633,18,,15,0,,5,,,53
Bizkaia,ZEBERIO,,25,3,868,703,169,534,2,532,165,470,17,,16,1,,9,,,19
Gipuzkoa,ZEGAMA,,25,3,1118,911,215,696,2,694,207,,16,,9,1,,4,,629,35
Gipuzkoa,ZERAIN,,26,3,220,193,55,138,1,137,27,,0,,5,0,,1,,118,13
Gipuzkoa,ZESTOA,,27,4,2608,2030,627,1403,15,1388,578,,48,,43,,,56,,1143,98
Bizkaia,ZIERBENA,,913,2,1082,847,112,735,18,717,235,,57,,41,,,87,,517,15
Álava,ZIGOITIA,,18,2,1137,841,158,683,15,668,296,404,107,5,24,,,104,,,24
Gipuzkoa,ZIZURKIL,,28,3,2355,1569,395,1174,27,1147,786,,143,,67,3,,212,,606,116
Álava,ZUIA,,63,2,1640,1314,141,1173,19,1154,326,671,249,15,40,,,130,,,49
Gipuzkoa,ZUMAIA,,81,4,7075,4859,799,4060,52,4008,2216,,335,,282,,,712,,2399,280
Gipuzkoa,ZUMARRAGA,,80,3,8684,6217,696,5521,82,5439,2467,,658,,414,10,,1974,,2210,173
