TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,CDS,PST,PCE(M-L),EMK-MCE,LKI-LCR,PCE-EPK,UCE,FN,CUC,AP-PDP-PDL-UCD,SE,LC
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,265,214,7,207,,207,51,87,24,4,11,2,0,0,,,0,0,1,0,78,0,
Gipuzkoa,BEASAIN,,19,3,8658,6727,114,6580,33,6580,1931,2252,1642,1218,728,99,19,9,1,0,149,2,9,4,445,,3
Bizkaia,BEDIA,,92,3,865,790,6,781,3,781,75,446,125,132,10,5,0,0,,,15,0,4,2,42,,
Gipuzkoa,BEIZAMA,,20,4,143,86,,86,,86,57,45,0,31,3,0,0,0,0,2,0,0,0,0,5,,0
Gipuzkoa,BELAUNTZA,,21,3,234,139,1,138,,138,95,51,9,57,8,1,1,1,0,0,0,0,0,0,10,,0
Bizkaia,BERANGO,,16,4,2714,2269,58,2205,6,2205,445,999,484,421,127,14,35,1,,,13,0,3,0,108,,
Álava,BERANTEVILLA,,14,2,322,244,1,243,,243,78,84,34,9,21,7,0,0,,,2,2,1,0,83,0,
Gipuzkoa,BERASTEGI,,22,3,719,418,9,406,3,406,301,203,30,135,21,10,0,0,0,0,1,1,0,0,4,,1
Gipuzkoa,BERGARA,,74,4,11982,9707,186,9482,39,9482,2275,3645,1512,2569,1117,67,15,6,1,0,77,5,2,33,431,,2
Bizkaia,BERMEO,,17,4,13404,9908,1540,8367,1,8367,3496,3693,1257,2228,686,46,20,5,,,77,3,6,3,343,,
Álava,BERNEDO,,16,2,498,345,6,335,4,335,153,92,56,24,10,31,0,1,,,1,2,0,3,114,1,
Bizkaia,BERRIZ,,19,3,2926,2375,35,2333,7,2333,551,1012,633,347,132,22,15,2,,,14,1,4,3,148,,
Gipuzkoa,BERROBI,,23,3,406,253,9,244,,244,153,130,35,48,10,9,1,0,0,0,2,0,1,0,8,,0
Gipuzkoa,BIDANIA-GOIATZ,,24,4,434,297,,290,7,290,137,180,6,89,13,0,0,0,0,0,0,0,0,0,2,,0
Bizkaia,BILBAO,,20,1,318858,255522,5309,248471,1742,248471,63336,81815,70852,27102,17252,4787,1742,188,,,3484,222,688,293,40046,,
Bizkaia,BUSTURIA,,21,4,1413,1120,24,1096,,1096,293,558,165,301,20,4,2,0,,,4,0,0,0,42,,
Álava,CAMPEZO/KANPEZU,,17,2,1014,832,31,797,4,797,182,236,153,54,67,20,2,0,,,1,3,0,1,260,0,
Gipuzkoa,DEBA,,29,4,3681,2875,25,2838,12,2838,806,1332,317,565,472,9,0,0,0,0,10,0,1,0,132,,0
Bizkaia,DIMA,,26,3,927,790,1,788,1,788,137,480,14,201,19,1,0,0,,,0,0,0,1,72,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,128551,100288,1729,98095,464,98095,28263,29373,25203,16961,10640,1940,225,53,0,1,802,47,163,45,12590,,52
Bizkaia,DURANGO,,27,3,18728,15359,283,14992,84,14992,3369,6067,3062,2339,1070,189,67,10,,,234,12,32,9,1901,,
Bizkaia,EA,,28,4,680,547,4,542,1,542,133,416,12,84,17,1,0,0,,,0,0,4,0,8,,
Gipuzkoa,EIBAR,,30,4,27782,21630,346,21156,128,21156,6152,6421,6546,3247,1828,367,74,17,0,0,371,13,18,77,2166,,11
Bizkaia,ELANTXOBE,,31,4,456,387,,387,,387,69,239,10,112,22,0,0,0,,,0,0,0,0,4,,
Álava,ELBURGO/BURGELU,,21,2,173,125,6,125,,119,48,55,17,4,12,2,1,1,,,0,1,0,0,26,0,
Álava,ELCIEGO,,22,2,748,646,14,632,,632,102,127,283,9,15,19,2,0,,,12,0,3,1,161,0,
Gipuzkoa,ELDUAIN,,31,3,204,132,2,130,,130,72,76,7,45,1,0,0,0,0,0,0,0,0,0,1,,0
Gipuzkoa,ELGETA,,33,4,878,683,18,663,2,663,195,342,59,145,67,3,0,1,0,0,1,0,1,2,42,,0
Gipuzkoa,ELGOIBAR,,32,4,10204,7973,132,7814,27,7814,2231,3125,1795,1306,773,103,26,1,0,0,91,4,4,5,577,,4
Bizkaia,ELORRIO,,32,3,5704,4748,120,4618,10,4618,956,1918,1108,724,416,36,24,8,,,26,6,3,4,345,,
Álava,ELVILLAR/BILAR,,23,2,313,263,5,258,,258,50,114,26,11,5,11,0,0,,,2,1,1,0,87,0,
Bizkaia,EREÑO,,33,4,239,202,,201,1,201,37,119,2,60,6,1,0,0,,,0,0,0,0,13,,
Bizkaia,ERMUA,,34,3,12238,9774,317,9369,88,9369,2464,1270,4557,777,426,207,81,19,,,403,18,11,15,1585,,
Gipuzkoa,ERRENTERIA,,67,2,31417,24707,554,24080,73,24080,6710,4587,9734,5212,2275,436,99,34,0,0,387,11,27,39,1234,,5
Gipuzkoa,ERREZIL,,66,4,597,407,,401,6,401,190,269,1,122,6,0,0,1,0,0,0,0,0,0,2,,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,460,351,16,333,2,333,109,103,61,26,19,7,4,0,,,1,5,2,0,105,0,
Bizkaia,ERRIGOITI,,79,4,450,327,3,324,,324,123,204,7,94,9,0,0,0,,,0,0,0,0,10,,
Gipuzkoa,ESKORIATZA,,34,4,2892,2306,54,2248,4,2248,586,971,522,425,142,31,18,0,0,0,12,2,0,10,115,,0
Bizkaia,ETXEBARRI,,29,3,4214,3370,81,3278,11,3278,844,740,1606,379,122,33,19,4,,,73,3,2,1,296,,
Bizkaia,ETXEBARRIA,,30,4,569,387,2,385,,385,182,206,33,130,10,1,0,0,,,0,0,0,0,5,,
Gipuzkoa,EZKIO-ITSASO,,35,3,456,371,6,365,,365,85,182,10,144,21,3,0,0,0,0,2,0,0,0,3,,0
Bizkaia,FRUIZ,,35,4,244,163,,163,,163,81,122,6,24,8,1,0,0,,,0,0,0,0,2,,
Gipuzkoa,GABIRIA,,38,3,384,301,9,291,1,291,83,205,4,33,44,0,0,0,0,0,0,0,0,0,5,,0
Gipuzkoa,GAINTZA,,37,3,100,76,2,74,,74,24,36,1,30,2,0,0,0,0,0,0,0,0,0,5,,0
Bizkaia,GALDAKAO,,36,3,18482,15005,320,14608,77,14608,3477,5654,4319,2286,719,162,78,4,,,255,22,16,12,1081,,
Bizkaia,GALDAMES,,37,2,688,550,2,545,3,545,138,330,67,78,32,3,1,1,,,6,0,0,0,27,,
Bizkaia,GAMIZ-FIKA,,38,4,726,534,6,527,1,527,192,386,8,109,17,0,0,0,,,0,0,0,0,7,,
Bizkaia,GARAI,,39,3,185,143,2,135,6,135,42,97,0,29,4,4,0,0,,,0,1,0,0,0,,
Bizkaia,GATIKA,,40,4,702,525,4,521,,521,177,385,9,87,16,4,0,0,,,0,1,0,0,19,,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,595,518,13,502,3,502,77,347,14,75,30,2,0,0,,,0,0,0,0,34,,
Bizkaia,GERNIKA-LUMO,,46,4,13281,9712,161,9543,8,9543,3569,5146,1346,2215,664,5,27,7,,,47,2,2,2,80,,
Gipuzkoa,GETARIA,,39,4,1721,1476,18,1456,2,1456,245,796,66,362,155,8,3,1,0,0,1,0,0,2,62,,0
Bizkaia,GETXO,,44,4,45605,36978,435,36334,209,36334,8627,15098,5958,3923,2777,643,86,5,,,266,7,72,17,7482,,
Bizkaia,GIZABURUAGA,,47,4,132,86,,86,,86,46,44,1,30,4,0,1,0,,,3,0,0,0,3,,
Bizkaia,GORDEXOLA,,42,2,1301,1120,13,1102,5,1102,181,724,78,75,28,7,2,1,,,3,0,1,0,183,,
Bizkaia,GORLIZ,,43,4,2033,1513,22,1489,2,1489,520,825,161,210,137,15,3,0,,,2,0,2,2,132,,
Bizkaia,GÜEÑES,,45,2,4891,4223,74,4139,10,4139,668,2392,672,714,139,17,10,5,,,25,3,4,2,156,,
Álava,HARANA/VALLE DE ARANA,,56,2,384,275,,275,,275,109,112,31,21,11,25,0,0,,,0,1,0,0,74,0,
Gipuzkoa,HERNANI,,40,1,20839,16470,225,16207,38,16207,4369,3814,5458,4353,1201,290,41,5,0,0,252,6,14,10,752,,11
Gipuzkoa,HERNIALDE,,41,3,210,146,,146,,146,64,50,10,22,38,2,1,0,0,0,4,0,0,0,19,,0
Gipuzkoa,HONDARRIBIA,,36,2,7986,6173,55,6090,28,6090,1813,2746,957,1088,716,81,21,3,0,0,30,1,11,2,433,,1
Gipuzkoa,IBARRA,,42,3,2994,2252,50,2198,4,2198,742,651,619,475,290,38,5,1,0,0,31,0,0,0,86,,2
Bizkaia,IBARRANGELU,,48,4,442,359,3,356,,356,83,270,10,51,11,1,0,0,,,0,0,0,0,13,,
Gipuzkoa,IDIAZABAL,,43,3,1504,1240,5,1232,3,1232,264,702,64,201,208,22,2,1,0,0,2,0,1,0,29,,0
Bizkaia,IGORRE,,94,3,2343,2023,52,1964,7,1964,320,1118,218,470,66,5,9,0,,,4,0,1,0,73,,
Gipuzkoa,IKAZTEGIETA,,44,3,546,415,,413,2,413,131,176,10,195,21,1,0,0,0,0,0,0,0,0,10,,0
Gipuzkoa,IRUN,,45,2,38112,29773,647,28979,147,28979,8339,6330,12397,2998,2800,782,117,33,0,0,366,15,82,36,3004,,19
Gipuzkoa,IRURA,,46,3,496,391,6,384,1,384,105,169,43,125,16,4,2,0,0,0,0,0,0,0,25,,0
Álava,IRURAIZ-GAUNA,,27,2,375,245,11,231,3,231,130,94,28,18,16,5,0,0,,,1,0,0,0,68,1,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1207,960,53,900,7,900,247,122,428,27,29,32,9,1,,,20,2,4,1,223,2,
Bizkaia,ISPASTER,,49,4,532,452,3,447,2,447,80,325,4,64,31,3,0,0,,,0,0,0,0,20,,
Gipuzkoa,ITSASONDO,,47,3,659,489,1,488,,488,170,149,38,185,91,5,1,0,0,0,0,0,0,0,19,,0
Bizkaia,IZURTZA,,50,3,232,218,3,210,5,210,14,123,7,68,5,1,0,1,,,2,0,0,0,3,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2795,1902,15,1881,6,1881,893,877,458,194,95,8,12,4,,,4,2,1,0,226,,
Álava,KRIPAN,,19,2,156,134,,134,,134,22,86,2,5,7,5,0,0,,,1,0,0,0,28,0,
Álava,KUARTANGO,,20,2,302,212,14,198,,198,90,49,43,24,12,8,5,0,,,3,0,4,2,47,1,
Álava,LABASTIDA/BASTIDA,,28,2,720,581,10,569,2,570,139,84,168,32,9,19,3,0,,,22,1,2,2,228,0,
Álava,LAGRÁN,,30,2,202,145,7,137,1,137,57,25,19,2,15,9,1,0,,,2,0,0,0,64,0,
Álava,LAGUARDIA,,31,2,1220,1049,10,1030,9,1030,171,240,159,65,35,22,3,3,,,1,1,1,1,497,2,
Álava,LANCIEGO/LANTZIEGO,,32,2,508,408,7,401,,401,100,92,108,14,16,20,1,1,,,0,1,0,0,146,2,
Bizkaia,LANESTOSA,,51,2,251,202,3,199,,199,49,43,79,10,3,2,1,0,,,1,0,0,1,59,,
Álava,LANTARÓN,,902,2,660,481,13,467,1,467,179,112,118,28,18,25,6,1,,,3,7,0,0,149,0,
Álava,LAPUEBLA DE LABARCA,,33,2,593,520,5,515,,516,73,239,101,14,6,6,2,0,,,13,0,0,0,135,0,
Bizkaia,LARRABETZU,,52,4,1229,505,2,501,2,501,724,284,28,164,10,0,0,0,,,2,0,0,0,13,,
Gipuzkoa,LARRAUL,,48,3,145,76,2,74,,74,69,29,0,31,14,0,0,0,0,0,0,0,0,0,0,,0
Álava,LAUDIO/LLODIO,,36,3,14218,11610,54,11294,262,11264,2608,2870,3578,1952,605,379,70,10,,,123,17,13,12,1626,9,
Bizkaia,LAUKIZ,,53,4,710,598,,594,4,594,112,415,18,94,18,3,0,0,,,3,0,0,0,43,,
Gipuzkoa,LAZKAO,,49,3,3619,3014,37,2967,10,2967,605,1043,787,708,215,39,4,1,0,0,58,2,1,2,107,,0
Gipuzkoa,LEABURU,,50,3,494,310,15,292,3,292,184,75,21,141,38,0,4,0,0,0,0,1,0,0,12,,0
Gipuzkoa,LEGAZPI,,51,3,7634,6233,127,6096,10,6096,1401,2466,1252,1021,737,153,13,2,0,0,117,6,1,4,322,,2
Gipuzkoa,LEGORRETA,,52,3,1226,1001,4,995,2,995,225,366,185,200,160,13,2,0,0,0,17,0,4,1,47,,0
Álava,LEGUTIO,,58,2,982,746,26,719,1,719,236,278,219,109,47,9,6,1,,,7,0,0,0,43,0,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,159,137,1,135,1,135,22,75,8,45,4,2,0,0,0,0,0,0,0,0,1,,0
Bizkaia,LEIOA,,54,4,14576,11418,216,11115,87,11115,3158,3843,3389,1476,976,211,51,4,,,185,5,7,8,960,,
Bizkaia,LEKEITIO,,57,4,5243,4328,52,4265,11,4265,915,2387,179,1203,308,24,5,0,,,2,0,0,0,157,,
Bizkaia,LEMOA,,55,3,2280,1993,17,1970,6,1970,287,1144,241,338,76,12,6,0,,,20,1,0,0,132,,
Bizkaia,LEMOIZ,,56,4,718,542,14,525,3,525,176,292,31,100,73,6,0,0,,,1,0,0,1,21,,
Álava,LEZA,,34,2,150,135,4,130,1,130,15,56,35,5,10,1,0,0,,,0,0,1,0,22,0,
Bizkaia,LEZAMA,,81,4,1343,1133,12,1119,2,1119,210,718,95,201,37,1,2,0,,,0,0,1,2,62,,
Gipuzkoa,LEZO,,53,2,3681,2916,30,2877,9,2877,765,803,844,822,253,27,5,1,0,0,23,3,1,7,87,,1
Gipuzkoa,LIZARTZA,,54,3,578,442,6,434,2,434,136,167,10,224,20,5,0,0,0,0,0,0,0,0,8,,0
Bizkaia,MALLABIA,,58,3,820,597,5,586,6,586,223,260,84,170,14,5,2,0,,,6,0,0,1,44,,
Bizkaia,MARKINA-XEMEIN,,60,4,3883,2796,44,2748,4,2748,1087,1655,173,572,106,39,2,3,,,9,2,7,1,179,,
Bizkaia,MARURI-JATABE,,61,4,386,286,5,281,,281,100,206,13,21,16,7,0,0,,,0,0,0,0,18,,
Bizkaia,MAÑARIA,,59,3,436,345,1,344,,344,91,182,33,81,4,0,0,0,,,0,0,0,0,44,,
Bizkaia,MENDATA,,62,4,336,253,3,250,,250,83,191,3,46,2,0,0,2,,,0,0,0,0,6,,
Bizkaia,MENDEXA,,63,4,276,222,2,220,,220,54,111,4,84,14,2,0,0,,,0,0,0,0,5,,
Bizkaia,MEÑAKA,,64,4,351,257,,257,,257,94,181,4,39,18,1,0,0,,,0,0,0,0,14,,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,266,224,,224,,224,42,41,93,5,4,0,1,0,,,1,0,0,0,79,0,
Bizkaia,MORGA,,66,4,314,218,2,216,,216,96,167,2,21,9,2,0,0,,,0,0,1,0,14,,
Bizkaia,MUNDAKA,,68,4,1229,1078,35,1043,,1043,151,676,35,249,25,6,1,0,,,1,0,1,1,48,,
Bizkaia,MUNGIA,,69,4,7911,6093,59,6011,23,6011,1818,3564,814,781,369,67,12,0,,,34,1,2,2,365,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,432,333,28,305,,305,99,187,4,99,8,0,0,1,,,0,0,0,0,6,,
Bizkaia,MUSKIZ,,71,2,4377,3085,28,3049,8,3049,1292,1061,914,332,268,31,5,1,,,219,1,1,4,212,,
Gipuzkoa,MUTILOA,,57,3,191,93,,93,,93,98,51,0,25,14,0,0,0,0,0,1,0,0,0,2,,0
Gipuzkoa,MUTRIKU,,56,4,3793,3167,30,3104,33,3104,626,1730,235,720,144,5,4,5,0,1,5,1,1,1,252,,0
Bizkaia,MUXIKA,,67,4,1282,936,3,932,1,932,346,552,16,286,41,4,0,1,,,1,0,1,0,30,,
Álava,NAVARIDAS,,41,2,146,117,2,115,,115,29,33,11,0,1,8,0,0,,,0,0,0,0,62,0,
Gipuzkoa,OIARTZUN,,63,2,5338,4127,30,4079,18,4079,1211,1765,466,1391,296,17,10,0,0,0,9,2,2,0,118,,3
Álava,OKONDO,,42,3,557,460,,460,,460,97,260,27,90,9,3,3,0,,,0,0,1,0,67,0,
Gipuzkoa,OLABERRIA,,58,3,999,797,16,775,6,775,202,252,219,163,52,30,3,0,0,0,6,6,0,1,43,,0
Bizkaia,ONDARROA,,73,4,8690,5750,62,5663,25,5663,2940,2500,355,1828,452,32,19,2,,,13,8,66,3,385,,
Gipuzkoa,ORDIZIA,,76,3,7114,5685,100,5559,26,5559,1429,1614,1112,1267,720,90,8,6,61,0,173,1,13,1,489,,4
Gipuzkoa,OREXA,,60,3,76,66,,66,,66,10,12,0,54,0,0,0,0,0,0,0,0,0,0,0,,0
Gipuzkoa,ORIO,,61,4,3046,2418,37,2371,10,2371,628,1009,394,553,306,13,5,1,0,0,6,0,0,1,83,,0
Gipuzkoa,ORMAIZTEGI,,62,3,934,799,3,795,1,795,135,439,58,161,118,3,2,0,0,0,2,0,0,0,12,,0
Bizkaia,OROZKO,,75,3,1537,1210,12,1188,10,1188,327,696,69,180,51,7,5,3,,,2,2,1,0,172,,
Bizkaia,ORTUELLA,,83,2,6495,4914,31,4864,19,4864,1581,886,2139,629,360,24,27,6,,,540,6,5,6,236,,
Bizkaia,OTXANDIO,,72,3,930,787,2,785,,785,143,319,93,228,74,13,0,1,,,0,0,0,0,57,,
Álava,OYÓN-OION,,43,2,1703,1493,74,1416,3,1416,210,230,507,89,48,34,8,0,,,12,4,4,0,478,2,
Gipuzkoa,OÑATI,,59,4,8198,6349,84,6243,22,6243,1849,2973,629,1497,572,62,18,2,0,0,9,5,4,2,470,,0
Gipuzkoa,PASAIA,,64,2,14621,11068,228,10805,35,10805,3553,2711,3484,2713,1129,142,34,6,0,0,122,14,5,10,430,,5
Álava,PEÑACERRADA-URIZAHARRA,,44,2,181,140,8,132,,120,41,43,13,8,11,0,0,0,,,0,2,0,0,43,0,
Bizkaia,PLENTZIA,,77,4,2154,1771,22,1745,4,1745,383,1034,163,243,142,27,3,0,,,0,0,5,0,128,,
Bizkaia,PORTUGALETE,,78,2,40546,32667,789,31738,140,31738,7879,6359,14015,3334,2122,466,129,21,,,1364,20,56,46,3806,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,343,286,,285,1,285,57,56,86,9,6,41,2,3,,,4,0,0,0,75,3,
Álava,SAMANIEGO,,52,2,197,162,9,152,1,152,35,45,53,15,4,4,0,0,,,8,0,0,0,21,2,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,657,371,,368,3,368,286,152,54,47,44,7,1,2,,,2,4,2,1,52,0,
Bizkaia,SANTURTZI,,82,2,37561,28064,851,27090,123,27090,9497,6188,11041,3922,1757,349,145,15,,,928,18,25,101,2601,,
Gipuzkoa,SEGURA,,70,3,1067,831,7,822,2,822,236,447,36,225,81,1,0,0,0,0,0,0,0,1,31,,0
Bizkaia,SESTAO,,84,2,28888,23412,377,22874,161,22874,5476,4364,10090,2599,1585,245,177,22,,,1197,44,41,35,2475,,
Bizkaia,SOPELA,,85,4,4226,3409,26,3371,12,3371,817,1376,674,835,275,28,15,1,,,24,1,1,8,133,,
Bizkaia,SOPUERTA,,86,2,1745,1346,34,1308,4,1308,399,613,236,135,106,14,7,0,,,48,0,5,11,133,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4152,3386,50,3331,25,3311,766,1179,729,682,296,64,9,1,0,0,18,4,2,7,319,,1
Bizkaia,SUKARRIETA,,76,4,210,175,1,174,,174,35,134,7,17,9,1,0,0,,,0,0,0,0,6,,
Gipuzkoa,TOLOSA,,71,3,14243,10572,167,10340,65,10340,3671,3843,1723,2029,1313,148,22,4,0,0,151,4,7,8,1084,,4
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,441,371,8,362,1,362,70,217,36,33,6,6,1,0,,,1,0,1,0,61,,
Bizkaia,UBIDE,,88,3,126,120,,120,,120,6,46,1,54,2,0,0,0,,,0,0,0,0,17,,
Bizkaia,UGAO-MIRABALLES,,65,3,3027,2566,68,2490,8,2490,461,837,718,565,130,30,5,1,,,25,2,2,0,175,,
Bizkaia,URDULIZ,,89,4,1759,1438,11,1426,1,1426,321,0,252,333,96,7,6,2,,,6,660,0,2,62,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3379,2712,127,2568,17,2568,667,1219,380,403,91,34,10,3,,,5,0,7,1,415,,
Álava,URKABUSTAIZ,,54,2,719,498,1,496,1,496,221,159,77,89,24,5,4,3,,,8,3,6,2,116,0,
Gipuzkoa,URNIETA,,72,1,8029,6303,123,6160,20,6160,1726,1367,2803,954,323,167,41,5,0,0,104,7,5,10,364,,10
Gipuzkoa,URRETXU,,77,3,4658,3903,32,3860,11,3860,755,1369,1084,556,411,71,12,1,0,0,194,2,1,0,157,,2
