TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,LKI-LCR,PCE-EPK,UCD,ORT,UFV,EMK-OIC,C.I.,PTE
Bizkaia,TRUCIOS-TURTZIOZ,,87,24,443,395,,395,,395,48,229,0,16,2,,0,3,145,0,,0,,0
Bizkaia,UBIDE,,88,23,139,133,1,131,1,131,6,50,0,80,0,,0,0,,0,,0,,1
Bizkaia,UGAO-MIRABALLES,,65,23,3093,2163,26,2131,5,2131,930,888,262,567,271,,5,114,,7,,9,,8
Bizkaia,URDULIZ,,89,22,1829,1208,7,1199,2,1203,621,578,114,322,52,,2,39,29,,0,66,,1
Bizkaia,URDUÑA/ORDUÑA,,74,23,3550,2407,147,218,76,2182,1143,1232,83,672,115,,11,13,,4,,35,,17
Gipuzkoa,URNIETA,,72,22,7977,5020,77,4915,28,4915,2957,1268,1677,990,349,9,16,222,,83,8,84,209,
Gipuzkoa,URRETXU,,77,24,4735,3741,34,3641,66,3641,994,1330,558,446,627,,13,350,221,14,,82,,
Gipuzkoa,USURBIL,,73,22,3991,2394,22,2354,18,2354,1597,860,258,622,441,10,0,19,,6,5,127,6,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,24,9696,6265,52,6207,6,6209,3431,1803,1801,510,956,,17,787,281,9,,45,,0
Gipuzkoa,VILLABONA,,75,23,3314,2285,33,2233,19,2233,1029,846,222,463,311,11,1,5,,303,,71,,
Bizkaia,ZALDIBAR,,95,23,2162,1312,21,1280,10,1280,850,677,178,266,91,,21,27,,7,,5,,8
Gipuzkoa,ZALDIBIA,,78,23,1377,539,7,531,1,531,838,95,20,270,82,24,19,10,,2,,9,,
Bizkaia,ZALLA,,96,24,4686,3291,24,3259,8,3260,1395,1846,244,782,5,,1,128,239,14,,1,,0
Bizkaia,ZARATAMO,,97,23,1300,987,6,969,11,969,313,490,104,213,104,,7,19,,9,,15,,8
Gipuzkoa,ZARAUTZ,,79,21,11732,7186,66,7108,12,7108,4546,3350,652,918,1052,51,144,256,576,93,,16,,
Bizkaia,ZEANURI,,24,23,1160,933,7,923,2,923,227,506,2,405,4,,1,2,,0,,1,,2
Bizkaia,ZEBERIO,,25,23,1048,751,6,745,,745,297,459,2,145,136,,0,0,,0,,0,,3
Gipuzkoa,ZEGAMA,,25,21,1246,921,11,910,,910,325,340,1,397,138,0,0,1,31,1,,1,,
Gipuzkoa,ZERAIN,,26,21,234,139,,138,1,138,95,83,1,45,5,0,0,0,3,0,,1,,
Gipuzkoa,ZESTOA,,27,21,2898,2082,13,2068,1,2068,816,916,61,614,63,1,58,89,60,2,,204,,
Gipuzkoa,ZIZURKIL,,28,23,1853,1342,13,1327,2,1327,511,528,57,474,29,0,0,6,,170,,63,,
Gipuzkoa,ZUMAIA,,81,21,5165,3655,27,3622,6,3622,1510,1541,498,734,236,77,0,19,242,5,,270,,
Gipuzkoa,ZUMARRAGA,,80,24,8452,5913,63,5825,25,5825,2539,1855,1445,720,559,,8,808,366,19,,45,,
