TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EB-B,EKA,PH,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,ARALAR,PUM+J,UPYD,BILDU,H1!,PLIN,PSYV
Gipuzkoa,ESKORIATZA,,34,4,3197,1939,12,1927,33,1894,1258,382,85,123,,,270,17,,115,7,,877,18,,
Bizkaia,ETXEBARRI,,29,3,8003,4762,112,4650,199,4451,3241,1343,669,245,7,12,1127,172,,92,60,,692,,,32
Bizkaia,ETXEBARRIA,,30,4,630,532,2,530,4,526,98,242,4,0,0,,3,1,,21,0,,255,,,0
Gipuzkoa,EZKIO-ITSASO,,35,3,487,355,1,354,1,353,132,81,4,3,,,5,1,,28,0,,214,17,,
Bizkaia,FORUA,,906,4,786,682,4,678,10,668,104,315,15,1,0,,16,0,,18,2,,301,,,0
Bizkaia,FRUIZ,,35,4,367,285,2,283,8,275,82,163,5,4,0,,6,1,,5,1,,90,,,0
Gipuzkoa,GABIRIA,,38,3,381,320,2,318,5,313,61,97,2,1,,,5,0,,21,0,,164,23,,
Gipuzkoa,GAINTZA,,37,3,102,78,,78,4,74,24,34,0,0,,,0,0,,2,0,,38,0,,
Bizkaia,GALDAKAO,,36,3,23923,14911,196,14715,312,14403,9012,5318,1525,879,3,11,2320,199,,406,64,,3645,,,33
Bizkaia,GALDAMES,,37,2,730,559,7,552,6,546,171,308,14,6,,,28,4,,21,0,1,164,,,0
Bizkaia,GAMIZ-FIKA,,38,4,1089,851,7,844,8,836,238,405,23,6,0,,19,4,,32,0,,347,,,0
Bizkaia,GARAI,,39,3,265,223,1,222,3,219,42,114,3,0,0,0,3,0,,14,1,,84,,,0
Bizkaia,GATIKA,,40,4,1269,975,13,962,22,940,294,495,29,7,0,,34,6,,23,0,,346,,,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,718,602,3,599,7,592,116,333,10,2,0,,21,2,,22,0,,202,,,0
Gipuzkoa,GAZTELU,,907,3,138,113,6,107,3,104,25,23,3,1,,,0,0,,4,0,,70,3,,
Bizkaia,GERNIKA-LUMO,,46,4,12644,9423,91,9332,114,9218,3221,3186,391,113,2,,518,35,,308,9,,4652,,,4
Gipuzkoa,GETARIA,,39,4,2006,1606,7,1599,17,1582,400,645,24,4,,,28,4,,120,0,,742,15,,
Bizkaia,GETXO,,44,4,63922,43260,548,42712,1112,41600,20662,14270,12327,1061,21,,4851,635,,1043,397,,6919,,,76
Bizkaia,GIZABURUAGA,,47,4,161,121,,121,3,118,40,37,0,0,0,,0,0,,7,0,,74,,,0
Bizkaia,GORDEXOLA,,42,2,1411,1172,21,1151,34,1117,239,649,136,23,,,70,12,,38,4,23,162,,,0
Bizkaia,GORLIZ,,43,4,4241,3030,62,2968,67,2901,1211,1438,211,52,0,,240,44,,127,15,,770,,,4
Bizkaia,GÜEÑES,,45,2,5047,3799,92,3707,82,3625,1248,1692,193,42,,,476,28,,106,7,26,1052,,,3
Álava,HARANA/VALLE DE ARANA,,56,2,259,187,1,186,6,180,72,118,32,0,,,5,1,,0,,,24,,,
Gipuzkoa,HERNANI,,40,1,15157,9841,112,9729,157,9572,5316,1806,570,240,,,1541,74,39,448,26,28,4124,665,11,
Gipuzkoa,HERNIALDE,,41,3,275,162,,162,6,156,113,41,3,2,,,2,3,,12,1,,92,0,,
Gipuzkoa,HONDARRIBIA,,36,2,12731,7781,156,7625,236,7389,4950,2737,640,145,,,824,85,15,416,23,59,2039,406,,
Gipuzkoa,IBARRA,,42,3,3367,2187,20,2167,33,2134,1180,468,90,22,,,201,14,,102,5,,1179,53,,
Bizkaia,IBARRANGELU,,48,4,546,482,5,477,8,469,64,245,4,4,0,,10,3,,29,0,,174,,,0
Gipuzkoa,IDIAZABAL,,43,3,1776,1283,9,1274,15,1259,493,472,37,6,,,29,5,,98,0,,571,41,,
Bizkaia,IGORRE,,94,3,3316,2493,36,2457,41,2416,823,1067,45,11,0,0,75,7,,80,2,,1118,,,11
Gipuzkoa,IKAZTEGIETA,,44,3,366,262,,262,6,256,104,89,3,2,,,3,3,,8,1,,147,0,,
Gipuzkoa,IRUN,,45,2,46561,25930,482,25448,861,24587,20631,4874,4506,1210,,,7302,387,37,729,143,688,4301,410,,
Gipuzkoa,IRURA,,46,3,1142,725,21,704,24,680,417,172,34,6,,,49,2,,52,2,,350,13,,
Álava,IRURAIZ-GAUNA,,27,2,431,268,7,261,4,257,163,94,48,4,,,16,6,,6,,,83,,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2254,1459,41,1418,57,1361,795,261,428,43,,,372,45,,23,,,189,,,
Bizkaia,ISPASTER,,49,4,569,465,4,461,5,456,104,249,6,1,0,,2,1,,23,0,,174,,,0
Gipuzkoa,ITSASONDO,,47,3,493,299,3,296,3,293,194,75,4,2,,,14,7,,15,1,,168,7,,
Bizkaia,IURRETA,,910,3,3069,1978,30,1948,27,1921,1091,660,195,48,0,0,350,17,,38,4,,606,,,3
Bizkaia,IZURTZA,,50,3,216,188,3,185,1,184,28,71,1,1,0,0,5,0,,1,0,,105,,,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2412,1787,29,1758,39,1719,625,1051,82,19,,,160,15,,47,5,9,329,,,2
Bizkaia,KORTEZUBI,,907,4,349,307,1,306,2,304,42,161,3,0,0,,4,0,,12,1,,122,,,1
Álava,KRIPAN,,19,2,155,125,3,122,3,119,30,82,22,0,,,3,1,,0,,,11,,,
Álava,KUARTANGO,,20,2,318,248,5,243,8,235,70,105,39,1,,,5,1,,1,,,83,,,
Álava,LABASTIDA/BASTIDA,,28,2,1087,850,24,826,17,809,237,177,333,18,,,107,9,,21,,,144,,,
Álava,LAGRÁN,,30,2,170,147,1,146,2,144,23,64,39,4,,,16,4,,2,,,15,,,
Álava,LAGUARDIA,,31,2,1237,1064,20,1044,44,1000,173,280,485,4,,,75,10,,9,,,137,,,
Álava,LANCIEGO/LANTZIEGO,,32,2,533,420,9,411,9,402,113,136,132,5,,,67,3,,4,,,55,,,
Bizkaia,LANESTOSA,,51,2,220,186,3,183,2,181,34,90,17,0,,,34,3,,2,1,1,33,,,0
Álava,LANTARÓN,,902,2,774,516,16,500,15,485,258,164,152,15,,,45,10,,22,,,77,,,
Álava,LAPUEBLA DE LABARCA,,33,2,685,564,6,558,14,544,121,268,134,4,,,56,7,,9,,,66,,,
Bizkaia,LARRABETZU,,52,4,1526,1252,10,1242,12,1230,274,488,31,6,1,,19,9,,48,1,,627,,,0
Gipuzkoa,LARRAUL,,48,3,173,134,,134,4,130,39,32,1,3,,,3,0,,7,0,,83,1,,
Gipuzkoa,LASARTE-ORIA,,902,1,14157,9018,123,8895,245,8650,5139,1366,985,236,,,3065,144,52,288,48,83,2105,247,31,
Álava,LAUDIO/LLODIO,,36,3,15309,9925,212,9713,230,9483,5384,3059,1239,286,,,1356,139,,347,,,3057,,,
Bizkaia,LAUKIZ,,53,4,870,670,1,669,12,657,200,361,88,3,1,,43,1,,19,3,,138,,,0
Gipuzkoa,LAZKAO,,49,3,4082,2658,23,2635,40,2595,1424,835,107,30,,,308,13,,118,4,,1170,10,,
Gipuzkoa,LEABURU,,50,3,291,257,4,253,4,249,34,62,3,5,,,3,5,,10,1,,155,5,,
Gipuzkoa,LEGAZPI,,51,3,7058,4625,64,4561,89,4472,2433,1095,261,108,,,654,23,,177,9,,1803,342,,
Gipuzkoa,LEGORRETA,,52,3,1158,873,10,863,27,836,285,276,28,10,,,57,3,,32,0,,416,14,,
Álava,LEGUTIO,,58,2,1323,857,8,849,5,844,466,205,50,10,,,77,10,,34,,,458,,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,202,134,1,133,6,127,68,25,1,0,,,0,0,,7,0,,93,1,,
Bizkaia,LEIOA,,54,4,23743,14539,288,14251,420,13831,9204,5429,2194,631,8,,2382,283,,349,125,,2372,,,58
Bizkaia,LEKEITIO,,57,4,5944,4590,30,4560,28,4532,1354,1722,66,23,0,,68,3,,207,0,,2442,,,1
Bizkaia,LEMOA,,55,3,2601,1919,34,1885,40,1845,682,782,90,24,2,0,145,12,,31,8,,751,,,0
Bizkaia,LEMOIZ,,56,4,840,637,4,633,10,623,203,353,19,2,0,,9,2,,20,0,,218,,,0
Álava,LEZA,,34,2,177,133,,133,2,131,44,46,13,0,,,27,2,,5,,,38,,,
Bizkaia,LEZAMA,,81,4,1942,1423,15,1408,31,1377,519,709,70,29,0,,81,9,,39,3,,437,,,0
Gipuzkoa,LEZO,,53,2,4828,2619,39,2580,55,2525,2209,469,125,45,,,266,23,3,131,8,16,1423,16,,
Gipuzkoa,LIZARTZA,,54,3,486,403,4,399,8,391,83,60,22,0,,,2,1,,15,0,,291,0,,
Bizkaia,LOIU,,903,4,1901,1359,15,1344,40,1304,542,791,159,14,0,,65,14,,32,4,,224,,,1
Bizkaia,MALLABIA,,58,3,981,730,7,723,9,714,251,263,25,7,0,2,44,5,,26,1,,340,,,1
Bizkaia,MARKINA-XEMEIN,,60,4,3687,2576,8,2568,16,2552,1111,1204,42,17,0,,40,5,,220,3,,1020,,,1
Bizkaia,MARURI-JATABE,,61,4,754,574,12,562,9,553,180,317,20,2,0,,22,5,,26,3,,158,,,0
Bizkaia,MAÑARIA,,59,3,398,335,3,332,5,327,63,156,3,0,0,0,7,0,,25,0,,136,,,0
Gipuzkoa,MENDARO,,901,4,1473,932,23,909,18,891,541,308,39,9,,,99,11,,46,0,,369,10,,
Bizkaia,MENDATA,,62,4,315,278,1,277,,277,37,159,6,1,0,,0,1,,4,0,,106,,,0
Bizkaia,MENDEXA,,63,4,357,307,,307,2,305,50,139,3,2,0,,1,0,,8,0,,152,,,0
Bizkaia,MEÑAKA,,64,4,589,513,5,508,9,499,76,182,8,3,0,,6,3,,19,0,,278,,,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,210,178,2,176,2,174,32,58,46,8,,,48,4,,0,,,10,,,
Bizkaia,MORGA,,66,4,359,299,1,298,2,296,60,174,3,1,0,,2,3,,5,1,,106,,,1
Bizkaia,MUNDAKA,,68,4,1585,1259,9,1250,10,1240,326,723,18,1,0,,25,3,,32,2,,436,,,0
Bizkaia,MUNGIA,,69,4,12307,8425,132,8293,180,8113,3882,4093,678,202,3,,571,90,,266,36,,2164,,,10
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,359,287,1,286,2,284,72,135,2,1,0,,2,0,,9,0,,135,,,0
Bizkaia,MURUETA,,908,4,242,216,2,214,6,208,26,95,4,1,0,,5,2,,12,0,,89,,,0
Bizkaia,MUSKIZ,,71,2,6073,4279,121,4158,115,4043,1794,1788,207,122,,,815,53,,78,12,14,946,,,8
Gipuzkoa,MUTILOA,,57,3,191,132,,132,5,127,59,37,2,1,,,3,0,,4,0,,76,4,,
Gipuzkoa,MUTRIKU,,56,4,3981,2810,32,2778,39,2739,1171,893,84,17,,,73,87,,108,3,,1463,11,,
Bizkaia,MUXIKA,,67,4,1218,967,8,959,2,957,251,419,17,5,0,,26,3,,35,0,,451,,,1
Bizkaia,NABARNIZ,,909,4,197,181,,181,,181,16,72,0,1,0,,0,0,,4,0,,104,,,0
Álava,NAVARIDAS,,41,2,158,105,5,100,5,95,53,34,49,1,,,5,0,,2,,,4,,,
Gipuzkoa,OIARTZUN,,63,2,7894,5288,53,5235,68,5167,2606,834,148,42,,,206,26,14,233,8,17,3264,375,,
Álava,OKONDO,,42,3,912,819,25,794,10,784,93,285,48,6,,,16,5,,15,,,409,,,
Gipuzkoa,OLABERRIA,,58,3,767,549,5,544,9,535,218,140,36,9,,,67,5,,36,1,,164,77,,
Bizkaia,ONDARROA,,73,4,7170,4980,144,4836,69,4767,2190,1496,190,11,5,,26,4,,203,3,,2828,,,1
Gipuzkoa,ORDIZIA,,76,3,6978,4697,43,4654,90,4564,2281,1306,287,110,,,617,27,,256,3,,1862,96,,
Gipuzkoa,ORENDAIN,,905,3,142,124,2,122,,122,18,34,0,1,,,0,0,,12,0,,75,0,,
Gipuzkoa,OREXA,,60,3,93,84,1,83,,83,9,5,0,0,,,0,0,,0,0,,78,0,,
Gipuzkoa,ORIO,,61,4,3985,2920,24,2896,53,2843,1065,1271,58,18,,,176,16,,116,5,,1148,35,,
Gipuzkoa,ORMAIZTEGI,,62,3,1000,748,6,742,17,725,252,269,27,4,,,27,9,,52,2,,319,16,,
Bizkaia,OROZKO,,75,3,1896,1532,36,1496,23,1473,364,846,104,12,1,3,28,6,,67,4,,402,,,2
Bizkaia,ORTUELLA,,83,2,7055,4559,109,4450,130,4320,2496,1636,238,199,,,1202,39,,70,20,16,862,,,38
Bizkaia,OTXANDIO,,72,3,1008,802,8,794,9,785,206,265,34,6,0,1,17,0,,27,0,,435,,,0
Álava,OYÓN-OION,,43,2,2336,1617,27,1590,27,1563,719,405,606,27,,,239,18,,24,,,244,,,
Gipuzkoa,OÑATI,,59,4,8806,6351,39,6312,42,6270,2455,1926,225,146,,,304,14,,314,8,,3164,169,,
Gipuzkoa,PASAIA,,64,2,12388,6706,106,6600,156,6444,5682,1195,648,320,,,1154,75,24,214,27,51,2561,175,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,249,175,2,173,2,171,74,44,42,5,,,21,4,,7,,,48,,,
Bizkaia,PLENTZIA,,77,4,3401,2462,19,2443,52,2391,939,1220,217,43,1,,160,41,,104,18,,581,,,6
Bizkaia,PORTUGALETE,,78,2,39942,23872,356,23516,588,22928,16070,6352,3326,1189,,,7702,382,,366,153,204,3170,,,84
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,920,661,26,635,27,608,259,150,205,13,,,178,8,,7,,,47,,,
Álava,SAMANIEGO,,52,2,237,193,5,188,4,184,44,87,14,1,,,38,3,,4,,,37,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,593,367,7,360,5,355,226,123,43,9,,,9,7,,8,,,156,,,
Bizkaia,SANTURTZI,,82,2,38571,23370,335,23035,465,22570,15201,9844,2415,913,,,4859,318,,399,104,160,3385,,,173
Gipuzkoa,SEGURA,,70,3,1117,873,4,869,19,850,244,245,8,4,,,12,4,,44,0,,471,62,,
Bizkaia,SESTAO,,84,2,23597,14215,249,13966,307,13659,9382,4621,1480,667,,,4180,152,,267,57,59,1752,,,424
Bizkaia,SONDIKA,,904,4,3520,2539,18,2521,63,2458,981,1354,248,35,1,,225,12,,56,16,,508,,,2
Bizkaia,SOPELA,,85,4,9871,6319,115,6204,166,6038,3552,2302,448,232,5,,648,161,,244,47,,1945,,,6
Bizkaia,SOPUERTA,,86,2,2094,1550,42,1508,46,1462,544,617,78,29,,,121,14,,30,1,6,566,,,0
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3186,2139,20,2119,37,2082,1047,586,177,30,,,377,7,,86,2,,810,7,,
Bizkaia,SUKARRIETA,,76,4,297,241,1,240,2,238,56,122,11,2,1,,6,1,,13,1,,80,,,1
Gipuzkoa,TOLOSA,,71,3,14457,9432,99,9333,175,9158,5025,3219,517,197,,,720,48,,542,17,,3795,103,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,458,409,9,400,4,396,49,248,24,1,,,21,3,,32,0,0,67,,,0
Bizkaia,UBIDE,,88,3,148,123,1,122,1,121,25,34,8,2,0,0,1,0,,1,0,,75,,,0
Bizkaia,UGAO-MIRABALLES,,65,3,3331,2219,35,2184,31,2153,1112,1041,147,30,0,0,204,9,,38,9,,673,,,2
