TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,PH,PCTE / ELAK,ATTKA/PACMA,PUM+J,Cs,I.FEM,SAIn,FAC,VOX,M.C.R.,ALTER,PIRATAS,RECORTES CERO-GV,EAJ-PNV... (E19),CXE,EH BILDU... (E19),CONTIGO,ADÑ,AxSÍ,PACT,CPE,MIEL,IZQP,PCPE-PCPC-PCPA,PODEMOS-IU,JUNTS,IGRE,VOLT,CV-EC,CEX-CREX-PREX
Bizkaia,ISPASTER,,49,4,546,432,,432,2,430,114,5,1,0,0,3,0,2,0,0,0,1,0,0,0,0,226,0,159,0,0,0,0,0,0,0,1,28,4,0,0,0,0
Gipuzkoa,ITSASONDO,,47,3,464,324,1,323,1,322,140,19,2,0,0,2,0,2,0,0,0,0,0,0,0,1,87,0,193,0,0,0,0,0,0,0,0,15,0,0,1,0,0
Bizkaia,IURRETA,,910,3,2823,1910,6,1904,9,1895,913,330,77,0,0,10,2,30,1,0,0,15,0,0,0,0,727,0,526,0,0,0,0,3,0,0,0,165,1,1,3,4,0
Bizkaia,IZURTZA,,50,3,187,169,1,168,,168,18,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,73,0,85,0,0,0,0,0,0,0,0,3,1,0,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2315,1834,20,1814,37,1777,481,170,34,0,0,16,1,19,0,0,2,19,0,0,0,1,1102,1,265,1,0,0,4,0,0,1,3,125,11,0,1,1,0
Bizkaia,KORTEZUBI,,907,4,338,292,2,290,1,289,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,110,0,0,0,0,0,0,0,0,6,2,0,0,0,0
Álava,KRIPAN,,19,2,149,114,1,113,,113,35,8,11,0,0,0,0,2,0,0,0,0,0,1,0,0,73,0,13,0,0,0,0,0,0,0,0,4,1,0,0,0,0
Álava,KUARTANGO,,20,2,322,248,3,245,6,239,74,16,20,0,0,2,0,1,0,0,0,1,0,0,0,0,95,0,87,0,0,0,0,0,0,0,0,14,1,0,0,2,0
Álava,LABASTIDA/BASTIDA,,28,2,1083,795,19,776,17,759,288,133,180,0,0,7,0,13,0,0,0,23,0,0,0,0,212,0,111,1,0,0,0,0,0,0,1,69,9,0,0,0,0
Álava,LAGRÁN,,30,2,140,120,,120,1,119,20,21,27,0,0,0,0,0,0,0,0,1,0,0,0,2,40,0,14,0,0,0,1,0,0,0,0,13,0,0,0,0,0
Álava,LAGUARDIA,,31,2,1169,953,48,905,28,877,216,124,213,0,0,11,1,33,0,0,0,22,0,0,0,3,252,0,159,0,0,0,0,0,0,0,1,49,4,0,1,4,0
Álava,LANCIEGO/LANTZIEGO,,32,2,499,376,10,366,3,363,123,95,53,0,1,2,0,6,0,0,0,0,0,0,0,1,122,0,52,0,0,0,0,0,0,0,0,30,0,0,1,0,0
Bizkaia,LANESTOSA,,51,2,217,173,2,171,,171,44,12,0,0,0,1,0,5,0,0,0,0,0,0,0,5,89,0,35,1,0,0,0,0,0,0,0,21,2,0,0,0,0
Álava,LANTARÓN,,902,2,734,507,2,505,10,495,227,90,94,0,2,6,1,21,3,0,0,7,1,1,0,0,150,0,66,0,0,0,0,0,0,0,0,47,3,0,0,3,0
Álava,LAPUEBLA DE LABARCA,,33,2,659,555,11,544,16,528,104,99,77,0,0,3,0,18,0,1,0,3,0,1,0,0,243,0,50,0,1,0,0,0,2,0,1,28,0,0,0,1,0
Bizkaia,LARRABETZU,,52,4,1565,1253,5,1248,5,1243,312,34,14,0,0,7,0,7,1,0,0,2,0,1,0,0,453,0,656,0,0,0,1,0,0,0,0,54,7,0,1,5,0
Gipuzkoa,LARRAUL,,48,3,186,113,,113,4,109,73,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,26,0,63,0,0,0,0,0,0,0,0,11,3,0,0,2,0
Gipuzkoa,LASARTE-ORIA,,902,1,14248,9205,36,9169,69,9100,5043,3238,493,0,8,87,5,259,15,1,3,113,1,2,4,17,1647,0,1990,3,1,1,3,6,2,6,9,1109,47,1,2,26,1
Álava,LAUDIO/LLODIO,,36,3,14748,9807,72,9734,74,9660,4941,1655,551,1,7,84,40,198,150,1,0,92,0,2,7,22,3390,1,2284,2,0,2,3,3,2,3,15,1068,46,1,2,26,2
Bizkaia,LAUKIZ,,53,4,921,686,6,680,3,677,235,51,52,1,0,6,1,28,0,1,1,12,0,0,0,0,362,0,137,0,0,0,0,0,0,0,0,16,3,0,1,5,0
Gipuzkoa,LAZKAO,,49,3,4180,2951,20,2931,29,2902,1229,320,47,0,2,8,1,33,2,0,0,4,0,0,1,0,1017,0,1229,0,0,0,1,0,0,2,1,216,13,0,0,3,2
Gipuzkoa,LEABURU,,50,3,273,202,1,201,3,198,71,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,125,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Gipuzkoa,LEGAZPI,,51,3,6774,4834,27,4807,45,4762,1940,732,138,2,2,28,1,77,3,0,0,30,1,6,1,5,1655,1,1671,2,1,1,1,3,0,3,5,378,13,0,0,2,0
Gipuzkoa,LEGORRETA,,52,3,1069,821,5,816,5,811,248,69,16,0,0,0,0,4,1,0,0,1,0,0,0,0,296,0,362,0,0,0,0,0,0,0,0,57,5,0,0,0,0
Álava,LEGUTIO,,58,2,1401,840,4,836,8,828,561,104,21,1,0,10,0,17,1,0,0,5,0,0,0,1,259,0,320,0,0,0,0,0,0,0,1,80,6,0,1,1,0
Gipuzkoa,LEINTZ-GATZAGA,,68,4,187,113,1,112,1,111,74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,72,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Bizkaia,LEIOA,,54,4,25029,15943,57,15886,99,15787,9086,3094,1013,8,11,160,12,539,24,2,0,252,12,7,7,34,5972,4,2259,6,3,2,8,16,8,9,18,2198,44,5,21,38,1
Bizkaia,LEKEITIO,,57,4,5753,4301,23,4278,24,4254,1452,90,38,0,3,8,0,10,0,0,0,7,0,1,0,1,1983,0,1924,0,0,0,2,0,1,0,2,141,31,1,1,10,0
Bizkaia,LEMOA,,55,3,2593,1909,13,1896,5,1891,684,145,28,0,1,11,5,19,3,0,0,18,0,0,0,1,826,0,695,0,0,0,0,1,1,0,0,126,7,1,1,1,1
Bizkaia,LEMOIZ,,56,4,990,723,2,721,6,715,267,11,5,0,0,5,0,9,1,0,0,2,0,0,0,1,366,0,248,0,0,0,0,0,0,0,1,62,3,0,0,1,0
Álava,LEZA,,34,2,155,117,,117,1,116,38,27,4,0,0,0,0,1,1,0,0,3,0,0,0,0,47,0,23,0,0,0,0,0,0,1,0,6,0,0,0,3,0
Bizkaia,LEZAMA,,81,4,1893,1443,21,1422,13,1409,450,93,23,0,0,11,0,9,0,0,0,3,0,0,0,2,839,0,342,0,1,0,0,0,0,0,0,79,4,0,1,2,0
Gipuzkoa,LEZO,,53,2,4855,3109,58,3051,36,3015,1746,327,66,0,1,16,0,40,2,0,0,6,6,4,1,8,868,3,1325,0,1,0,0,0,0,1,4,325,6,0,0,4,1
Gipuzkoa,LIZARTZA,,54,3,460,347,2,345,9,336,113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,264,0,0,0,0,0,0,0,0,6,4,0,0,0,0
Bizkaia,LOIU,,903,4,1812,1331,5,1326,7,1319,481,83,65,0,1,9,0,43,2,0,0,13,0,0,0,1,824,0,172,1,0,0,0,0,0,0,0,96,5,0,0,4,0
Bizkaia,MALLABIA,,58,3,948,747,9,738,5,733,201,58,6,0,0,1,0,6,3,0,0,0,0,0,1,0,330,0,290,0,0,0,0,0,0,0,0,36,1,0,1,0,0
Bizkaia,MARKINA-XEMEIN,,60,4,3634,2640,11,2629,12,2617,994,60,27,0,0,8,1,12,1,0,0,3,0,1,2,1,1306,0,1083,0,0,0,1,1,0,0,0,96,12,2,0,0,0
Bizkaia,MARURI-JATABE,,61,4,794,591,1,590,3,587,203,28,15,0,1,5,2,11,0,0,1,3,0,0,1,1,291,0,166,0,0,0,0,1,0,0,1,48,12,0,0,0,0
Bizkaia,MAÑARIA,,59,3,407,353,3,350,3,347,54,5,5,0,0,1,0,4,1,0,0,0,0,0,0,0,165,0,151,1,0,0,0,0,0,0,0,11,3,0,0,0,0
Gipuzkoa,MENDARO,,901,4,1415,972,8,964,2,962,443,125,22,0,0,8,0,9,0,0,0,1,0,0,0,0,418,0,289,0,0,0,0,0,0,0,0,90,0,0,0,0,0
Bizkaia,MENDATA,,62,4,293,249,4,245,,245,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,87,0,0,0,0,0,0,0,0,12,3,0,0,1,0
Bizkaia,MENDEXA,,63,4,358,293,3,290,3,287,65,6,2,0,0,2,2,1,1,1,0,0,0,0,0,0,133,0,121,0,0,0,0,0,0,1,0,14,2,0,0,1,0
Bizkaia,MEÑAKA,,64,4,614,505,,505,3,502,109,8,1,0,0,3,2,4,0,0,0,1,0,0,0,0,201,0,255,0,0,0,1,0,0,0,0,22,2,0,0,2,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,196,158,3,155,,155,38,44,15,0,0,0,1,5,0,0,0,0,0,0,0,0,50,0,22,0,0,0,0,0,0,0,0,18,0,0,0,0,0
Bizkaia,MORGA,,66,4,348,273,,273,1,272,75,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,166,0,90,0,0,0,0,0,0,0,0,7,1,0,0,4,0
Bizkaia,MUNDAKA,,68,4,1530,1142,6,1136,4,1132,388,27,7,0,0,2,0,9,0,0,0,2,0,0,0,0,676,0,334,0,0,0,0,0,0,0,0,63,9,0,0,3,0
Bizkaia,MUNGIA,,69,4,13152,8617,31,8586,54,8532,4535,742,366,1,3,53,4,251,6,2,1,124,0,1,2,10,4167,3,1893,1,5,1,2,11,2,0,4,813,34,1,1,28,0
Álava,MUNICIPIO CERA ARABA,,999,99,6804,301,,301,1,300,6503,61,25,1,0,4,1,27,5,0,0,7,0,0,2,4,47,2,39,0,0,0,3,2,0,0,1,59,3,0,2,5,0
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,39127,1092,3,1089,6,1083,38035,194,88,0,2,21,1,80,10,0,0,61,1,2,0,6,274,2,142,0,0,0,5,1,2,0,7,158,8,0,8,10,0
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,26723,930,,930,,930,25793,189,56,1,0,12,0,63,6,1,0,23,0,0,1,13,136,1,215,0,0,0,3,3,1,1,0,173,15,0,4,12,1
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,386,276,,276,1,275,110,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,116,0,143,0,0,0,0,0,0,0,0,7,2,0,0,0,0
Bizkaia,MURUETA,,908,4,252,233,3,230,1,229,19,7,0,0,1,5,0,2,0,0,0,1,0,0,0,0,129,0,74,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Bizkaia,MUSKIZ,,71,2,6046,4330,37,4293,42,4251,1716,990,84,1,1,25,3,44,5,0,1,24,2,0,2,4,1821,3,737,0,5,0,2,2,1,0,0,483,3,0,1,7,0
Gipuzkoa,MUTILOA,,57,3,196,133,,133,1,132,63,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38,0,79,0,0,0,0,0,0,0,0,7,1,0,0,0,1
Gipuzkoa,MUTRIKU,,56,4,4084,2874,21,2853,22,2831,1210,135,54,0,0,14,1,21,2,0,0,7,0,6,0,2,1134,0,1257,0,0,0,2,1,0,0,0,175,11,0,1,8,0
Bizkaia,MUXIKA,,67,4,1138,862,4,858,5,853,276,22,4,0,1,0,1,3,1,0,0,0,0,0,1,1,401,0,370,1,0,0,0,0,1,0,0,42,3,0,0,1,0
Bizkaia,NABARNIZ,,909,4,203,184,2,182,1,181,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,74,0,100,0,0,0,0,0,0,0,0,4,1,0,0,0,0
Álava,NAVARIDAS,,41,2,153,122,3,119,,119,31,6,49,0,2,0,0,3,0,0,0,1,0,0,0,0,37,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Gipuzkoa,OIARTZUN,,63,2,8081,5509,49,5460,47,5413,2572,290,75,3,3,24,0,37,2,1,0,16,1,0,4,1,1289,280,2935,0,0,2,1,2,2,4,0,405,29,0,0,6,1
Álava,OKONDO,,42,3,912,766,12,754,8,746,146,32,13,0,0,4,0,11,0,0,0,6,0,0,0,1,416,0,198,0,0,0,0,0,0,0,0,61,4,0,0,0,0
Gipuzkoa,OLABERRIA,,58,3,739,540,9,531,3,528,199,83,26,0,0,5,0,9,1,2,0,3,0,0,0,3,174,0,158,0,0,0,0,0,0,0,1,58,4,0,0,1,0
Bizkaia,ONDARROA,,73,4,6832,4571,17,4554,27,4527,2261,141,69,2,0,15,2,26,0,0,0,8,0,1,1,0,1762,0,2239,1,0,1,0,1,0,0,1,242,14,0,0,1,0
Gipuzkoa,ORDIZIA,,76,3,7068,5059,18,5041,38,5003,2009,680,142,1,7,22,1,51,7,2,1,26,0,0,0,6,1705,0,1755,3,1,1,1,1,1,0,5,545,18,3,0,18,0
Gipuzkoa,ORENDAIN,,905,3,156,125,,125,2,123,31,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,31,0,83,0,0,0,0,0,0,0,0,2,1,0,0,1,0
Gipuzkoa,OREXA,,60,3,88,75,,75,,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ORIO,,61,4,4401,3059,22,3037,31,3006,1342,267,59,0,0,15,1,27,4,0,0,9,0,1,0,3,1267,2,1138,2,0,0,0,0,1,1,0,186,18,0,1,4,0
Gipuzkoa,ORMAIZTEGI,,62,3,948,718,8,710,9,701,230,47,6,1,0,9,1,5,2,0,0,6,0,0,0,0,302,0,272,0,0,0,0,0,0,0,0,37,7,0,0,6,0
Bizkaia,OROZKO,,75,3,2066,1529,17,1512,23,1489,537,65,39,1,3,12,0,17,1,0,0,7,0,1,0,3,785,0,429,0,0,0,0,1,0,0,0,115,9,1,0,0,0
Bizkaia,ORTUELLA,,83,2,6952,4702,17,4685,37,4648,2250,1037,98,0,3,37,1,56,1,0,0,25,1,2,2,3,1769,0,685,0,2,0,1,2,0,1,9,900,5,1,2,4,1
Bizkaia,OTXANDIO,,72,3,967,746,5,741,6,735,221,24,10,0,0,3,0,1,0,0,0,1,0,1,0,0,284,0,386,0,0,0,1,0,0,0,0,22,2,0,0,0,0
Álava,OYÓN-OION,,43,2,2337,1543,19,1524,39,1485,794,398,212,0,2,10,1,76,3,0,0,38,1,2,0,1,314,0,250,2,0,0,0,0,0,2,5,156,3,0,1,8,0
Gipuzkoa,OÑATI,,59,4,8870,6383,23,6360,24,6336,2487,371,101,0,6,22,1,35,4,0,0,9,0,2,2,3,2290,0,3148,0,1,0,0,1,1,0,2,295,28,0,0,13,1
Gipuzkoa,PASAIA,,64,2,12457,7448,76,7372,62,7310,5009,1593,265,0,5,48,3,170,6,2,0,50,1,2,3,8,1788,0,2211,1,1,1,1,5,0,1,4,1100,32,2,0,6,1
Álava,PEÑACERRADA-URIZAHARRA,,44,2,231,176,9,167,2,165,55,30,23,0,0,1,1,4,0,0,0,0,0,0,0,0,53,0,37,0,0,0,0,0,0,0,0,14,2,0,0,0,0
Bizkaia,PLENTZIA,,77,4,3402,2447,4,2443,19,2424,955,182,79,1,3,22,1,47,2,0,0,19,1,0,4,3,1166,0,635,1,0,0,0,1,0,1,3,213,17,1,3,17,2
Bizkaia,PORTUGALETE,,78,2,38015,24116,109,24007,191,23816,13899,7927,1499,7,24,198,18,544,25,4,2,243,1,10,10,26,6885,21,2815,13,11,11,7,11,1,16,17,3320,68,9,16,53,4
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,988,651,3,648,16,632,337,139,98,0,0,6,33,55,2,0,0,15,0,0,1,0,193,0,40,0,1,0,0,2,0,0,4,40,0,0,0,3,0
Álava,SAMANIEGO,,52,2,271,196,1,195,1,194,75,47,4,0,2,1,0,1,0,0,0,1,0,0,0,0,79,0,45,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,592,387,2,385,4,381,205,32,16,0,0,2,1,6,1,0,0,2,0,0,0,0,147,0,141,0,0,0,1,0,0,0,1,31,0,0,0,0,0
Bizkaia,SANTURTZI,,82,2,37404,23735,125,23610,174,23436,13669,5826,1109,4,8,202,17,493,17,6,5,232,6,8,5,41,8372,4,3663,4,7,1,9,19,3,12,28,3258,25,12,8,28,4
Gipuzkoa,SEGURA,,70,3,1091,869,3,866,9,857,222,21,0,0,0,3,0,3,1,0,0,3,1,0,0,1,371,0,414,0,0,1,0,0,0,0,1,24,11,0,0,2,0
Bizkaia,SESTAO,,84,2,21847,13596,103,13493,106,13387,8251,3712,636,4,10,148,13,257,10,1,0,95,1,7,8,23,4574,8,1709,5,2,3,4,4,1,9,16,2073,23,3,4,17,7
Bizkaia,SONDIKA,,904,4,3551,2492,13,2479,28,2451,1059,286,115,0,0,30,1,66,5,0,0,13,0,0,0,3,1219,0,466,2,0,1,5,2,1,0,3,215,9,1,0,6,2
Bizkaia,SOPELA,,85,4,10726,7228,22,7206,54,7152,3498,786,172,2,1,95,5,149,5,1,0,59,0,2,4,16,2862,2,1874,1,3,0,5,4,1,1,9,1000,48,2,4,37,2
Bizkaia,SOPUERTA,,86,2,2024,1473,24,1449,29,1420,551,147,25,0,1,5,1,26,1,0,0,6,0,0,0,2,673,0,346,0,0,0,0,0,0,1,1,172,5,0,2,6,0
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,2947,2031,15,2016,15,2001,916,341,80,2,2,6,0,26,4,0,0,9,0,0,1,1,625,0,625,137,2,0,0,0,1,0,2,129,2,2,0,3,1
Bizkaia,SUKARRIETA,,76,4,286,218,2,216,3,213,68,11,3,0,0,0,0,2,0,0,0,0,0,0,0,0,143,0,44,0,0,1,0,0,0,0,0,5,2,0,0,2,0
Gipuzkoa,TOLOSA,,71,3,15064,10209,38,10171,84,10087,4855,1050,238,0,4,54,5,90,14,0,1,32,2,2,5,13,3863,3,3818,2,0,1,5,10,5,3,4,755,71,1,1,34,1
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,435,385,5,380,4,376,50,28,9,0,0,0,0,2,0,0,0,3,0,0,0,1,248,0,58,0,0,0,0,0,0,0,0,27,0,0,0,0,0
Bizkaia,UBIDE,,88,3,133,106,1,105,1,104,27,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,68,0,0,0,0,0,0,0,0,3,2,0,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3303,2340,15,2325,17,2308,963,241,52,0,2,10,1,25,0,0,0,8,0,0,0,8,1103,1,665,0,0,0,0,1,0,0,1,181,5,0,0,4,0
Bizkaia,URDULIZ,,89,4,3477,2401,10,2391,15,2376,1076,242,56,0,0,22,0,49,4,0,0,15,0,2,2,1,1049,3,601,0,2,0,1,12,0,0,1,288,9,0,1,15,1
Bizkaia,URDUÑA/ORDUÑA,,74,3,3273,2417,20,2397,26,2371,856,225,76,0,3,5,1,36,2,1,0,14,0,1,3,4,1079,0,758,0,0,0,1,0,0,0,1,155,2,0,0,4,0
Álava,URKABUSTAIZ,,54,2,1019,759,5,754,8,746,260,64,21,0,1,8,0,7,1,0,0,3,0,1,0,1,245,0,310,0,0,0,0,0,0,0,1,76,4,1,0,1,1
Gipuzkoa,URNIETA,,72,1,4772,3042,41,3001,42,2959,1730,533,99,1,0,41,2,70,0,0,0,24,0,0,3,2,1084,2,747,0,0,1,1,1,0,1,2,318,15,2,0,9,1
Gipuzkoa,URRETXU,,77,3,5268,3662,20,3642,24,3618,1606,681,72,0,2,7,1,68,5,0,0,11,0,0,1,0,1381,1,1056,0,1,0,0,1,0,1,2,304,15,1,1,5,1
Gipuzkoa,USURBIL,,73,1,4706,3075,11,3064,25,3039,1631,299,52,1,3,11,0,33,7,0,1,9,0,2,3,2,677,1,1640,0,0,0,4,5,1,1,3,238,35,2,0,6,3
Álava,VALDEGOVÍA/GAUBEA,,55,2,846,567,14,553,11,542,279,72,70,0,1,7,0,16,1,0,0,5,0,0,0,0,211,0,110,0,0,0,0,0,0,0,0,41,3,0,0,5,0
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9949,6626,44,6582,43,6539,3323,1752,196,3,1,61,6,90,2,0,1,51,4,1,5,10,2359,0,1101,2,2,0,5,2,1,2,6,834,15,2,5,20,0
Gipuzkoa,VILLABONA,,75,3,4344,2943,8,2935,35,2900,1401,320,71,0,4,19,0,41,2,2,0,13,0,1,0,2,935,0,1254,0,0,1,2,0,0,4,1,210,12,0,3,1,2
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,242,215,1,214,3,211,27,13,13,0,0,3,0,4,1,0,0,6,0,0,0,0,98,0,69,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Álava,VITORIA-GASTEIZ,,59,1,190184,119287,798,118489,908,117581,70897,29360,16792,33,144,1265,154,5042,283,19,13,2784,12,196,110,368,25666,89,18267,163,19,25,76,126,49,57,153,14985,553,49,113,537,79
Álava,YÉCORA/IEKORA,,60,2,210,168,3,165,3,162,42,21,44,0,0,2,0,7,0,0,0,4,0,0,0,0,61,0,12,0,0,0,0,0,0,0,0,9,0,0,1,0,1
Bizkaia,ZALDIBAR,,95,3,2335,1550,5,1545,11,1534,785,282,75,0,0,6,0,17,1,0,0,1,11,1,2,5,501,1,459,0,0,0,0,2,0,0,0,165,4,0,0,1,0
Gipuzkoa,ZALDIBIA,,78,3,1141,851,2,849,11,838,290,34,2,0,0,4,1,3,0,0,0,0,0,0,0,2,192,0,570,0,0,0,1,0,0,0,0,25,3,0,0,1,0
Álava,ZALDUONDO,,61,2,153,129,1,128,2,126,24,12,0,0,0,2,0,3,0,0,0,0,0,0,0,0,37,0,62,0,0,0,0,0,0,0,0,8,0,0,0,1,1
Bizkaia,ZALLA,,96,2,6563,5059,62,4997,47,4950,1504,666,105,6,4,38,6,82,6,4,0,31,0,1,2,5,2725,2,730,2,3,0,2,0,0,2,5,494,10,1,4,13,1
Álava,ZAMBRANA,,62,2,320,258,4,254,5,249,62,39,52,0,0,4,0,17,0,0,0,2,0,0,1,2,57,0,33,0,0,2,0,0,0,0,0,39,0,0,0,1,0
Bizkaia,ZAMUDIO,,905,4,2498,1810,18,1792,14,1778,688,178,32,0,3,4,1,21,2,1,0,6,0,0,0,0,905,0,480,0,2,0,0,0,0,0,0,130,7,0,0,5,1
Bizkaia,ZARATAMO,,97,3,1313,908,7,901,7,894,405,114,25,0,0,17,0,15,0,0,0,4,0,0,0,0,365,0,260,0,1,0,0,0,0,1,0,90,1,0,0,1,0
Gipuzkoa,ZARAUTZ,,79,4,18197,12703,64,12639,103,12536,5494,1443,403,3,11,63,5,175,9,0,3,78,0,1,5,4,5163,2,4003,0,2,3,4,6,3,4,3,987,115,3,3,30,2
Bizkaia,ZEANURI,,24,3,1005,810,8,802,2,800,195,7,6,0,0,1,0,8,0,0,0,0,0,1,0,1,389,0,350,0,0,0,0,1,0,0,0,31,5,0,0,0,0
Bizkaia,ZEBERIO,,25,3,860,704,3,701,3,698,156,13,3,0,0,2,0,3,1,0,0,2,0,0,0,0,364,0,273,0,0,0,0,0,0,0,0,35,2,0,0,0,0
Gipuzkoa,ZEGAMA,,25,3,1114,876,10,866,7,859,238,25,0,0,0,7,0,4,0,0,0,0,0,0,0,1,388,0,398,0,0,0,0,0,0,0,0,36,0,0,0,0,0
Gipuzkoa,ZERAIN,,26,3,208,194,6,188,4,184,14,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,77,0,99,0,0,0,0,0,0,0,0,2,3,0,0,0,0
Gipuzkoa,ZESTOA,,27,4,2760,1947,12,1935,18,1917,813,82,8,0,2,6,0,3,0,0,3,3,0,3,0,0,748,0,930,0,1,0,0,1,1,0,0,111,15,0,0,0,0
Bizkaia,ZIERBENA,,913,2,1226,899,9,890,8,882,327,64,13,0,0,3,0,12,1,0,0,3,0,0,0,1,486,0,220,0,0,0,0,0,0,0,0,69,8,0,0,1,1
Álava,ZIGOITIA,,18,2,1408,909,3,906,11,895,499,129,53,0,0,7,0,11,0,0,0,9,0,0,0,2,272,0,298,0,0,0,0,0,0,0,1,98,9,0,1,5,0
Bizkaia,ZIORTZA - BOLIBAR,,915,4,346,262,,262,1,261,84,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,95,0,153,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Gipuzkoa,ZIZURKIL,,28,3,2257,1508,4,1504,9,1495,749,246,34,0,0,6,0,13,0,1,0,5,0,0,1,0,424,0,655,2,0,0,0,2,0,1,1,89,10,1,1,3,0
Álava,ZUIA,,63,2,1839,1310,6,1304,15,1289,529,160,83,1,0,9,0,38,0,0,1,25,0,0,0,2,436,0,394,0,0,0,1,0,0,0,3,119,11,0,0,6,0
Gipuzkoa,ZUMAIA,,81,4,7684,5336,24,5312,43,5269,2348,659,81,0,2,25,0,50,1,0,0,21,0,0,0,5,1801,0,2159,0,1,1,2,0,2,1,3,413,24,0,6,12,0
Gipuzkoa,ZUMARRAGA,,80,3,7723,5121,51,5070,75,4995,2602,1702,190,0,8,28,3,81,7,0,0,28,2,3,3,2,1269,2,1060,0,0,2,2,5,0,2,9,559,13,1,1,12,1
