TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PH,PCTE / ELAK,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,EB-AZ,O.E.,EH BILDU,VOX,P-LIB,LxE-EaL,PODEMOS-AHAL DUGU/EZKER ANITZA-IU,PP+Cs,L.F.F.,UCDE,EQUO BERDEAK-VERDES,RECORTES CERO-LV-M
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,671,500,2,498,8,490,171,282,0,0,12,1,0,0,,156,2,,0,22,6,0,,8,1
Gipuzkoa,GAZTELU,,907,3,118,85,3,82,,82,33,32,,,0,1,1,0,,41,0,0,0,7,0,,0,0,0
Bizkaia,GERNIKA-LUMO,,46,4,12673,8070,67,8003,68,7935,4603,3866,1,2,469,20,3,16,,2960,48,,1,326,157,0,,61,5
Gipuzkoa,GETARIA,,39,4,2117,1521,11,1510,9,1501,596,650,,,31,8,2,2,,748,4,1,0,42,10,,0,3,0
Bizkaia,GETXO,,44,4,61792,35416,228,35188,326,34862,26376,15177,10,28,3592,172,29,88,,6020,1115,,55,2092,5959,9,,471,45
Bizkaia,GIZABURUAGA,,47,4,147,107,,107,2,105,40,32,0,0,0,0,0,0,,67,0,,0,6,0,0,,0,0
Bizkaia,GORDEXOLA,,42,2,1368,924,26,898,14,884,444,531,1,0,44,5,2,2,,167,9,,1,59,52,0,,11,0
Bizkaia,GORLIZ,,43,4,4631,2753,21,2732,41,2691,1878,1378,1,1,160,23,3,8,,735,24,,1,195,108,0,,49,5
Bizkaia,GÜEÑES,,45,2,5199,3179,53,3126,29,3097,2020,1438,0,2,260,25,2,5,,952,44,,3,252,79,1,,29,5
Álava,HARANA/VALLE DE ARANA,,56,2,194,91,1,90,1,89,103,56,,,4,0,0,0,0,23,0,,0,5,1,0,,0,0
Gipuzkoa,HERNANI,,40,1,15798,8537,39,8498,80,8418,7261,2231,,,881,36,2,28,,4129,58,7,3,769,195,,0,71,8
Gipuzkoa,HERNIALDE,,41,3,238,106,1,105,1,104,132,45,,,4,0,0,2,,47,0,0,0,3,0,,0,3,0
Gipuzkoa,HONDARRIBIA,,36,2,13245,7188,43,7145,75,7070,6057,3464,,,656,35,6,17,,1836,92,3,6,521,329,,2,91,12
Gipuzkoa,IBARRA,,42,3,3198,1634,8,1626,13,1613,1564,568,,,162,5,0,4,,720,8,1,0,100,28,,0,12,5
Bizkaia,IBARRANGELU,,48,4,539,374,,374,8,366,165,175,0,1,7,0,0,1,,156,0,,0,16,2,0,,8,0
Gipuzkoa,IDIAZABAL,,43,3,1709,1097,3,1094,13,1081,612,531,,,23,2,0,4,,487,2,0,0,13,16,,0,2,1
Bizkaia,IGORRE,,94,3,3122,1912,24,1888,8,1880,1210,936,3,0,47,6,0,3,,770,17,,1,66,24,0,,7,0
Gipuzkoa,IKAZTEGIETA,,44,3,348,220,,220,3,217,128,80,,,7,0,0,0,,117,1,0,0,9,1,,1,1,0
Gipuzkoa,IRUN,,45,2,46898,22180,113,22067,236,21831,24718,7915,,,4792,134,31,79,,3764,721,22,38,2265,1709,,33,274,54
Gipuzkoa,IRURA,,46,3,1234,650,1,649,5,644,584,239,,,38,2,1,0,,330,9,0,0,22,0,,0,3,0
Álava,IRURAIZ-GAUNA,,27,2,448,232,,232,,232,216,98,,,13,0,0,0,0,88,4,,0,17,9,0,,3,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2498,1169,20,1149,13,1136,1329,345,,,236,6,1,6,2,221,71,,0,96,130,0,,20,2
Bizkaia,ISPASTER,,49,4,541,407,4,403,1,402,134,212,0,1,6,3,0,0,,163,2,,0,13,1,0,,0,1
Gipuzkoa,ITSASONDO,,47,3,461,272,2,270,1,269,189,75,,,10,0,0,0,,173,1,0,0,5,0,,0,5,0
Bizkaia,IURRETA,,910,3,2808,1617,7,1610,11,1599,1191,634,4,1,206,5,0,3,,526,26,,2,113,73,0,,4,2
Bizkaia,IZURTZA,,50,3,182,144,7,137,,137,38,55,0,0,3,0,0,0,,75,1,,0,2,1,0,,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2291,1202,10,1192,6,1186,1089,738,0,0,71,1,1,2,,267,12,,0,65,26,0,,2,1
Bizkaia,KORTEZUBI,,907,4,343,252,2,250,2,248,91,149,0,0,1,1,0,1,,90,0,,0,5,0,0,,1,0
Álava,KRIPAN,,19,2,152,108,,108,1,107,44,70,,,3,1,0,0,0,22,0,,0,3,8,0,,0,0
Álava,KUARTANGO,,20,2,328,201,1,200,,200,127,81,,,5,4,0,1,0,85,5,,0,5,12,0,,2,0
Álava,LABASTIDA/BASTIDA,,28,2,1090,610,4,606,5,601,480,210,,,54,4,0,1,0,125,16,,1,36,149,0,,4,1
Álava,LAGRÁN,,30,2,139,95,,95,,95,44,37,,,10,1,0,0,0,22,1,,0,6,17,0,,1,0
Álava,LAGUARDIA,,31,2,1136,704,8,696,9,687,432,245,,,55,2,1,0,0,157,33,,0,29,159,0,,6,0
Álava,LANCIEGO/LANTZIEGO,,32,2,502,296,4,292,2,290,206,130,,,50,2,0,0,0,63,2,,0,14,26,0,,2,1
Bizkaia,LANESTOSA,,51,2,221,137,1,136,,136,84,78,0,0,9,0,0,0,,27,1,,0,15,5,0,,1,0
Álava,LANTARÓN,,902,2,715,374,13,361,5,356,341,131,,,39,5,1,0,0,71,12,,0,25,65,0,,6,1
Álava,LAPUEBLA DE LABARCA,,33,2,649,405,3,402,4,398,244,215,,,44,1,0,1,0,60,14,,0,9,49,0,,4,1
Bizkaia,LARRABETZU,,52,4,1577,1131,9,1122,14,1108,446,392,0,0,14,6,0,1,,619,7,,1,39,12,0,,17,0
Gipuzkoa,LARRAUL,,48,3,188,108,,108,1,107,80,25,,,7,0,0,3,,64,0,0,0,6,2,,0,0,0
Gipuzkoa,LASARTE-ORIA,,902,1,14371,7190,39,7151,67,7084,7181,1904,,,1821,48,2,16,,2015,132,4,3,634,436,,0,63,6
Álava,LAUDIO/LLODIO,,36,3,14703,8000,66,7934,70,7864,6703,3197,,,933,38,13,19,2,2395,147,,6,567,425,3,,105,14
Bizkaia,LAUKIZ,,53,4,935,611,6,605,8,597,324,357,0,0,36,2,0,2,,120,11,,0,10,53,0,,5,1
Gipuzkoa,LAZKAO,,49,3,4192,2395,14,2381,16,2365,1797,898,,,137,10,0,6,,1138,15,0,0,119,28,,0,12,2
Gipuzkoa,LEABURU,,50,3,277,170,2,168,5,163,107,60,,,3,0,0,0,,95,0,0,0,4,0,,0,1,0
Gipuzkoa,LEGAZPI,,51,3,6715,3920,29,3891,24,3867,2795,1447,,,430,11,0,5,,1536,23,0,2,243,112,,0,55,3
Gipuzkoa,LEGORRETA,,52,3,1044,662,3,659,4,655,382,248,,,26,1,1,2,,319,3,0,0,29,14,,0,11,1
Álava,LEGUTIO,,58,2,1425,753,4,749,9,740,672,260,,,72,3,0,4,0,311,9,,0,41,25,0,,13,2
Gipuzkoa,LEINTZ-GATZAGA,,68,4,177,123,,123,1,122,54,46,,,1,0,0,2,,66,1,0,0,3,0,,0,3,0
Bizkaia,LEIOA,,54,4,25141,13186,116,13070,120,12950,11955,5678,10,15,1865,101,18,30,,2346,305,,13,1299,1069,5,,175,21
Bizkaia,LEKEITIO,,57,4,5743,3848,8,3840,24,3816,1895,1693,0,1,64,7,1,5,,1877,4,,0,106,27,0,,31,0
Bizkaia,LEMOA,,55,3,2598,1556,28,1528,11,1517,1042,678,0,1,92,14,1,3,,591,13,,1,71,41,1,,9,1
Bizkaia,LEMOIZ,,56,4,990,666,4,662,3,659,324,336,0,1,11,2,1,0,,259,1,,0,37,6,0,,5,0
Álava,LEZA,,34,2,152,100,5,95,3,92,52,42,,,16,1,0,2,0,23,0,,0,5,2,0,,1,0
Bizkaia,LEZAMA,,81,4,1905,1291,18,1273,9,1264,614,776,1,0,51,4,1,5,,339,6,,0,55,14,0,,12,0
Gipuzkoa,LEZO,,53,2,4841,2482,10,2472,22,2450,2359,731,,,216,8,1,6,,1240,16,0,0,183,29,,0,18,2
Gipuzkoa,LIZARTZA,,54,3,465,292,,292,1,291,173,53,,,1,0,0,0,,230,0,0,0,5,0,,0,2,0
Bizkaia,LOIU,,903,4,1786,1162,11,1151,14,1137,624,753,1,1,55,9,0,3,,179,26,,0,46,61,0,,3,0
Bizkaia,MALLABIA,,58,3,939,586,3,583,10,573,353,215,0,0,32,2,0,1,,273,0,,0,29,7,0,,13,1
Bizkaia,MARKINA-XEMEIN,,60,4,3623,2235,16,2219,13,2206,1388,1060,0,0,36,5,3,3,,979,3,,0,73,21,0,,22,1
Bizkaia,MARURI-JATABE,,61,4,790,556,4,552,3,549,234,292,0,0,19,3,0,4,,169,6,,0,28,15,0,,13,0
Bizkaia,MAÑARIA,,59,3,405,290,3,287,2,285,115,140,0,1,7,0,0,0,,125,3,,0,1,7,0,,1,0
Gipuzkoa,MENDARO,,901,4,1401,786,15,771,11,760,615,351,,,54,3,1,1,,271,5,1,0,55,12,,0,3,3
Bizkaia,MENDATA,,62,4,302,235,,235,1,234,67,122,0,0,0,1,0,0,,101,0,,0,9,0,0,,1,0
Bizkaia,MENDEXA,,63,4,347,249,3,246,1,245,98,116,0,0,2,1,1,0,,110,0,,0,11,0,0,,4,0
Bizkaia,MEÑAKA,,64,4,606,422,5,417,2,415,184,193,0,0,5,1,0,1,,195,2,,0,13,2,0,,3,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,184,117,6,111,2,109,67,40,,,23,0,0,0,0,24,4,,0,7,11,0,,0,0
Bizkaia,MORGA,,66,4,345,244,,244,3,241,101,149,0,0,1,1,1,0,,78,0,,0,4,2,0,,5,0
Bizkaia,MUNDAKA,,68,4,1520,1043,15,1028,12,1016,477,583,0,1,17,2,0,3,,340,4,,1,42,11,1,,10,1
Bizkaia,MUNGIA,,69,4,13160,7463,59,7404,73,7331,5697,3947,1,4,449,30,12,16,,1857,109,,1,452,367,10,,71,5
Álava,MUNICIPIO CERA ARABA,,999,99,7260,252,1,251,2,249,7008,63,,,36,0,2,0,3,47,12,,0,38,29,0,,18,1
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,40497,994,2,992,10,982,39503,309,1,3,158,14,3,0,,180,30,,2,113,127,0,,40,2
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,28241,1398,13,1385,13,1372,26843,356,,,193,16,4,2,,452,37,2,0,138,120,,2,44,6
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,399,256,1,255,1,254,143,99,0,1,2,2,0,1,,138,1,,0,9,0,0,,1,0
Bizkaia,MURUETA,,908,4,257,201,,201,3,198,56,108,0,0,2,1,0,0,,76,0,,0,8,1,1,,1,0
Bizkaia,MUSKIZ,,71,2,6010,3508,47,3461,34,3427,2502,1486,2,4,664,21,6,5,,767,42,,3,313,75,5,,30,4
Gipuzkoa,MUTILOA,,57,3,204,130,1,129,2,127,74,36,,,2,0,0,0,,81,0,0,0,5,0,,0,3,0
Gipuzkoa,MUTRIKU,,56,4,4057,2465,19,2446,32,2414,1592,1019,,,64,7,0,15,,1142,5,2,1,84,43,,0,29,3
Bizkaia,MUXIKA,,67,4,1136,771,4,767,3,764,365,331,0,0,11,2,0,3,,374,1,,0,25,7,0,,10,0
Bizkaia,NABARNIZ,,909,4,197,160,,160,3,157,37,53,0,0,0,0,0,0,,98,0,,0,6,0,0,,0,0
Álava,NAVARIDAS,,41,2,149,88,1,87,3,84,61,30,,,4,0,0,0,0,9,5,,0,2,32,0,,2,0
Gipuzkoa,OIARTZUN,,63,2,8041,4763,27,4736,45,4691,3278,1227,,,166,13,3,13,,2916,14,0,2,240,52,,1,38,6
Álava,OKONDO,,42,3,910,558,8,550,12,538,352,270,,,24,1,0,0,2,181,6,,1,36,16,1,,0,0
Gipuzkoa,OLABERRIA,,58,3,735,409,1,408,4,404,326,169,,,48,2,0,2,,139,2,0,0,26,12,,0,4,0
Bizkaia,ONDARROA,,73,4,6778,4130,22,4108,26,4082,2648,1580,0,1,75,11,0,5,,2158,25,,0,147,66,0,,13,1
