TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,HB,EB-B,EKA,PH,ARM-ADE,FE-JONS,EK-PCPE,CIU,BNG,E.U.,POR-LIA,PLN-LNA,CNPS,PNV...(E94),PAS,EA...(E94),FEI,GV,URCL,PREX,CEC,CTC,JYB,FORO Y CDS,ADN,CPNT,PREPAL,PA-PAP,AG,GPOR-PST
Bizkaia,IZURTZA,,50,3,225,161,5,156,2,154,64,1,6,42,4,0,0,0,0,0,0,0,0,0,0,0,96,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2609,1102,4,1098,7,1091,1507,171,135,132,28,0,0,1,0,1,0,0,2,1,2,0,552,0,48,0,6,1,0,1,0,2,4,0,4,0,0,0,0
Bizkaia,KORTEZUBI,,907,4,323,246,2,244,1,243,77,6,6,50,4,0,0,0,0,0,0,0,0,0,0,0,161,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Álava,KRIPAN,,19,2,174,115,,115,,115,59,1,20,2,2,0,0,1,0,0,0,0,0,0,0,0,82,0,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0
Álava,KUARTANGO,,20,2,325,159,1,158,2,156,166,9,19,37,10,0,0,0,0,0,0,0,0,0,0,0,79,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,LABASTIDA/BASTIDA,,28,2,819,512,1,511,4,507,307,74,196,69,60,0,0,1,0,0,0,0,0,0,0,1,83,0,8,0,2,0,2,1,2,0,6,0,2,0,0,0,0
Álava,LAGRÁN,,30,2,175,106,2,104,3,101,69,15,34,1,7,0,0,0,0,0,0,0,1,0,0,0,38,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Álava,LAGUARDIA,,31,2,1171,732,9,723,6,717,439,101,293,22,37,4,0,2,0,2,0,0,0,0,0,1,203,0,36,0,3,0,1,1,2,1,7,0,1,0,0,0,0
Álava,LANCIEGO/LANTZIEGO,,32,2,539,320,3,317,2,315,219,71,81,11,9,0,0,0,0,1,0,0,0,0,0,0,138,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,LANESTOSA,,51,2,251,185,1,184,2,182,66,32,20,12,10,0,0,2,0,0,0,0,0,0,0,0,104,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Álava,LANTARÓN,,902,2,710,409,1,408,5,403,301,36,144,20,44,1,1,6,0,2,0,0,0,0,0,1,130,0,6,0,1,0,0,0,0,1,9,1,0,0,0,0,0
Álava,LAPUEBLA DE LABARCA,,33,2,676,513,4,509,3,506,163,51,112,9,15,1,0,0,0,0,0,0,0,0,0,1,291,0,19,0,3,0,0,3,0,0,0,0,1,0,0,0,0
Bizkaia,LARRABETZU,,52,4,1249,879,7,872,2,870,370,30,38,275,23,0,0,1,0,0,0,0,1,1,0,0,469,0,28,0,1,0,0,0,0,0,2,0,1,0,0,0,0
Gipuzkoa,LARRAUL,,48,3,116,49,,49,,49,67,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,LASARTE-ORIA,,902,1,14509,7237,33,7204,175,7029,7272,2390,883,1340,798,3,4,21,0,13,1,4,5,2,2,0,757,4,667,1,73,1,0,18,0,1,25,2,10,2,2,0,0
Álava,LAUDIO/LLODIO,,36,3,16642,8803,73,8730,142,8588,7839,1720,1622,1610,793,0,4,23,1,7,4,2,0,5,6,1,2056,1,567,1,82,6,2,7,3,3,38,0,7,6,5,3,3
Bizkaia,LAUKIZ,,53,4,789,484,5,479,5,474,305,9,78,41,3,0,0,2,0,0,0,0,0,0,0,0,267,0,72,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,LAZKAO,,49,3,3935,2233,71,2219,50,2112,1702,289,147,688,153,0,0,2,0,0,1,3,1,0,2,0,568,0,240,0,8,0,0,6,0,0,4,0,0,0,0,0,0
Gipuzkoa,LEABURU,,50,3,463,255,2,253,1,252,208,3,12,166,11,0,0,0,0,0,0,0,0,0,0,0,33,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gipuzkoa,LEGAZPI,,51,3,7970,4165,16,4149,93,4056,3805,800,309,816,329,2,4,2,0,2,2,3,2,4,5,0,909,1,828,0,22,1,0,3,0,0,3,0,8,0,0,1,0
Gipuzkoa,LEGORRETA,,52,3,1193,703,12,691,25,666,490,85,60,188,30,0,0,0,1,0,0,2,0,0,0,0,236,0,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Álava,LEGUTIO,,58,2,1046,540,3,537,12,525,506,50,40,94,46,1,0,0,1,0,0,0,0,0,1,0,187,0,98,1,3,0,0,2,0,0,1,0,0,0,0,0,0
Gipuzkoa,LEINTZ-GATZAGA,,68,4,200,130,,130,5,125,70,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,50,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bizkaia,LEIOA,,54,4,19602,10365,47,10318,245,10073,9237,1689,1534,1208,1381,3,7,27,4,24,0,7,1,6,9,4,3475,2,476,0,124,4,2,15,0,4,49,1,9,4,0,2,2
Bizkaia,LEKEITIO,,57,4,6247,3991,25,3966,48,3918,2256,85,96,1326,57,0,0,1,0,0,0,0,0,0,0,0,1479,0,863,0,5,0,0,4,0,0,0,0,2,0,0,0,0
Bizkaia,LEMOA,,55,3,2124,1657,20,1637,13,1624,467,73,91,219,38,1,0,0,0,0,0,1,0,0,0,0,904,0,285,0,8,1,0,0,0,0,0,0,2,1,0,0,0
Bizkaia,LEMOIZ,,56,4,681,404,5,399,5,394,277,14,23,86,12,0,0,0,0,0,0,0,3,0,0,0,228,0,25,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Álava,LEZA,,34,2,179,106,2,104,1,103,73,20,15,6,3,0,0,0,0,0,0,0,0,0,0,0,35,0,22,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Bizkaia,LEZAMA,,81,4,1621,1053,5,1048,22,1026,568,21,71,171,34,0,1,0,0,0,1,0,0,0,2,0,674,0,45,0,3,0,0,0,0,0,3,0,0,0,0,0,0
Gipuzkoa,LEZO,,53,2,4329,2045,15,2030,31,1999,2284,284,125,918,146,2,1,2,0,3,0,3,0,0,0,0,222,0,262,0,16,0,0,1,0,0,7,2,2,0,0,3,0
Gipuzkoa,LIZARTZA,,54,3,581,429,2,427,6,421,152,1,10,245,2,0,0,0,0,0,0,0,0,0,0,0,47,0,114,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,LOIU,,903,4,1505,992,3,989,10,979,513,22,174,100,20,0,1,3,0,0,1,0,0,0,0,0,527,0,119,0,5,0,0,1,0,0,6,0,0,0,0,0,0
Bizkaia,MALLABIA,,58,3,911,573,1,572,4,568,338,68,27,248,9,3,0,0,0,0,0,0,0,0,0,0,184,0,21,0,7,0,0,0,0,0,1,0,0,0,0,0,0
Bizkaia,MARKINA-XEMEIN,,60,4,3915,2086,18,2068,24,2044,1829,73,137,583,44,0,1,0,0,3,1,2,1,0,1,0,997,0,184,0,9,1,0,3,2,0,0,0,0,0,1,0,1
Bizkaia,MARURI-JATABE,,61,4,445,259,3,256,3,253,186,7,25,25,6,0,0,0,0,0,1,0,0,0,0,0,144,0,43,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Bizkaia,MAÑARIA,,59,3,411,277,5,272,4,268,134,1,15,69,3,0,0,0,0,0,0,0,0,0,0,0,168,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,MENDARO,,901,4,1159,645,,645,11,634,514,77,24,139,11,1,0,0,0,0,1,0,0,1,0,0,272,0,101,0,4,0,0,1,0,0,0,0,2,0,0,0,0
Bizkaia,MENDATA,,62,4,294,220,,220,3,217,74,4,9,45,0,1,0,0,0,0,0,0,0,0,0,0,130,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,MENDEXA,,63,4,304,215,2,213,,213,89,0,5,83,0,0,0,0,0,0,0,0,0,0,0,0,114,0,8,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Bizkaia,MEÑAKA,,64,4,374,268,4,264,1,263,106,2,11,43,0,0,0,0,0,0,0,0,0,0,0,0,117,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,251,177,,177,2,175,74,58,47,2,6,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bizkaia,MORGA,,66,4,286,182,,182,3,179,104,0,11,20,0,0,0,0,0,0,0,0,0,0,1,0,140,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,MUNDAKA,,68,4,1432,1066,16,1050,12,1038,366,17,40,214,19,0,0,2,0,0,0,0,1,0,0,0,598,0,141,0,3,0,0,0,0,0,0,0,1,2,0,0,0
Bizkaia,MUNGIA,,69,4,9829,5175,27,5148,76,5072,4654,367,524,725,250,0,1,4,0,2,1,0,0,1,1,1,2779,0,365,0,19,0,0,7,1,2,9,0,9,3,1,0,0
Álava,MUNICIPIO CERA ARABA,,999,99,1176,368,1,367,1,366,808,99,109,22,22,0,0,1,3,1,1,1,0,0,0,3,63,0,20,0,12,0,0,0,1,0,5,3,0,0,0,0,0
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,7513,1990,55,1935,5,1930,5523,606,279,193,119,1,4,9,8,21,1,1,1,1,3,7,496,0,104,3,37,3,0,7,2,5,6,3,8,0,2,0,0
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,5668,1598,24,1574,1,1573,4070,495,259,179,95,5,5,6,3,10,2,0,6,0,2,13,296,0,130,4,29,4,1,4,3,3,4,5,9,0,0,1,0
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,376,254,2,252,8,244,122,0,6,73,1,0,0,1,0,0,0,0,0,0,0,0,145,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bizkaia,MURUETA,,908,4,170,111,,111,4,107,59,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,65,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bizkaia,MUSKIZ,,71,2,5218,3291,11,3280,68,3212,1927,787,242,323,288,0,0,5,2,2,1,0,0,1,4,1,1311,0,217,0,17,0,1,2,0,0,5,0,1,0,0,0,2
Gipuzkoa,MUTILOA,,57,3,149,59,,59,,59,90,0,5,25,1,0,0,0,0,0,0,1,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,MUTRIKU,,56,4,3829,2458,20,2438,32,2406,1371,80,170,769,42,0,2,2,0,0,0,0,1,1,2,0,1149,0,175,0,7,0,0,1,0,0,4,0,0,0,1,0,0
Bizkaia,MUXIKA,,67,4,1217,885,5,880,10,870,332,6,26,298,9,0,0,0,0,0,0,0,0,0,1,0,418,0,111,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,NABARNIZ,,909,4,222,157,,157,6,151,65,0,0,81,2,0,0,0,0,0,0,0,0,0,0,0,60,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,NAVARIDAS,,41,2,185,131,3,128,2,126,54,5,65,2,8,0,0,0,0,0,0,0,0,0,0,0,31,0,10,0,1,0,0,0,0,0,1,3,0,0,0,0,0
Gipuzkoa,OIARTZUN,,63,2,6860,3892,41,3851,45,3806,2968,153,181,1896,114,3,0,2,0,2,0,2,0,1,4,1,691,0,728,0,11,0,0,10,0,0,5,0,2,0,0,0,0
Álava,OKONDO,,42,3,636,468,8,460,2,458,168,18,72,77,6,0,1,0,0,0,0,0,0,0,0,0,187,0,91,0,3,0,0,1,0,0,1,0,1,0,0,0,0
Gipuzkoa,OLABERRIA,,58,3,948,464,,464,9,455,484,87,68,97,40,1,0,1,0,0,0,0,0,1,0,0,94,0,55,0,5,0,1,2,0,0,2,0,1,0,0,0,0
Bizkaia,ONDARROA,,73,4,8535,5150,50,5100,35,5065,3385,157,373,2063,94,4,0,1,0,0,0,4,0,0,3,0,1893,0,451,0,6,1,1,2,11,0,1,0,0,0,0,0,0
Gipuzkoa,ORDIZIA,,76,3,7522,4165,24,4141,108,4033,3357,597,452,1156,399,3,0,3,0,2,0,4,0,0,2,0,851,0,541,0,16,0,0,3,0,0,2,0,0,0,0,1,1
Gipuzkoa,ORENDAIN,,905,3,136,88,2,86,1,85,48,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,OREXA,,60,3,70,52,,52,1,51,18,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ORIO,,61,4,3388,1639,9,1630,36,1594,1749,133,105,449,50,0,0,2,0,3,1,0,0,1,0,0,528,0,308,0,8,0,1,2,0,1,0,0,2,0,0,0,0
Gipuzkoa,ORMAIZTEGI,,62,3,947,603,7,596,36,560,344,15,11,162,13,0,0,0,0,0,0,0,0,0,0,0,224,0,132,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Bizkaia,OROZKO,,75,3,1643,870,14,856,10,846,773,40,113,143,8,0,0,3,1,0,0,0,0,0,0,0,488,0,42,0,2,0,0,1,1,1,1,1,1,0,0,0,0
Bizkaia,ORTUELLA,,83,2,7057,3958,25,3933,67,3866,3099,1264,342,396,710,0,0,9,0,4,0,1,2,3,2,1,858,1,224,0,30,2,0,3,0,2,5,3,1,1,2,0,0
Bizkaia,OTXANDIO,,72,3,909,590,2,588,3,585,319,16,42,183,13,0,0,1,0,0,0,0,0,0,1,0,291,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,OYÓN-OION,,43,2,1874,1053,3,1050,9,1041,821,220,397,92,105,0,0,2,0,1,0,0,0,1,0,0,180,0,30,0,5,0,0,3,0,0,3,0,1,0,1,0,0
Gipuzkoa,OÑATI,,59,4,8558,4287,14,4273,56,4217,4271,338,316,1147,130,0,1,1,2,2,2,2,5,2,0,0,1605,1,634,0,15,0,1,4,0,0,6,0,1,1,1,0,0
Gipuzkoa,PASAIA,,64,2,15203,6836,32,6804,141,6663,8367,1380,647,1931,655,3,3,17,1,11,2,15,1,2,7,2,912,0,974,4,52,3,0,14,2,2,11,0,7,0,2,2,1
Álava,PEÑACERRADA-URIZAHARRA,,44,2,224,138,1,137,,137,86,19,41,9,8,0,0,0,0,0,0,0,0,1,0,0,57,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bizkaia,PLENTZIA,,77,4,2402,1430,17,1413,20,1393,972,74,151,221,44,0,0,3,0,0,0,0,1,0,1,0,748,0,129,0,8,1,1,0,3,0,6,0,2,0,0,0,0
Bizkaia,PORTUGALETE,,78,2,46002,23996,127,23869,459,23410,22006,6689,4492,2083,3654,8,14,72,10,39,11,38,16,12,18,8,4908,93,810,5,202,4,3,41,7,9,117,1,28,8,1,4,5
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,355,208,1,207,2,205,147,31,82,10,23,1,0,0,0,0,0,0,0,0,1,0,53,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0
Álava,SAMANIEGO,,52,2,236,150,4,146,1,145,86,42,20,17,11,0,1,0,0,0,0,0,0,0,0,0,48,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,590,182,5,177,1,176,408,13,46,20,13,0,0,0,0,0,0,0,0,0,0,0,77,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0
Bizkaia,SANTURTZI,,82,2,40870,20968,156,20813,291,20521,19902,5541,3142,2674,3285,5,9,62,7,34,4,26,16,16,13,5,4605,7,731,11,155,11,5,38,6,3,65,7,19,4,5,5,5
Gipuzkoa,SEGURA,,70,3,1014,692,8,684,9,675,322,8,6,225,12,0,0,0,0,1,0,0,0,0,0,0,152,0,270,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bizkaia,SESTAO,,84,2,29476,14893,106,14787,216,14571,14583,4600,2375,1359,2798,3,27,43,3,22,2,28,6,17,4,2,2583,0,500,2,103,1,0,25,1,4,48,1,6,5,2,1,0
Bizkaia,SONDIKA,,904,4,2994,1940,45,1895,33,1862,1054,159,177,220,71,0,1,4,0,5,0,0,1,2,1,0,1064,2,128,0,16,0,0,4,0,0,5,0,2,0,0,0,0
Bizkaia,SOPELA,,85,4,6837,3550,23,3527,73,3454,3287,362,335,768,350,3,1,10,0,10,2,2,0,0,7,1,1317,2,219,1,31,0,0,8,2,1,14,0,7,0,0,1,0
Bizkaia,SOPUERTA,,86,2,1827,1045,6,1039,20,1019,782,188,115,103,69,0,0,1,0,3,0,0,0,0,0,0,352,0,179,0,6,1,0,0,0,1,0,0,1,0,0,0,0
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3854,2246,21,2225,27,2198,1608,352,254,529,95,28,0,2,0,3,0,0,2,0,0,0,717,0,196,1,15,0,0,4,0,0,0,0,0,0,0,0,0
Bizkaia,SUKARRIETA,,76,4,263,175,3,172,2,170,88,9,6,30,0,1,1,1,0,0,0,0,0,0,1,0,87,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,TOLOSA,,71,3,14888,7000,25,6975,164,6811,7888,828,944,1832,385,35,3,15,1,8,3,3,2,1,5,6,1384,0,1273,1,32,0,2,6,12,4,9,1,15,0,0,0,1
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,443,286,6,280,2,278,157,38,58,18,4,0,0,0,0,0,0,0,0,0,1,0,142,0,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Bizkaia,UBIDE,,88,3,139,114,2,112,,112,25,0,13,47,1,0,0,0,0,0,0,0,0,0,0,0,47,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3342,1903,13,1890,16,1874,1439,296,176,474,87,2,0,2,1,2,1,0,0,0,1,0,710,0,111,0,7,0,0,2,1,0,0,0,0,0,0,0,1
Bizkaia,URDULIZ,,89,4,2150,1299,5,1294,13,1281,851,120,93,260,58,0,1,0,1,4,0,0,0,0,1,2,634,0,84,0,6,0,2,2,1,2,6,0,3,0,1,0,0
Bizkaia,URDUÑA/ORDUÑA,,74,3,3307,2000,30,1970,36,1934,1307,179,299,326,114,1,0,9,2,3,0,5,0,2,0,1,812,0,131,0,15,0,0,2,23,0,5,0,3,1,0,0,1
Álava,URKABUSTAIZ,,54,2,717,394,7,387,5,382,323,16,92,105,33,0,0,0,0,0,1,0,1,0,0,0,102,0,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Gipuzkoa,URNIETA,,72,1,3673,1799,16,1783,48,1735,1874,381,113,406,111,0,0,3,0,2,2,1,1,2,1,0,538,0,144,0,13,1,1,2,0,0,11,1,1,0,0,0,0
Gipuzkoa,URRETXU,,77,3,5055,2845,21,2824,67,2757,2210,580,190,501,257,0,5,7,1,1,0,2,1,0,3,0,540,0,638,0,14,0,1,6,0,1,4,1,4,0,0,0,0
Gipuzkoa,USURBIL,,73,1,4296,2478,30,2448,23,2425,1818,304,143,1102,137,2,0,1,0,2,0,3,9,1,3,0,377,1,314,0,12,0,1,1,0,1,7,0,1,1,0,1,1
Álava,VALDEGOVÍA/GAUBEA,,55,2,795,434,1,433,8,425,361,35,139,37,20,0,0,2,0,0,0,0,0,3,0,1,167,0,10,0,2,0,0,0,0,0,7,1,1,0,0,0,0
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10793,5882,31,5851,87,5764,4911,1688,533,738,860,0,0,13,2,4,0,6,3,3,4,0,1642,2,189,0,49,1,1,6,0,1,16,1,2,0,0,0,0
Gipuzkoa,VILLABONA,,75,3,4235,2121,13,2108,47,2061,2114,265,152,751,143,4,0,4,1,6,0,1,1,3,1,0,288,1,406,2,18,0,1,5,2,0,1,0,4,0,1,0,0
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,295,238,4,234,1,233,57,9,55,32,2,0,0,0,0,0,0,0,0,0,0,0,117,0,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Álava,VITORIA-GASTEIZ,,59,1,170091,83148,633,82515,2027,80488,86943,17600,24057,6897,11721,35,56,416,33,171,43,86,97,70,98,43,12554,33,4013,19,1003,39,41,205,24,48,834,26,127,41,19,24,15
Álava,YÉCORA/IEKORA,,60,2,210,150,2,148,2,146,60,21,59,2,4,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
Bizkaia,ZALDIBAR,,95,3,2439,1266,19,1247,18,1229,1173,233,199,232,103,0,0,3,1,6,0,1,0,0,1,0,356,1,79,0,5,0,0,1,0,0,2,0,1,2,0,1,2
Gipuzkoa,ZALDIBIA,,78,3,1274,772,1,771,31,740,502,36,37,460,29,0,0,0,0,2,0,0,0,0,0,0,83,0,85,0,7,0,1,0,0,0,0,0,0,0,0,0,0
Álava,ZALDUONDO,,61,2,109,68,,68,4,64,41,5,6,17,13,0,0,1,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bizkaia,ZALLA,,96,2,5927,3922,80,3842,54,3788,2005,551,283,288,222,2,2,14,1,3,0,1,1,2,4,3,2068,0,297,1,17,2,0,6,2,2,8,0,6,1,0,0,1
Álava,ZAMBRANA,,62,2,292,180,1,179,4,175,112,13,48,4,13,0,1,0,0,0,0,0,0,0,0,0,90,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ZAMUDIO,,905,4,2554,1610,24,1586,21,1565,944,166,104,323,53,0,1,2,0,1,1,3,0,0,3,1,828,0,55,0,8,0,1,5,0,0,4,0,4,0,1,0,1
Bizkaia,ZARATAMO,,97,3,1297,847,3,844,11,833,450,113,45,186,63,0,0,2,0,1,0,1,0,0,0,0,293,0,124,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ZARAUTZ,,79,4,14346,7512,46,7466,191,7275,6834,944,957,1439,341,2,2,6,1,5,2,3,1,7,5,0,1564,0,1871,0,80,0,1,8,12,3,11,1,7,0,0,1,1
Bizkaia,ZEANURI,,24,3,988,675,4,671,6,665,313,3,45,108,3,0,0,0,0,0,0,0,0,0,0,0,327,0,173,0,4,0,0,1,0,0,1,0,0,0,0,0,0
Bizkaia,ZEBERIO,,25,3,809,547,3,544,4,540,262,8,17,130,10,0,0,0,0,0,0,0,0,1,0,0,354,0,16,0,0,1,0,2,0,1,0,0,0,0,0,0,0
Gipuzkoa,ZEGAMA,,25,3,1151,673,8,665,10,655,478,9,29,243,12,0,0,0,0,0,0,0,0,0,1,1,87,0,271,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Gipuzkoa,ZERAIN,,26,3,186,107,,107,2,105,79,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ZESTOA,,27,4,2753,1696,19,1677,13,1664,1057,75,42,605,32,0,0,2,0,0,0,0,0,0,2,0,461,0,433,1,5,0,0,4,0,0,0,0,0,0,1,1,0
Álava,ZIGOITIA,,18,2,775,365,1,364,9,355,410,17,54,83,42,0,0,0,0,2,0,0,0,0,0,0,98,0,50,0,6,0,0,0,0,0,3,0,0,0,0,0,0
Gipuzkoa,ZIZURKIL,,28,3,2100,1072,11,1061,16,1045,1028,179,81,358,74,0,1,5,0,0,0,0,1,0,0,0,183,0,148,0,10,0,1,1,0,0,1,0,2,0,0,0,0
Álava,ZUIA,,63,2,1144,637,10,627,15,612,507,30,156,87,29,0,1,0,2,1,0,0,1,0,0,1,245,0,45,1,4,1,0,2,0,2,1,0,3,0,0,0,0
Gipuzkoa,ZUMAIA,,81,4,6370,3373,23,3350,65,3285,2997,579,234,770,151,2,0,1,1,1,0,0,0,2,2,0,1037,0,475,0,15,1,1,4,0,0,4,1,3,0,0,1,0
Gipuzkoa,ZUMARRAGA,,80,3,8806,4835,37,4798,95,4703,3971,1321,363,596,555,4,3,1,1,9,3,0,4,5,4,1,973,0,784,0,35,3,4,10,2,4,10,0,4,1,2,0,1
