TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,AR,PH,EK-PCPE,POSI,PSE-EE/PSOE,BERDEAK-LV,PLN-LNA,UC-CDS,PKD,ES2000,FE,FEI-FE 2000,LI (LIT-CI)
Gipuzkoa,ARETXABALETA,,13,4,5128,2537,37,2500,42,2458,2591,935,410,434,121,1,,9,,1,530,15,0,0,,1,0,0,1
Álava,ARMIÑÓN,,6,2,134,116,3,113,5,108,18,23,64,2,2,,0,0,,0,17,0,0,0,,0,0,,0
Álava,ARRAIA-MAEZTU,,37,2,638,449,6,443,10,433,189,140,188,25,14,,0,1,,0,60,4,0,1,,0,0,,0
Bizkaia,ARRANKUDIAGA,,9,3,663,405,4,401,5,396,258,321,40,14,3,0,0,0,0,1,16,0,0,0,1,0,0,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20209,10706,82,10624,219,10405,9503,3009,2178,1485,738,4,,17,,16,2867,63,13,7,,2,1,1,4
Bizkaia,ARRATZU,,914,4,331,142,,142,2,140,189,116,4,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,635,431,8,423,14,409,204,140,157,15,18,,0,0,,1,73,2,3,0,,0,0,,0
Bizkaia,ARRIETA,,10,4,435,280,5,275,1,274,155,224,20,20,5,0,0,0,0,0,2,3,0,0,0,0,0,0,0
Bizkaia,ARRIGORRIAGA,,11,3,8609,5597,73,5524,150,5374,3012,2237,1138,225,314,0,4,12,5,5,1350,36,7,3,31,3,0,3,1
Bizkaia,ARTEA,,23,3,563,370,6,364,8,356,193,209,48,81,4,0,0,0,0,0,10,4,0,0,0,0,0,0,0
Bizkaia,ARTZENTALES,,8,2,607,413,4,409,9,400,194,307,48,23,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Álava,ARTZINIEGA,,4,3,1105,843,20,823,15,808,262,359,256,40,36,,0,2,,1,96,6,9,3,,0,0,,0
Álava,ASPARRENA,,9,2,1354,784,16,768,24,744,570,298,177,129,31,,0,3,,3,88,10,3,0,,0,0,,2
Gipuzkoa,ASTEASU,,14,3,977,281,2,279,10,269,696,87,30,124,8,0,,1,,0,17,1,0,0,,1,0,0,0
Gipuzkoa,ASTIGARRAGA,,903,1,2754,1004,5,999,33,966,1750,321,189,271,41,0,,2,,2,128,6,6,0,,0,0,0,0
Gipuzkoa,ATAUN,,15,3,1384,518,2,516,7,509,866,327,4,165,4,0,,0,,0,9,0,0,0,,0,0,0,0
Bizkaia,ATXONDO,,91,3,1178,674,14,660,7,653,504,421,100,22,9,0,2,1,2,1,85,7,0,0,3,0,0,0,0
Bizkaia,AULESTI,,70,4,556,151,,151,6,145,405,123,10,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Álava,AYALA/AIARA,,10,3,1768,1313,26,1287,28,1259,455,658,359,130,29,,1,3,,1,70,4,3,0,,0,1,,0
Gipuzkoa,AZKOITIA,,17,4,8566,5023,37,4986,84,4902,3543,2755,799,474,126,9,,9,,0,688,28,6,0,,4,3,1,0
Gipuzkoa,AZPEITIA,,18,4,11243,5789,58,5731,111,5620,5454,3225,618,1175,90,8,,7,,4,466,15,9,0,,1,0,1,1
Álava,AÑANA,,49,2,177,138,,138,1,137,39,56,55,4,6,,0,0,,1,14,0,1,0,,0,0,,0
Bizkaia,BAKIO,,12,4,1420,1021,18,1003,27,976,399,755,63,96,22,0,0,0,0,2,31,2,0,0,4,1,0,0,0
Gipuzkoa,BALIARRAIN,,904,3,79,10,,10,,10,69,5,1,3,1,0,,0,,0,0,0,0,0,,0,0,0,0
Bizkaia,BALMASEDA,,90,2,6147,4723,138,4585,98,4487,1424,1884,886,289,142,1,4,9,1,5,1217,24,7,5,5,0,2,1,5
Bizkaia,BARAKALDO,,13,2,84598,58103,657,57446,1537,55909,26495,11501,17479,1754,4404,15,25,177,78,83,19280,602,119,38,283,12,27,16,16
Bizkaia,BARRIKA,,14,4,960,594,3,591,9,582,366,372,101,45,13,0,0,2,0,0,42,5,0,0,1,0,0,0,1
Álava,BARRUNDIA,,13,2,541,311,4,307,12,295,230,129,90,21,18,,2,0,,0,33,0,1,1,,0,0,,0
Bizkaia,BASAURI,,15,3,40845,27854,347,27507,690,26817,12991,8006,7324,808,1710,6,12,127,17,30,8324,249,41,18,105,8,10,8,14
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,286,244,7,237,8,229,42,75,125,0,1,,0,0,,28,0,0,0,0,,0,0,,0
Gipuzkoa,BEASAIN,,19,3,10085,6115,75,6040,145,5895,3970,2147,1152,772,266,3,,18,,5,1438,62,19,2,,3,3,2,3
Bizkaia,BEDIA,,92,3,823,600,16,584,5,579,223,420,63,22,22,0,0,0,0,0,49,0,0,1,1,1,0,0,0
Gipuzkoa,BEIZAMA,,20,4,142,54,,54,,54,88,47,1,6,0,0,,0,,0,0,0,0,0,,0,0,0,0
Gipuzkoa,BELAUNTZA,,21,3,276,65,1,64,1,63,211,37,4,11,0,0,,0,,0,11,0,0,0,,0,0,0,0
Bizkaia,BERANGO,,16,4,4073,2540,21,2519,74,2445,1533,1043,541,216,131,0,0,7,1,0,474,18,1,2,11,0,0,0,0
Álava,BERANTEVILLA,,14,2,398,320,1,319,10,309,78,115,141,4,15,,0,2,,0,22,9,1,0,,0,0,,0
Gipuzkoa,BERASTEGI,,22,3,792,321,4,317,12,305,471,162,17,113,7,0,,0,,0,5,0,0,0,,0,0,0,1
Gipuzkoa,BERGARA,,74,4,12789,6287,35,6252,150,6102,6502,2829,983,997,258,1,,6,,5,990,19,7,0,,4,0,0,3
Bizkaia,BERMEO,,17,4,14566,8633,78,8555,91,8464,5933,4409,633,2422,143,1,0,10,2,1,769,30,11,1,14,4,7,3,4
Álava,BERNEDO,,16,2,510,325,4,321,3,318,185,98,185,10,4,,0,0,,1,20,0,0,0,,0,0,,0
Bizkaia,BERRIATUA,,18,4,815,350,1,349,7,342,465,282,17,30,3,0,0,0,0,0,7,2,0,0,1,0,0,0,0
Bizkaia,BERRIZ,,19,3,3480,2156,40,2116,20,2096,1324,956,439,127,109,0,0,4,0,5,440,8,4,0,3,0,1,0,0
Gipuzkoa,BERROBI,,23,3,454,167,2,165,4,161,287,79,40,26,2,1,,0,,0,11,1,0,0,,1,0,0,0
Gipuzkoa,BIDANIA-GOIATZ,,24,4,355,175,,175,2,173,180,61,5,106,0,0,,0,,0,1,0,0,0,,0,0,0,0
Bizkaia,BILBAO,,20,1,304061,211914,1877,210037,6358,203679,92147,63493,69648,7705,12243,71,127,524,163,199,45601,2006,355,151,1126,75,80,66,46
Bizkaia,BUSTURIA,,21,4,1489,899,6,893,21,872,590,512,101,139,16,0,0,1,0,1,97,4,0,0,1,0,0,0,0
Álava,CAMPEZO/KANPEZU,,17,2,928,663,15,648,16,632,265,239,256,32,22,,0,0,,1,76,2,2,1,,0,1,,0
Gipuzkoa,DEBA,,29,4,4236,2345,20,2325,65,2260,1891,864,272,747,76,1,,8,,0,273,16,0,0,,1,2,0,0
Bizkaia,DERIO,,901,4,4068,2968,42,2926,68,2858,1100,1069,571,177,135,2,3,7,0,2,848,9,11,2,14,6,2,0,0
Bizkaia,DIMA,,26,3,920,378,3,375,5,370,542,291,31,41,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,153727,97168,746,96422,4528,91894,56559,19680,31269,12504,4668,54,,299,,78,21981,996,203,56,,22,22,27,35
Bizkaia,DURANGO,,27,3,20499,13225,151,13074,305,12769,7274,5689,3281,677,672,3,5,38,11,13,2223,96,16,6,24,8,3,2,2
Bizkaia,EA,,28,4,733,435,3,432,7,425,298,320,22,72,2,0,0,0,0,0,8,0,0,0,1,0,0,0,0
Gipuzkoa,EIBAR,,30,4,25134,15741,109,15632,491,15141,9393,4324,4018,1548,602,6,,31,,13,4457,96,24,6,,8,3,2,3
Bizkaia,ELANTXOBE,,31,4,414,263,,263,,263,151,220,7,29,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0
Álava,ELBURGO/BURGELU,,21,2,263,182,4,178,2,176,81,62,74,10,8,,0,0,,0,15,7,0,0,,0,0,,0
Álava,ELCIEGO,,22,2,800,660,25,635,5,630,140,62,270,56,24,,0,2,,0,208,6,1,0,,0,1,,0
Gipuzkoa,ELDUAIN,,31,3,195,69,1,68,1,67,126,36,5,24,0,0,,0,,0,2,0,0,0,,0,0,0,0
Gipuzkoa,ELGETA,,33,4,822,438,2,436,6,430,384,281,44,69,10,0,,0,,0,23,3,0,0,,0,0,0,0
Gipuzkoa,ELGOIBAR,,32,4,9254,5850,64,5786,127,5659,3404,2514,1222,662,180,2,,10,,8,1013,36,8,0,,2,2,0,0
Bizkaia,ELORRIO,,32,3,6106,3585,45,3540,71,3469,2521,1596,735,241,162,2,3,9,4,0,692,5,9,3,5,1,2,0,0
Álava,ELVILLAR/BILAR,,23,2,315,248,,248,2,246,67,88,121,2,9,,0,0,,1,25,0,0,0,,0,0,,0
Bizkaia,ERANDIO,,902,4,19556,12615,139,12476,371,12105,6941,4530,2774,524,758,6,0,38,12,14,3258,90,24,7,51,4,5,8,2
Bizkaia,EREÑO,,33,4,228,135,3,132,2,130,93,101,8,17,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
Bizkaia,ERMUA,,34,3,14423,10414,82,10332,217,10115,4009,1186,4317,286,630,3,1,36,7,29,3413,137,36,4,17,3,5,4,1
Gipuzkoa,ERRENTERIA,,67,2,33916,18381,128,18253,693,17560,15535,2880,4513,1612,1333,10,,62,,14,6837,196,49,19,,16,9,3,7
Gipuzkoa,ERREZIL,,66,4,517,129,1,128,,128,388,87,2,36,0,0,,1,,0,1,0,1,0,,0,0,0,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,496,362,2,360,6,354,134,114,173,12,13,,0,0,,0,34,5,0,2,,0,0,,1
Bizkaia,ERRIGOITI,,79,4,432,288,2,286,4,282,144,220,18,42,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gipuzkoa,ESKORIATZA,,34,4,3347,1686,4,1682,21,1661,1661,489,329,332,108,2,,3,,0,385,8,3,1,,1,0,0,0
Bizkaia,ETXEBARRI,,29,3,5605,3858,41,3817,71,3746,1747,811,1186,224,235,1,1,10,5,8,1192,42,13,2,9,2,2,1,2
Bizkaia,ETXEBARRIA,,30,4,662,265,5,260,4,256,397,231,5,13,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,467,186,4,182,3,179,281,88,7,76,4,0,,0,,0,4,0,0,0,,0,0,0,0
Bizkaia,FORUA,,906,4,833,482,5,477,7,470,351,337,50,40,8,0,0,0,0,0,34,0,0,0,0,0,1,0,0
Bizkaia,FRUIZ,,35,4,292,185,,185,,185,107,149,20,7,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,359,219,1,218,4,214,140,60,8,142,0,0,,0,,0,1,0,2,0,,0,0,0,1
Gipuzkoa,GAINTZA,,37,3,109,45,,45,6,39,64,25,1,10,2,0,,0,,0,1,0,0,0,,0,0,0,0
Bizkaia,GALDAKAO,,36,3,24298,15807,163,15644,422,15222,8491,6109,3474,925,1092,6,3,36,17,17,3305,122,22,7,71,3,3,4,6
Bizkaia,GALDAMES,,37,2,705,480,4,476,6,470,225,306,40,52,16,1,0,0,1,0,49,3,0,0,2,0,0,0,0
Bizkaia,GAMIZ-FIKA,,38,4,936,620,3,617,13,604,316,475,63,46,6,0,0,0,0,0,13,1,0,0,0,0,0,0,0
Bizkaia,GARAI,,39,3,214,148,,148,3,145,66,124,5,12,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Bizkaia,GATIKA,,40,4,1029,581,6,575,12,563,448,366,52,87,14,0,0,0,0,0,39,3,0,1,0,1,0,0,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,678,496,4,492,8,484,182,368,41,50,9,0,0,1,0,0,13,1,1,0,0,0,0,0,0
Gipuzkoa,GAZTELU,,907,3,139,58,2,56,3,53,81,47,0,6,0,0,,0,,0,0,0,0,0,,0,0,0,0
Bizkaia,GERNIKA-LUMO,,46,4,13034,8086,100,7986,115,7871,4948,4383,1172,1041,197,0,4,21,1,7,966,42,8,2,23,2,0,0,2
Gipuzkoa,GETARIA,,39,4,2002,1124,13,1111,22,1089,878,728,59,243,9,0,,4,,0,38,5,2,0,,0,0,0,1
Bizkaia,GETXO,,44,4,68915,50888,414,50474,1893,48581,18027,17304,18582,2691,2145,14,8,101,18,39,6874,416,43,9,308,8,7,13,1
Bizkaia,GIZABURUAGA,,47,4,116,52,,52,1,51,64,46,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1269,1034,21,1013,14,999,235,597,236,67,25,0,1,2,0,0,66,4,0,0,0,0,1,0,0
Bizkaia,GORLIZ,,43,4,3355,2342,53,2289,62,2227,1013,1352,380,194,90,1,0,5,2,2,166,16,6,1,11,0,1,0,0
Bizkaia,GÜEÑES,,45,2,4967,3805,57,3748,67,3681,1162,2029,446,426,98,2,2,3,2,2,643,9,2,1,5,3,1,5,2
Álava,HARANA/VALLE DE ARANA,,56,2,327,236,5,231,4,227,91,76,138,2,3,,0,1,,0,7,0,0,0,,0,0,,0
Gipuzkoa,HERNANI,,40,1,15673,5974,54,5920,225,5695,9699,1288,1269,967,375,2,,19,,0,1694,55,18,1,,1,2,2,2
Gipuzkoa,HERNIALDE,,41,3,239,71,1,70,2,68,168,31,5,20,5,0,,0,,0,6,1,0,0,,0,0,0,0
Gipuzkoa,HONDARRIBIA,,36,2,12291,7416,68,7348,358,6990,4875,3171,1456,1013,273,9,,17,,5,970,50,16,6,,2,1,1,0
Gipuzkoa,IBARRA,,42,3,3646,1532,12,1520,45,1475,2114,460,282,296,48,8,,1,,2,371,5,2,0,,0,0,0,0
Bizkaia,IBARRANGELU,,48,4,469,337,,337,5,332,132,280,15,27,4,1,0,0,0,0,3,0,0,1,1,0,0,0,0
Gipuzkoa,IDIAZABAL,,43,3,1722,924,2,922,14,908,798,326,97,429,10,0,,0,,0,44,1,1,0,,0,0,0,0
Bizkaia,IGORRE,,94,3,3204,1937,29,1908,39,1869,1267,1272,163,254,33,1,0,0,1,2,133,7,3,0,0,0,0,0,0
Gipuzkoa,IKAZTEGIETA,,44,3,319,118,,118,4,114,201,77,12,19,1,0,,0,,0,4,0,0,1,,0,0,0,0
Gipuzkoa,IRUN,,45,2,47257,31379,256,31123,1221,29902,15878,6187,9577,2020,1590,23,,110,,34,9830,377,92,16,,17,9,9,11
Gipuzkoa,IRURA,,46,3,596,241,,241,8,233,355,127,29,42,4,0,,1,,0,27,2,0,0,,0,0,0,1
Álava,IRURAIZ-GAUNA,,27,2,379,208,,208,3,205,171,75,95,7,9,,0,0,,0,14,5,0,0,,0,0,,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1513,1103,11,1092,39,1053,410,150,460,22,54,,1,9,,2,337,15,1,1,,1,0,,0
Bizkaia,ISPASTER,,49,4,553,348,7,341,1,340,205,293,28,9,3,0,0,0,0,0,4,1,1,0,0,0,0,1,0
Gipuzkoa,ITSASONDO,,47,3,516,183,10,173,9,164,333,77,18,49,2,0,,0,,0,16,1,1,0,,0,0,0,0
Bizkaia,IURRETA,,910,3,3690,2272,36,2236,29,2207,1418,883,581,56,110,0,0,6,0,0,553,4,1,3,7,3,0,0,0
Bizkaia,IZURTZA,,50,3,238,148,6,142,3,139,90,119,7,5,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2598,1611,21,1590,17,1573,987,1002,250,75,25,0,0,1,0,0,208,2,0,0,4,0,0,5,1
Bizkaia,KORTEZUBI,,907,4,331,230,3,227,4,223,101,196,10,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Álava,KRIPAN,,19,2,166,138,,138,,138,28,84,42,4,3,,0,0,,0,5,0,0,0,,0,0,,0
Álava,KUARTANGO,,20,2,339,223,6,217,4,213,116,114,72,2,11,,0,0,,0,10,2,2,0,,0,0,,0
Álava,LABASTIDA/BASTIDA,,28,2,1013,732,10,722,9,713,281,160,328,25,53,,2,0,,1,139,3,1,0,,1,0,,0
Álava,LAGRÁN,,30,2,189,164,4,160,2,158,25,36,98,5,3,,0,0,,0,14,1,0,0,,1,0,,0
Álava,LAGUARDIA,,31,2,1220,948,5,943,22,921,272,238,510,27,20,,3,2,,2,111,4,2,1,,1,0,,0
Álava,LANCIEGO/LANTZIEGO,,32,2,558,451,4,447,7,440,107,132,197,2,8,,0,0,,1,99,1,0,0,,0,0,,0
Bizkaia,LANESTOSA,,51,2,245,193,1,192,2,190,52,99,51,1,4,0,0,0,0,1,30,2,1,0,0,0,0,0,1
Álava,LANTARÓN,,902,2,859,609,5,604,14,590,250,156,299,1,36,,0,1,,4,86,3,1,2,,0,1,,0
Álava,LAPUEBLA DE LABARCA,,33,2,726,619,8,611,7,604,107,273,185,32,17,,0,1,,0,92,3,0,1,,0,0,,0
Bizkaia,LARRABETZU,,52,4,1315,712,12,700,6,694,603,550,55,32,16,0,1,0,0,0,36,3,0,0,1,0,0,0,0
Gipuzkoa,LARRAUL,,48,3,121,19,,19,,19,102,13,2,3,0,0,,0,,0,1,0,0,0,,0,0,0,0
Gipuzkoa,LASARTE-ORIA,,902,1,14984,9223,84,9139,345,8794,5761,1326,2316,761,467,5,,35,,8,3699,122,30,9,,4,1,7,4
Álava,LAUDIO/LLODIO,,36,3,16621,10579,164,10415,236,10179,6042,3439,2972,525,521,,7,23,,11,2522,90,26,16,,12,8,,7
Bizkaia,LAUKIZ,,53,4,801,614,3,611,14,597,187,376,129,58,2,0,1,0,0,0,29,2,0,0,0,0,0,0,0
Gipuzkoa,LAZKAO,,49,3,4011,2028,13,2015,58,1957,1983,658,420,289,117,1,,5,,1,456,3,4,1,,1,0,0,1
Gipuzkoa,LEABURU,,50,3,308,41,,41,2,39,267,22,6,7,1,0,,0,,0,2,1,0,0,,0,0,0,0
Gipuzkoa,LEGAZPI,,51,3,7692,4627,60,4567,119,4448,3065,1391,877,935,191,2,,9,,5,1000,23,3,0,,2,2,3,5
Gipuzkoa,LEGORRETA,,52,3,1175,620,6,614,14,600,555,305,99,70,16,0,,0,,1,105,3,0,0,,0,0,0,1
Álava,LEGUTIO,,58,2,1169,604,14,590,20,570,565,253,115,97,22,,0,2,,1,75,4,1,0,,0,0,,0
Gipuzkoa,LEINTZ-GATZAGA,,68,4,218,80,,80,4,76,138,58,2,12,1,0,,0,,0,3,0,0,0,,0,0,0,0
Bizkaia,LEIOA,,54,4,22960,16243,163,16080,583,15497,6717,5735,3930,724,1120,2,10,46,10,27,3574,171,36,11,88,5,2,1,5
Bizkaia,LEKEITIO,,57,4,6378,3170,20,3150,41,3109,3208,1980,183,791,34,0,0,2,0,0,102,6,3,0,8,0,0,0,0
Bizkaia,LEMOA,,55,3,2208,1632,52,1580,20,1560,576,970,191,217,33,0,0,4,4,1,126,11,0,0,1,0,1,1,0
Bizkaia,LEMOIZ,,56,4,762,513,6,507,14,493,249,391,29,33,6,0,1,1,0,0,18,7,2,0,5,0,0,0,0
Álava,LEZA,,34,2,179,127,1,126,3,123,52,42,30,16,3,,0,0,,0,29,3,0,0,,0,0,,0
Bizkaia,LEZAMA,,81,4,1775,1162,13,1149,21,1128,613,876,107,47,31,0,3,4,0,1,54,2,0,0,2,1,0,0,0
Gipuzkoa,LEZO,,53,2,4807,1547,10,1537,57,1480,3260,339,324,311,79,2,,4,,0,403,14,2,0,,2,0,0,0
Gipuzkoa,LIZARTZA,,54,3,540,98,1,97,1,96,442,43,13,39,0,0,,0,,0,1,0,0,0,,0,0,0,0
Bizkaia,LOIU,,903,4,1582,1184,29,1155,24,1131,398,713,248,86,18,0,0,0,0,0,54,5,0,0,7,0,0,0,0
Bizkaia,MALLABIA,,58,3,953,456,4,452,4,448,497,241,79,24,13,0,0,2,0,0,82,7,0,0,0,0,0,0,0
Bizkaia,MARKINA-XEMEIN,,60,4,3900,1805,26,1779,16,1763,2095,1289,193,168,23,1,0,0,1,0,79,2,1,1,5,0,0,0,0
Bizkaia,MARURI-JATABE,,61,4,539,390,3,387,7,380,149,259,49,42,14,0,1,1,0,0,11,3,0,0,0,0,0,0,0
Bizkaia,MAÑARIA,,59,3,396,230,4,226,4,222,166,181,25,7,2,0,0,0,0,2,3,1,0,0,1,0,0,0,0
Gipuzkoa,MENDARO,,901,4,1192,722,6,716,18,698,470,382,92,105,16,0,,0,,1,97,2,1,0,,1,0,1,0
Bizkaia,MENDATA,,62,4,296,205,4,201,,201,91,158,12,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,MENDEXA,,63,4,300,146,,146,4,142,154,118,13,7,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Bizkaia,MEÑAKA,,64,4,451,299,,299,10,289,152,185,14,88,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,241,202,2,200,2,198,39,44,76,1,3,,0,0,,2,72,0,0,0,,0,0,,0
Bizkaia,MORGA,,66,4,357,233,1,232,3,229,124,196,10,18,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Bizkaia,MUNDAKA,,68,4,1571,1071,14,1057,8,1049,500,794,63,152,12,1,0,0,0,0,22,2,0,0,2,1,0,0,0
Bizkaia,MUNGIA,,69,4,10659,7137,69,7068,133,6935,3522,4334,1111,486,191,0,5,13,3,1,711,52,5,1,17,2,1,1,1
Álava,MUNICIPIO CERA ARABA,,999,99,2273,530,9,521,11,510,1743,78,242,15,20,,0,2,,4,131,11,0,5,,1,1,,0
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,16965,3725,12,3713,80,3633,13240,1327,1042,90,131,0,0,13,13,17,928,48,6,3,4,4,6,0,1
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,10589,2845,53,2792,45,2747,7744,639,728,299,118,3,,6,,9,867,62,8,3,,0,2,3,0
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,333,182,,182,2,180,151,151,13,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,MURUETA,,908,4,185,128,2,126,4,122,57,93,11,13,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bizkaia,MUSKIZ,,71,2,5533,4036,79,3957,75,3882,1497,1900,505,310,189,1,1,7,2,8,914,22,5,1,14,1,1,0,1
Gipuzkoa,MUTILOA,,57,3,141,51,2,49,,49,90,31,3,13,1,0,,0,,0,1,0,0,0,,0,0,0,0
Gipuzkoa,MUTRIKU,,56,4,4042,1992,19,1973,41,1932,2050,1296,246,245,31,0,,0,,0,107,6,1,0,,0,0,0,0
Bizkaia,MUXIKA,,67,4,1216,628,7,621,7,614,588,486,25,83,6,0,0,1,0,0,11,1,0,0,1,0,0,0,0
Bizkaia,NABARNIZ,,909,4,204,80,1,79,,79,124,66,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,NAVARIDAS,,41,2,179,143,4,139,3,136,36,26,97,4,4,,0,0,,0,3,2,0,0,,0,0,,0
Gipuzkoa,OIARTZUN,,63,2,7546,2208,25,2183,53,2130,5338,828,344,614,81,4,,2,,1,241,8,6,0,,0,0,1,0
