TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PP,EB-B,EKA,PH,PSE-EE/PSOE,EH,EAJ-PNV / EA,PKD,TD,ASKATASUNA
Bizkaia,BILBAO,,20,1,302052,239069,927,238142,2129,236013,62983,71030,14824,72,417,43122,13852,91639,710,280,67
Bizkaia,BUSTURIA,,21,4,1492,1261,,1261,7,1254,231,106,39,0,1,89,199,818,0,1,1
Álava,CAMPEZO/KANPEZU,,17,2,939,763,8,755,6,749,176,226,31,,2,71,44,375,,,0
Gipuzkoa,DEBA,,29,4,4286,3577,9,3568,23,3545,709,288,150,1,11,236,625,2230,,,4
Bizkaia,DERIO,,901,4,4179,3432,19,3413,20,3393,747,627,174,2,11,774,203,1584,11,5,2
Bizkaia,DIMA,,26,3,910,818,5,813,2,811,92,26,5,0,0,4,297,479,0,0,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,153884,122658,897,121761,1349,120412,31226,32045,7429,55,330,21846,12426,46244,,,37
Bizkaia,DURANGO,,27,3,20780,17364,44,17320,115,17205,3416,3568,857,5,21,2258,1907,8536,28,20,5
Bizkaia,EA,,28,4,718,646,,646,1,645,72,20,7,0,1,6,145,466,0,0,0
Gipuzkoa,EIBAR,,30,4,24837,19729,54,19675,165,19510,5108,3883,897,9,53,4149,2013,8499,,,7
Bizkaia,ELANTXOBE,,31,4,404,376,1,375,1,374,28,6,4,0,0,3,76,285,0,0,0
Álava,ELBURGO/BURGELU,,21,2,314,242,,242,3,239,72,75,12,,0,28,15,109,,,0
Álava,ELCIEGO,,22,2,794,698,5,693,3,690,96,274,23,,3,204,17,169,,,0
Gipuzkoa,ELDUAIN,,31,3,189,159,,159,1,158,30,4,0,0,0,0,51,103,,,0
Gipuzkoa,ELGETA,,33,4,820,692,,692,1,691,128,39,22,2,0,11,129,488,,,0
Gipuzkoa,ELGOIBAR,,32,4,9149,7595,25,7570,48,7522,1554,1233,255,3,18,940,1034,4027,,,12
Bizkaia,ELORRIO,,32,3,6109,5134,21,5113,27,5086,975,779,252,0,9,677,863,2495,4,2,5
Álava,ELVILLAR/BILAR,,23,2,318,264,1,263,2,261,54,123,12,,2,15,9,100,,,0
Bizkaia,ERANDIO,,902,4,19476,14860,71,14789,159,14630,4616,2778,803,6,33,2931,1110,6876,56,30,7
Bizkaia,EREÑO,,33,4,229,208,,208,,208,21,9,4,0,0,1,30,164,0,0,0
Bizkaia,ERMUA,,34,3,14284,11385,34,11351,66,11285,2899,4199,655,3,49,3496,542,2247,40,51,3
Gipuzkoa,ERRENTERIA,,67,2,33651,24997,61,24936,234,24702,8654,4602,1661,9,110,6357,3786,8148,,,29
Gipuzkoa,ERREZIL,,66,4,511,415,1,414,,414,96,0,5,0,0,1,188,220,,,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,489,399,1,398,6,392,90,157,20,,0,23,20,170,,,2
Bizkaia,ERRIGOITI,,79,4,437,400,,400,1,399,37,16,2,0,0,2,65,314,0,0,0
Gipuzkoa,ESKORIATZA,,34,4,3347,2650,7,2643,10,2633,697,323,133,0,7,409,473,1286,,,2
Bizkaia,ETXEBARRI,,29,3,5805,4412,17,4395,36,4359,1393,1237,288,3,16,1112,205,1470,10,18,0
Bizkaia,ETXEBARRIA,,30,4,642,553,,553,,553,89,10,3,0,1,4,168,367,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,478,413,1,412,,412,65,5,4,0,0,2,170,231,,,0
Bizkaia,FORUA,,906,4,845,737,2,735,3,732,108,51,14,0,0,28,135,504,0,0,0
Bizkaia,FRUIZ,,35,4,301,270,,270,,270,31,17,2,0,0,10,33,208,0,0,0
Gipuzkoa,GABIRIA,,38,3,351,320,1,319,,319,31,9,2,0,0,0,64,244,,,0
Gipuzkoa,GAINTZA,,37,3,110,90,,90,1,89,20,5,0,1,0,1,23,59,,,0
Bizkaia,GALDAKAO,,36,3,24547,19677,78,19599,136,19463,4870,3695,1272,9,36,3155,1879,9337,50,24,6
Bizkaia,GALDAMES,,37,2,727,617,1,616,6,610,110,34,25,0,1,34,82,433,0,1,0
Bizkaia,GAMIZ-FIKA,,38,4,975,858,1,857,4,853,117,74,16,0,0,18,102,642,1,0,0
Bizkaia,GARAI,,39,3,211,186,1,185,,185,25,6,1,0,0,1,28,149,0,0,0
Bizkaia,GATIKA,,40,4,1063,933,1,932,8,924,130,54,25,0,0,42,141,660,2,0,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,706,643,,643,5,638,63,35,8,0,0,19,89,487,0,0,0
Gipuzkoa,GAZTELU,,907,3,130,109,,109,1,108,21,0,0,0,0,1,49,58,,,0
Bizkaia,GERNIKA-LUMO,,46,4,12981,11070,41,11029,55,10974,1911,1190,341,2,20,877,1639,6869,21,10,5
Gipuzkoa,GETARIA,,39,4,1984,1744,6,1738,3,1735,240,59,43,1,2,19,385,1224,,,2
Bizkaia,GETXO,,44,4,68963,58704,162,58542,632,57910,10259,19376,2737,11,83,7397,3418,24641,193,43,11
Bizkaia,GIZABURUAGA,,47,4,119,97,,97,,97,22,0,0,0,0,0,33,64,0,0,0
Bizkaia,GORDEXOLA,,42,2,1251,1115,14,1101,6,1095,136,219,30,0,2,51,36,755,0,2,0
Bizkaia,GORLIZ,,43,4,3518,2995,18,2977,21,2956,523,377,143,0,2,222,244,1962,2,2,2
Bizkaia,GÜEÑES,,45,2,4992,4322,22,4300,22,4278,670,451,108,0,3,495,349,2860,4,8,0
Álava,HARANA/VALLE DE ARANA,,56,2,319,251,1,250,,250,68,108,5,,0,14,12,111,,,0
Gipuzkoa,HERNANI,,40,1,15507,11898,47,11851,114,11737,3609,1456,672,4,23,1806,3402,4366,,,8
Gipuzkoa,HERNIALDE,,41,3,239,164,,164,2,162,75,4,9,0,0,9,44,96,,,0
Gipuzkoa,HONDARRIBIA,,36,2,12421,10016,35,9981,88,9893,2405,1573,469,5,24,934,1079,5802,,,7
Gipuzkoa,IBARRA,,42,3,3602,2887,9,2878,20,2858,715,336,136,1,5,358,702,1320,,,0
Bizkaia,IBARRANGELU,,48,4,477,428,,428,3,425,49,9,3,0,1,3,48,361,0,0,0
Gipuzkoa,IDIAZABAL,,43,3,1723,1461,1,1460,6,1454,262,77,21,1,0,42,310,1002,,,1
Bizkaia,IGORRE,,94,3,3237,2778,7,2771,7,2764,459,172,55,2,2,136,529,1861,6,0,1
Gipuzkoa,IKAZTEGIETA,,44,3,313,275,,275,,275,38,17,8,0,1,2,89,158,,,0
Gipuzkoa,IRUN,,45,2,47753,36609,138,36471,380,36091,11144,10055,2042,28,162,9057,2330,12388,,,29
Gipuzkoa,IRURA,,46,3,646,517,,517,4,513,129,38,8,0,1,27,148,291,,,0
Álava,IRURAIZ-GAUNA,,27,2,390,312,,312,1,311,78,83,12,,2,17,48,148,,,1
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1578,1251,12,1239,14,1225,327,442,60,,6,352,48,316,,,1
Bizkaia,ISPASTER,,49,4,546,477,1,476,1,475,69,24,8,1,1,1,67,373,0,0,0
Gipuzkoa,ITSASONDO,,47,3,506,420,,420,2,418,86,17,8,0,0,15,148,229,,,1
Bizkaia,IURRETA,,910,3,3671,2931,12,2919,11,2908,740,652,104,1,3,514,407,1215,8,3,1
Bizkaia,IZURTZA,,50,3,236,214,6,208,,208,22,5,3,0,0,5,46,149,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2565,1998,7,1991,13,1978,567,219,42,1,1,142,125,1445,3,0,0
Bizkaia,KORTEZUBI,,907,4,328,302,1,301,,301,26,10,3,0,0,6,53,229,0,0,0
Álava,KRIPAN,,19,2,161,151,,151,,151,10,37,0,,0,2,4,108,,,0
Álava,KUARTANGO,,20,2,337,279,2,277,3,274,58,48,15,,1,16,42,152,,,0
Álava,LABASTIDA/BASTIDA,,28,2,1041,847,3,844,4,840,194,343,46,,3,138,47,263,,,0
Álava,LAGRÁN,,30,2,186,164,,164,1,163,22,86,0,,0,18,4,55,,,0
Álava,LAGUARDIA,,31,2,1216,1022,12,1010,3,1007,194,507,21,,0,85,28,366,,,0
Álava,LANCIEGO/LANTZIEGO,,32,2,551,467,7,460,2,458,84,160,9,,1,96,14,178,,,0
Bizkaia,LANESTOSA,,51,2,244,218,,218,1,217,26,58,8,0,0,24,4,121,2,0,0
Álava,LANTARÓN,,902,2,891,674,5,669,4,665,217,294,26,,2,95,29,219,,,0
Álava,LAPUEBLA DE LABARCA,,33,2,714,633,1,632,1,631,81,197,11,,0,65,4,354,,,0
Bizkaia,LARRABETZU,,52,4,1314,1157,3,1154,2,1152,157,61,31,0,0,33,305,722,0,0,0
Gipuzkoa,LARRAUL,,48,3,116,76,,76,,76,40,2,0,0,0,0,30,44,,,0
Gipuzkoa,LASARTE-ORIA,,902,1,15011,11988,28,11960,108,11852,3023,2404,656,10,55,3923,1359,3435,,,10
Álava,LAUDIO/LLODIO,,36,3,16515,13343,51,13292,89,13203,3172,2821,541,,42,2159,1458,6174,,,8
Bizkaia,LAUKIZ,,53,4,833,749,2,747,4,743,84,148,12,0,0,39,42,500,2,0,0
Gipuzkoa,LAZKAO,,49,3,4021,3250,13,3237,26,3211,771,453,135,0,2,433,739,1448,,,1
Gipuzkoa,LEABURU,,50,3,309,261,1,260,,260,48,9,7,0,0,1,128,115,,,0
Gipuzkoa,LEGAZPI,,51,3,7586,6271,32,6239,36,6203,1315,899,314,3,8,823,796,3357,,,3
Gipuzkoa,LEGORRETA,,52,3,1149,951,6,945,8,937,198,102,25,1,2,100,182,524,,,1
Álava,LEGUTIO,,58,2,1179,918,3,915,6,909,261,106,48,,0,88,158,508,,,1
Gipuzkoa,LEINTZ-GATZAGA,,68,4,215,190,,190,2,188,25,2,12,0,0,7,65,102,,,0
Bizkaia,LEIOA,,54,4,23218,18756,83,18673,182,18491,4462,4233,1278,2,32,3499,1166,8193,62,21,5
Bizkaia,LEKEITIO,,57,4,6377,5426,19,5407,23,5384,951,192,89,0,3,123,1359,3604,7,0,7
Bizkaia,LEMOA,,55,3,2268,2028,25,2003,5,1998,240,203,61,0,2,112,274,1342,1,2,1
Bizkaia,LEMOIZ,,56,4,768,663,1,662,2,660,105,35,24,0,0,16,71,513,1,0,0
Álava,LEZA,,34,2,167,145,,145,4,141,22,26,1,,0,30,9,75,,,0
Bizkaia,LEZAMA,,81,4,1797,1528,11,1517,6,1511,269,109,46,0,3,80,162,1104,5,2,0
Gipuzkoa,LEZO,,53,2,4838,3572,25,3547,16,3531,1266,432,154,2,14,469,1032,1426,,,2
Gipuzkoa,LIZARTZA,,54,3,521,442,,442,3,439,79,16,1,0,0,5,230,187,,,0
Bizkaia,LOIU,,903,4,1661,1477,5,1472,11,1461,184,289,49,0,0,70,104,946,3,0,0
Bizkaia,MALLABIA,,58,3,952,786,8,778,3,775,166,71,29,0,0,66,214,394,0,0,1
Bizkaia,MARKINA-XEMEIN,,60,4,3911,3198,10,3188,7,3181,713,163,91,0,0,73,683,2169,2,0,0
Bizkaia,MARURI-JATABE,,61,4,557,481,1,480,5,475,76,51,12,0,1,15,44,352,0,0,0
Bizkaia,MAÑARIA,,59,3,387,329,2,327,4,323,58,16,4,0,0,6,75,222,0,0,0
Gipuzkoa,MENDARO,,901,4,1249,1037,2,1035,6,1029,212,100,35,0,0,78,144,672,,,0
Bizkaia,MENDATA,,62,4,299,275,,275,1,274,24,11,4,0,0,1,43,215,0,0,0
Bizkaia,MENDEXA,,63,4,306,276,3,273,,273,30,11,2,0,0,0,91,169,0,0,0
Bizkaia,MEÑAKA,,64,4,457,416,2,414,,414,41,13,12,0,0,2,54,333,0,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,232,202,1,201,1,200,30,78,1,,0,68,2,51,,,0
Bizkaia,MORGA,,66,4,357,318,1,317,,317,39,10,4,0,0,3,51,249,0,0,0
Bizkaia,MUNDAKA,,68,4,1611,1418,6,1412,2,1410,193,49,26,0,0,21,205,1108,1,0,0
Bizkaia,MUNGIA,,69,4,11080,9291,30,9261,55,9206,1789,1277,320,2,6,717,686,6174,19,5,0
Álava,MUNICIPIO CERA ARABA,,999,99,2600,903,17,886,4,882,1697,386,39,,12,145,43,254,,,3
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,18461,5710,63,5647,21,5626,12751,1525,205,9,27,1108,276,2417,13,15,31
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,11797,3939,37,3902,18,3884,7858,987,140,11,28,908,306,1494,,,10
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,346,304,,304,2,302,42,9,7,0,0,0,61,223,2,0,0
Bizkaia,MURUETA,,908,4,183,163,,163,,163,20,9,1,0,0,2,17,134,0,0,0
Bizkaia,MUSKIZ,,71,2,5582,4736,22,4714,32,4682,846,490,235,1,8,739,338,2857,12,1,1
Gipuzkoa,MUTILOA,,57,3,136,104,1,103,,103,32,2,2,0,0,1,30,67,,,1
Gipuzkoa,MUTRIKU,,56,4,4057,3387,6,3381,18,3363,670,221,66,1,2,110,820,2142,,,1
Bizkaia,MUXIKA,,67,4,1202,1085,3,1082,2,1080,117,24,10,0,0,6,305,733,2,0,0
Bizkaia,NABARNIZ,,909,4,201,188,,188,1,187,13,0,2,0,0,1,63,121,0,0,0
Álava,NAVARIDAS,,41,2,185,154,2,152,,152,31,91,4,,0,7,3,47,,,0
Gipuzkoa,OIARTZUN,,63,2,7494,6036,15,6021,42,5979,1458,399,214,5,7,313,2120,2914,,,7
Álava,OKONDO,,42,3,732,666,5,661,,661,66,86,9,,1,6,81,478,,,0
Gipuzkoa,OLABERRIA,,58,3,830,681,,681,7,674,149,117,27,1,3,120,106,300,,,0
Bizkaia,ONDARROA,,73,4,8146,6631,28,6603,32,6571,1515,502,104,8,3,187,2132,3626,5,3,1
Gipuzkoa,ORDIZIA,,76,3,7544,6114,18,6096,43,6053,1430,906,365,9,17,909,1070,2775,,,2
Gipuzkoa,ORENDAIN,,905,3,122,91,,91,1,90,31,1,0,0,0,0,36,53,,,0
Gipuzkoa,OREXA,,60,3,74,72,1,71,1,70,2,0,0,0,0,0,62,8,,,0
Gipuzkoa,ORIO,,61,4,3596,2986,12,2974,12,2962,610,193,68,1,2,210,490,1995,,,3
Gipuzkoa,ORMAIZTEGI,,62,3,965,856,1,855,,855,109,30,20,0,1,26,205,573,,,0
Bizkaia,OROZKO,,75,3,1782,1531,14,1517,8,1509,251,164,27,0,6,43,165,1101,3,0,0
Bizkaia,ORTUELLA,,83,2,7473,5740,24,5716,38,5678,1733,853,439,3,9,1659,341,2355,11,6,2
Bizkaia,OTXANDIO,,72,3,885,761,4,757,1,756,124,72,13,0,0,18,188,465,0,0,0
Álava,OYÓN-OION,,43,2,2071,1508,3,1505,4,1501,563,624,68,,12,308,88,400,,,1
Gipuzkoa,OÑATI,,59,4,8978,7581,7,7574,34,7540,1397,638,304,0,10,437,1472,4676,,,3
Gipuzkoa,PASAIA,,64,2,14052,9939,46,9893,80,9813,4113,1616,588,5,28,1815,1893,3862,,,6
Álava,PEÑACERRADA-URIZAHARRA,,44,2,223,193,1,192,2,190,30,66,4,,2,16,4,98,,,0
Bizkaia,PLENTZIA,,77,4,3015,2626,7,2619,12,2607,389,383,95,0,2,181,212,1730,1,2,1
Bizkaia,PORTUGALETE,,78,2,45314,35399,153,35246,319,34927,9915,9076,2655,8,74,9536,1822,11580,117,52,7
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,555,444,,444,5,439,111,197,21,,1,88,12,120,,,0
Álava,SAMANIEGO,,52,2,257,213,1,212,1,211,44,23,8,,0,44,19,117,,,0
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,614,447,,447,2,445,167,82,21,,2,22,56,262,,,0
Bizkaia,SANTURTZI,,82,2,41042,31206,117,31089,278,30811,9836,6991,2131,6,52,8190,2392,10874,98,67,10
Gipuzkoa,SEGURA,,70,3,1020,897,,897,3,894,123,30,8,0,0,20,216,619,,,1
Bizkaia,SESTAO,,84,2,28065,20488,121,20367,190,20177,7577,4761,1685,15,29,5772,1240,6581,57,28,9
Bizkaia,SONDIKA,,904,4,3412,2941,9,2932,19,2913,471,465,86,0,2,308,209,1840,3,0,0
Bizkaia,SOPELA,,85,4,8302,6753,19,6734,45,6689,1549,971,426,2,5,753,868,3647,14,2,1
Bizkaia,SOPUERTA,,86,2,1933,1562,9,1553,5,1548,371,226,63,2,3,186,99,966,1,1,1
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3622,2891,13,2878,10,2868,731,544,112,6,3,430,512,1260,,,1
Bizkaia,SUKARRIETA,,76,4,292,262,,262,3,259,30,21,8,0,0,12,39,179,0,0,0
Gipuzkoa,TOLOSA,,71,3,15240,12108,24,12084,80,12004,3132,1555,677,38,23,1070,2212,6422,,,7
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,465,409,2,407,2,405,56,68,4,0,0,24,15,291,1,1,1
Bizkaia,UBIDE,,88,3,138,126,2,124,,124,12,14,0,0,0,1,45,64,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3469,2819,4,2815,15,2800,650,398,106,1,3,390,435,1460,4,3,0
Bizkaia,URDULIZ,,89,4,2604,2193,8,2185,11,2174,411,227,97,1,2,244,300,1297,3,3,0
Bizkaia,URDUÑA/ORDUÑA,,74,3,3350,2721,20,2701,23,2678,629,483,84,1,5,253,275,1566,5,4,2
Álava,URKABUSTAIZ,,54,2,748,616,,616,3,613,132,140,28,,1,53,104,287,,,0
Gipuzkoa,URNIETA,,72,1,4424,3500,18,3482,38,3444,924,611,195,3,6,679,454,1495,,,1
Gipuzkoa,URRETXU,,77,3,5474,4641,30,4611,20,4591,833,620,260,0,16,812,647,2233,,,3
Gipuzkoa,USURBIL,,73,1,4460,3583,8,3575,13,3562,877,320,101,5,2,382,1109,1642,,,1
Álava,VALDEGOVÍA/GAUBEA,,55,2,859,703,9,694,12,682,156,270,26,,6,55,45,280,,,0
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10841,8527,46,8481,54,8427,2314,1232,666,0,11,2474,587,3427,12,15,3
Gipuzkoa,VILLABONA,,75,3,4538,3606,5,3601,23,3578,932,426,165,4,5,348,821,1807,,,2
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,282,250,2,248,2,246,32,70,6,,1,18,25,126,,,0
Álava,VITORIA-GASTEIZ,,59,1,183659,144735,822,143913,1379,142534,38924,50248,9503,,909,32882,7363,41521,,,108
Álava,YÉCORA/IEKORA,,60,2,222,191,1,190,2,188,31,115,4,,0,23,0,46,,,0
Bizkaia,ZALDIBAR,,95,3,2447,1929,6,1923,6,1917,518,400,74,0,5,352,269,812,1,4,0
Gipuzkoa,ZALDIBIA,,78,3,1269,1026,1,1025,2,1023,243,49,25,1,0,50,441,457,,,0
Álava,ZALDUONDO,,61,2,120,101,,101,1,100,19,8,11,,0,10,13,58,,,0
Bizkaia,ZALLA,,96,2,6572,5730,32,5698,26,5672,842,603,220,1,4,657,301,3865,7,12,2
Álava,ZAMBRANA,,62,2,344,276,,276,1,275,68,104,10,,4,32,7,117,,,1
Bizkaia,ZAMUDIO,,905,4,2514,2059,11,2048,11,2037,455,293,59,0,5,240,269,1166,1,4,0
Bizkaia,ZARATAMO,,97,3,1405,1148,6,1142,7,1135,257,169,38,0,4,142,172,609,1,0,0
Gipuzkoa,ZARAUTZ,,79,4,17071,14330,64,14266,75,14191,2741,2031,687,5,35,1526,1932,7964,,,11
