TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,EE,FE-JONS,PCE-EPK,UCD,AP,P. PROVERISTA,ESB,PASD,PSP,FDI,DCV-EKA,IND.12,IND.14,IND.17,FUT,EAE / ANV,D.I.V.,TRAB.GUIPUZCOA,G.U.,A.E.T.
Bizkaia,ARRIETA,,10,4,480,297,4,293,,293,183,175,4,8,,0,9,84,,10,0,1,0,0,,,,0,2,,,,0
Bizkaia,ARRIGORRIAGA,,11,3,6152,4293,341,3887,65,3887,1859,1427,1059,192,,248,327,96,,148,77,111,22,22,,,,35,110,,,,13
Bizkaia,ARTEA,,23,3,513,436,6,429,1,429,77,282,15,15,,16,16,73,,9,0,2,0,1,,,,0,0,,,,0
Bizkaia,ARTZENTALES,,8,2,559,371,8,363,,363,188,175,53,10,,7,53,40,,7,2,0,3,3,,,,6,2,,,,2
Álava,ARTZINIEGA,,4,3,728,545,12,533,,533,183,189,39,,1,12,159,94,0,14,2,8,0,10,4,1,0,,,,,,
Álava,ASPARRENA,,9,2,1238,1002,20,982,,982,236,358,153,,2,25,149,72,3,36,40,15,14,42,24,41,8,,,,,,
Gipuzkoa,ASTEASU,,14,3,843,538,14,518,6,518,305,311,28,57,,6,,,,46,,5,2,13,,,,10,1,9,11,19,
Gipuzkoa,ATAUN,,15,3,1486,683,2,676,5,676,803,345,16,171,,7,,,,70,,0,1,10,,,,3,2,12,1,38,
Bizkaia,ATXONDO,,91,3,798,607,11,593,3,593,191,362,34,30,,14,89,17,,14,6,3,0,3,,,,13,4,,,,4
Bizkaia,AULESTI,,70,4,559,310,16,294,,294,249,192,14,1,,1,51,13,,12,1,2,3,1,,,,0,2,,,,1
Álava,AYALA/AIARA,,10,3,1636,1300,45,1249,6,1249,336,509,101,,2,25,318,204,2,22,16,7,2,23,5,13,0,,,,,,
Gipuzkoa,AZKOITIA,,17,4,6993,5498,54,5428,16,5428,1495,2982,814,298,,92,,,,247,,17,6,163,,,,11,9,194,6,589,
Gipuzkoa,AZPEITIA,,18,4,7440,5692,24,5659,9,5659,1748,3768,562,300,,98,,,,132,,35,5,130,,,,52,4,161,2,410,
Álava,AÑANA,,49,2,236,168,10,159,1,159,68,11,7,,0,1,91,26,0,2,3,4,1,3,5,2,3,,,,,,
Bizkaia,BAKIO,,12,4,807,593,19,573,1,573,214,481,8,42,,2,22,4,,10,0,0,0,2,,,,1,1,,,,0
Bizkaia,BALMASEDA,,90,2,5331,4174,120,4053,1,4053,1157,1353,1613,77,,123,374,271,,38,16,41,9,11,,,,53,65,,,,9
Bizkaia,BARAKALDO,,13,2,77142,61672,2190,59467,15,59467,15470,10476,21243,5208,,4578,10882,2427,,911,795,1004,335,332,,,,306,704,,,,266
Bizkaia,BARRIKA,,14,4,550,374,6,368,,368,176,213,21,21,,7,27,33,,15,0,4,0,3,,,,7,16,,,,1
Álava,BARRIOBUSTO,,12,2,113,99,2,97,,95,14,0,5,,0,1,73,3,0,1,2,4,0,3,1,0,2,,,,,,
Álava,BARRUNDIA,,13,2,439,358,6,352,,352,81,101,32,,1,5,146,10,0,11,7,5,1,21,4,6,2,,,,,,
Bizkaia,BASAURI,,15,3,31867,22543,1755,20754,34,20754,9324,4930,8501,1148,,1125,2533,544,,416,279,506,180,143,,,,172,75,,,,202
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,243,206,,206,,206,37,9,37,,0,1,109,16,0,17,13,2,0,1,0,0,1,,,,,,
Gipuzkoa,BEASAIN,,19,3,6230,5321,88,5200,33,5200,909,1960,1243,433,,306,,,,271,,73,30,210,,,,140,23,103,75,333,
Bizkaia,BEDIA,,92,3,824,649,23,626,,626,175,447,43,16,,30,33,21,,9,15,3,0,3,,,,0,0,,,,6
Gipuzkoa,BEIZAMA,,20,4,137,98,,98,,98,39,75,0,3,,0,,,,1,,0,0,2,,,,3,0,8,1,5,
Gipuzkoa,BELAUNTZA,,21,3,245,166,3,162,1,162,79,45,21,21,,0,,,,20,,0,1,9,,,,2,3,14,6,20,
Bizkaia,BERANGO,,16,4,2315,1682,9,1673,,1673,633,886,303,43,,47,165,72,,55,10,26,5,8,,,,23,19,,,,11
Álava,BERANTEVILLA,,14,2,348,263,8,250,5,250,85,43,28,,3,1,132,11,0,4,5,2,4,12,1,2,2,,,,,,
Gipuzkoa,BERASTEGI,,22,3,669,471,16,455,,455,198,226,18,35,,2,,,,54,,2,1,18,,,,3,0,45,26,25,
Gipuzkoa,BERGARA,,74,4,10988,7727,73,7631,23,7631,3261,3444,1243,801,,206,,,,656,,85,22,264,,,,102,34,257,22,495,
Álava,BERGÜENDA,,15,2,320,247,10,237,,237,73,7,23,,0,3,128,40,2,1,3,9,2,15,0,3,1,,,,,,
Bizkaia,BERMEO,,17,4,12286,9483,12,9471,,9471,2803,6327,725,807,,161,608,150,,432,56,63,11,23,,,,44,54,,,,10
Álava,BERNEDO,,16,2,374,309,9,300,,300,65,47,19,,3,4,173,23,0,4,7,1,2,9,5,3,0,,,,,,
Bizkaia,BERRIZ,,19,3,2569,1818,49,1759,10,1759,751,914,250,30,,45,296,61,,39,12,42,7,17,,,,35,1,,,,10
Gipuzkoa,BERROBI,,23,3,381,281,12,268,1,268,100,76,15,47,,2,,,,44,,0,2,14,,,,7,3,22,7,29,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,411,256,,255,1,255,155,189,4,5,,2,,,,15,,0,0,8,,,,0,0,16,1,15,
Bizkaia,BILBAO,,20,1,291323,224763,5004,219122,437,219122,66560,59957,50980,10192,,9127,45892,18832,,5850,2820,6883,1229,3236,,,,1708,1358,,,,1058
Bizkaia,BUSTURIA,,21,4,1238,809,11,790,8,790,429,553,79,27,,20,46,26,,4,7,3,7,5,,,,8,5,,,,0
Álava,CAMPEZO/KANPEZU,,17,2,930,810,14,794,2,794,120,208,66,,0,6,415,30,0,3,21,3,3,34,1,3,1,,,,,,
Gipuzkoa,DEBA,,29,4,3277,2298,31,2262,5,2262,979,1056,349,357,,39,,,,70,,22,5,81,,,,19,6,109,0,149,
Bizkaia,DIMA,,26,3,937,606,8,598,,598,331,349,12,22,,5,136,45,,13,4,3,1,1,,,,3,2,,,,2
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,112146,88678,813,87606,259,87606,23468,22005,23988,10479,,2745,,,,3801,,2043,293,5529,,,,489,665,5056,441,10072,
Bizkaia,DURANGO,,27,3,16042,12244,200,12009,35,12009,3798,4353,1222,588,,649,2329,1220,,891,209,160,39,134,,,,109,78,,,,28
Bizkaia,EA,,28,4,634,443,6,435,2,435,191,376,1,9,,1,13,13,,7,2,2,0,2,,,,4,3,,,,2
Gipuzkoa,EIBAR,,30,4,25154,19515,185,19228,102,19228,5639,5374,7085,969,,923,,,,701,,210,209,1008,,,,194,125,903,166,1361,
Bizkaia,ELANTXOBE,,31,4,425,297,3,294,,294,128,139,9,12,,5,9,8,,104,0,2,0,4,,,,1,1,,,,0
Álava,ELBURGO/BURGELU,,21,2,158,139,2,137,,137,19,31,19,,0,2,67,5,0,1,1,1,3,7,0,0,0,,,,,,
Álava,ELCIEGO,,22,2,708,626,26,600,,600,82,32,130,,3,28,225,106,0,17,17,19,4,15,2,2,0,,,,,,
Gipuzkoa,ELDUAIN,,31,3,202,142,1,141,,141,60,84,2,30,,0,,,,6,,1,2,3,,,,2,0,6,2,3,
Gipuzkoa,ELGETA,,33,4,778,575,19,553,3,553,203,376,64,11,,4,,,,19,,4,1,31,,,,1,3,10,1,28,
Gipuzkoa,ELGOIBAR,,32,4,9441,7150,132,6995,23,6995,2291,2746,1726,449,,340,,,,432,,70,20,355,,,,114,34,274,7,428,
Bizkaia,ELORRIO,,32,3,5024,4085,234,3830,21,3830,939,1989,310,160,,162,693,93,,209,24,51,11,47,,,,46,25,,,,10
Álava,ELVILLAR/BILAR,,23,2,334,262,7,254,1,254,72,15,11,,0,10,193,18,0,1,2,1,0,2,0,1,0,,,,,,
Bizkaia,EREÑO,,33,4,251,157,4,153,,153,94,101,2,5,,3,16,5,,16,0,0,1,1,,,,1,2,,,,0
Bizkaia,ERMUA,,34,3,10414,7064,1024,6024,16,6024,3350,920,2078,126,,428,1747,296,,66,72,96,36,29,,,,65,19,,,,46
Gipuzkoa,ERRENTERIA,,67,2,28484,22013,286,21645,82,21645,6471,3847,9431,2105,,1392,,,,1051,,277,201,931,,,,323,109,659,305,1014,
Gipuzkoa,ERREZIL,,66,4,586,377,6,369,2,369,209,306,1,12,,2,,,,2,,0,0,7,,,,2,1,8,3,25,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,520,387,14,373,,373,133,50,42,,1,6,188,27,1,4,21,8,3,14,5,3,0,,,,,,
Bizkaia,ERRIGOITI,,79,4,444,268,4,264,,264,176,201,0,4,,3,18,7,,19,0,0,0,3,,,,0,5,,,,4
Gipuzkoa,ESKORIATZA,,34,4,2479,1935,66,1860,9,1860,544,827,358,91,,29,,,,209,,11,8,81,,,,12,5,137,11,81,
Bizkaia,ETXEBARRI,,29,3,3646,2745,35,2704,6,2704,901,645,985,82,,247,317,116,,51,57,62,29,20,,,,22,11,,,,60
Bizkaia,ETXEBARRIA,,30,4,528,329,12,313,4,313,199,244,12,5,,1,5,31,,7,1,0,1,5,,,,1,0,,,,0
Gipuzkoa,EZKIO-ITSASO,,35,3,436,270,,267,3,267,166,147,11,62,,5,,,,14,,2,0,8,,,,2,0,15,0,1,
Bizkaia,FRUIZ,,35,4,262,194,8,186,,186,68,151,1,1,,2,15,3,,11,0,0,0,0,,,,0,2,,,,0
Gipuzkoa,GABIRIA,,38,3,357,283,4,279,,279,74,175,2,70,,0,,,,3,,1,0,16,,,,0,0,5,0,7,
Gipuzkoa,GAINTZA,,37,3,128,59,,59,,59,69,21,2,8,,0,,,,3,,1,0,2,,,,1,1,6,0,14,
Bizkaia,GALDAKAO,,36,3,15259,12136,410,11705,21,11705,3123,4716,3007,473,,449,1395,500,,423,160,178,42,91,,,,137,109,,,,25
Bizkaia,GALDAMES,,37,2,677,465,23,442,,442,212,325,28,15,,26,25,8,,5,2,1,0,3,,,,2,1,,,,1
Bizkaia,GAMIZ-FIKA,,38,4,687,499,3,496,,496,188,405,6,22,,5,11,30,,14,0,1,1,0,,,,1,0,,,,0
Bizkaia,GARAI,,39,3,164,122,4,117,1,117,42,87,1,4,,2,7,0,,6,0,1,0,6,,,,0,3,,,,0
Bizkaia,GATIKA,,40,4,749,519,3,516,,516,230,441,3,7,,5,25,12,,11,1,2,2,4,,,,0,3,,,,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,574,446,5,440,1,440,128,334,12,5,,1,27,36,,6,1,4,0,3,,,,7,2,,,,2
Bizkaia,GERNIKA-LUMO,,46,4,11403,8103,476,7585,42,7585,3300,3890,556,437,,103,947,535,,551,59,103,22,49,,,,107,209,,,,17
Gipuzkoa,GETARIA,,39,4,1567,1322,9,1308,5,1308,245,798,68,234,,10,,,,33,,2,1,26,,,,8,3,29,0,96,
Bizkaia,GETXO,,44,4,35694,25926,448,25452,26,25452,9768,9952,3065,1152,,750,4330,2945,,845,128,789,49,676,,,,190,542,,,,39
Bizkaia,GIZABURUAGA,,47,4,113,79,1,77,1,77,34,57,3,4,,1,4,4,,4,0,0,0,0,,,,0,0,,,,0
Bizkaia,GORDEXOLA,,42,2,1411,1052,10,1042,,1042,359,561,76,7,,25,214,95,,25,4,9,4,9,,,,8,2,,,,3
Bizkaia,GORLIZ,,43,4,1598,1200,25,1172,3,1172,398,691,75,59,,23,171,52,,35,2,18,2,11,,,,11,20,,,,2
Bizkaia,GÜEÑES,,45,2,4371,3603,58,3544,1,3544,768,2092,441,71,,125,229,122,,346,23,49,5,13,,,,5,6,,,,17
Álava,HARANA/VALLE DE ARANA,,56,2,368,317,1,316,,316,51,28,8,,0,1,215,41,0,0,4,1,1,9,1,2,5,,,,,,
Gipuzkoa,HERNANI,,40,1,17023,12627,202,12365,60,12365,4396,2920,5134,913,,443,,,,597,,134,50,516,,,,308,38,649,88,575,
Gipuzkoa,HERNIALDE,,41,3,183,151,1,150,,150,32,69,1,27,,2,,,,12,,0,0,5,,,,2,0,7,1,24,
Gipuzkoa,HONDARRIBIA,,36,2,7093,5769,58,5691,20,5691,1324,1639,1179,740,,137,,,,488,,113,31,320,,,,66,73,534,12,359,
Gipuzkoa,IBARRA,,42,3,2491,1846,36,1803,7,1803,645,385,503,259,,51,,,,244,,18,6,84,,,,19,7,99,45,83,
Bizkaia,IBARRANGELU,,48,4,455,314,,312,2,312,141,233,1,5,,3,33,4,,17,0,0,0,6,,,,7,2,,,,1
Gipuzkoa,IDIAZABAL,,43,3,1392,1084,12,1069,3,1069,308,572,38,244,,18,,,,60,,5,3,33,,,,3,0,36,2,55,
Bizkaia,IGORRE,,94,3,2004,1710,46,1660,4,1660,294,912,203,27,,31,106,254,,59,14,16,3,16,,,,14,2,,,,3
Gipuzkoa,IKAZTEGIETA,,44,3,526,289,5,282,2,282,237,113,15,68,,1,,,,18,,1,1,14,,,,0,1,31,12,7,
Gipuzkoa,IRUN,,45,2,33247,27196,339,26673,184,26673,6051,3538,11053,1838,,1096,,,,1178,,658,120,1938,,,,265,234,1957,185,2613,
Gipuzkoa,IRURA,,46,3,517,381,2,379,,379,136,221,36,21,,8,,,,34,,2,2,17,,,,1,3,13,5,16,
Álava,IRURAIZ-GAUNA,,27,2,375,308,2,306,,306,67,81,41,,1,5,98,24,1,7,3,0,1,24,4,13,3,,,,,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,969,796,22,773,1,784,173,64,176,,0,52,291,50,2,10,41,4,3,32,45,9,5,,,,,,
Bizkaia,ISPASTER,,49,4,505,351,8,339,4,339,154,244,2,6,,1,40,21,,18,0,0,0,2,,,,1,2,,,,2
Gipuzkoa,ITSASONDO,,47,3,608,285,10,273,2,273,323,111,16,40,,7,,,,15,,1,4,18,,,,11,0,8,2,40,
Bizkaia,IZURTZA,,50,3,216,162,1,161,,161,54,90,5,23,,5,13,15,,8,0,0,0,0,,,,1,1,,,,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2547,1794,38,1741,15,1741,753,945,172,23,,49,297,98,,46,29,35,2,15,,,,12,10,,,,8
Álava,KRIPAN,,19,2,162,128,1,127,,127,34,42,2,,0,1,62,8,1,4,1,0,2,3,1,0,0,,,,,,
Álava,KUARTANGO,,20,2,270,217,13,203,1,203,53,33,14,,7,2,102,3,0,12,3,4,2,7,7,5,2,,,,,,
Álava,LABASTIDA/BASTIDA,,28,2,800,573,12,561,,558,227,71,114,,0,26,214,78,1,13,12,6,5,7,5,1,5,,,,,,
Álava,LABRAZA,,29,2,73,60,2,58,,58,13,3,2,,0,1,34,4,1,1,0,1,0,10,1,0,0,,,,,,
Álava,LAGRÁN,,30,2,154,141,,141,,141,13,11,18,,1,2,70,8,0,3,12,4,2,10,0,0,0,,,,,,
Álava,LAGUARDIA,,31,2,1095,972,18,947,7,949,123,77,228,,1,8,425,111,0,5,18,16,5,50,2,1,2,,,,,,
Álava,LANCIEGO/LANTZIEGO,,32,2,445,396,6,388,2,388,49,19,48,,3,20,226,24,1,9,10,8,7,8,2,1,2,,,,,,
Bizkaia,LANESTOSA,,51,2,240,220,38,182,,182,20,12,4,1,,11,43,45,,40,5,1,0,1,,,,0,19,,,,0
Álava,LAPUEBLA DE LABARCA,,33,2,565,499,6,492,1,487,66,63,39,,1,14,284,8,1,5,32,23,4,8,5,0,0,,,,,,
Bizkaia,LARRABETZU,,52,4,1196,821,14,806,1,806,375,592,46,18,,10,54,39,,19,9,6,2,2,,,,4,2,,,,3
Gipuzkoa,LARRAUL,,48,3,138,73,,69,4,69,65,43,0,13,,0,,,,11,,1,0,0,,,,0,0,0,1,0,
Álava,LAUDIO/LLODIO,,36,3,11660,9456,177,9249,27,9229,2204,2006,2705,,9,164,2847,568,7,162,190,69,35,108,81,255,23,,,,,,
Bizkaia,LAUKIZ,,53,4,568,269,,269,,269,299,60,13,11,,30,14,26,,11,34,10,3,20,,,,5,19,,,,13
Gipuzkoa,LAZKAO,,49,3,3036,2291,32,2247,12,2247,745,750,615,227,,132,,,,199,,24,12,40,,,,59,2,50,31,106,
Gipuzkoa,LEABURU,,50,3,501,298,11,287,,287,203,67,16,80,,2,,,,23,,0,0,18,,,,0,0,14,14,53,
Gipuzkoa,LEGAZPI,,51,3,5942,5036,91,4914,31,4914,906,1940,1138,517,,138,,,,209,,45,10,287,,,,59,13,204,48,306,
Gipuzkoa,LEGORRETA,,52,3,1149,846,20,815,11,815,303,273,123,111,,51,,,,44,,3,3,36,,,,6,5,42,66,52,
Álava,LEGUTIO,,58,2,927,786,50,734,2,736,141,403,132,,2,17,70,9,2,32,21,6,1,28,4,9,0,,,,,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,166,121,2,119,,119,45,70,5,10,,3,,,,6,,1,0,2,,,,4,0,11,0,7,
Bizkaia,LEIOA,,54,4,11374,8036,83,7949,4,7949,3338,2662,2429,556,,335,952,278,,192,56,172,81,65,,,,86,67,,,,18
Bizkaia,LEKEITIO,,57,4,4538,3136,35,3097,4,3097,1402,2061,88,261,,25,191,206,,102,17,12,1,11,,,,30,92,,,,0
Bizkaia,LEMOA,,55,3,1882,1485,17,1466,2,1466,397,971,86,52,,53,74,121,,63,11,12,2,6,,,,8,1,,,,6
Bizkaia,LEMOIZ,,56,4,607,431,10,421,,421,176,301,26,18,,5,21,20,,8,4,6,1,4,,,,2,3,,,,2
Álava,LEZA,,34,2,165,142,1,141,,159,23,67,17,,0,4,29,2,0,6,5,2,4,2,0,4,17,,,,,,
Bizkaia,LEZAMA,,81,4,1131,849,2,842,5,842,282,625,33,19,,10,29,82,,7,10,16,1,4,,,,5,0,,,,1
Gipuzkoa,LEZO,,53,2,3557,2301,50,2206,45,2206,1256,933,619,184,,55,,,,99,,18,19,67,,,,20,14,70,28,80,
Gipuzkoa,LIZARTZA,,54,3,509,363,11,352,,352,146,139,9,15,,2,,,,100,,0,1,15,,,,5,1,11,10,44,
Bizkaia,MALLABIA,,58,3,803,505,33,469,3,469,298,229,76,19,,8,87,21,,14,0,6,0,4,,,,5,0,,,,0
Bizkaia,MARKINA-XEMEIN,,60,4,3371,2241,42,2195,4,2195,1130,1441,64,40,,14,228,177,,90,12,7,1,34,,,,68,12,,,,7
Bizkaia,MARURI-JATABE,,61,4,334,233,7,226,,226,101,180,3,6,,3,13,13,,5,0,1,0,1,,,,0,1,,,,0
Bizkaia,MAÑARIA,,59,3,437,335,2,330,3,330,102,160,6,10,,9,31,85,,22,2,0,1,4,,,,0,0,,,,0
Bizkaia,MENDATA,,62,4,313,233,8,225,,225,80,140,2,13,,2,28,5,,4,3,2,0,1,,,,20,2,,,,3
Bizkaia,MENDEXA,,63,4,220,156,,155,1,155,64,128,0,6,,1,2,12,,4,1,0,0,0,,,,0,1,,,,0
Bizkaia,MEÑAKA,,64,4,336,264,4,260,,260,72,203,2,13,,1,4,33,,2,1,0,0,0,,,,0,1,,,,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,260,215,7,208,,208,45,19,42,,0,3,110,14,0,2,2,1,0,11,2,2,0,,,,,,
Bizkaia,MORGA,,66,4,299,180,,180,,180,119,120,1,10,,1,19,11,,12,0,1,0,1,,,,0,4,,,,0
Bizkaia,MUNDAKA,,68,4,1111,835,10,825,,825,276,641,20,14,,14,23,47,,50,0,1,0,7,,,,1,6,,,,1
Bizkaia,MUNGIA,,69,4,6270,4349,114,4233,2,4233,1921,2753,381,132,,52,356,212,,201,26,45,12,33,,,,6,13,,,,11
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,395,249,,249,,249,146,194,4,4,,1,30,11,,0,1,1,0,0,,,,0,2,,,,1
Bizkaia,MUSKIZ,,71,2,4018,3041,159,2876,6,2876,977,975,939,112,,386,198,101,,50,12,29,10,20,,,,14,22,,,,8
Gipuzkoa,MUTILOA,,57,3,186,134,1,133,,133,52,102,1,17,,1,,,,7,,0,0,0,,,,0,3,0,0,2,
Gipuzkoa,MUTRIKU,,56,4,3827,2538,31,2505,2,2505,1289,1633,191,73,,22,,,,87,,7,7,80,,,,76,4,86,6,233,
Bizkaia,MUXIKA,,67,4,1230,715,5,707,3,707,515,518,12,24,,7,26,27,,54,3,0,4,5,,,,14,10,,,,3
Álava,NAVARIDAS,,41,2,176,150,10,140,,140,26,4,31,,2,3,65,9,1,8,2,4,1,5,1,1,3,,,,,,
Gipuzkoa,OIARTZUN,,63,2,4402,3099,41,3054,4,3054,1303,1741,429,227,,46,,,,112,,33,6,66,,,,102,8,73,6,205,
Álava,OKONDO,,42,3,535,407,,406,1,406,128,270,21,,0,0,63,25,1,8,5,4,0,2,2,5,0,,,,,,
Gipuzkoa,OLABERRIA,,58,3,853,700,21,673,6,673,153,207,100,39,,16,,,,117,,8,1,34,,,,15,0,19,28,89,
Bizkaia,ONDARROA,,73,4,7469,4041,135,3882,24,3882,3428,2246,130,179,,39,391,447,,158,20,30,4,31,,,,189,9,,,,9
Gipuzkoa,ORDIZIA,,76,3,6550,4690,74,4589,27,4589,1860,1193,1018,511,,325,,,,260,,66,24,218,,,,90,51,237,52,544,
Gipuzkoa,OREXA,,60,3,68,36,,36,,36,32,19,0,8,,0,,,,9,,0,0,0,,,,0,0,0,0,0,
Gipuzkoa,ORIO,,61,4,2518,2011,16,1982,13,1982,507,937,361,184,,25,,,,133,,7,1,66,,,,6,8,70,5,179,
Gipuzkoa,ORMAIZTEGI,,62,3,750,581,,581,,581,169,323,24,125,,12,,,,45,,4,2,11,,,,2,4,11,2,16,
Bizkaia,OROZKO,,75,3,1557,1099,22,1074,3,1074,458,603,48,26,,15,223,46,,21,9,6,2,47,,,,18,4,,,,6
Bizkaia,ORTUELLA,,83,2,5714,4598,42,4547,9,4547,1116,838,1780,424,,880,294,121,,47,32,25,12,21,,,,28,37,,,,8
Bizkaia,OTXANDIO,,72,3,859,574,4,570,,570,285,353,31,2,,52,60,45,,9,3,0,0,9,,,,4,2,,,,0
Álava,OYÓN-OION,,43,2,1388,1182,15,1165,2,1165,206,86,219,,2,22,615,55,1,10,24,8,4,47,3,53,16,,,,,,
Gipuzkoa,OÑATI,,59,4,7124,5272,64,5195,13,5195,1852,2540,596,220,,68,,,,520,,35,17,303,,,,100,11,169,3,613,
Gipuzkoa,PASAIA,,64,2,14091,10175,156,9989,30,9989,3916,2192,3479,1146,,447,,,,831,,216,41,461,,,,122,99,386,106,463,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,190,152,7,145,,145,38,7,5,,0,1,103,14,0,0,0,0,0,12,1,2,0,,,,,,
