TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EK-PCPE,PSE-EE/PSOE,ATTKA/PACMA,UPYD,Cs,EB-AZ,EH BILDU,VOX,P-LIB,LN,PODEMOS-IU-EQUO BERD,RECORTES CERO-GV
Bizkaia,SOPELA,,85,4,10338,7190,37,7153,39,7114,3148,2227,469,6,571,77,5,216,17,1100,6,,,2402,18
Bizkaia,SOPUERTA,,86,2,2050,1414,13,1401,5,1396,636,459,70,0,131,12,0,33,1,188,1,,,501,0
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3012,1985,18,1967,12,1955,1027,472,188,5,259,7,4,34,,527,,0,,452,7
Bizkaia,SUKARRIETA,,76,4,308,218,1,217,2,215,90,129,9,0,4,0,0,1,0,43,0,,,29,0
Gipuzkoa,TOLOSA,,71,3,14801,9466,45,9421,60,9361,5335,2934,553,6,798,46,6,161,,2271,,4,,2568,14
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,427,344,6,338,,338,83,164,39,0,27,1,0,8,1,27,0,,,71,0
Bizkaia,UBIDE,,88,3,136,102,,102,,102,34,27,3,0,2,0,0,1,0,51,0,,,18,0
Bizkaia,UGAO-MIRABALLES,,65,3,3281,2271,34,2237,8,2229,1010,738,135,0,203,5,1,36,3,417,0,,,687,4
Bizkaia,URDULIZ,,89,4,3306,2341,12,2329,20,2309,965,862,139,2,157,19,5,56,3,328,3,,,733,2
Bizkaia,URDUÑA/ORDUÑA,,74,3,3312,2330,21,2309,6,2303,982,770,214,2,225,10,3,39,2,421,3,,,609,5
Álava,URKABUSTAIZ,,54,2,960,654,3,651,4,647,306,146,50,0,36,5,0,10,,198,0,,1,200,1
Gipuzkoa,URNIETA,,72,1,4728,2902,16,2886,21,2865,1826,646,250,3,435,25,4,108,,444,,2,,933,15
Gipuzkoa,URRETXU,,77,3,5213,3614,23,3591,36,3555,1599,1009,222,2,541,25,3,59,,712,,17,,868,97
Gipuzkoa,USURBIL,,73,1,4677,3014,19,2995,15,2980,1663,550,129,2,245,17,1,55,,1109,,0,,868,4
Álava,VALDEGOVÍA/GAUBEA,,55,2,838,538,11,527,8,519,300,153,133,0,42,2,0,13,,49,0,,0,127,0
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9976,6820,57,6763,62,6701,3156,1585,526,5,1321,57,7,148,2,592,7,,,2431,20
Gipuzkoa,VILLABONA,,75,3,4371,2692,13,2679,18,2661,1679,685,167,1,270,17,3,61,,774,,0,,681,2
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,240,201,1,200,1,199,39,70,30,0,8,2,0,6,,43,0,,0,39,1
Álava,VITORIA-GASTEIZ,,59,1,186558,126506,1228,125278,798,124480,60052,16574,28096,160,21553,1328,253,7023,,9794,228,,59,38903,509
Álava,YÉCORA/IEKORA,,60,2,197,160,3,157,,157,37,43,60,0,12,0,0,8,,5,0,,0,27,2
Bizkaia,ZALDIBAR,,95,3,2347,1555,9,1546,12,1534,792,348,158,0,255,8,2,39,2,326,0,,,395,1
Gipuzkoa,ZALDIBIA,,78,3,1155,850,4,846,4,842,305,133,13,1,29,2,0,4,,534,,0,,126,0
Álava,ZALDUONDO,,61,2,154,127,,127,1,126,27,36,6,0,4,0,0,3,,39,0,,0,38,0
Bizkaia,ZALLA,,96,2,6578,4794,66,4728,31,4697,1784,1824,293,1,518,39,4,99,6,403,5,,,1492,13
Álava,ZAMBRANA,,62,2,313,211,1,210,2,208,102,38,62,1,23,4,0,16,,10,0,,0,54,0
Bizkaia,ZAMUDIO,,905,4,2553,1792,21,1771,12,1759,761,735,85,2,141,3,1,39,1,340,0,,,408,4
Bizkaia,ZARATAMO,,97,3,1297,900,6,894,8,886,397,266,73,3,96,11,0,20,0,136,0,,,280,1
Gipuzkoa,ZARAUTZ,,79,4,17886,11860,61,11799,91,11708,6026,3826,878,9,1183,67,5,253,,2333,,4,,3135,15
Bizkaia,ZEANURI,,24,3,996,757,3,754,7,747,239,365,12,0,2,5,0,2,4,230,0,,,127,0
Bizkaia,ZEBERIO,,25,3,883,642,5,637,7,630,241,290,15,0,8,4,0,1,1,191,0,,,120,0
Gipuzkoa,ZEGAMA,,25,3,1143,765,5,760,8,752,378,282,6,1,23,3,0,3,,294,,1,,139,0
Gipuzkoa,ZERAIN,,26,3,197,145,12,133,,133,52,61,0,0,1,0,0,0,,59,,0,,12,0
Gipuzkoa,ZESTOA,,27,4,2814,1761,11,1750,15,1735,1053,562,31,1,74,4,1,9,,649,,0,,401,3
Bizkaia,ZIERBENA,,913,2,1248,884,15,869,10,859,364,348,39,1,52,7,0,14,0,97,3,,,298,0
Álava,ZIGOITIA,,18,2,1386,939,9,930,3,927,447,188,132,0,94,3,2,22,,197,0,,0,289,0
Bizkaia,ZIORTZA - BOLIBAR,,915,4,362,227,1,226,,226,135,81,4,0,2,2,0,3,0,115,0,,,18,1
Gipuzkoa,ZIZURKIL,,28,3,2237,1373,8,1365,11,1354,864,296,89,1,155,8,0,18,,441,,0,,344,2
Álava,ZUIA,,63,2,1798,1269,8,1261,19,1242,529,332,174,1,103,9,2,58,,209,9,,1,341,3
Gipuzkoa,ZUMAIA,,81,4,7470,4856,23,4833,40,4793,2614,1390,213,1,549,22,5,91,,1191,,2,,1317,12
Gipuzkoa,ZUMARRAGA,,80,3,7910,5294,34,5260,49,5211,2616,1035,410,5,1246,43,7,161,,664,,1,,1626,13
