TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,PSE-EE/PSOE,ATTKA/PACMA,PFYV,Cs,EB-AZ,O.E.,EH BILDU,VOX,GANEMOS,LN,PODEMOS-IU-EQUO BERD,RECORTES CERO-GV
Bizkaia,PORTUGALETE,,78,2,38475,23258,107,23151,135,23016,15217,8008,2286,13,46,4808,192,42,451,28,4,2654,,167,,4277,40
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,965,589,7,582,4,578,376,195,129,,,69,9,,30,0,0,39,8,2,,96,1
Álava,SAMANIEGO,,52,2,254,183,,183,,183,71,72,11,,,40,1,,3,0,0,43,0,0,,13,0
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,586,332,5,327,,327,254,133,27,,,4,3,,5,0,1,101,1,2,,49,1
Bizkaia,SANTURTZI,,82,2,37491,22487,95,22392,131,22261,15004,8722,1667,14,30,3439,190,27,386,26,5,3275,,221,,4210,49
Gipuzkoa,SEGURA,,70,3,1095,789,4,785,4,781,306,320,4,,,7,0,0,5,,,398,,0,0,45,2
Bizkaia,SESTAO,,84,2,22359,12759,80,12679,85,12594,9600,4951,977,5,13,2184,107,17,177,23,11,1519,,121,,2460,29
Bizkaia,SONDIKA,,904,4,3493,2430,14,2416,15,2401,1063,1286,176,0,1,161,22,3,39,3,1,413,,6,,287,3
Bizkaia,SOPELA,,85,4,10355,6686,32,6654,34,6620,3669,2851,300,1,8,421,69,10,103,9,6,1693,,38,,1093,18
Bizkaia,SOPUERTA,,86,2,2061,1339,12,1327,9,1318,722,640,41,1,1,87,8,4,14,0,0,297,,4,,218,3
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3007,1888,8,1880,5,1875,1119,597,109,,,249,9,3,24,,,678,,6,0,192,8
Bizkaia,SUKARRIETA,,76,4,311,234,1,233,2,231,77,149,7,0,1,4,0,0,1,0,0,56,,0,,13,0
Gipuzkoa,TOLOSA,,71,3,14809,9504,24,9480,43,9437,5305,3779,377,,,545,51,19,82,,,3259,,26,1,1280,18
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,430,335,3,332,1,331,95,211,27,0,0,14,1,1,1,1,0,46,,4,,25,0
Bizkaia,UBIDE,,88,3,137,102,,102,,102,35,27,2,0,0,0,1,1,0,0,0,57,,0,,14,0
Bizkaia,UGAO-MIRABALLES,,65,3,3294,2186,13,2173,9,2164,1108,970,90,1,1,163,13,4,18,2,0,598,,21,,280,3
Bizkaia,URDULIZ,,89,4,3310,2175,9,2166,16,2150,1135,1065,78,2,2,128,24,1,33,2,1,492,,7,,310,5
Bizkaia,URDUÑA/ORDUÑA,,74,3,3299,2222,16,2206,12,2194,1077,953,142,0,0,140,5,8,26,1,2,637,,12,,264,4
Álava,URKABUSTAIZ,,54,2,968,650,1,649,6,643,318,203,38,,,24,6,,5,0,2,265,0,0,,100,0
Gipuzkoa,URNIETA,,72,1,4746,2749,9,2740,20,2720,1997,1031,149,,,335,19,13,45,,,704,,12,0,408,4
Gipuzkoa,URRETXU,,77,3,5219,3371,12,3359,28,3331,1848,1285,119,,,442,16,5,49,,,948,,27,2,430,8
Gipuzkoa,USURBIL,,73,1,4686,2982,7,2975,12,2963,1704,704,79,,,156,15,7,26,,,1569,,27,6,369,5
Álava,VALDEGOVÍA/GAUBEA,,55,2,836,506,9,497,5,492,330,193,112,,,42,5,,6,1,1,74,3,2,,51,2
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9968,6201,48,6153,30,6123,3767,2367,328,3,5,1059,46,2,89,6,1,977,,27,,1205,8
Gipuzkoa,VILLABONA,,75,3,4368,2698,7,2691,17,2674,1670,957,102,,,180,11,5,31,,,1064,,5,2,311,6
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,238,203,,203,1,202,35,85,22,,,4,1,,5,0,0,63,3,0,,19,0
Álava,VITORIA-GASTEIZ,,59,1,186647,112301,830,111471,811,110660,74346,27691,23339,,,16016,1199,,4066,313,94,17314,562,671,,18860,535
Álava,YÉCORA/IEKORA,,60,2,200,146,3,143,,143,54,56,47,,,7,1,,6,2,0,8,0,1,,15,0
Bizkaia,ZALDIBAR,,95,3,2341,1466,6,1460,8,1452,875,463,110,0,1,203,5,5,19,2,1,433,,9,,197,4
Gipuzkoa,ZALDIBIA,,78,3,1161,874,,874,8,866,287,179,7,,,18,4,0,5,,,587,,1,0,64,1
Álava,ZALDUONDO,,61,2,154,123,2,121,,121,31,45,2,,,3,1,,2,0,0,49,0,1,,18,0
Bizkaia,ZALLA,,96,2,6566,4627,49,4578,33,4545,1939,2430,178,1,1,376,26,12,55,5,1,695,,27,,723,15
Álava,ZAMBRANA,,62,2,309,165,,165,1,164,144,50,40,,,15,1,,10,0,0,22,0,1,,25,0
Bizkaia,ZAMUDIO,,905,4,2545,1733,12,1721,10,1711,812,862,47,0,1,96,10,3,20,2,0,475,,5,,188,2
Bizkaia,ZARATAMO,,97,3,1298,815,5,810,2,808,483,356,35,0,1,61,7,0,10,0,1,205,,6,,126,0
Gipuzkoa,ZARAUTZ,,79,4,17863,11732,27,11705,75,11630,6131,4888,632,,,871,57,18,116,,,3520,,32,3,1479,14
Bizkaia,ZEANURI,,24,3,995,806,1,805,5,800,189,421,8,0,0,5,3,1,5,0,0,309,,3,,44,1
Bizkaia,ZEBERIO,,25,3,879,645,2,643,3,640,234,323,5,0,0,4,5,2,0,0,1,243,,0,,57,0
Gipuzkoa,ZEGAMA,,25,3,1153,802,1,801,5,796,351,322,3,,,16,4,1,1,,,384,,2,0,62,1
Gipuzkoa,ZERAIN,,26,3,197,162,12,150,2,148,35,71,0,,,0,0,0,0,,,72,,0,0,5,0
Gipuzkoa,ZESTOA,,27,4,2815,1785,1,1784,6,1778,1030,702,15,,,41,5,0,3,,,830,,3,1,176,2
Bizkaia,ZIERBENA,,913,2,1246,857,17,840,13,827,389,437,29,0,0,34,5,0,7,0,0,173,,2,,139,1
Álava,ZIGOITIA,,18,2,1381,894,,894,4,890,487,262,97,,,65,2,,15,0,0,284,3,6,,153,3
Bizkaia,ZIORTZA - BOLIBAR,,915,4,363,256,,256,1,255,107,110,3,0,0,1,0,0,0,0,0,137,,0,,3,1
Gipuzkoa,ZIZURKIL,,28,3,2226,1407,8,1399,11,1388,819,461,47,,,102,8,1,15,,,579,,16,0,157,2
Álava,ZUIA,,63,2,1796,1231,5,1226,14,1212,565,469,126,,,80,8,,22,5,2,333,9,6,,150,2
Gipuzkoa,ZUMAIA,,81,4,7497,4720,14,4706,33,4673,2777,1778,104,,,417,25,6,39,,,1674,,29,0,592,9
Gipuzkoa,ZUMARRAGA,,80,3,7896,4794,21,4773,32,4741,3102,1468,286,,,1053,32,6,70,,,990,,33,1,792,10
