TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,POSI,UCE,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,LV-GV,ARALAR,ATTKA/PACMA,PUM+J,PFYV,EB / ARALAR,URE-EEB,UPYD,BILDU,H1!,PLIN,PSYV,EB-B/INDAZ,ESKUBI-SQ2/EB-B,IND. AIARA 11,IND. LAUDIO 11,IND. OKONDO 11,IND. VALDEGOVIA 11,IND. ALEGRIA-DUL. 11,IND. ARAMAIO 11,IND. ASPARRENA 11,IND. AÑANA 11,IND. BERANTEVILLA 11,IND. ELCIEGO 11,IND. 1 IRUÑA OKA 11,IND. 2 IRUÑA OKA 11,IND. 1 LABASTIDA 11,IND. 2 LABASTIDA 11,IND. 3 LABASTIDA 11,IND. LAGRAN 11,IND. PEÑACERRADA 11,IND. AGURAIN 11,IND. DONEMILIAGA 11,IND. VITORIA-G. 11,IND. ZALDUONDO 11,IND. ZAMBRANA 11,IND. ZIGOITIA 11,IND. ZUIA 11,IND. BALMASEDA 11,IND. GORDEXOLA 11,IND. KARRANTZA 11,IND. SOPUERTA 11,IND. TURTZIOZ 11,IND. ALONSOTEGI 11,IND. BARRIKA 11,IND. ETXEBARRI 11,IND. GALDAKAO 11,IND. GETXO 11,IND. GORLIZ 11,IND. LAUKIZ 11,IND. 1 MUSKIZ 11,IND. 2 MUSKIZ 11,IND. ORTUELLA 11,IND. PLENTZIA 11,IND. 1 SESTAO 11,IND. 2 SESTAO 11,IND. ZARATAMO 11,IND. ZIERBENA 11,IND. ABADIÑO 11,IND. ARTEA 11,IND. GARAI 11,IND. IGORRE 11,IND. OROZKO 11,IND. UBIDE 11,IND. AMOROTO 11,IND. BERRIATUA 11,IND. ERRIGOITI 11,IND. GATIKA 11,IND. GIZABURUAGA 11,IND. IBARRANGELU 11,IND. ISPASTER 11,IND. MUNGIA 11,IND. MURUETA 11,IND. MUXIKA 11,IND. SUKARRIETA 11,IND. AZKOITIA 11,IND. 1 BEIZAMA 11,IND. 2 BEIZAMA 11,IND. BIDEGOIAN 11,IND. 1 DEBA 11,IND. 2 DEBA 11,IND. ERREZIL 11,IND. EZKIO-ITSASO 11,IND. 1 GABIRIA 11,IND. 2 GABIRIA 11,IND. MUTILOA 11,IND. 1 ORMAIZTEGI 11,IND. 2 ORMAIZTEGI 11,IND. SEGURA 11,IND. ZEGAMA 11,IND. ZERAIN 11,IND. ESKORIATZA 11,IND. ASTIGARRAGA 11 ,IND. LASARTE-ORIA 11,IND. ORIO 11,IND. ABALTZISKETA 11,IND. ALKIZA 11,IND. ALTZAGA 11,IND. AMEZKETA 11,IND. ARAMA 11,IND. 1 ASTEASU 11,IND. 2 ASTEASU 11,IND. ATAUN 11,IND. 1 BELAUNTZA 11,IND. 2 BELAUNTZA 11,IND. BERROBI 11,IND. GAINTZA 11,IND. GAZTELU 11,IND. HERNIALDE 11,IND. IDIAZABAL 11,IND. 1 LARRAUL 11,IND. 2 LARRAUL 11,IND. LEABURU 11,IND. LEGORRETA 11,IND. LIZARTZA 11,IND. 1 OLABERRIA 11,IND. 2 OLABERRIA 11,IND. ORENDAIN 11,IND. ZALDIBIA 11,IND. LEINTZ-GATZ. 11
Gipuzkoa,ALTZO,,7,3,299,214,21,193,22,171,85,,2,,,,,,,0,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AMEZKETA,,8,3,761,556,1,555,15,540,205,,1,,,,,,,3,,,,,,,,,,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,14244,9649,140,9509,135,9374,4595,3910,454,,389,,,,,1059,,,,280,,,,,,,3282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOROTO,,4,4,326,233,2,231,2,229,93,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AMURRIO,,2,3,8061,5611,164,5447,147,5300,2450,2126,602,,,,,,,534,,,,,,98,,,,,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANDOAIN,,9,3,11833,7500,59,7441,146,7295,4333,1363,561,,369,,,,,2062,,,,237,,,,,,,2500,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANOETA,,10,3,1419,939,13,926,27,899,480,222,43,,,,,,,39,,,,,,,,,,,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANTZUOLA,,11,4,1710,1247,13,1234,35,1199,463,288,18,,,,,,,141,,,,,,,,,,,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARAKALDO,,5,3,96,78,74,4,1,73,18,37,0,,,,,,,0,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARAMA,,12,3,153,116,7,109,11,98,37,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,
Álava,ARAMAIO,,3,2,1204,900,14,886,18,868,304,142,3,,,,,,,8,,,,,,,,,,,538,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARANTZAZU,,6,3,290,263,2,261,3,258,27,135,1,,,,,,,0,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AREATZA,,93,3,891,722,26,696,18,678,169,343,44,,,,,,,28,,,,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARETXABALETA,,13,4,5337,3475,37,3438,38,3400,1862,630,132,,77,,,,,262,,,,786,,,,,,,1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARMIÑÓN,,6,2,187,145,2,143,9,134,42,69,59,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRAIA-MAEZTU,,37,2,623,435,5,430,8,422,188,197,66,,,,,,,22,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRANKUDIAGA,,9,3,762,633,11,622,12,610,129,280,6,,,,,,,7,,,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17903,10938,98,10840,166,10674,6965,2114,748,,412,,,,,1903,,,,771,,,,,,,4726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRATZU,,914,4,329,297,2,295,2,293,32,171,0,,,,,,,0,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,779,547,16,531,17,514,232,178,91,,,,,,,79,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIETA,,10,4,433,335,5,330,2,328,98,175,3,,,,,,,2,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIGORRIAGA,,11,3,9741,6066,111,5955,173,5782,3675,2081,516,,466,,,,,905,,,,,,,,,,,1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTEA,,23,3,601,527,6,521,3,518,74,192,7,,,,,,,9,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTZENTALES,,8,2,597,461,24,437,11,426,136,309,8,,,,,,,12,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARTZINIEGA,,4,3,1433,1044,37,1007,21,986,389,424,178,,,,,,,49,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ASPARRENA,,9,2,1311,946,18,928,19,909,365,151,26,,,,,,,20,,,,54,,,,,,,455,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTEASU,,14,3,1114,799,5,794,6,788,315,76,6,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,211,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTIGARRAGA,,903,1,3606,2204,18,2186,49,2137,1402,352,105,,34,,,,,111,,,,101,,,,,,,1050,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ATAUN,,15,3,1309,1066,1,1065,9,1056,243,,1,,,,,,,3,,,,,,,,,,,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,,,,,,,,,,,,,,,,,
Bizkaia,ATXONDO,,91,3,1183,840,19,821,26,795,343,275,20,,,,,,,27,,,,,,,,,,,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AULESTI,,70,4,560,455,5,5,5,445,105,152,1,,,,,,,1,,,,,,,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AYALA/AIARA,,10,3,2281,1669,48,1621,27,1594,612,477,160,,,,,,,52,,,,,,,,,,,591,,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZKOITIA,,17,4,8695,6009,31,5978,106,5872,2686,1876,262,,,,,,,448,,,,,,,,,,,2596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZPEITIA,,18,4,11038,7960,64,7896,138,7758,3078,2219,185,,,,,,,213,,,,325,,,,,,,4333,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AÑANA,,49,2,146,114,6,108,2,106,32,76,,,,,,,,6,,,,,,,,,,,22,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BAKIO,,12,4,2027,1648,43,1605,27,1578,379,825,26,,,,,,,31,,,,,,,,,,,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BALIARRAIN,,904,3,96,72,1,71,6,65,24,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,
Bizkaia,BALMASEDA,,90,2,6158,4727,85,4642,54,4588,1431,2215,145,,40,,,,,788,,,,,,,,,,,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARAKALDO,,13,2,81577,46066,780,45286,1323,43963,35511,11283,7908,,2759,,,,270,13168,,,,929,,525,,,,,6959,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARRIKA,,14,4,1205,871,9,862,19,843,334,263,37,,18,,,,,32,74,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BARRUNDIA,,13,2,719,458,5,453,5,448,261,172,46,,,,,,,24,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BASAURI,,15,3,35166,21709,288,21421,428,20993,13457,6904,2615,,912,,,,,6751,,,,531,,,,,,,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,262,219,7,212,4,208,43,63,109,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEASAIN,,19,3,10151,6241,80,6161,112,6049,3910,1905,372,,181,,,,,861,,,,319,,,,,,,1949,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BEDIA,,92,3,799,609,7,602,10,592,190,349,27,,,,,,,27,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEIZAMA,,20,4,146,134,5,129,3,126,12,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BELAUNTZA,,21,3,227,174,2,172,4,168,53,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,88,,,,,,,,,,,,,,,
