TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EB-B,CDS,PST,PH,ARM-ADE,PSE-EE/PSOE,EA-EUE,POR-LIA,BERDEAK-LV,LE,PLN-LNA,CNPS,P.ITRCG.
Gipuzkoa,BIDANIA-GOIATZ,,24,4,384,265,2,263,1,262,119,75,0,78,,1,0,,,0,0,108,0,0,0,0,0,
Bizkaia,BILBAO,,20,1,307108,217334,2161,215173,3026,212147,89774,61198,45160,20819,,14639,2189,1037,102,465,51301,10977,146,2599,1191,116,76,132
Bizkaia,BUSTURIA,,21,4,1379,1070,13,1057,18,1039,309,417,35,275,,20,2,2,1,1,144,133,1,4,4,0,0,0
Álava,CAMPEZO/KANPEZU,,17,2,969,662,1,661,6,655,307,209,191,48,44,12,2,,,0,105,35,1,4,3,1,0,
Gipuzkoa,DEBA,,29,4,3904,2734,21,2713,62,2651,1170,602,125,666,,60,5,,,6,368,797,0,15,6,0,1,
Bizkaia,DERIO,,901,4,3971,2937,29,2908,26,2882,1034,1016,232,313,,129,17,15,2,14,876,227,5,17,13,0,3,3
Bizkaia,DIMA,,26,3,882,737,2,735,12,723,145,275,44,307,,4,0,0,0,0,3,90,0,0,0,0,0,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,144260,97654,640,97014,3276,93738,46606,13078,19016,14754,,5308,636,,,226,21682,17204,44,1224,465,80,21,
Bizkaia,DURANGO,,27,3,18091,13021,58,12963,182,12781,5070,4706,1984,1912,,628,66,56,6,30,2263,945,5,115,46,6,13,0
Bizkaia,EA,,28,4,698,538,1,537,5,532,160,280,10,140,,1,0,0,0,0,13,86,0,0,1,1,0,0
Gipuzkoa,EIBAR,,30,4,26901,18167,84,18083,356,17727,8734,3533,2335,2899,,1023,88,,,27,5402,2140,15,159,97,6,3,
Bizkaia,ELANTXOBE,,31,4,443,361,,361,2,359,82,188,3,125,,0,0,0,0,0,9,34,0,0,0,0,0,0
Álava,ELBURGO/BURGELU,,21,2,176,121,,121,1,120,55,38,28,9,16,6,3,,,1,11,5,0,0,3,0,0,
Álava,ELCIEGO,,22,2,739,618,9,609,1,608,121,56,177,15,29,25,6,,,0,232,65,0,3,0,0,0,
Gipuzkoa,ELDUAIN,,31,3,213,152,,152,3,149,61,27,2,66,,0,0,,,0,1,52,0,1,0,0,0,
Gipuzkoa,ELGETA,,33,4,815,560,,560,7,553,255,211,30,161,,8,0,,,4,41,94,0,4,0,0,0,
Gipuzkoa,ELGOIBAR,,32,4,9432,6759,37,6722,98,6624,2673,2114,633,1194,,243,24,,,12,1353,968,5,72,0,5,1,
Bizkaia,ELORRIO,,32,3,6046,4531,49,4482,32,4450,1515,1464,411,922,,174,22,9,2,10,963,419,6,26,14,5,1,2
Álava,ELVILLAR/BILAR,,23,2,312,251,4,247,1,246,61,107,33,10,68,6,1,,,0,18,2,0,1,0,0,0,
Bizkaia,ERANDIO,,902,4,19426,13224,120,13104,154,12950,6202,4002,1369,1790,,874,114,57,6,39,3784,665,6,155,49,7,18,15
Bizkaia,EREÑO,,33,4,222,156,,156,2,154,66,73,6,47,,1,0,0,0,0,2,21,0,2,2,0,0,0
Bizkaia,ERMUA,,34,3,14124,9792,53,9739,118,9621,4332,1141,2055,873,,1144,127,115,12,24,3568,319,11,130,91,7,4,0
Gipuzkoa,ERRENTERIA,,67,2,33849,22467,180,22287,421,21866,11382,1978,2021,4935,,1702,182,,,67,7957,2506,17,273,181,32,15,
Gipuzkoa,ERREZIL,,66,4,567,331,,331,1,330,236,63,1,190,,0,0,,,0,1,75,0,0,0,0,0,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,464,354,1,353,2,351,110,91,70,21,81,12,2,,,0,54,16,0,4,0,0,0,
Bizkaia,ERRIGOITI,,79,4,377,299,,299,1,298,78,142,13,94,,3,0,0,0,0,5,41,0,0,0,0,0,0
Gipuzkoa,ESKORIATZA,,34,4,3113,2067,5,2062,20,2042,1046,357,130,489,,43,5,,,3,479,508,2,15,11,0,0,
Bizkaia,ETXEBARRI,,29,3,4921,3466,16,3450,20,3430,1455,689,439,258,,259,35,27,1,5,1438,226,3,26,17,5,1,1
Bizkaia,ETXEBARRIA,,30,4,625,388,4,384,9,375,237,135,11,187,,2,2,0,0,0,9,27,0,2,0,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,440,326,,326,,326,114,45,4,153,,2,0,,,0,6,116,0,0,0,0,0,
Bizkaia,FORUA,,906,4,768,557,2,555,4,551,211,208,24,191,,4,1,1,0,1,36,84,0,0,1,0,0,0
Bizkaia,FRUIZ,,35,4,262,179,,179,1,178,83,123,8,34,,1,0,0,0,0,0,12,0,0,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,360,253,,253,4,249,107,21,7,43,,0,0,,,0,2,175,0,1,0,0,0,
Gipuzkoa,GAINTZA,,37,3,107,66,,66,3,63,41,13,0,31,,1,0,,,0,0,17,0,1,0,0,0,
Bizkaia,GALDAKAO,,36,3,22281,15615,135,15480,167,15313,6666,4669,1511,2539,,1039,77,83,10,31,3736,1339,9,149,76,19,6,20
Bizkaia,GALDAMES,,37,2,708,557,6,551,5,546,151,278,25,71,,19,0,2,0,0,66,79,0,4,0,0,0,2
Bizkaia,GAMIZ-FIKA,,38,4,757,541,4,537,,537,216,328,15,133,,3,0,0,1,0,7,47,0,1,2,0,0,0
Bizkaia,GARAI,,39,3,211,172,2,170,3,167,39,99,7,42,,1,0,0,0,0,0,16,0,0,0,2,0,0
Bizkaia,GATIKA,,40,4,765,607,1,606,9,597,158,260,35,115,,2,0,1,1,0,18,161,0,3,0,0,0,1
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,634,498,5,493,7,486,136,271,21,110,,5,0,0,0,0,19,58,0,2,0,0,0,0
Bizkaia,GERNIKA-LUMO,,46,4,12678,9316,88,9228,89,9139,3362,3574,754,2024,,240,25,9,5,12,1119,1249,7,69,36,7,9,0
Gipuzkoa,GETARIA,,39,4,1906,1541,8,1533,27,1506,365,603,30,406,,13,0,,,0,48,397,0,7,2,0,0,
Bizkaia,GETXO,,44,4,62175,46554,144,46410,820,45590,15621,15111,12223,4643,,2312,414,102,37,92,6441,3399,11,540,198,18,16,33
Bizkaia,GIZABURUAGA,,47,4,114,87,,87,2,85,27,45,1,33,,0,0,0,0,0,0,6,0,0,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1281,1048,28,1020,11,1009,233,575,170,83,,37,3,1,0,1,64,61,0,8,4,1,1,0
Bizkaia,GORLIZ,,43,4,2369,1693,14,1679,30,1649,676,844,127,228,,64,3,2,1,3,141,201,0,19,15,1,0,0
Bizkaia,GÜEÑES,,45,2,4821,3990,47,3943,28,3915,831,1800,236,578,,98,7,5,1,4,590,562,0,19,13,0,1,1
Álava,HARANA/VALLE DE ARANA,,56,2,355,242,1,241,5,236,113,91,53,25,37,3,0,,,0,18,6,0,2,1,0,0,
Gipuzkoa,HERNANI,,40,1,15022,9719,77,9642,210,9432,5303,1027,573,3245,,541,40,,,28,2366,1455,9,92,46,5,5,
Gipuzkoa,HERNIALDE,,41,3,219,114,,114,2,112,105,28,7,31,,5,0,,,0,5,36,0,0,0,0,0,
Gipuzkoa,HONDARRIBIA,,36,2,10972,7039,37,7002,215,6787,3933,1470,815,1421,,233,40,,,24,978,1642,8,107,34,10,5,
Gipuzkoa,IBARRA,,42,3,3394,2232,27,2205,45,2160,1162,312,128,644,,82,12,,,2,520,442,1,6,10,0,1,
Bizkaia,IBARRANGELU,,48,4,451,362,1,361,1,360,89,234,13,64,,4,3,0,0,0,8,34,0,0,0,0,0,0
Gipuzkoa,IDIAZABAL,,43,3,1584,1173,,1173,21,1152,411,279,46,268,,9,1,,,2,47,495,0,1,1,2,1,
Bizkaia,IGORRE,,94,3,2870,2310,21,2289,28,2261,560,1106,95,484,,30,3,3,0,3,153,366,4,3,10,0,1,0
Gipuzkoa,IKAZTEGIETA,,44,3,294,197,1,196,,196,97,34,16,98,,0,0,,,0,6,41,0,1,0,0,0,
Gipuzkoa,IRUN,,45,2,42640,29148,191,28957,692,28265,13492,3760,4819,3200,,2095,389,,,108,10022,3252,27,297,238,33,25,
Gipuzkoa,IRURA,,46,3,543,349,3,346,14,332,194,99,9,109,,8,2,,,1,32,70,0,2,0,0,0,
Álava,IRURAIZ-GAUNA,,27,2,348,228,,228,3,225,120,60,65,36,41,9,0,,,0,8,3,0,0,3,0,0,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1234,952,4,948,13,935,282,146,231,52,99,50,6,,,1,312,15,0,10,10,3,0,
Bizkaia,ISPASTER,,49,4,513,402,,402,,402,111,261,22,68,,2,1,2,0,0,6,37,1,2,0,0,0,0
Gipuzkoa,ITSASONDO,,47,3,540,368,7,361,5,356,172,93,9,150,,15,1,,,0,17,63,1,6,1,0,0,
Bizkaia,IURRETA,,910,3,3871,2857,20,2837,33,2804,1014,901,312,528,,123,27,16,0,13,741,115,1,13,7,4,1,2
Bizkaia,IZURTZA,,50,3,219,167,3,164,,164,52,86,7,49,,2,0,0,1,0,6,11,1,1,0,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2587,1622,5,1617,4,1613,965,835,192,198,,27,5,3,2,7,264,59,1,12,5,0,1,2
Bizkaia,KORTEZUBI,,907,4,319,260,1,259,,259,59,174,7,55,,1,0,0,0,0,4,18,0,0,0,0,0,0
Álava,KRIPAN,,19,2,176,125,,125,,125,51,84,21,3,2,6,3,,,0,1,5,0,0,0,0,0,
Álava,KUARTANGO,,20,2,306,204,4,200,3,197,102,81,22,49,18,7,4,,,0,12,2,0,0,2,0,0,
Álava,LABASTIDA/BASTIDA,,28,2,768,603,2,601,1,600,165,87,169,75,86,49,6,,,0,114,10,0,4,0,0,0,
Álava,LAGRÁN,,30,2,168,137,,137,3,134,31,45,37,3,21,3,1,,,2,19,0,0,1,0,1,1,
Álava,LAGUARDIA,,31,2,1176,965,14,951,9,942,211,262,315,40,89,27,5,,,3,155,39,1,3,3,0,0,
Álava,LANCIEGO/LANTZIEGO,,32,2,537,422,3,419,1,418,115,172,92,18,27,7,0,,,2,95,1,0,3,1,0,0,
Bizkaia,LANESTOSA,,51,2,246,204,1,203,3,200,42,100,31,14,,4,0,0,0,0,46,1,0,3,1,0,0,0
Álava,LANTARÓN,,902,2,697,529,4,525,2,523,168,150,129,24,94,32,6,,,0,73,3,2,4,5,1,0,
Álava,LAPUEBLA DE LABARCA,,33,2,653,546,2,544,4,540,107,287,114,11,14,9,2,,,0,75,26,0,0,2,0,0,
Bizkaia,LARRABETZU,,52,4,1236,1006,8,998,2,996,230,535,34,324,,9,2,1,0,1,44,39,0,5,0,2,0,0
Gipuzkoa,LARRAUL,,48,3,116,52,,52,,52,64,11,0,27,,0,0,,,0,0,14,0,0,0,0,0,
Gipuzkoa,LASARTE-ORIA,,902,1,14588,9993,57,9936,200,9736,4595,927,922,1599,,547,96,,,16,4247,1179,12,105,75,7,4,
Álava,LAUDIO/LLODIO,,36,3,16677,11779,166,11613,114,11499,4898,2639,1677,2113,315,652,104,,,36,3017,728,7,124,67,11,9,
Bizkaia,LAUKIZ,,53,4,797,597,3,594,8,586,200,317,94,58,,9,0,0,0,0,17,86,0,3,2,0,0,0
Gipuzkoa,LAZKAO,,49,3,3924,2824,24,2800,57,2743,1100,628,119,797,,107,11,,,5,629,419,0,15,6,6,1,
Gipuzkoa,LEABURU,,50,3,477,319,3,316,5,311,158,40,7,199,,5,0,,,0,5,55,0,0,0,0,0,
Gipuzkoa,LEGAZPI,,51,3,8132,5680,52,5628,111,5517,2452,1140,296,1001,,223,30,,,7,1425,1313,11,46,19,6,0,
Gipuzkoa,LEGORRETA,,52,3,1203,885,7,878,18,860,318,299,47,199,,18,1,,,0,137,156,0,1,2,0,0,
Álava,LEGUTIO,,58,2,994,662,5,657,10,647,332,206,44,129,30,23,1,,,1,108,98,0,5,2,0,0,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,202,153,,153,,153,49,53,2,63,,1,0,,,3,1,29,0,0,1,0,0,
Bizkaia,LEIOA,,54,4,18778,13364,137,13227,152,13075,5414,4240,1671,1476,,1148,102,50,5,34,3207,796,12,205,113,4,5,7
Bizkaia,LEKEITIO,,57,4,6139,4511,30,4481,34,4447,1628,1614,126,1455,,52,5,6,0,2,150,983,1,37,16,0,0,0
Bizkaia,LEMOA,,55,3,2203,1869,16,1853,8,1845,334,979,81,292,,27,0,0,1,2,120,327,0,11,5,0,0,0
Bizkaia,LEMOIZ,,56,4,653,503,2,501,5,496,150,282,23,109,,5,1,0,0,2,24,40,0,4,4,0,0,2
Álava,LEZA,,34,2,168,127,2,125,2,123,41,29,19,4,5,3,1,,,0,31,30,0,0,1,0,0,
Bizkaia,LEZAMA,,81,4,1611,1269,9,1260,12,1248,342,765,84,238,,22,2,3,0,0,61,62,1,6,4,0,0,0
Gipuzkoa,LEZO,,53,2,4154,2744,28,2716,41,2675,1410,246,125,1042,,128,8,,,5,602,480,3,23,7,3,3,
Gipuzkoa,LIZARTZA,,54,3,601,500,9,491,,491,101,40,4,264,,1,0,,,0,0,182,0,0,0,0,0,
Bizkaia,LOIU,,903,4,1488,1148,3,1145,8,1137,340,620,190,124,,16,0,1,1,4,22,153,0,5,1,0,0,0
Bizkaia,MALLABIA,,58,3,912,678,4,674,7,667,234,218,28,275,,10,4,0,0,0,89,35,0,6,2,0,0,0
Bizkaia,MARKINA-XEMEIN,,60,4,3942,2576,18,2558,15,2543,1366,1186,185,733,,42,4,2,1,1,116,253,0,10,8,0,0,2
Bizkaia,MARURI-JATABE,,61,4,435,324,1,323,2,321,111,170,46,28,,3,1,0,0,1,20,47,0,4,1,0,0,0
Bizkaia,MAÑARIA,,59,3,402,310,2,308,3,305,92,186,13,84,,1,0,0,0,0,7,11,1,1,1,0,0,0
Gipuzkoa,MENDARO,,901,4,1188,833,3,830,12,818,355,326,36,176,,15,1,,,0,121,134,0,7,1,1,0,
Bizkaia,MENDATA,,62,4,288,246,1,245,1,244,42,150,10,39,,0,0,0,0,0,3,41,0,1,0,0,0,0
Bizkaia,MENDEXA,,63,4,305,236,1,235,2,233,69,121,9,86,,0,0,0,0,1,3,13,0,0,0,0,0,0
Bizkaia,MEÑAKA,,64,4,370,296,1,295,3,292,74,130,13,51,,1,0,0,0,0,1,94,0,0,2,0,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,241,203,1,202,3,199,38,62,53,5,5,2,1,,,0,70,1,0,0,0,0,0,
Bizkaia,MORGA,,66,4,283,226,1,225,3,222,57,151,19,24,,1,0,0,0,0,1,21,0,3,0,0,0,2
Bizkaia,MUNDAKA,,68,4,1350,1138,6,1132,2,1130,212,614,42,251,,10,1,0,0,1,27,175,1,4,3,0,0,1
Bizkaia,MUNGIA,,69,4,9398,6534,59,6475,62,6413,2864,3285,590,939,,167,21,10,4,8,689,596,1,62,39,2,0,0
Álava,MUNICIPIO CERA ARABA,,999,99,1073,407,1,406,1,405,666,64,117,18,33,13,7,,,5,133,7,0,3,4,0,1,
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,6806,2355,20,2335,13,2322,4451,663,306,171,,127,33,24,3,7,826,71,4,47,23,8,5,4
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,5297,1868,42,1826,36,1790,3429,321,280,165,,98,28,,,13,711,103,2,41,25,2,1,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,390,303,1,302,3,299,87,168,7,89,,2,0,0,0,1,5,23,1,2,0,1,0,0
Bizkaia,MURUETA,,908,4,170,125,,125,4,121,45,74,4,17,,0,0,0,0,0,1,22,0,2,1,0,0,0
Bizkaia,MUSKIZ,,71,2,5122,3980,27,3953,41,3912,1142,1496,218,434,,294,12,9,3,1,1135,272,1,30,0,3,2,2
Gipuzkoa,MUTILOA,,57,3,159,90,,90,1,89,69,18,9,33,,2,0,,,0,0,27,0,0,0,0,0,
Gipuzkoa,MUTRIKU,,56,4,3955,2769,18,2751,22,2729,1186,1223,175,844,,28,2,,,4,164,272,0,8,6,3,0,
Bizkaia,MUXIKA,,67,4,1206,987,7,980,6,974,219,449,26,360,,8,0,0,0,2,7,121,0,1,0,0,0,0
Bizkaia,NABARNIZ,,909,4,224,172,,172,,172,52,78,0,86,,0,0,0,0,0,0,8,0,0,0,0,0,0
Álava,NAVARIDAS,,41,2,186,139,,139,1,138,47,27,75,2,8,5,0,,,0,11,10,0,0,0,0,0,
Gipuzkoa,OIARTZUN,,63,2,6618,4642,31,4611,71,4540,1976,711,227,2013,,114,14,,,3,327,1079,0,31,17,2,2,
Álava,OKONDO,,42,3,621,501,4,497,2,495,120,231,69,81,3,2,0,,,0,23,84,0,1,1,0,0,
Gipuzkoa,OLABERRIA,,58,3,968,649,4,645,11,634,319,128,86,126,,23,4,,,0,161,94,0,6,4,1,1,
Bizkaia,ONDARROA,,73,4,8572,5971,66,5905,61,5844,2601,2056,456,2297,,71,3,1,2,9,346,556,0,33,6,5,1,2
Gipuzkoa,ORDIZIA,,76,3,7668,5319,34,5285,159,5126,2349,967,457,1263,,266,18,,,4,1012,1059,1,42,27,10,0,
Gipuzkoa,ORENDAIN,,905,3,142,109,1,108,3,105,33,11,0,62,,0,0,,,0,0,32,0,0,0,0,0,
Gipuzkoa,OREXA,,60,3,69,58,,58,,58,11,8,0,48,,0,0,,,0,0,2,0,0,0,0,0,
Gipuzkoa,ORIO,,61,4,3377,2189,14,2175,32,2143,1188,566,148,547,,34,0,,,6,292,522,0,17,10,1,0,
Gipuzkoa,ORMAIZTEGI,,62,3,944,744,15,729,21,708,200,222,21,178,,3,0,,,0,31,250,0,0,2,1,0,
