TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,EA,EB-B,EHB,PH,PSE-EE/PSOE,FEI,ICV-EHE/GORORDO,PRT,UC,CR,FEA
Bizkaia,SOPUERTA,,86,2,1893,1421,18,1403,13,1390,472,432,204,134,245,95,4,2,270,0,4,0,0,0,0
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3787,2713,13,2700,57,2643,1074,758,344,536,319,105,7,0,571,,,3,0,,
Bizkaia,SUKARRIETA,,76,4,265,209,4,205,3,202,56,116,16,24,29,4,1,0,10,0,0,0,2,0,0
Gipuzkoa,TOLOSA,,71,3,15044,9832,68,9764,198,9566,5212,2129,1284,2115,1980,538,66,1,1446,,,4,3,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,451,361,4,357,,357,90,185,69,16,24,9,0,0,52,1,1,0,0,0,0
Bizkaia,UBIDE,,88,3,132,119,2,117,1,116,13,48,12,46,6,3,0,0,0,0,0,0,0,1,0
Bizkaia,UGAO-MIRABALLES,,65,3,3439,2478,34,2444,19,2425,961,872,273,445,140,139,5,2,520,0,26,1,0,1,1
Bizkaia,URDULIZ,,89,4,2295,1730,31,1699,20,1679,565,758,163,284,142,86,6,4,220,1,11,2,1,1,0
Bizkaia,URDUÑA/ORDUÑA,,74,3,3343,2486,27,2459,36,2423,857,958,399,314,200,149,12,2,368,1,11,1,4,4,0
Álava,URKABUSTAIZ,,54,2,718,518,6,512,2,510,200,151,115,102,27,41,2,0,72,,,0,0,,
Gipuzkoa,URNIETA,,72,1,3997,2768,19,2749,55,2694,1229,809,248,482,209,206,17,1,718,,,4,0,,
Gipuzkoa,URRETXU,,77,3,5219,3859,33,3826,71,3755,1360,643,297,559,888,266,22,4,1072,,,2,2,,
Gipuzkoa,USURBIL,,73,1,4338,3110,24,3086,54,3032,1228,550,206,1109,460,124,9,1,570,,,3,0,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,819,580,5,575,9,566,239,224,186,43,5,17,0,0,87,,,3,1,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10910,8075,54,8021,124,7897,2835,1997,827,758,176,1044,38,2,3003,1,41,5,4,1,0
Gipuzkoa,VILLABONA,,75,3,4328,2909,20,2889,66,2823,1419,500,271,825,536,164,18,1,507,,,1,0,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,302,251,3,248,,248,51,115,56,36,17,6,0,1,16,,,1,0,,
Álava,VITORIA-GASTEIZ,,59,1,175443,126399,1018,125381,2018,123362,49044,21762,36088,8045,5781,16687,607,154,33857,,,190,191,,
Álava,YÉCORA/IEKORA,,60,2,210,176,1,175,,175,34,66,78,1,2,1,0,0,27,,,0,0,,
Bizkaia,ZALDIBAR,,95,3,2473,1725,17,1708,24,1684,748,461,265,265,116,156,4,1,410,1,1,2,2,0,0
Gipuzkoa,ZALDIBIA,,78,3,1307,930,5,925,8,917,377,107,46,523,128,25,3,0,84,,,0,1,,
Álava,ZALDUONDO,,61,2,109,78,,78,,78,31,26,9,16,5,10,0,0,12,,,0,0,,
Bizkaia,ZALLA,,96,2,6109,4948,55,4893,54,4839,1161,2483,453,339,329,301,9,3,891,0,23,0,3,3,2
Álava,ZAMBRANA,,62,2,306,247,2,245,,245,59,108,76,4,3,24,0,0,29,,,0,1,,
Bizkaia,ZAMUDIO,,905,4,2599,1952,16,1936,18,1918,647,890,185,328,65,63,9,4,344,0,27,1,1,1,0
Bizkaia,ZARATAMO,,97,3,1311,1025,11,1014,5,1009,286,303,80,191,153,79,5,1,191,0,4,0,1,1,0
Gipuzkoa,ZARAUTZ,,79,4,15134,10689,70,10619,208,10411,4445,2191,1396,1735,2893,494,61,10,1621,,,5,5,,
Bizkaia,ZEANURI,,24,3,989,783,5,778,3,775,206,426,51,119,166,6,0,0,7,0,0,0,0,0,0
Bizkaia,ZEBERIO,,25,3,798,604,2,602,1,601,194,379,21,162,21,7,1,0,9,0,1,0,0,0,0
Gipuzkoa,ZEGAMA,,25,3,1140,831,5,826,6,820,309,140,39,295,311,9,0,0,25,,,1,0,,
Gipuzkoa,ZERAIN,,26,3,189,129,6,123,,123,60,53,2,35,29,0,0,0,4,,,0,0,,
Gipuzkoa,ZESTOA,,27,4,2730,2052,13,2039,23,2016,678,618,55,681,496,37,9,0,118,,,1,1,,
Bizkaia,ZIERBENA,,913,2,985,780,1,779,4,775,205,422,61,108,13,36,3,2,129,0,1,0,0,0,0
Álava,ZIGOITIA,,18,2,867,577,4,573,15,558,290,188,95,104,85,31,1,1,53,,,0,0,,
Gipuzkoa,ZIZURKIL,,28,3,2142,1465,8,1457,28,1429,677,293,133,406,194,68,14,1,316,,,4,0,,
Álava,ZUIA,,63,2,1200,895,8,887,13,874,305,356,238,92,51,41,7,2,83,,,4,0,,
Gipuzkoa,ZUMAIA,,81,4,6561,4614,22,4592,83,4509,1947,1400,357,894,635,206,14,3,992,,,3,5,,
Gipuzkoa,ZUMARRAGA,,80,3,8790,6437,45,6392,117,6275,2353,998,597,649,1028,678,37,7,2273,,,6,2,,
