TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,EAE / ANV,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,PKD,ARALAR,ATTKA/PACMA,UCL,PUM+J,INNDE,EB / ARALAR,CDL,URE-EEB,EB / ARALAR / ZUTIK,EB / ZUTIK,IND. ALEGRIA-DUL. 07,IND. AÑANA 07,IND. ARMIÑON 07,IND. ARRAIA-MAEZ. 07,IND. 1 ASPARRENA 07,IND. 2 ASPARRENA 07,IND. ELCIEGO 07,IND. 1 IRUÑA OKA 07,IND. 2 IRUÑA OKA 07,IND. 3 IRUÑA OKA 07,IND. LABASTIDA 07,IND. 2 LAGRAN 07,IND. LANTARON 07,IND. 1 LEZA 07,IND. 2 LEZA 07,IND. RIBERA ALTA 07,IND. ZAMBRANA 07,IND. ZIGOITIA 07,IND. ZUIA 07,IND. VALDEGOVIA 07,IND. BALMASEDA 07,IND. 1 KARRANTZA 07,IND. 2 KARRANTZA 07,IND. SOPUERTA 07,IND. TURTZIOZ 07,IND. 1 ABANTO-Z. 07,IND. 2 ABANTO-Z. 07,IND. ALONSOTEGI 07,IND. ETXEBARRI 07,IND. MUSKIZ 07,IND. PLENTZIA 07,IND. SESTAO 07,IND. ZIERBENA 07,IND. ARTEA 07,IND. ELORRIO 07,IND. GARAI 07,IND. IGORRE 07,IND. OTXANDIO 07,IND. ZALDIBAR 07,IND. AMOROTO 07,IND. BERRIATUA 07,IND. EREÑO 07,IND. ERRIGOITI 07,IND. GIZABURUAGA 07,IND. IBARRANGELU 07,IND. ISPASTER 07,IND. MURUETA 07,IND. MUXIKA 07,IND. AZKOITIA 07,IND. BEIZAMA 07,IND. DEBA 07,IND. ERREZIL 07,IND. 1 EZKIO-ITS. 07,IND. 2 EZKIO-ITS. 07,IND. GABIRIA 07,IND. MUTILOA 07,IND. 1 ORMAIZTEGI 07,IND. 2 ORMAIZTEGI 07,IND. SEGURA 07,IND. ZEGAMA 07,IND. ZERAIN 07,IND. ELGETA 07,IND. ESKORIATZA 07,IND. LEINTZ-GATZ. 07,IND. MUTRIKU 07,IND. HONDARRIBIA 07,IND. IRUN 07,IND. LASARTE-ORIA 07,IND. OIARTZUN 07,IND. URNIETA 07,IND. ABALTZISKETA 07,IND. ALBIZTUR 07,IND. ALKIZA 07,IND. ALTZAGA 07,IND. ALTZO 07,IND. 1 AMEZKETA 07,IND. 2 AMEZKETA 07,IND. 1 ARAMA 07,IND. 2 ARAMA 07,IND. ASTEASU 07,IND. ATAUN 07,IND. BALIARRAIN 07,IND. 1 BELAUNTZA 07,IND. 2 BELAUNTZA 07,IND. 1 BERROBI 07,IND. 2 BERROBI 07,IND. GAINTZA 07,IND. 1 GAZTELU 07,IND. 2 GAZTELU 07,IND. HERNIALDE 07,IND. IDIAZABAL 07,IND. LARRAUL 07,IND. LEABURU 07,IND. OLABERRIA 07,IND. ORENDAIN 07,IND. PEÑACERRADA 07,IND. AGURAIN 07,IND. GORLIZ 07,IND. ABADIÑO 07,IND. 1 LAGRAN 07
Álava,BERNEDO,,16,2,524,301,29,272,5,267,223,147,75,,,,,,25,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIATUA,,18,4,997,655,7,648,7,641,342,,2,,,,,256,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIZ,,19,3,3938,2476,30,2446,51,2395,1462,875,161,171,139,,,718,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERROBI,,23,3,470,417,2,415,5,410,53,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,180,,,,,,,,,,,,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,388,218,29,189,24,165,170,,13,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BILBAO,,20,1,298157,170083,12725,157358,2507,154851,128074,64881,35278,4246,,138,224,,34687,1334,,1036,,,,463,,12564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BUSTURIA,,21,4,1567,1108,1,1107,9,1098,459,397,17,236,,,,392,32,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,CAMPEZO/KANPEZU,,17,2,965,691,8,683,9,674,274,236,121,105,,,,128,20,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DEBA,,29,4,4464,3042,17,3025,44,2981,1422,475,73,941,,,,698,88,,,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DERIO,,901,4,4306,2756,29,2727,51,2676,1550,1299,183,173,,,,256,606,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DIMA,,26,3,1061,877,307,570,15,555,184,545,6,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,155444,85270,11029,74241,2301,71940,70174,12768,15862,6181,,,271,,27786,,585,,,,,,,8487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DURANGO,,27,3,22122,13306,123,13183,180,13003,8816,4099,1605,382,696,,,2531,2131,,,,1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,EA,,28,4,813,609,207,402,9,393,204,258,5,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,EIBAR,,30,4,23044,14348,1775,12573,196,12377,8696,2790,1043,1162,,,,,6048,,,,,,,,,1334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ELANTXOBE,,31,4,439,311,35,276,9,267,128,178,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELBURGO/BURGELU,,21,2,416,268,14,254,6,248,148,163,63,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELCIEGO,,22,2,854,720,13,707,11,696,134,,126,,,,,,253,,,,,,,,,8,,,,,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELDUAIN,,31,3,188,108,83,25,24,1,80,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELGETA,,33,4,843,654,10,644,5,639,189,,2,,,,,172,4,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELGOIBAR,,32,4,9221,5834,1095,4739,101,4638,3387,1657,411,864,,,,,1007,,,,,,,,,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ELORRIO,,32,3,6028,4169,29,4140,31,4109,1859,1245,249,93,,,,1672,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELVILLAR/BILAR,,23,2,298,264,6,258,10,248,34,127,115,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERANDIO,,902,4,19787,11240,1094,10146,253,9893,8547,4983,1080,360,,,,,2841,,,,,,,,,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,EREÑO,,33,4,252,218,3,215,4,211,34,155,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERMUA,,34,3,13649,8114,492,7622,129,7493,5535,1055,1559,246,924,,,,3709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ERRENTERIA,,67,2,32600,17426,110,17316,306,17010,15174,2101,1439,873,,,,4296,6412,,,,,,,,,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ERREZIL,,66,4,526,413,9,404,1,403,113,,1,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,585,451,26,425,12,413,134,202,103,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERRIGOITI,,79,4,467,407,63,344,1,343,60,234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ESKORIATZA,,34,4,3296,1994,19,1975,19,1956,1302,298,53,294,,,,648,254,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ETXEBARRI,,29,3,6794,4158,201,3957,38,3919,2636,432,140,228,,,,,460,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ETXEBARRIA,,30,4,713,533,,533,6,527,180,306,1,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,EZKIO-ITSASO,,35,3,456,386,9,377,7,370,70,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,FORUA,,906,4,844,602,270,332,14,318,242,286,16,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,FRUIZ,,35,4,358,254,72,182,12,170,104,160,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GABIRIA,,38,3,342,277,7,270,2,268,65,,1,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GAINTZA,,37,3,113,75,5,70,3,67,38,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,
Bizkaia,GALDAKAO,,36,3,24465,13898,1854,12044,227,11817,10567,4920,1442,687,,,,,2889,,,,,,,,,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GALDAMES,,37,2,808,560,93,467,4,463,248,296,10,97,,,,,21,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GAMIZ-FIKA,,38,4,1064,767,206,561,22,539,297,345,20,135,,,,,13,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GARAI,,39,3,263,231,,231,11,220,32,92,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GATIKA,,40,4,1235,953,14,939,17,922,282,348,15,195,,,,312,27,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,757,573,11,562,10,552,184,255,6,76,,,,199,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GAZTELU,,907,3,149,136,3,133,5,128,13,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,81,,,,,,,,,,,
Bizkaia,GERNIKA-LUMO,,46,4,13221,9032,90,8942,108,8834,4189,2568,346,2685,,,,2109,554,,,,,,,,,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,GETARIA,,39,4,2009,1493,421,1072,18,1054,516,668,17,85,,,,,37,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GETXO,,44,4,67263,42153,3522,38631,842,37789,25110,13559,12793,1538,,,,,6113,1286,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GIZABURUAGA,,47,4,160,118,,118,3,115,42,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GORDEXOLA,,42,2,1423,1126,105,1021,8,1013,297,563,114,144,148,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,GORLIZ,,43,4,4154,2727,352,2375,53,2322,1427,955,158,169,,,,,128,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,,
Bizkaia,GÜEÑES,,45,2,5120,3764,553,3211,82,3129,1356,1701,197,315,,,,,591,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,HARANA/VALLE DE ARANA,,56,2,300,217,20,197,4,193,83,140,46,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,HERNANI,,40,1,15667,9123,80,9043,159,8884,6544,994,468,938,,,,4187,1407,,,,,,,,,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,HERNIALDE,,41,3,274,199,2,197,2,195,75,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,
Gipuzkoa,HONDARRIBIA,,36,2,13266,7599,58,7541,173,7368,5667,2388,550,1612,,,,1310,710,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IBARRA,,42,3,3533,2024,731,1293,51,1242,1509,405,86,384,,,,,233,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IBARRANGELU,,48,4,553,407,2,405,8,397,146,193,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IDIAZABAL,,43,3,1864,1248,10,1238,21,1217,616,,19,,,,,410,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,,,,,,,,,
Bizkaia,IGORRE,,94,3,3335,2470,36,2434,28,2406,865,1035,44,142,35,,,735,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IKAZTEGIETA,,44,3,352,272,,272,2,270,80,128,1,,,,,141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IRUN,,45,2,50750,27073,231,26842,529,26313,23677,4113,4320,1320,,,,2687,10635,,,,,,141,,,2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,IRURA,,46,3,968,631,11,620,586,34,337,,15,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,IRURAIZ-GAUNA,,27,2,422,234,47,187,4,183,188,115,49,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2072,1469,22,1447,24,1423,603,197,360,,,,,83,395,,,,,,,,,,,,,,,,,,,,,126,119,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ISPASTER,,49,4,598,482,3,479,6,473,116,233,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ITSASONDO,,47,3,500,297,9,288,54,234,203,,5,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IURRETA,,910,3,3255,1965,419,1546,36,1510,1290,595,232,79,,,,,422,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IZURTZA,,50,3,227,188,5,183,1,182,39,80,2,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2657,1822,163,1659,20,1639,835,901,27,20,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,KORTEZUBI,,907,4,364,314,3,311,2,309,50,164,2,41,,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,KRIPAN,,19,2,155,128,8,120,3,117,27,96,10,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,KUARTANGO,,20,2,330,243,45,198,6,192,87,159,25,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LABASTIDA/BASTIDA,,28,2,1160,906,50,856,8,848,254,181,335,,184,,,,70,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAGRÁN,,30,2,191,159,7,152,1,151,32,60,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
