TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,PCTE / ELAK,PSE-EE/PSOE,PUM+J,Cs,EB-AZ,EH BILDU,VOX,OMNIA,PODEMOS-IU-EQUO BERD,SOLIDARIA,LxE-EaL,B.I.B.,G.G.B.
Gipuzkoa,URNIETA,,72,1,4754,3058,40,3018,44,2974,1696,1257,99,,,492,,28,23,819,,,256,,,,
Gipuzkoa,URRETXU,,77,3,5259,3692,28,3664,22,3642,1567,1631,85,,,614,,,8,1065,,,239,,,,
Gipuzkoa,USURBIL,,73,1,4697,3104,25,3079,29,3050,1593,721,56,,,300,,17,18,1731,,,207,,,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,835,572,9,563,6,557,263,241,79,,,62,,6,,128,4,,37,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9942,6661,55,6606,46,6560,3281,2638,203,,8,1684,,44,,1191,42,,735,15,,,
Gipuzkoa,VILLABONA,,75,3,4332,2983,25,2958,28,2930,1349,1092,77,,,238,,,7,1347,,,169,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,240,216,1,215,,215,24,88,21,,,8,,1,,94,0,,3,,,,
Álava,VITORIA-GASTEIZ,,59,1,189056,119922,1057,118865,981,117884,69134,30857,20384,,,25586,,3417,,21998,1840,,12850,,952,,
Álava,YÉCORA/IEKORA,,60,2,205,174,3,171,5,166,31,72,46,,,15,,6,,14,3,,10,,,,
Bizkaia,ZALDIBAR,,95,3,2326,1557,18,1539,14,1525,769,550,71,4,,247,,,,514,3,,135,1,,,
Gipuzkoa,ZALDIBIA,,78,3,1139,859,9,850,10,840,280,227,2,,,20,,,1,567,,,23,,,,
Álava,ZALDUONDO,,61,2,153,130,,130,2,128,23,39,2,,,8,,1,,68,1,,9,,,,
Bizkaia,ZALLA,,96,2,6528,5075,88,4987,59,4928,1453,2892,116,,10,572,,24,,813,22,,465,14,,,
Álava,ZAMBRANA,,62,2,313,255,11,244,4,240,58,69,60,,,34,,8,,38,2,,29,,,,
Bizkaia,ZAMUDIO,,905,4,2492,1812,14,1798,9,1789,680,974,33,,,131,,10,,513,4,,123,1,,,
Bizkaia,ZARATAMO,,97,3,1310,916,11,905,10,895,394,431,20,5,,85,,,,269,5,,78,2,,,
Gipuzkoa,ZARAUTZ,,79,4,18130,12768,116,12652,108,12544,5362,5772,451,,,1256,,,,4243,,,822,,,,
Bizkaia,ZEANURI,,24,3,1002,810,5,805,7,798,192,415,8,0,,3,,,,358,0,,14,0,,,
Bizkaia,ZEBERIO,,25,3,852,707,5,702,3,699,145,379,5,3,,12,,,,277,0,,23,0,,,
Gipuzkoa,ZEGAMA,,25,3,1112,873,14,859,12,847,239,389,0,,,20,,,1,406,,,31,,,,
Gipuzkoa,ZERAIN,,26,3,206,195,7,188,8,180,11,84,0,,,0,,,0,94,,,2,,,,
Gipuzkoa,ZESTOA,,27,4,2755,1965,17,1948,26,1922,790,798,4,,,56,,,,974,,,90,,,,
Bizkaia,ZIERBENA,,913,2,1225,897,10,887,12,875,328,507,14,,0,55,,2,,242,2,,53,0,,,
Álava,ZIGOITIA,,18,2,1403,919,13,906,9,897,484,336,61,,,82,,5,,324,6,,83,,,,
Bizkaia,ZIORTZA - BOLIBAR,,915,4,344,262,3,259,1,258,82,99,2,,,1,,0,,152,0,,4,0,,,
Gipuzkoa,ZIZURKIL,,28,3,2256,1526,5,1521,7,1514,730,506,19,,,214,,,1,699,,,75,,,,
Álava,ZUIA,,63,2,1829,1314,10,1304,13,1291,515,482,104,,,121,,21,,434,20,,109,,,,
Gipuzkoa,ZUMAIA,,81,4,7664,5376,55,5321,64,5257,2288,2009,61,,,574,,,,2273,,,340,,,,
Gipuzkoa,ZUMARRAGA,,80,3,7710,5186,41,5145,48,5097,2524,1473,180,,,1800,,,8,1156,,,480,,,,
