TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,PCPE,UPYD,Cs,IU-UPEC,EB-AZ,O.E.,EH BILDU,RECORTES CERO,PODEMOS-AHAL DUGU,LN,JS,PC,EZKERRA
Gipuzkoa,ORIO,,61,4,4273,2836,16,2820,21,2799,1437,1046,93,185,8,,,2,33,44,,,729,4,651,4,,,
Gipuzkoa,ORMAIZTEGI,,62,3,982,685,1,684,3,681,297,260,26,23,5,,,1,8,8,,,227,2,120,1,,,
Bizkaia,OROZKO,,75,3,1975,1440,19,1421,12,1409,535,623,70,49,6,1,2,2,21,18,4,,304,0,305,,0,4,
Bizkaia,ORTUELLA,,83,2,6953,5147,31,5116,33,5083,1806,1113,275,880,29,3,3,11,92,197,6,,393,0,2056,,0,25,
Bizkaia,OTXANDIO,,72,3,974,728,5,723,5,718,246,250,13,23,2,0,0,0,1,3,1,,323,1,101,,0,0,
Álava,OYÓN-OION,,43,2,2318,1644,20,1624,8,1616,674,217,359,279,9,,1,6,132,64,0,0,151,4,394,0,,,
Gipuzkoa,OÑATI,,59,4,8863,6091,19,6072,30,6042,2772,1999,215,361,11,,,6,67,73,,,2339,3,967,1,,,
Gipuzkoa,PASAIA,,64,2,12526,8429,42,8387,59,8328,4097,1558,678,1331,101,,,25,242,240,,,1535,13,2597,8,,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,236,189,2,187,1,186,47,39,45,23,0,,0,1,6,4,0,0,33,0,35,0,,,
Bizkaia,PLENTZIA,,77,4,3367,2443,15,2428,17,2411,924,1014,177,116,24,1,0,4,70,51,3,,416,2,529,,0,4,
Bizkaia,PORTUGALETE,,78,2,38749,28169,227,27942,231,27711,10580,5439,3211,5938,194,18,28,109,949,1173,37,,1984,40,8529,,13,49,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,964,714,11,703,13,690,250,111,182,92,8,,2,6,74,17,0,0,22,0,176,0,,,
Álava,SAMANIEGO,,52,2,244,188,2,186,1,185,56,55,18,41,0,,0,0,2,3,1,0,34,0,31,0,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,587,368,2,366,3,363,219,108,30,15,2,,1,4,12,7,1,0,82,3,97,1,,,
Bizkaia,SANTURTZI,,82,2,37680,27048,195,26853,201,26652,10632,5926,2513,4738,160,14,26,77,879,962,39,,2527,40,8641,,20,90,
Gipuzkoa,SEGURA,,70,3,1099,749,5,744,4,740,350,266,7,19,0,,,0,4,6,,,345,0,91,2,,,
Bizkaia,SESTAO,,84,2,22578,15707,149,15558,108,15450,6871,2946,1534,3373,110,4,8,32,442,553,23,,1150,21,5168,,6,80,
Bizkaia,SONDIKA,,904,4,3506,2676,21,2655,18,2637,830,1156,227,201,14,3,0,7,92,39,10,,317,3,567,,1,0,
Bizkaia,SOPELA,,85,4,10301,7473,51,7422,50,7372,2828,2326,415,488,72,5,4,25,259,170,9,,1283,12,2296,,0,8,
Bizkaia,SOPUERTA,,86,2,2073,1524,15,1509,15,1494,549,511,73,115,10,1,0,5,39,36,5,,255,1,441,,0,2,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3006,2104,15,2089,18,2071,902,499,175,303,8,,,4,50,37,,,606,5,384,0,,,
Bizkaia,SUKARRIETA,,76,4,314,239,,239,4,235,75,136,8,7,0,0,1,0,2,3,0,,50,0,28,,0,0,
Gipuzkoa,TOLOSA,,71,3,14818,10105,38,10067,62,10005,4713,3157,538,752,38,,,15,218,188,,,2596,19,2480,4,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,429,346,3,343,1,342,83,182,27,27,0,0,0,0,10,2,1,,36,0,57,,0,0,
Bizkaia,UBIDE,,88,3,135,97,1,96,,96,38,21,3,1,0,0,0,0,0,3,0,,59,0,9,,0,0,
Bizkaia,UGAO-MIRABALLES,,65,3,3315,2451,14,2437,19,2418,864,849,133,226,12,1,0,2,45,35,1,,491,2,614,,0,7,
Bizkaia,URDULIZ,,89,4,3266,2433,19,2414,23,2391,833,909,123,159,19,1,2,8,66,61,2,,407,3,628,,1,2,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3333,2472,39,2433,20,2413,861,788,197,193,13,0,1,8,65,46,3,,540,5,551,,2,1,
Álava,URKABUSTAIZ,,54,2,952,695,6,689,4,685,257,155,50,51,0,,1,0,14,9,2,0,224,1,178,0,,,
Gipuzkoa,URNIETA,,72,1,4731,3136,9,3127,23,3104,1595,777,232,451,15,,,11,122,67,,,535,10,882,2,,,
Gipuzkoa,URRETXU,,77,3,5243,3797,15,3782,25,3757,1446,1106,218,591,16,,,6,99,125,,,815,7,772,2,,,
Gipuzkoa,USURBIL,,73,1,4677,3219,11,3208,21,3187,1458,616,139,255,13,,,2,66,40,,,1362,1,690,3,,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,836,564,12,552,8,544,272,142,128,56,2,,0,2,29,11,0,0,59,0,115,0,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9971,7174,62,7112,71,7041,2797,1745,475,1378,46,4,4,18,156,267,1,,714,9,2208,,3,13,
Gipuzkoa,VILLABONA,,75,3,4359,2852,19,2833,16,2817,1507,717,170,282,17,,,6,78,63,,,890,3,589,2,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,245,203,1,202,,202,42,78,22,10,1,,0,0,8,2,0,0,58,1,22,0,,,
Álava,VITORIA-GASTEIZ,,59,1,186356,135955,1240,134715,948,133767,50401,17643,27774,20605,1099,,138,647,8753,5550,394,80,13476,481,37065,62,,,
Álava,YÉCORA/IEKORA,,60,2,199,162,3,159,,159,37,40,60,11,1,,0,0,12,5,0,0,9,0,21,0,,,
Bizkaia,ZALDIBAR,,95,3,2352,1660,11,1649,6,1643,692,388,161,258,7,1,0,3,45,31,2,,399,0,344,,2,2,
Gipuzkoa,ZALDIBIA,,78,3,1155,866,2,864,6,858,289,153,15,23,2,,,0,6,4,,,561,1,93,0,,,
Álava,ZALDUONDO,,61,2,153,132,,132,2,130,21,39,2,6,0,,0,0,6,1,0,1,42,0,33,0,,,
Bizkaia,ZALLA,,96,2,6610,5078,60,5018,43,4975,1532,1918,265,566,33,8,3,8,142,103,3,,552,17,1346,,4,7,
Álava,ZAMBRANA,,62,2,314,216,,216,3,213,98,43,54,26,1,,0,2,13,7,0,0,13,0,54,0,,,
Bizkaia,ZAMUDIO,,905,4,2565,1887,35,1852,2,1850,678,763,96,163,5,4,2,5,32,23,2,,384,2,365,,1,3,
Bizkaia,ZARATAMO,,97,3,1303,908,9,899,10,889,395,265,57,91,7,0,1,2,23,14,2,,161,1,264,,0,1,
Gipuzkoa,ZARAUTZ,,79,4,17835,12650,63,12587,81,12506,5185,4025,834,1085,58,,,13,362,245,,,2790,16,3072,6,,,
Bizkaia,ZEANURI,,24,3,1003,778,4,774,5,769,225,370,14,6,5,1,0,0,3,5,4,,282,0,79,,0,0,
Bizkaia,ZEBERIO,,25,3,883,644,3,641,3,638,239,300,12,8,3,0,1,0,2,2,0,,208,3,99,,0,0,
Gipuzkoa,ZEGAMA,,25,3,1144,774,7,767,5,762,370,307,4,16,5,,,1,3,8,,,320,0,98,0,,,
Gipuzkoa,ZERAIN,,26,3,202,141,12,129,4,125,61,57,0,0,0,,,0,1,2,,,55,0,10,0,,,
Gipuzkoa,ZESTOA,,27,4,2816,1842,9,1833,11,1822,974,619,27,71,4,,,0,15,16,,,753,1,315,1,,,
Bizkaia,ZIERBENA,,913,2,1251,936,16,920,13,907,315,372,40,56,8,1,0,1,19,9,1,,152,1,245,,0,2,
Álava,ZIGOITIA,,18,2,1370,965,1,964,4,960,405,215,123,73,6,,1,4,35,27,2,0,246,0,228,0,,,
Bizkaia,ZIORTZA - BOLIBAR,,915,4,362,238,,238,2,236,124,82,5,3,1,0,0,0,0,3,0,,128,0,14,,0,0,
Gipuzkoa,ZIZURKIL,,28,3,2255,1503,9,1494,17,1477,752,320,85,166,7,,,7,33,20,,,530,0,308,1,,,
Álava,ZUIA,,63,2,1799,1321,11,1310,10,1300,478,328,162,96,3,,0,6,73,29,9,3,282,2,306,1,,,
Gipuzkoa,ZUMAIA,,81,4,7460,5187,28,5159,33,5126,2273,1530,188,565,24,,,4,106,87,,,1391,7,1222,2,,,
Gipuzkoa,ZUMARRAGA,,80,3,7901,5523,30,5493,33,5460,2378,1115,406,1355,28,,,149,196,227,,,727,30,1223,4,,,
