TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EA,EB-B,CDS,PST,PH,POSI,UPR,AP-PL,PCE-EPK
Gipuzkoa,USURBIL,,73,1,4240,3095,31,3064,12,3052,1145,421,510,1037,211,713,5,74,10,4,2,2,47,16
Álava,VALDEGOVÍA/GAUBEA,,55,2,827,549,9,540,6,534,278,228,70,60,45,56,1,28,2,1,2,3,35,3
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10156,7366,42,7324,29,7295,2790,1793,1985,1377,855,645,111,158,10,10,6,4,138,203
Gipuzkoa,VILLABONA,,75,3,3898,2857,4,2853,20,2833,1041,348,452,830,354,739,1,39,2,3,3,3,55,4
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,294,254,1,253,2,251,40,128,8,33,0,48,0,7,0,0,0,0,27,0
Álava,VITORIA-GASTEIZ,,59,1,145521,101491,588,100903,589,100314,44030,15703,28580,11781,12390,14684,326,8864,344,156,117,86,6945,296
Álava,YÉCORA/IEKORA,,60,2,223,166,2,164,,164,57,99,18,5,1,5,0,16,2,0,0,1,17,0
Bizkaia,ZALDIBAR,,95,3,2391,1662,4,1658,10,1648,729,448,467,278,99,245,6,49,9,0,0,0,46,1
Gipuzkoa,ZALDIBIA,,78,3,1378,621,3,618,,618,757,72,31,289,73,128,0,7,0,0,1,0,16,1
Álava,ZALDUONDO,,61,2,110,92,1,91,,91,18,45,10,20,11,4,0,0,0,0,0,0,0,1
Bizkaia,ZALLA,,96,2,5437,4196,25,4171,12,4159,1241,1668,554,630,287,811,14,89,4,2,2,1,84,13
Álava,ZAMBRANA,,62,2,305,213,,213,3,210,92,81,14,17,27,25,1,15,1,0,0,0,29,0
Bizkaia,ZAMUDIO,,905,4,2500,1884,14,1870,11,1859,616,845,247,380,103,203,1,37,6,3,1,6,24,3
Bizkaia,ZARATAMO,,97,3,1302,1013,6,1007,3,1004,289,318,203,197,44,209,4,18,1,0,0,1,8,1
Gipuzkoa,ZARAUTZ,,79,4,11797,8343,38,8305,27,8278,3454,1212,1080,1510,996,2965,3,110,5,7,5,4,323,58
Bizkaia,ZEANURI,,24,3,1095,928,4,924,1,923,167,383,7,194,14,282,0,10,0,0,0,0,33,0
Bizkaia,ZEBERIO,,25,3,880,705,,705,,705,175,424,15,154,26,81,0,2,0,0,0,0,3,0
Gipuzkoa,ZEGAMA,,25,3,1224,885,1,884,,884,339,87,26,260,51,437,0,11,0,0,0,1,11,0
Gipuzkoa,ZERAIN,,26,3,207,137,1,136,,136,70,37,0,41,0,58,0,0,0,0,0,0,0,0
Gipuzkoa,ZESTOA,,27,4,2954,2211,11,2200,8,2192,743,521,117,636,139,743,0,17,1,1,1,0,14,2
Álava,ZIGOITIA,,18,2,601,445,5,440,5,435,156,150,32,90,38,100,1,16,0,2,1,0,5,0
Gipuzkoa,ZIZURKIL,,28,3,2051,1468,11,1457,5,1452,583,222,320,418,116,332,1,18,0,0,1,0,21,3
Álava,ZUIA,,63,2,1075,848,3,845,1,844,227,415,37,88,50,148,2,51,2,4,1,0,45,1
Gipuzkoa,ZUMAIA,,81,4,5946,4453,13,4440,14,4426,1493,1165,791,947,383,902,9,96,1,7,1,4,104,16
Gipuzkoa,ZUMARRAGA,,80,3,9150,6181,70,6111,30,6081,2969,863,1687,804,753,1410,106,173,12,6,4,7,111,145
