TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PCTE / ELAK,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,Cs,EB-AZ,EH BILDU,VOX,PODEMOS-IU-EQUO BERD,RECORTES CERO-GV,SOLIDARIA
Gipuzkoa,BERROBI,,23,3,446,299,,299,1,298,147,95,7,1,16,3,0,3,1,122,2,47,1,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,391,274,,274,1,273,117,87,3,0,10,1,0,4,0,137,4,26,1,
Bizkaia,BILBAO,,20,1,273041,203643,1312,202331,1472,200859,69398,67625,19826,166,41685,1992,272,7794,,19133,6210,35637,387,132
Bizkaia,BUSTURIA,,21,4,1336,990,7,983,4,979,346,475,25,1,78,5,0,7,,256,3,128,0,1
Álava,CAMPEZO/KANPEZU,,17,2,816,579,5,574,2,572,237,202,45,1,77,6,4,14,,145,9,67,2,
Gipuzkoa,DEBA,,29,4,4272,3257,18,3239,18,3221,1015,1293,58,3,312,17,3,36,2,990,20,487,0,
Bizkaia,DERIO,,901,4,5151,4042,30,4012,22,3990,1109,1413,194,0,818,35,6,125,,504,69,815,9,2
Bizkaia,DIMA,,26,3,1139,920,7,913,4,909,219,363,6,0,22,8,0,2,,412,6,88,2,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147444,111102,504,110598,762,109836,36342,30921,9263,69,23324,1037,137,5085,248,16740,3016,19802,194,
Bizkaia,DURANGO,,27,3,22671,17326,102,17224,95,17129,5345,6328,968,11,2632,102,17,434,,3494,274,2839,22,8
Bizkaia,EA,,28,4,691,576,3,573,1,572,115,253,5,0,11,2,0,3,,265,2,31,0,0
Gipuzkoa,EIBAR,,30,4,21203,15734,80,15654,100,15554,5469,4173,836,8,4306,97,18,317,15,2689,210,2862,23,
Bizkaia,ELANTXOBE,,31,4,308,236,,236,,236,72,126,1,0,6,2,0,1,,88,0,12,0,0
Álava,ELBURGO/BURGELU,,21,2,469,333,3,330,1,329,136,111,51,1,51,1,0,7,,40,22,44,1,
Álava,ELCIEGO,,22,2,761,577,8,569,5,564,184,117,111,0,154,4,1,26,,37,19,91,4,
Gipuzkoa,ELDUAIN,,31,3,183,125,,125,2,123,58,50,0,0,2,0,0,0,0,62,0,9,0,
Gipuzkoa,ELGETA,,33,4,854,675,4,671,5,666,179,238,13,0,39,4,0,5,1,283,6,77,0,
Gipuzkoa,ELGOIBAR,,32,4,8681,6491,62,6429,22,6407,2190,2367,259,2,1104,44,4,143,11,1508,52,905,8,
Bizkaia,ELORRIO,,32,3,5773,4504,28,4476,5,4471,1269,1468,200,1,607,27,1,95,,1441,33,595,3,0
Álava,ELVILLAR/BILAR,,23,2,262,210,4,206,3,203,52,67,49,0,21,1,0,6,,23,7,29,0,
Bizkaia,ERANDIO,,902,4,18974,14015,120,13895,101,13794,4959,4601,667,15,3289,138,16,346,,1514,260,2890,39,19
Bizkaia,EREÑO,,33,4,204,160,1,159,1,158,44,78,1,0,3,1,0,0,,58,2,15,0,0
Bizkaia,ERMUA,,34,3,12640,9519,76,9443,77,9366,3121,1679,1067,18,2846,71,19,529,,884,232,1991,20,10
Gipuzkoa,ERRENTERIA,,67,2,30619,21972,118,21854,138,21716,8647,3819,1004,20,5801,244,21,630,38,4632,272,5195,40,
Gipuzkoa,ERREZIL,,66,4,439,327,1,326,,326,112,97,1,0,1,0,0,0,1,214,0,12,0,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,631,464,3,461,,461,167,159,56,0,73,6,0,10,,51,26,79,1,
Bizkaia,ERRIGOITI,,79,4,395,313,1,312,2,310,82,142,4,0,11,3,0,2,,115,2,31,0,0
Gipuzkoa,ESKORIATZA,,34,4,3154,2336,21,2315,20,2295,818,708,54,1,379,26,2,49,1,694,11,367,3,
Bizkaia,ETXEBARRI,,29,3,8613,6697,55,6642,52,6590,1916,1940,356,5,1671,77,6,307,,448,171,1585,15,9
Bizkaia,ETXEBARRIA,,30,4,601,490,1,489,,489,111,255,2,0,19,1,0,0,,186,0,26,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,484,384,,384,2,382,100,145,5,0,15,1,1,2,0,166,1,45,1,
Bizkaia,FORUA,,906,4,753,611,3,608,1,607,142,312,8,0,32,2,0,8,,190,2,51,1,1
Bizkaia,FRUIZ,,35,4,404,334,3,331,2,329,70,176,2,0,8,2,0,5,,93,0,42,0,1
Gipuzkoa,GABIRIA,,38,3,380,296,1,295,,295,84,126,1,0,8,0,0,0,0,138,0,22,0,
Gipuzkoa,GAINTZA,,37,3,103,77,,77,,77,26,36,0,0,1,0,0,1,0,34,0,5,0,
Bizkaia,GALDAKAO,,36,3,24039,18180,130,18050,94,17956,5859,6435,880,15,3366,165,30,472,,2742,344,3465,28,14
Bizkaia,GALDAMES,,37,2,684,537,6,531,4,527,147,250,8,0,56,3,0,4,,119,5,82,0,0
Bizkaia,GAMIZ-FIKA,,38,4,1158,891,,891,2,889,267,461,20,0,46,3,1,11,,232,3,112,0,0
Bizkaia,GARAI,,39,3,256,218,1,217,1,216,38,106,5,0,10,1,0,4,,69,4,14,3,0
Bizkaia,GATIKA,,40,4,1309,979,6,973,5,968,330,505,18,0,58,9,0,7,,217,18,136,0,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,686,581,2,579,2,577,105,321,7,0,27,4,0,5,,151,5,57,0,0
Gipuzkoa,GAZTELU,,907,3,117,88,1,87,,87,29,32,1,0,1,0,0,0,2,35,0,16,0,
Bizkaia,GERNIKA-LUMO,,46,4,12645,9809,65,9744,46,9698,2836,4431,268,4,946,44,3,116,,2612,81,1180,10,3
Gipuzkoa,GETARIA,,39,4,2144,1704,12,1692,11,1681,440,697,10,0,76,7,1,7,2,727,5,149,0,
Bizkaia,GETXO,,44,4,62059,49055,215,48840,373,48467,13004,17981,7464,34,6886,399,82,2484,,5221,1838,5970,90,18
Bizkaia,GIZABURUAGA,,47,4,149,115,,115,1,114,34,38,0,0,1,0,0,1,,60,0,14,0,0
Bizkaia,GORDEXOLA,,42,2,1365,1136,6,1130,7,1123,229,614,78,2,121,9,0,25,,93,27,153,1,0
Bizkaia,GORLIZ,,43,4,4539,3566,10,3556,22,3534,973,1699,139,4,356,38,7,65,,598,43,580,3,2
Bizkaia,GÜEÑES,,45,2,5194,4138,40,4098,25,4073,1056,1726,139,3,622,42,4,61,,699,65,708,1,3
Álava,HARANA/VALLE DE ARANA,,56,2,205,134,,134,,134,71,72,14,0,9,2,0,2,,25,0,9,1,
Gipuzkoa,HERNANI,,40,1,15753,11440,76,11364,69,11295,4313,2398,314,12,1796,87,14,229,15,4044,108,2263,15,
Gipuzkoa,HERNIALDE,,41,3,234,156,5,151,2,149,78,66,3,0,6,0,0,2,0,57,1,14,0,
Gipuzkoa,HONDARRIBIA,,36,2,13195,9864,58,9806,67,9739,3331,4022,454,12,1381,70,17,264,16,1511,176,1802,14,
Gipuzkoa,IBARRA,,42,3,3172,2247,16,2231,9,2222,925,649,75,2,319,11,1,35,5,758,22,344,1,
Bizkaia,IBARRANGELU,,48,4,543,421,2,419,1,418,122,209,4,1,19,4,1,0,,138,1,41,0,0
Gipuzkoa,IDIAZABAL,,43,3,1734,1254,6,1248,5,1243,480,564,30,1,62,5,0,9,0,477,4,89,2,
Bizkaia,IGORRE,,94,3,3125,2407,19,2388,12,2376,718,1097,42,1,161,12,1,26,,785,24,227,0,0
Gipuzkoa,IKAZTEGIETA,,44,3,364,263,1,262,,262,101,69,4,1,23,3,2,4,1,115,6,34,0,
Gipuzkoa,IRUN,,45,2,46866,33932,232,33700,191,33509,12934,7423,2445,36,9805,344,63,1656,47,3054,1123,7450,63,
Gipuzkoa,IRURA,,46,3,1248,918,9,909,11,898,330,299,18,0,86,8,0,22,1,307,8,149,0,
Álava,IRURAIZ-GAUNA,,27,2,430,295,2,293,2,291,135,111,20,1,29,5,1,5,,67,5,45,2,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2474,1655,24,1631,13,1618,819,314,207,2,368,30,4,78,,148,93,362,12,
Bizkaia,ISPASTER,,49,4,545,448,,448,,448,97,227,2,0,10,3,0,2,,154,4,44,1,1
Gipuzkoa,ITSASONDO,,47,3,462,337,2,335,2,333,125,91,4,0,17,1,0,2,1,178,2,37,0,
Bizkaia,IURRETA,,910,3,2802,2082,9,2073,3,2070,720,656,118,1,441,13,4,54,,455,39,286,3,0
Bizkaia,IZURTZA,,50,3,187,153,4,149,,149,34,59,4,0,7,0,0,1,,67,0,11,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2316,1645,14,1631,11,1620,671,914,44,0,202,6,1,22,,193,22,216,0,0
Bizkaia,KORTEZUBI,,907,4,340,283,2,281,1,280,57,170,0,0,3,1,0,0,,92,1,13,0,0
Álava,KRIPAN,,19,2,148,121,,121,,121,27,75,13,0,7,0,0,3,,13,0,10,0,
Álava,KUARTANGO,,20,2,320,239,1,238,1,237,81,82,23,0,24,2,0,0,,75,4,27,0,
Álava,LABASTIDA/BASTIDA,,28,2,1068,774,2,772,7,765,294,167,157,0,143,13,1,23,,106,28,127,0,
Álava,LAGRÁN,,30,2,143,118,1,117,1,116,25,39,29,0,22,0,0,1,,11,0,13,1,
Álava,LAGUARDIA,,31,2,1163,948,20,928,6,922,215,212,224,1,146,8,3,35,,129,45,117,2,
Álava,LANCIEGO/LANTZIEGO,,32,2,500,372,10,362,1,361,128,116,59,1,80,1,0,3,,46,8,47,0,
Bizkaia,LANESTOSA,,51,2,216,157,,157,,157,59,71,5,0,19,2,0,4,,24,6,26,0,0
Álava,LANTARÓN,,902,2,730,551,6,545,6,539,179,139,98,0,101,13,2,32,,45,18,91,0,
Álava,LAPUEBLA DE LABARCA,,33,2,656,533,8,525,1,524,123,218,78,0,99,3,0,19,,39,10,57,1,
Bizkaia,LARRABETZU,,52,4,1567,1309,9,1300,4,1296,258,478,21,1,54,8,0,8,,593,12,120,1,0
Gipuzkoa,LARRAUL,,48,3,184,120,,120,2,118,64,29,1,0,7,1,0,1,1,56,0,22,0,
Gipuzkoa,LASARTE-ORIA,,902,1,14229,10567,72,10495,53,10442,3662,1972,654,6,3215,110,18,462,26,1697,213,2048,21,
Álava,LAUDIO/LLODIO,,36,3,14772,10850,104,10746,69,10677,3922,3226,742,14,2223,91,10,241,,2010,206,1887,27,
Bizkaia,LAUKIZ,,53,4,904,738,10,728,5,723,166,400,57,0,49,4,2,28,,113,23,44,2,1
Gipuzkoa,LAZKAO,,49,3,4159,3024,20,3004,11,2993,1135,951,63,2,422,23,1,46,2,1061,16,405,1,
Gipuzkoa,LEABURU,,50,3,270,186,3,183,3,180,84,69,1,0,0,0,0,1,0,95,1,13,0,
Gipuzkoa,LEGAZPI,,51,3,6775,5124,33,5091,24,5067,1651,1558,204,10,896,17,2,89,9,1377,58,839,8,
Gipuzkoa,LEGORRETA,,52,3,1070,833,6,827,2,825,237,277,19,1,79,2,0,6,0,316,7,117,1,
Álava,LEGUTIO,,58,2,1403,958,7,951,4,947,445,263,44,2,127,11,0,15,,319,10,154,2,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,188,142,,142,1,141,46,42,0,0,4,0,0,0,2,85,1,7,0,
Bizkaia,LEIOA,,54,4,24947,19329,132,19197,124,19073,5618,6687,1427,16,3809,211,25,753,,1804,542,3737,48,14
Bizkaia,LEKEITIO,,57,4,5745,4391,15,4376,13,4363,1354,1933,48,0,162,12,1,18,,1831,14,341,1,2
Bizkaia,LEMOA,,55,3,2596,2023,18,2005,12,1993,573,805,47,2,218,13,3,24,,585,27,260,3,6
Bizkaia,LEMOIZ,,56,4,989,791,6,785,4,781,198,387,10,1,25,10,0,8,,212,6,121,1,0
Álava,LEZA,,34,2,150,111,,111,2,109,39,50,3,0,20,0,0,1,,20,3,11,1,
Bizkaia,LEZAMA,,81,4,1883,1532,14,1518,3,1515,351,820,38,0,136,10,0,16,,293,15,185,2,0
Gipuzkoa,LEZO,,53,2,4848,3479,28,3451,27,3424,1369,781,93,2,472,31,3,68,5,1192,32,740,5,
Gipuzkoa,LIZARTZA,,54,3,459,313,1,312,1,311,146,58,0,0,8,1,0,2,0,230,0,12,0,
Bizkaia,LOIU,,903,4,1807,1471,9,1462,6,1456,336,844,92,0,101,7,0,54,,148,39,169,2,0
Bizkaia,MALLABIA,,58,3,946,724,9,715,3,712,222,263,13,0,77,0,0,12,,252,5,90,0,0
Bizkaia,MARKINA-XEMEIN,,60,4,3620,2615,9,2606,13,2593,1005,1258,44,1,127,7,1,6,,886,10,251,2,0
Bizkaia,MARURI-JATABE,,61,4,799,636,,636,2,634,163,326,23,0,34,5,0,17,,136,3,88,1,1
Bizkaia,MAÑARIA,,59,3,400,329,4,325,,325,71,148,6,0,21,1,1,3,,121,0,22,2,0
Gipuzkoa,MENDARO,,901,4,1412,1034,4,1030,2,1028,378,406,30,2,149,10,0,9,1,225,5,191,0,
Bizkaia,MENDATA,,62,4,293,247,2,245,,245,46,133,0,0,2,0,0,1,,84,0,25,0,0
Bizkaia,MENDEXA,,63,4,356,277,3,274,2,272,79,123,2,0,8,2,2,1,,111,0,23,0,0
Bizkaia,MEÑAKA,,64,4,613,494,2,492,1,491,119,241,2,0,16,6,1,2,,173,1,48,1,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,195,157,4,153,,153,38,44,19,1,40,1,0,5,,16,1,26,0,
Bizkaia,MORGA,,66,4,347,291,,291,,291,56,173,3,0,7,2,0,3,,80,0,23,0,0
Bizkaia,MUNDAKA,,68,4,1528,1218,7,1211,5,1206,310,697,13,1,47,8,0,3,,303,7,127,0,0
Bizkaia,MUNGIA,,69,4,13095,10021,67,9954,49,9905,3074,4791,502,6,981,76,12,264,,1530,269,1460,10,4
Álava,MUNICIPIO CERA ARABA,,999,99,6893,572,3,569,11,558,6321,97,78,2,123,6,3,43,,59,21,123,3,
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,39558,2279,10,2269,57,2212,37279,592,255,5,506,37,8,191,,159,107,338,11,3
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,27538,2647,38,2609,12,2597,24891,514,184,5,595,26,7,169,8,462,97,504,26,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,385,281,2,279,1,278,104,123,3,0,4,0,0,0,,125,1,21,1,0
Bizkaia,MURUETA,,908,4,249,214,1,213,,213,35,113,0,0,11,1,1,3,,66,1,15,1,1
Bizkaia,MUSKIZ,,71,2,6042,4711,37,4674,27,4647,1331,1677,124,4,1134,40,4,62,,591,79,923,8,1
Gipuzkoa,MUTILOA,,57,3,194,143,,143,,143,51,39,0,0,6,0,0,1,0,74,0,23,0,
Gipuzkoa,MUTRIKU,,56,4,4075,2983,41,2942,12,2930,1092,1175,68,0,200,13,1,22,2,1080,10,355,4,
Bizkaia,MUXIKA,,67,4,1134,877,5,872,5,867,257,388,9,0,30,5,1,5,,359,3,66,0,1
Bizkaia,NABARNIZ,,909,4,202,172,,172,2,170,30,65,0,0,4,1,0,0,,84,0,16,0,0
Álava,NAVARIDAS,,41,2,152,107,4,103,2,101,45,29,33,1,4,3,1,4,,6,6,13,1,
Gipuzkoa,OIARTZUN,,63,2,8061,6042,43,5999,36,5963,2019,1485,110,5,431,27,3,54,5,2885,36,919,3,
Álava,OKONDO,,42,3,907,723,2,721,4,717,184,320,29,0,52,5,0,9,,172,10,119,1,
Gipuzkoa,OLABERRIA,,58,3,739,555,4,551,4,547,184,164,28,2,113,4,1,15,1,133,4,82,0,
Bizkaia,ONDARROA,,73,4,6838,4950,29,4921,33,4888,1888,1756,117,2,253,20,0,27,,2167,19,525,2,0
Gipuzkoa,ORDIZIA,,76,3,7027,5263,26,5237,31,5206,1764,1591,192,3,833,27,1,83,3,1506,54,909,4,
Gipuzkoa,ORENDAIN,,905,3,153,124,,124,1,123,29,40,0,0,0,0,0,0,0,70,0,13,0,
Gipuzkoa,OREXA,,60,3,88,75,,75,,75,13,2,0,0,0,0,0,0,0,72,0,1,0,
Gipuzkoa,ORIO,,61,4,4392,3278,14,3264,11,3253,1114,1353,72,1,347,16,1,34,3,964,23,436,3,
Gipuzkoa,ORMAIZTEGI,,62,3,945,727,1,726,3,723,218,290,16,2,42,8,0,10,4,257,6,86,2,
Bizkaia,OROZKO,,75,3,2067,1591,26,1565,11,1554,476,769,44,0,98,6,1,15,,361,26,232,2,0
Bizkaia,ORTUELLA,,83,2,6948,5238,37,5201,35,5166,1710,1423,174,5,1338,52,3,76,,542,72,1474,4,3
Bizkaia,OTXANDIO,,72,3,970,735,5,730,1,729,235,278,11,0,35,2,1,1,,335,1,65,0,0
Álava,OYÓN-OION,,43,2,2337,1669,13,1656,18,1638,668,233,256,5,430,11,0,135,,180,72,309,7,
Gipuzkoa,OÑATI,,59,4,8867,6792,33,6759,21,6738,2075,2483,135,3,576,21,1,38,3,2742,18,713,5,
Gipuzkoa,PASAIA,,64,2,12436,8730,78,8652,59,8593,3706,1951,380,12,1897,100,11,205,14,1944,109,1956,14,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,231,171,5,166,,166,60,46,26,0,37,1,0,1,,35,0,19,1,
Bizkaia,PLENTZIA,,77,4,3376,2656,9,2647,11,2636,720,1250,115,2,257,27,2,54,,481,38,408,2,0
Bizkaia,PORTUGALETE,,78,2,37991,28582,200,28382,202,28180,9409,7507,2062,34,8610,287,40,864,,2369,556,5798,39,14
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,967,686,13,673,8,665,281,128,125,2,150,7,0,55,,30,54,113,1,
Álava,SAMANIEGO,,52,2,268,188,1,187,1,186,80,66,11,1,42,2,0,0,,39,1,24,0,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,592,376,3,373,2,371,216,122,19,0,46,3,0,5,,117,3,55,1,
Bizkaia,SANTURTZI,,82,2,37402,27913,219,27694,172,27522,9489,7727,1600,32,7343,238,29,781,,3103,609,6003,49,8
Gipuzkoa,SEGURA,,70,3,1083,831,8,823,2,821,252,360,3,0,36,2,0,3,2,352,1,61,1,
Bizkaia,SESTAO,,84,2,21860,15943,147,15796,116,15680,5917,4081,948,18,4734,174,21,367,,1345,284,3660,33,15
Bizkaia,SONDIKA,,904,4,3543,2832,21,2811,27,2784,711,1324,161,2,367,34,4,79,,383,28,402,0,0
Bizkaia,SOPELA,,85,4,10637,8270,47,8223,54,8169,2367,3248,270,6,1030,94,5,196,,1487,132,1681,15,5
Bizkaia,SOPUERTA,,86,2,2015,1504,18,1486,6,1480,511,590,43,0,190,8,1,31,,273,19,322,1,2
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,2943,2145,21,2124,11,2113,798,610,103,2,396,10,0,45,5,642,23,275,2,
