TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EA,EB-B,CDS,EKA,EHB,PSE-EE/PSOE,ICV-EHE/GORORDO,PIE,HERRI-HATS,AMA
Gipuzkoa,ZALDIBIA,,78,3,1314,996,8,988,19,969,318,141,31,560,,144,35,,0,4,54,,,,
Álava,ZALDUONDO,,61,2,111,92,,92,1,91,19,50,3,13,9,6,4,,,,6,,,,
Bizkaia,ZALLA,,96,2,6049,4731,74,4657,66,4591,1318,2514,329,341,,462,215,,,,721,,3,,6
Álava,ZAMBRANA,,62,2,292,254,1,253,5,248,38,138,43,1,53,0,8,,,,5,,,,
Bizkaia,ZAMUDIO,,905,4,2591,1887,26,1861,50,1811,704,964,137,421,,78,32,,,,179,,,,
Bizkaia,ZARATAMO,,97,3,1310,1052,14,1038,13,1025,258,330,38,213,,298,44,,,,102,,,,
Gipuzkoa,ZARAUTZ,,79,4,14950,9807,104,9703,225,9478,5143,1671,1159,1631,,3737,353,,,,927,,,,
Bizkaia,ZEANURI,,24,3,992,825,6,819,6,813,167,404,20,128,,250,7,,,,4,,,,
Bizkaia,ZEBERIO,,25,3,800,636,2,634,6,628,164,407,4,178,,24,7,,,,8,,,,
Gipuzkoa,ZEGAMA,,25,3,1149,870,8,862,14,848,279,160,25,331,,319,3,,0,1,9,,,,
Gipuzkoa,ZERAIN,,26,3,184,132,3,129,1,128,52,56,1,42,,29,0,,0,0,0,,,,
Gipuzkoa,ZESTOA,,27,4,2769,2041,16,2025,20,2005,728,653,36,657,,565,25,,,,69,,,,
Bizkaia,ZIERBENA,,913,2,945,790,8,782,9,773,155,491,37,110,,27,28,,,,77,,0,,3
Álava,ZIGOITIA,,18,2,831,565,6,559,12,547,266,184,34,131,73,91,23,,,,11,,,,
Gipuzkoa,ZIZURKIL,,28,3,2138,1385,19,1366,40,1326,753,290,92,432,,248,59,,0,5,200,,,,
Álava,ZUIA,,63,2,1192,918,10,908,17,891,274,377,181,113,98,66,25,,,,31,,,,
Gipuzkoa,ZUMAIA,,81,4,6530,4179,42,4137,95,4042,2351,1440,254,874,,697,173,,,,604,,,,
Gipuzkoa,ZUMARRAGA,,80,3,8866,5962,70,5892,117,5775,2904,997,389,698,,1333,609,,7,23,1719,,,,
