TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,ATTKA/PACMA,MSR,UPYD,Cs,I.FEM,SAIn,IU-UPEC,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS-AHAL DUGU,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
Bizkaia,GORDEXOLA,,42,2,1381,806,24,782,11,771,575,46,64,1,0,0,0,0,0,0,4,0,16,8,0,0,35,5,87,433,0,1,0,0,7,9,0,4,3,0,0,2,35,0,3,0,1,1,2,4
Bizkaia,GORLIZ,,43,4,4375,2107,28,2079,33,2046,2268,94,92,0,0,3,0,0,0,0,10,0,51,23,1,0,79,22,528,929,3,4,0,4,48,15,0,4,1,0,0,0,113,0,4,0,4,0,12,2
Bizkaia,GÜEÑES,,45,2,5099,2771,60,2711,44,2667,2328,285,101,3,2,2,0,1,0,1,18,3,75,6,6,3,80,13,623,1255,3,5,0,6,14,2,1,3,5,1,0,1,118,1,3,0,6,2,17,2
Álava,HARANA/VALLE DE ARANA,,56,2,233,89,,89,,89,144,6,14,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,16,40,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
Gipuzkoa,HERNANI,,40,1,15226,6344,39,6305,92,6213,8882,707,306,10,0,10,1,6,2,0,43,5,114,26,9,2,292,49,3107,958,5,6,3,9,67,12,2,23,5,2,0,12,366,4,6,4,15,1,22,2
Gipuzkoa,HERNIALDE,,41,3,273,86,,86,2,84,187,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,20,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Gipuzkoa,HONDARRIBIA,,36,2,13080,5238,27,5211,93,5118,7842,482,379,5,0,8,1,0,7,2,29,1,153,26,3,1,218,42,1186,1906,12,7,3,11,90,28,5,25,20,0,0,3,405,8,3,0,20,1,28,0
Gipuzkoa,IBARRA,,42,3,3305,1306,8,1298,19,1279,1999,140,59,3,0,1,0,1,0,0,5,0,11,2,2,0,69,11,557,319,0,0,0,1,7,3,0,6,0,2,2,0,61,1,0,1,2,0,13,0
Bizkaia,IBARRANGELU,,48,4,553,309,2,307,4,303,244,8,2,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,120,155,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0
Gipuzkoa,IDIAZABAL,,43,3,1754,757,3,754,14,740,997,15,31,0,0,0,0,0,0,0,1,0,5,3,1,0,17,2,353,296,0,2,0,0,1,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0
Bizkaia,IGORRE,,94,3,3254,1547,2,1545,23,1522,1707,43,30,4,1,2,0,0,0,0,3,0,9,2,3,1,25,6,640,670,1,0,1,0,6,4,0,2,11,0,0,0,51,0,0,1,2,0,2,2
Gipuzkoa,IKAZTEGIETA,,44,3,366,163,1,162,2,160,203,10,3,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,86,46,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Gipuzkoa,IRUN,,45,2,46652,18646,170,18476,352,18124,28006,4183,2182,22,12,36,6,16,6,11,215,18,967,203,27,4,1398,246,2589,3232,35,17,20,55,265,107,11,125,51,4,5,12,1790,9,13,4,59,6,129,34
Gipuzkoa,IRURA,,46,3,1147,465,5,460,10,450,682,23,12,0,0,0,0,0,0,0,2,0,11,0,1,0,17,7,212,127,0,2,0,3,0,0,0,1,0,1,0,0,29,0,0,1,0,0,1,0
Álava,IRURAIZ-GAUNA,,27,2,419,161,5,156,2,154,258,6,18,0,0,0,0,0,0,0,1,0,6,1,0,0,10,0,52,50,0,0,0,0,3,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2285,898,26,872,12,860,1387,202,142,3,0,5,0,4,0,1,8,1,40,10,2,1,62,10,109,99,1,2,0,7,19,11,1,3,3,0,0,1,93,0,0,0,2,0,16,2
Bizkaia,ISPASTER,,49,4,559,351,5,346,5,341,208,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,118,196,0,0,0,0,5,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0
Gipuzkoa,ITSASONDO,,47,3,475,214,,214,8,206,261,14,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6,0,126,48,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0
Bizkaia,IURRETA,,910,3,3022,1324,16,1308,8,1300,1698,198,113,0,1,2,0,1,1,1,6,0,33,5,1,1,56,14,421,358,2,0,1,3,5,1,0,4,1,0,0,0,60,0,4,0,1,0,6,0
Bizkaia,IZURTZA,,50,3,213,129,2,127,1,126,84,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,70,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2411,821,10,811,11,800,1590,63,42,0,0,0,0,0,1,0,3,1,9,0,0,0,34,2,158,456,2,0,1,3,0,2,0,0,1,0,0,0,18,0,1,0,0,0,3,0
Bizkaia,KORTEZUBI,,907,4,356,225,2,223,5,218,131,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,77,124,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,2,0,1,0
Álava,KRIPAN,,19,2,149,85,,85,,85,64,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,50,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Álava,KUARTANGO,,20,2,318,160,2,158,2,156,158,1,16,0,0,1,0,0,0,0,1,0,1,0,0,0,4,0,56,69,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1
Álava,LABASTIDA/BASTIDA,,28,2,1093,506,7,499,5,494,587,62,164,0,0,0,1,0,0,0,1,0,18,3,2,0,29,1,77,79,2,0,3,5,2,4,1,3,2,0,0,1,29,0,1,0,1,2,1,0
Álava,LAGRÁN,,30,2,151,85,3,82,1,81,66,11,28,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,7,21,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0
Álava,LAGUARDIA,,31,2,1221,592,22,570,9,561,629,50,198,0,0,0,0,0,0,1,4,0,11,7,1,0,18,3,87,113,0,0,1,0,4,24,0,0,1,0,0,1,31,2,0,1,0,1,2,0
Álava,LANCIEGO/LANTZIEGO,,32,2,521,235,6,229,1,228,286,43,49,0,0,0,0,0,0,0,4,1,4,1,0,0,18,2,25,56,0,0,0,1,3,0,0,0,0,0,0,0,16,0,2,0,2,0,1,0
Bizkaia,LANESTOSA,,51,2,212,116,2,114,,114,96,14,13,0,0,0,0,0,0,0,1,0,6,0,0,0,8,0,15,43,1,0,1,1,2,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0
Álava,LANTARÓN,,902,2,766,340,11,329,7,322,426,36,80,1,0,2,0,0,0,3,5,0,10,2,0,1,16,1,51,66,1,1,0,1,5,9,0,2,0,0,0,0,24,0,1,0,0,0,4,0
Álava,LAPUEBLA DE LABARCA,,33,2,662,366,5,361,10,351,296,46,72,0,0,0,0,1,0,0,1,0,12,1,0,0,15,1,45,142,0,0,0,0,10,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Bizkaia,LARRABETZU,,52,4,1549,1007,2,1005,7,998,542,7,9,0,0,1,0,0,0,0,2,0,8,4,1,1,18,8,546,340,0,3,1,0,11,0,0,4,1,0,0,0,30,0,1,0,2,0,0,0
Gipuzkoa,LARRAUL,,48,3,179,77,,77,1,76,102,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Gipuzkoa,LASARTE-ORIA,,902,1,14204,6248,44,6204,111,6093,7956,1656,606,3,2,10,0,7,1,2,52,5,251,40,7,2,332,60,1461,881,10,8,3,13,59,12,1,43,18,1,2,3,478,2,5,0,11,4,37,5
Álava,LAUDIO/LLODIO,,36,3,15134,6479,96,6383,88,6295,8655,867,602,10,0,9,3,2,3,4,56,2,178,30,15,2,376,49,1763,1614,8,4,6,17,57,21,2,27,7,3,2,2,493,4,8,1,7,3,28,10
Bizkaia,LAUKIZ,,53,4,882,461,7,454,12,442,421,14,47,0,0,0,0,0,0,0,4,0,10,4,0,0,8,0,84,255,0,0,0,0,3,2,0,0,1,0,0,0,8,0,0,0,1,0,1,0
Gipuzkoa,LAZKAO,,49,3,4091,1846,11,1835,34,1801,2245,178,60,0,0,2,0,2,1,0,14,0,41,0,3,1,71,13,841,453,0,2,1,3,6,4,1,4,3,0,0,1,86,1,0,0,2,0,7,0
Gipuzkoa,LEABURU,,50,3,276,151,2,149,4,145,125,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,99,40,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Gipuzkoa,LEGAZPI,,51,3,6948,2987,31,2956,52,2904,3961,437,189,2,1,1,0,1,0,3,16,0,69,5,3,2,141,16,920,859,3,3,1,5,53,2,0,5,0,1,1,1,142,0,5,1,2,3,10,1
Gipuzkoa,LEGORRETA,,52,3,1104,571,5,566,10,556,533,41,22,0,0,1,0,0,0,0,1,0,5,0,0,0,16,3,260,179,0,1,0,0,4,0,0,0,0,0,0,0,17,0,1,0,0,0,4,1
Álava,LEGUTIO,,58,2,1313,495,2,493,11,482,818,37,18,0,0,0,0,0,2,0,4,1,8,1,3,0,28,3,217,115,0,0,0,0,11,4,0,0,0,0,0,3,25,0,0,0,0,0,2,0
Gipuzkoa,LEINTZ-GATZAGA,,68,4,192,88,,88,6,82,104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,56,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bizkaia,LEIOA,,54,4,23910,10783,106,10677,216,10461,13127,1408,982,12,4,18,1,3,4,5,136,6,463,130,17,3,653,115,1559,3333,16,11,11,28,218,78,8,49,40,0,0,20,983,7,16,2,16,4,85,17
Bizkaia,LEKEITIO,,57,4,5842,3202,13,3189,32,3157,2640,43,44,0,0,0,0,0,0,0,2,2,5,3,2,0,44,5,1620,1296,0,2,0,2,5,1,0,3,5,0,0,0,66,0,2,0,3,0,2,0
Bizkaia,LEMOA,,55,3,2691,1434,26,1408,25,1383,1257,73,37,0,0,2,0,0,0,0,10,0,28,6,1,0,41,7,567,542,1,3,0,3,4,2,0,3,3,0,0,0,44,0,0,0,0,0,3,3
Bizkaia,LEMOIZ,,56,4,943,504,6,498,4,494,439,7,7,0,0,1,0,0,0,0,4,0,0,0,0,1,15,2,161,257,0,1,0,0,10,0,0,3,2,0,0,0,21,0,0,0,0,0,1,1
Álava,LEZA,,34,2,167,96,1,95,,95,71,13,5,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,29,32,1,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0
Bizkaia,LEZAMA,,81,4,1919,1037,6,1031,26,1005,882,43,25,0,0,0,0,1,0,1,7,0,14,1,0,0,32,7,283,529,0,0,1,0,7,4,0,0,2,0,0,0,43,0,1,0,0,0,2,2
Gipuzkoa,LEZO,,53,2,4801,1856,20,1836,26,1810,2945,186,52,1,0,6,0,3,2,0,20,0,59,8,2,0,91,11,859,317,2,3,1,4,18,0,0,4,1,0,0,0,147,0,1,1,1,0,8,2
Gipuzkoa,LIZARTZA,,54,3,464,274,2,272,3,269,190,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,218,41,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Bizkaia,LOIU,,903,4,1836,1021,18,1003,13,990,815,25,78,0,0,1,1,0,0,1,9,1,27,12,1,1,27,5,147,586,0,0,0,3,6,6,0,3,1,0,0,0,42,0,0,1,0,1,4,1
Bizkaia,MALLABIA,,58,3,987,479,5,474,6,468,508,33,12,0,0,0,0,0,0,0,1,0,5,2,2,0,10,3,218,152,0,0,0,0,5,0,0,1,2,2,0,0,17,1,1,0,0,0,1,0
Bizkaia,MARKINA-XEMEIN,,60,4,3670,1609,7,1602,16,1586,2061,20,41,0,0,0,0,0,0,0,2,1,13,0,0,1,32,7,719,689,0,0,0,2,8,1,0,0,1,0,0,0,40,3,5,0,1,0,0,0
Bizkaia,MARURI-JATABE,,61,4,753,411,3,408,,408,342,10,14,0,0,1,0,0,0,0,4,0,13,1,0,0,12,5,112,203,0,0,0,1,5,2,0,0,0,0,0,0,19,0,0,0,0,0,4,2
Bizkaia,MAÑARIA,,59,3,406,263,4,259,1,258,143,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,125,114,2,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0
Gipuzkoa,MENDARO,,901,4,1454,599,2,597,8,589,855,53,18,0,0,1,0,0,0,0,2,0,5,3,2,1,28,11,207,209,0,0,0,1,10,1,1,1,3,0,0,0,30,0,0,0,2,0,0,0
Bizkaia,MENDATA,,62,4,305,181,,181,3,178,124,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,105,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Bizkaia,MENDEXA,,63,4,365,223,2,221,3,218,142,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,101,93,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Bizkaia,MEÑAKA,,64,4,607,367,4,363,9,354,240,6,2,0,0,0,0,0,0,0,1,0,1,0,0,0,4,1,156,167,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,211,118,6,112,,112,93,26,16,0,0,0,0,0,0,0,0,0,5,3,0,0,10,1,14,28,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0
Bizkaia,MORGA,,66,4,353,224,1,223,,223,129,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,68,138,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Bizkaia,MUNDAKA,,68,4,1572,905,10,895,4,891,667,17,10,0,0,0,0,0,0,0,1,0,2,2,0,0,21,5,255,560,0,2,0,0,3,0,0,0,0,0,0,0,11,0,1,0,0,1,0,0
Bizkaia,MUNGIA,,69,4,12679,5704,75,5629,65,5564,6975,305,367,3,3,5,0,2,3,8,48,1,107,44,5,0,179,52,1343,2642,4,4,2,6,67,22,2,16,3,0,0,1,291,4,4,1,5,1,12,2
Álava,MUNICIPIO CERA ARABA,,999,99,5135,139,9,130,3,127,4996,19,18,0,0,0,0,0,0,0,1,0,12,2,1,0,10,1,23,26,0,0,0,0,4,1,0,0,0,0,1,0,7,0,0,0,0,1,0,0
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,32586,769,1,768,17,751,31817,127,133,0,1,4,1,0,0,0,16,2,31,10,5,0,27,1,104,205,1,4,0,4,14,14,1,4,4,0,1,1,20,3,2,1,6,1,3,0
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,22485,652,9,643,1,642,21833,113,65,1,0,4,0,2,1,0,6,0,27,8,7,0,35,4,141,134,1,0,0,3,19,10,0,10,3,0,0,1,39,0,0,0,3,1,4,0
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,373,194,,194,,194,179,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,113,74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bizkaia,MURUETA,,908,4,244,152,,152,2,150,92,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,62,75,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Bizkaia,MUSKIZ,,71,2,6158,2827,51,2776,61,2715,3331,443,99,3,0,8,0,0,1,0,33,3,54,17,2,1,161,16,535,1056,3,2,1,9,39,6,1,8,7,0,1,5,182,2,2,0,4,0,9,2
Gipuzkoa,MUTILOA,,57,3,198,70,,70,1,69,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Gipuzkoa,MUTRIKU,,56,4,4096,1742,24,1718,13,1705,2354,52,58,0,0,0,1,0,0,0,12,0,15,3,2,0,46,1,776,647,0,1,0,0,31,0,0,0,2,0,0,0,53,0,1,0,0,0,4,0
Bizkaia,MUXIKA,,67,4,1173,651,4,647,1,646,522,6,5,0,0,0,0,0,0,0,1,0,1,1,0,0,11,2,312,278,0,1,0,0,2,0,0,1,0,0,0,0,23,0,0,0,0,0,1,1
Bizkaia,NABARNIZ,,909,4,194,136,2,134,1,133,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,82,43,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
Álava,NAVARIDAS,,41,2,152,85,2,83,2,81,67,5,32,0,0,0,0,0,0,0,1,1,4,0,0,0,1,1,2,29,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Gipuzkoa,OIARTZUN,,63,2,7910,3820,22,3798,52,3746,4090,143,80,1,0,3,0,0,0,2,18,1,36,9,4,0,125,16,2425,681,0,4,0,5,27,7,1,6,2,0,0,1,130,2,1,0,4,0,8,4
Álava,OKONDO,,42,3,901,416,10,406,5,401,485,13,20,0,0,0,0,0,0,0,6,0,7,2,1,0,9,7,160,154,1,0,0,0,3,1,0,1,0,0,1,0,13,0,0,0,0,0,2,0
Gipuzkoa,OLABERRIA,,58,3,772,351,5,346,16,330,421,52,19,0,1,0,0,0,0,0,4,0,7,0,0,0,7,1,102,97,0,0,0,1,4,0,0,0,1,0,0,0,30,0,0,0,1,0,3,0
Bizkaia,ONDARROA,,73,4,7036,3395,40,3355,39,3316,3641,76,107,1,0,0,1,0,0,0,12,1,6,3,0,1,77,7,1770,1163,0,1,0,0,9,4,0,0,2,0,0,0,64,0,7,0,1,0,2,1
Gipuzkoa,ORDIZIA,,76,3,7038,3159,14,3145,57,3088,3879,362,180,0,0,3,2,0,0,1,17,2,62,8,3,0,161,21,1177,821,5,2,2,3,28,5,0,2,2,1,0,0,207,0,1,0,3,0,6,1
Gipuzkoa,ORENDAIN,,905,3,148,85,,85,2,83,63,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,52,22,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Gipuzkoa,OREXA,,60,3,89,71,,71,3,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ORIO,,61,4,4209,1619,11,1608,15,1593,2590,92,43,2,0,1,0,0,0,0,5,0,16,2,2,0,36,14,591,686,2,1,2,1,4,4,0,3,3,0,0,0,73,0,0,0,3,0,6,1
Gipuzkoa,ORMAIZTEGI,,62,3,980,437,3,434,7,427,543,14,10,0,0,2,0,0,0,0,4,0,2,1,0,0,6,1,176,185,0,0,0,2,0,0,0,1,0,0,0,0,21,0,0,0,0,0,2,0
Bizkaia,OROZKO,,75,3,1994,944,32,912,17,895,1050,16,35,0,0,1,0,0,0,0,6,1,3,5,4,1,9,9,257,499,0,0,0,2,6,4,0,4,0,0,0,0,25,1,1,0,0,1,4,1
Bizkaia,ORTUELLA,,83,2,6991,3220,42,3178,70,3108,3771,683,122,4,1,7,0,3,1,3,36,0,68,20,10,0,247,9,501,933,4,2,0,11,24,8,0,12,4,2,1,1,353,1,2,0,6,0,24,5
Bizkaia,OTXANDIO,,72,3,999,595,5,590,6,584,404,15,11,0,0,0,0,0,0,0,1,0,2,0,0,0,10,1,324,203,0,0,1,0,3,0,0,0,2,0,0,0,10,0,0,0,1,0,0,0
Álava,OYÓN-OION,,43,2,2329,1019,16,1003,15,988,1310,165,215,0,0,2,0,0,0,0,11,0,49,15,2,3,69,7,168,153,2,0,0,4,10,7,0,5,2,0,0,0,89,0,0,0,3,1,5,1
Gipuzkoa,OÑATI,,59,4,8882,4162,10,4152,40,4112,4720,192,132,0,0,4,0,1,0,1,12,1,37,2,3,0,127,16,1981,1456,1,4,2,1,30,2,2,4,1,1,0,0,87,0,1,0,3,2,5,1
Gipuzkoa,PASAIA,,64,2,12422,4739,39,4700,65,4635,7683,736,332,3,2,9,2,3,5,2,52,1,159,34,6,1,250,61,1363,999,6,6,2,19,50,10,5,18,10,3,1,5,407,4,4,0,20,3,34,8
Álava,PEÑACERRADA-URIZAHARRA,,44,2,236,119,,119,2,117,117,18,27,0,0,1,0,0,0,0,0,0,3,0,0,0,8,1,31,20,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0
Bizkaia,PLENTZIA,,77,4,3411,1645,18,1627,21,1606,1766,69,100,0,0,0,2,1,0,0,20,1,35,14,2,0,57,9,408,745,2,1,0,2,24,7,2,3,2,0,0,0,88,0,2,0,2,0,7,1
Bizkaia,PORTUGALETE,,78,2,39341,17217,163,17054,353,16701,22124,3891,1823,19,4,54,5,7,8,3,180,7,608,107,20,1,1448,130,2296,4064,24,12,6,42,203,53,7,71,28,7,6,27,1355,5,14,3,35,16,106,6
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,980,400,22,378,8,370,580,72,92,1,0,1,0,0,0,1,8,0,17,4,2,0,19,3,23,74,0,0,0,0,13,4,0,3,0,1,0,0,28,0,1,1,1,0,1,0
Álava,SAMANIEGO,,52,2,234,149,1,148,3,145,85,33,11,0,0,2,0,0,0,0,0,0,3,1,1,0,6,1,32,47,0,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,2,0,0,0
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,597,190,2,188,3,185,407,4,25,0,0,0,0,0,0,0,2,0,7,0,0,1,10,0,69,44,0,0,0,0,5,0,0,2,1,0,0,0,12,0,1,0,1,0,1,0
Bizkaia,SANTURTZI,,82,2,38150,16190,184,16006,279,15727,21960,3234,1307,10,2,28,3,6,5,7,143,6,496,104,14,2,1345,125,2800,4274,29,9,11,38,194,53,7,49,23,3,1,2,1236,7,14,2,20,5,99,14
Gipuzkoa,SEGURA,,70,3,1095,554,,554,11,543,541,5,4,0,0,0,1,0,0,0,0,0,2,0,0,0,8,3,322,182,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,2,1
Bizkaia,SESTAO,,84,2,22951,9644,130,9514,160,9354,13307,2168,803,9,3,35,0,4,0,0,107,3,271,52,12,0,746,100,1266,2765,10,5,4,29,91,22,3,35,18,0,2,5,686,8,10,1,13,3,61,4
Bizkaia,SONDIKA,,904,4,3558,1816,36,1780,34,1746,1742,133,117,0,0,3,0,1,0,0,10,1,38,10,3,0,61,9,305,920,1,1,1,3,18,6,1,7,0,0,0,2,80,0,3,2,1,0,9,0
Bizkaia,SOPELA,,85,4,10109,4575,36,4539,52,4487,5534,355,186,5,0,9,0,1,1,2,42,1,120,40,9,1,250,47,1335,1483,3,5,4,13,93,9,2,35,9,1,2,1,371,2,1,1,10,3,32,3
Bizkaia,SOPUERTA,,86,2,2053,855,19,836,11,825,1198,68,31,0,0,2,0,0,0,1,6,0,15,2,1,0,59,3,230,329,2,3,1,1,9,2,0,4,1,0,0,0,46,0,3,1,0,0,5,0
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3101,1387,16,1371,10,1361,1714,207,120,0,0,2,0,0,0,1,5,1,21,0,1,0,41,7,516,378,0,0,0,0,9,2,0,0,0,0,0,1,39,1,2,0,0,0,4,3
Bizkaia,SUKARRIETA,,76,4,306,183,1,182,4,178,123,6,3,0,0,0,0,0,0,0,2,0,0,1,0,0,6,1,46,106,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
Gipuzkoa,TOLOSA,,71,3,14737,6265,34,6231,118,6113,8472,468,354,2,0,6,1,1,2,1,26,2,88,17,3,1,247,37,2285,2059,1,12,5,10,72,11,0,12,9,0,1,1,327,3,6,0,14,1,24,4
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,444,269,18,251,2,249,175,13,15,0,0,1,0,0,0,0,1,0,3,0,0,0,5,2,44,154,0,0,0,0,1,0,0,3,0,0,0,0,6,0,1,0,0,0,0,0
Bizkaia,UBIDE,,88,3,141,95,,95,2,93,46,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,59,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3312,1655,18,1637,16,1621,1657,163,80,1,0,1,1,0,0,0,10,1,26,7,0,0,67,3,523,604,5,0,0,5,11,4,1,2,3,0,2,3,85,1,3,0,4,0,4,1
Bizkaia,URDULIZ,,89,4,3161,1511,18,1493,29,1464,1650,101,53,2,0,2,0,0,1,1,25,1,26,10,4,0,82,8,397,602,0,3,0,3,32,3,0,2,1,0,0,0,86,0,2,0,1,2,11,3
Bizkaia,URDUÑA/ORDUÑA,,74,3,3355,1699,24,1675,28,1647,1656,131,104,1,0,1,1,1,3,3,6,1,25,4,2,0,71,4,519,631,2,0,7,2,13,5,4,2,0,1,0,0,81,3,6,0,8,0,4,1
Álava,URKABUSTAIZ,,54,2,952,468,2,466,3,463,484,11,24,1,0,0,0,0,0,0,2,0,3,0,3,1,17,3,219,116,0,2,0,0,15,1,0,5,0,0,0,0,35,0,0,0,0,0,5,0
Gipuzkoa,URNIETA,,72,1,4666,1784,22,1762,28,1734,2882,273,119,1,3,3,0,0,1,0,12,4,53,6,6,0,95,8,515,419,1,0,1,2,18,7,0,36,2,0,1,18,108,0,3,0,4,2,13,0
Gipuzkoa,URRETXU,,77,3,5284,2333,23,2310,54,2256,2951,360,108,3,2,0,0,1,0,0,14,1,46,11,3,1,102,20,713,674,5,2,0,4,13,4,2,4,3,1,1,2,133,0,5,0,4,8,6,0
Gipuzkoa,USURBIL,,73,1,4707,2070,6,2064,42,2022,2637,146,56,0,0,1,0,0,0,1,6,2,33,12,4,0,65,12,1205,361,0,2,0,0,11,6,1,6,2,2,0,0,81,1,1,0,2,0,2,1
Álava,VALDEGOVÍA/GAUBEA,,55,2,853,360,8,352,11,341,493,35,77,0,0,0,0,1,0,0,1,0,5,4,0,1,11,4,63,103,0,1,1,1,6,2,0,3,0,0,0,0,17,1,0,0,0,0,4,0
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10029,4316,98,4218,92,4126,5713,971,222,1,0,14,1,2,0,1,34,3,105,28,9,2,306,38,723,1264,3,2,1,10,32,12,1,9,8,0,0,2,283,1,0,0,1,0,32,5
Gipuzkoa,VILLABONA,,75,3,4386,1731,13,1718,29,1689,2655,166,80,2,0,1,0,0,0,0,7,0,37,8,0,0,69,14,754,424,2,2,0,3,12,0,4,2,2,1,0,0,89,1,0,0,4,0,4,1
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,254,156,6,150,5,145,98,4,18,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,50,63,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
