TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,CDS,EKA,PH,FE-JONS,POSI,IRE,PSE-EE/PSOE,FEA,DN,PKD,FE,MSR,ARALAR-ZUTIK
Gipuzkoa,ANOETA,,10,3,1417,1025,247,778,9,769,392,327,79,105,59,0,0,1,1,,0,132,0,0,,0,0,65
Gipuzkoa,ANTZUOLA,,11,4,1647,1308,295,1013,12,1001,339,402,53,153,36,0,0,0,0,,0,181,0,0,,0,0,176
Bizkaia,ARAKALDO,,5,3,83,69,19,50,1,49,14,28,6,4,4,0,0,0,0,0,0,3,,0,0,0,0,4
Gipuzkoa,ARAMA,,12,3,135,109,28,81,1,80,26,36,4,24,0,0,0,0,0,,0,2,0,0,,0,0,14
Álava,ARAMAIO,,3,2,1227,953,161,792,9,783,274,365,19,232,43,0,0,0,0,,0,30,,1,,0,0,93
Bizkaia,ARANTZAZU,,6,3,247,220,53,167,1,166,27,116,6,18,3,0,0,0,0,0,0,9,,0,0,0,0,14
Bizkaia,AREATZA,,93,3,826,665,57,608,4,604,161,361,86,39,25,0,1,1,0,0,0,44,,0,5,0,0,42
Gipuzkoa,ARETXABALETA,,13,4,5256,3970,561,3409,26,3383,1286,1128,301,461,287,1,0,7,1,,4,648,0,1,,0,0,544
Álava,ARMIÑÓN,,6,2,147,111,5,106,2,104,36,22,47,3,3,0,0,0,0,,0,29,,0,,0,0,0
Álava,ARRAIA-MAEZTU,,37,2,641,474,29,445,6,439,167,185,116,26,31,1,0,1,0,,0,73,,0,,0,0,6
Bizkaia,ARRANKUDIAGA,,9,3,676,554,117,437,1,436,122,320,28,25,16,0,0,0,0,1,0,29,,0,1,0,0,16
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19554,14341,1869,12472,128,12344,5213,3581,1437,1425,1458,11,3,16,2,,8,3261,5,7,,1,8,1121
Bizkaia,ARRATZU,,914,4,312,257,81,176,,176,55,139,1,18,5,0,0,0,0,0,0,6,,0,0,0,0,7
Álava,ARRATZUA-UBARRUNDIA,,8,2,669,540,25,515,5,510,129,237,124,23,27,2,0,2,0,,1,81,,0,,0,0,13
Bizkaia,ARRIETA,,10,4,437,322,21,301,1,300,115,240,15,13,11,0,0,0,0,0,0,8,,0,0,0,0,13
Bizkaia,ARRIGORRIAGA,,11,3,9592,7335,544,6791,86,6705,2257,2717,891,272,697,11,2,24,1,21,5,1882,,10,36,2,3,131
Bizkaia,ARTEA,,23,3,564,474,86,388,2,386,90,228,34,71,25,0,0,0,0,0,0,5,,0,1,1,0,21
Bizkaia,ARTZENTALES,,8,2,572,468,21,447,5,442,104,334,23,37,26,1,0,0,0,0,1,14,,0,0,0,0,6
Álava,ARTZINIEGA,,4,3,1177,993,69,924,20,904,184,406,207,37,48,2,0,3,0,,1,140,,0,,0,0,60
Álava,ASPARRENA,,9,2,1340,967,139,828,9,819,373,356,119,87,66,1,0,3,0,,3,127,,1,,0,0,56
Gipuzkoa,ASTEASU,,14,3,1071,701,164,537,10,527,370,179,25,181,34,0,0,1,0,,1,48,0,0,,0,0,58
Gipuzkoa,ASTIGARRAGA,,903,1,3226,2183,418,1765,25,1740,1043,607,168,339,151,2,1,6,1,,2,300,0,0,,0,2,161
Gipuzkoa,ATAUN,,15,3,1329,1023,418,605,2,603,306,325,8,148,28,0,0,1,1,,0,16,1,0,,0,0,75
Bizkaia,ATXONDO,,91,3,1172,902,173,729,11,718,270,421,71,32,36,0,0,1,0,4,0,120,,0,1,0,0,32
Bizkaia,AULESTI,,70,4,564,410,149,261,4,257,154,206,7,23,3,0,0,0,0,0,0,3,,0,1,1,0,13
Álava,AYALA/AIARA,,10,3,2008,1663,106,1557,11,1546,345,859,258,126,78,2,0,0,0,,0,183,,0,,0,0,40
Gipuzkoa,AZKOITIA,,17,4,8564,6510,762,5748,36,5712,2054,3109,504,501,298,4,2,18,1,,9,867,1,10,,0,1,387
Gipuzkoa,AZPEITIA,,18,4,11232,8358,1438,6920,51,6869,2874,3807,443,1336,246,0,4,5,37,,6,529,0,3,,1,2,450
Álava,AÑANA,,49,2,171,145,11,134,1,133,26,72,33,2,3,0,0,0,1,,0,21,,0,,0,0,1
Bizkaia,BAKIO,,12,4,1628,1383,133,1250,3,1247,245,887,63,99,78,0,0,3,0,0,3,70,,0,3,0,0,41
Gipuzkoa,BALIARRAIN,,904,3,85,62,35,27,1,26,23,14,0,5,0,0,0,0,0,,0,0,0,0,,0,0,7
Bizkaia,BALMASEDA,,90,2,6127,5044,281,4763,39,4724,1083,2208,534,206,235,5,0,5,3,7,0,1460,,6,4,1,1,49
Bizkaia,BARAKALDO,,13,2,82537,61582,2434,59148,782,58366,20955,13952,12195,1330,6161,62,4,179,16,194,33,23455,,32,162,10,32,549
Bizkaia,BARRIKA,,14,4,1075,828,99,729,4,725,247,448,95,37,47,0,0,0,0,0,0,70,,0,0,0,0,28
Álava,BARRUNDIA,,13,2,634,460,47,413,8,405,174,198,66,29,33,1,0,1,0,,1,59,,0,,0,1,16
Bizkaia,BASAURI,,15,3,38828,29568,1310,28258,432,27826,9260,9213,5035,695,2447,42,7,115,11,115,14,9666,,18,99,6,14,329
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,277,241,5,236,6,230,36,93,101,1,2,0,0,0,0,,0,30,,0,,0,0,3
Gipuzkoa,BEASAIN,,19,3,10128,7558,786,6772,72,6700,2570,2565,829,734,484,8,8,17,1,,16,1632,0,1,,4,4,397
Bizkaia,BEDIA,,92,3,812,656,51,605,5,600,156,416,53,23,21,0,0,0,1,0,2,73,,0,1,0,0,10
Gipuzkoa,BEIZAMA,,20,4,142,103,38,65,,65,39,46,1,10,0,0,0,0,0,,0,0,0,0,,0,0,8
Gipuzkoa,BELAUNTZA,,21,3,259,153,51,102,2,100,106,43,7,21,3,0,0,1,0,,0,7,0,0,,0,0,18
Bizkaia,BERANGO,,16,4,4756,3725,341,3384,32,3352,1031,1449,537,234,284,1,1,10,0,12,0,736,,0,13,0,2,73
Álava,BERANTEVILLA,,14,2,415,340,7,333,5,328,75,131,109,5,26,0,0,2,0,,1,50,,0,,0,0,4
Gipuzkoa,BERASTEGI,,22,3,793,558,99,459,3,456,235,200,11,153,14,0,0,0,0,,1,16,0,0,,0,0,61
Gipuzkoa,BERGARA,,74,4,12543,9335,1408,7927,106,7821,3208,3228,639,970,611,3,4,9,3,,17,1223,4,3,,0,2,1105
Bizkaia,BERMEO,,17,4,14226,10971,946,10025,62,9963,3255,5206,400,2754,447,8,1,11,2,9,3,849,,1,9,3,2,258
Álava,BERNEDO,,16,2,492,320,16,304,4,300,172,116,110,9,13,0,0,1,0,,0,48,,0,,0,0,3
Bizkaia,BERRIATUA,,18,4,905,641,138,503,2,501,264,378,6,41,18,0,0,3,0,0,0,16,,0,0,0,0,39
Bizkaia,BERRIZ,,19,3,3780,2946,320,2626,30,2596,834,1165,353,122,214,2,0,7,0,1,0,581,,0,8,1,0,142
Gipuzkoa,BERROBI,,23,3,445,312,78,234,1,233,133,118,25,39,8,0,1,0,0,,0,16,0,0,,0,0,26
Gipuzkoa,BIDANIA-GOIATZ,,24,4,351,240,60,180,2,178,111,60,6,89,5,0,0,0,0,,0,3,0,0,,0,0,15
Bizkaia,BILBAO,,20,1,295949,225279,9627,215652,2969,212683,70670,71736,51475,6266,19201,256,150,584,50,485,125,57971,,102,920,55,91,3216
Bizkaia,BUSTURIA,,21,4,1495,1174,144,1030,12,1018,321,596,63,155,58,2,0,2,0,1,2,108,,0,0,0,0,31
Álava,CAMPEZO/KANPEZU,,17,2,916,697,48,649,7,642,219,288,159,20,52,0,0,0,0,,2,105,,0,,0,1,15
Gipuzkoa,DEBA,,29,4,4325,3283,461,2822,23,2799,1042,1076,196,749,231,0,2,9,0,,3,310,1,1,,1,0,220
Bizkaia,DERIO,,901,4,4203,3288,151,3137,40,3097,915,1246,401,157,233,8,1,7,1,7,3,983,,0,13,0,0,37
Bizkaia,DIMA,,26,3,951,795,242,553,4,549,156,403,26,55,22,2,0,1,0,0,0,6,,0,2,0,0,32
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,150887,111649,8532,103117,1892,101225,39238,25108,22877,10285,8082,110,53,380,26,,116,29560,17,63,,13,40,4495
Bizkaia,DURANGO,,27,3,21179,16488,1414,15074,136,14938,4691,6658,2567,631,1273,19,7,46,2,50,7,2869,,3,31,2,5,768
Bizkaia,EA,,28,4,714,600,128,472,5,467,114,351,11,78,11,0,1,0,0,0,0,3,,0,0,0,0,12
Gipuzkoa,EIBAR,,30,4,24083,18194,1300,16894,199,16695,5889,5214,2689,1439,1284,8,8,38,4,,24,5297,3,3,,1,6,677
Bizkaia,ELANTXOBE,,31,4,414,345,64,281,,281,69,203,6,50,9,0,0,0,0,0,1,7,,0,0,0,0,5
Álava,ELBURGO/BURGELU,,21,2,359,269,12,257,3,254,90,102,68,12,11,0,0,2,0,,0,50,,1,,0,0,8
Álava,ELCIEGO,,22,2,808,668,21,647,10,637,140,96,224,39,41,0,0,0,0,,0,236,,0,,0,0,1
Gipuzkoa,ELDUAIN,,31,3,181,129,58,71,,71,52,38,3,20,0,0,0,0,0,,0,1,0,0,,0,0,9
Gipuzkoa,ELGETA,,33,4,841,648,100,548,3,545,193,266,29,55,22,0,0,0,0,,1,29,0,0,,0,0,143
Gipuzkoa,ELGOIBAR,,32,4,9061,6976,686,6290,63,6227,2085,2788,820,639,387,2,0,21,0,,4,1270,2,1,,2,3,288
Bizkaia,ELORRIO,,32,3,6042,4669,676,3993,35,3958,1373,1730,575,212,333,0,0,4,0,9,0,796,,2,2,0,0,295
Álava,ELVILLAR/BILAR,,23,2,312,262,12,250,1,249,50,93,111,3,9,0,0,0,0,,0,29,,0,,0,0,4
Bizkaia,ERANDIO,,902,4,19616,14524,770,13754,228,13526,5092,5674,1776,411,1055,19,5,35,3,45,6,4260,,9,59,5,8,156
Bizkaia,EREÑO,,33,4,228,191,21,170,1,169,37,127,7,21,5,0,0,1,0,0,0,5,,0,0,0,0,3
Bizkaia,ERMUA,,34,3,13885,10845,355,10490,130,10360,3040,1494,3227,225,1018,5,1,13,1,11,1,4153,,2,7,1,2,199
Gipuzkoa,ERRENTERIA,,67,2,32642,23005,2535,20470,316,20154,9637,4195,2996,1542,2102,14,17,69,5,,37,8114,5,15,,9,13,1021
Gipuzkoa,ERREZIL,,66,4,507,346,113,233,3,230,161,166,1,41,0,1,0,0,0,,1,6,0,0,,0,0,14
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,513,394,18,376,7,369,119,163,129,5,11,0,0,3,0,,0,53,,0,,0,0,5
Bizkaia,ERRIGOITI,,79,4,444,371,61,310,2,308,73,248,15,30,5,0,0,0,0,0,0,3,,0,0,0,0,7
Gipuzkoa,ESKORIATZA,,34,4,3290,2421,342,2079,18,2061,869,680,200,299,206,2,0,3,1,,0,497,0,0,,0,5,168
Bizkaia,ETXEBARRI,,29,3,6282,4807,157,4650,80,4570,1475,1127,891,177,447,10,1,22,0,32,7,1787,,7,18,1,0,43
Bizkaia,ETXEBARRIA,,30,4,636,497,143,354,1,353,139,304,5,15,5,0,0,0,0,0,0,3,,0,0,0,0,21
Gipuzkoa,EZKIO-ITSASO,,35,3,464,344,95,249,4,245,120,111,4,76,15,0,0,0,0,,0,5,0,0,,0,0,34
Bizkaia,FORUA,,906,4,843,682,128,554,,554,161,394,38,38,23,0,0,1,0,3,0,38,,1,1,0,0,17
Bizkaia,FRUIZ,,35,4,306,238,34,204,2,202,68,149,14,16,8,0,0,0,0,0,0,6,,0,1,0,0,8
Gipuzkoa,GABIRIA,,38,3,344,282,47,235,1,234,62,74,3,120,5,0,0,0,1,,0,4,0,0,,0,0,27
Gipuzkoa,GAINTZA,,37,3,106,79,16,63,3,60,27,42,0,9,1,0,0,0,0,,1,0,0,0,,0,0,7
Bizkaia,GALDAKAO,,36,3,24634,18953,1355,17598,206,17392,5681,7184,2415,980,1822,27,2,40,4,71,22,4329,,9,67,9,6,405
Bizkaia,GALDAMES,,37,2,723,586,67,519,7,512,137,324,27,47,43,0,0,0,0,0,0,53,,0,0,0,0,18
Bizkaia,GAMIZ-FIKA,,38,4,1009,827,86,741,5,736,182,545,46,49,31,0,0,0,0,3,0,31,,0,0,0,0,31
Bizkaia,GARAI,,39,3,247,220,19,201,,201,27,161,3,12,6,0,0,2,0,0,0,3,,0,1,0,1,12
Bizkaia,GATIKA,,40,4,1130,895,121,774,8,766,235,497,50,109,36,0,0,0,0,0,2,47,,0,1,0,0,24
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,725,628,78,550,5,545,97,385,27,58,29,0,0,1,0,0,1,16,,0,2,0,0,26
Gipuzkoa,GAZTELU,,907,3,129,94,38,56,,56,35,34,0,5,12,0,0,0,0,,0,2,0,0,,0,0,3
Bizkaia,GERNIKA-LUMO,,46,4,12899,10275,1335,8940,65,8875,2624,4982,781,1150,490,8,3,14,2,7,4,1117,,5,21,2,2,287
Gipuzkoa,GETARIA,,39,4,1975,1615,359,1256,5,1251,360,788,32,199,31,0,0,1,0,,1,39,0,0,,1,0,159
Bizkaia,GETXO,,44,4,67634,54075,2492,51583,830,50753,13559,18889,14888,2132,3389,71,10,112,5,70,29,9999,,15,183,7,8,946
Bizkaia,GIZABURUAGA,,47,4,112,84,26,58,1,57,28,45,0,8,2,0,0,0,0,0,0,1,,0,0,0,0,1
Bizkaia,GORDEXOLA,,42,2,1333,1168,52,1116,7,1109,165,678,181,59,70,1,0,1,0,1,0,107,,0,0,0,0,11
Bizkaia,GORLIZ,,43,4,3787,3075,204,2871,21,2850,712,1675,299,161,231,5,0,6,0,6,3,340,,1,9,0,0,114
Bizkaia,GÜEÑES,,45,2,5085,4182,277,3905,32,3873,903,2217,300,371,194,2,1,6,1,13,1,692,,2,11,2,3,57
Álava,HARANA/VALLE DE ARANA,,56,2,299,217,6,211,4,207,82,98,73,2,11,0,0,0,0,,0,19,,0,,0,0,4
Gipuzkoa,HERNANI,,40,1,15457,10373,2541,7832,155,7677,5084,1971,911,1055,743,1,0,68,0,,53,2131,2,3,,1,5,733
Gipuzkoa,HERNIALDE,,41,3,252,158,25,133,4,129,94,73,4,18,6,0,0,0,0,,0,8,0,0,,0,0,20
Gipuzkoa,HONDARRIBIA,,36,2,12687,9565,712,8853,106,8747,3122,4029,1034,954,588,3,2,22,0,,13,1568,0,0,,1,3,530
Gipuzkoa,IBARRA,,42,3,3669,2568,548,2020,38,1982,1101,685,197,306,169,1,3,9,1,,0,451,0,0,,0,0,160
Bizkaia,IBARRANGELU,,48,4,473,389,53,336,3,333,84,277,6,20,15,0,0,0,0,0,0,8,,0,0,0,0,7
Gipuzkoa,IDIAZABAL,,43,3,1763,1381,233,1148,18,1130,382,487,58,411,29,0,0,1,0,,1,57,0,0,,0,0,86
Bizkaia,IGORRE,,94,3,3303,2657,397,2260,23,2237,646,1463,97,224,102,0,0,6,0,0,0,191,,1,2,0,3,148
Gipuzkoa,IKAZTEGIETA,,44,3,317,237,75,162,4,158,80,92,10,20,9,0,0,0,0,,0,8,0,0,,0,0,19
Gipuzkoa,IRUN,,45,2,48005,35888,1617,34271,521,33750,12117,8121,6902,1692,2368,63,20,146,6,,44,13412,46,51,,10,32,837
Gipuzkoa,IRURA,,46,3,867,598,132,466,14,452,269,197,29,81,23,2,0,0,0,,1,62,0,1,,0,0,56
Álava,IRURAIZ-GAUNA,,27,2,401,320,29,291,3,288,81,126,75,22,19,1,0,1,0,,2,30,,0,,0,0,12
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1693,1282,28,1254,24,1230,411,267,381,30,82,0,0,8,0,,4,435,,1,,0,2,20
Bizkaia,ISPASTER,,49,4,548,453,50,403,1,402,95,330,20,25,9,0,0,0,0,0,0,1,,0,0,0,0,17
Gipuzkoa,ITSASONDO,,47,3,460,322,105,217,6,211,138,121,8,31,10,0,0,0,0,,0,11,0,0,,0,0,30
Bizkaia,IURRETA,,910,3,3486,2653,325,2328,21,2307,833,953,421,62,167,2,2,6,0,3,0,622,,0,8,0,1,60
Bizkaia,IZURTZA,,50,3,243,197,52,145,,145,46,112,5,6,6,0,0,0,0,0,0,13,,0,0,0,0,3
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2515,1803,113,1690,16,1674,712,1093,153,67,108,0,0,4,0,0,1,216,,1,5,0,3,23
Bizkaia,KORTEZUBI,,907,4,320,271,50,221,,221,49,193,11,9,2,0,0,0,0,0,0,4,,0,0,0,0,2
Álava,KRIPAN,,19,2,157,139,3,136,,136,18,95,31,0,0,0,1,2,0,,0,5,,0,,1,0,1
Álava,KUARTANGO,,20,2,330,242,28,214,3,211,88,137,34,6,10,0,0,0,0,,0,18,,0,,0,0,6
Álava,LABASTIDA/BASTIDA,,28,2,1054,830,28,802,6,796,224,177,302,35,67,3,1,3,0,,0,192,,0,,0,0,16
Álava,LAGRÁN,,30,2,186,154,3,151,1,150,32,55,60,1,11,1,0,2,0,,0,19,,0,,1,0,0
Álava,LAGUARDIA,,31,2,1248,1022,29,993,6,987,226,281,484,22,21,3,0,2,0,,1,161,,0,,0,0,12
Álava,LANCIEGO/LANTZIEGO,,32,2,537,436,14,422,3,419,101,163,136,2,12,0,0,0,2,,0,101,,0,,0,1,2
Bizkaia,LANESTOSA,,51,2,252,202,5,197,,197,50,102,39,6,9,0,0,0,0,3,0,37,,0,0,0,1,0
Álava,LANTARÓN,,902,2,834,622,20,602,8,594,212,169,228,11,27,4,3,3,0,,1,145,,0,,0,0,3
Álava,LAPUEBLA DE LABARCA,,33,2,705,609,4,605,5,600,96,267,155,39,13,0,1,2,0,,0,123,,0,,0,0,0
Bizkaia,LARRABETZU,,52,4,1359,1111,284,827,3,824,248,602,40,48,54,0,0,1,0,0,0,39,,0,2,0,0,38
Gipuzkoa,LARRAUL,,48,3,132,80,24,56,1,55,52,32,1,10,2,0,0,0,0,,0,2,0,0,,0,0,8
Gipuzkoa,LASARTE-ORIA,,902,1,15019,11244,914,10330,171,10159,3775,1953,1641,719,808,12,3,45,4,,15,4601,3,4,,3,2,346
Álava,LAUDIO/LLODIO,,36,3,16181,12547,1148,11399,143,11256,3634,4316,2117,552,784,9,3,49,1,,17,3165,,11,,4,4,224
Bizkaia,LAUKIZ,,53,4,787,680,53,627,10,617,107,396,105,57,8,0,0,0,0,0,0,45,,0,1,1,1,3
Gipuzkoa,LAZKAO,,49,3,4115,3036,577,2459,35,2424,1079,889,281,363,173,1,1,6,1,,3,531,0,4,,0,3,168
Gipuzkoa,LEABURU,,50,3,320,250,131,119,1,118,70,66,6,17,9,0,0,1,0,,0,2,0,0,,0,0,17
Gipuzkoa,LEGAZPI,,51,3,7355,5725,521,5204,52,5152,1630,1769,586,849,423,3,3,12,0,,9,1079,0,10,,2,1,406
Gipuzkoa,LEGORRETA,,52,3,1149,890,169,721,9,712,259,374,58,75,39,0,0,0,0,,0,116,0,0,,0,0,50
Álava,LEGUTIO,,58,2,1237,886,132,754,10,744,351,327,71,102,74,0,0,0,1,,1,139,,0,,0,0,29
Gipuzkoa,LEINTZ-GATZAGA,,68,4,215,178,46,132,3,129,37,84,3,9,12,0,0,2,0,,0,3,0,0,,0,0,16
Bizkaia,LEIOA,,54,4,23478,18307,817,17490,274,17216,5171,6587,3020,578,1661,19,3,59,3,46,12,4867,,11,64,2,8,276
Bizkaia,LEKEITIO,,57,4,6245,4937,1216,3721,35,3686,1308,2163,147,882,156,0,0,1,0,1,1,136,,0,3,0,0,196
Bizkaia,LEMOA,,55,3,2345,1959,242,1717,11,1706,386,1035,157,186,112,2,0,1,0,1,0,170,,3,2,0,0,37
Bizkaia,LEMOIZ,,56,4,761,605,52,553,8,545,156,427,20,24,22,0,0,0,0,0,0,22,,0,2,0,0,28
Álava,LEZA,,34,2,177,140,4,136,1,135,37,55,21,25,3,0,0,1,0,,0,27,,0,,1,0,2
Bizkaia,LEZAMA,,81,4,1835,1467,127,1340,11,1329,368,940,95,55,74,2,0,7,0,2,0,126,,0,3,0,0,25
Gipuzkoa,LEZO,,53,2,4895,3202,742,2460,45,2415,1693,795,228,291,254,3,1,11,2,,6,647,0,2,,1,2,172
Gipuzkoa,LIZARTZA,,54,3,513,373,212,161,1,160,140,100,7,29,6,0,0,0,0,,0,6,0,0,,0,0,12
Bizkaia,LOIU,,903,4,1665,1376,64,1312,16,1296,289,860,200,76,48,3,2,2,0,1,0,90,,1,1,0,0,12
Bizkaia,MALLABIA,,58,3,948,723,168,555,7,548,225,331,40,27,34,0,0,1,0,2,0,86,,2,2,0,0,23
Bizkaia,MARKINA-XEMEIN,,60,4,3919,2848,500,2348,21,2327,1071,1646,123,206,126,1,0,1,0,3,2,85,,1,4,0,1,128
Bizkaia,MARURI-JATABE,,61,4,644,532,30,502,2,500,112,320,41,47,29,0,1,2,0,0,0,46,,0,1,0,0,13
Bizkaia,MAÑARIA,,59,3,388,301,69,232,4,228,87,180,5,15,7,0,0,0,0,2,1,11,,0,0,0,0,7
Gipuzkoa,MENDARO,,901,4,1316,979,91,888,8,880,337,434,67,104,55,0,0,1,0,,0,154,0,0,,0,0,65
Bizkaia,MENDATA,,62,4,301,260,22,238,,238,41,167,10,48,4,0,0,0,0,0,0,1,,0,0,0,0,8
Bizkaia,MENDEXA,,63,4,307,244,84,160,2,158,63,123,1,15,8,0,0,0,0,0,1,3,,0,0,0,0,7
Bizkaia,MEÑAKA,,64,4,478,426,51,375,1,374,52,235,8,97,14,0,0,0,0,0,0,4,,0,0,0,0,16
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,233,192,5,187,3,184,41,49,58,0,9,0,0,0,0,,0,66,,1,,0,0,1
Bizkaia,MORGA,,66,4,362,316,34,282,4,278,46,236,6,18,5,0,0,0,0,0,0,5,,0,0,0,1,7
Bizkaia,MUNDAKA,,68,4,1598,1321,177,1144,8,1136,277,805,30,173,45,2,1,2,1,0,2,37,,0,0,1,0,37
Bizkaia,MUNGIA,,69,4,11368,8930,451,8479,75,8404,2438,5243,907,510,471,1,0,15,0,6,7,1035,,1,19,0,2,187
Álava,MUNICIPIO CERA ARABA,,999,99,3061,901,8,893,,893,2160,248,345,26,53,5,2,10,0,,2,182,,3,,0,1,16
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,20471,5712,85,5627,39,5588,14759,2071,1680,153,267,30,3,44,4,19,26,1192,,10,11,6,4,68
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,13327,3794,104,3690,36,3654,9533,1177,1047,160,198,6,2,13,3,,7,894,0,5,,1,1,140
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,321,259,56,203,1,202,62,168,6,9,6,0,0,0,0,0,0,0,,0,0,0,0,13
Bizkaia,MURUETA,,908,4,230,183,18,165,2,163,47,124,5,15,6,0,0,0,0,0,1,2,,0,0,0,0,10
Bizkaia,MUSKIZ,,71,2,5631,4522,314,4208,44,4164,1109,2042,320,337,400,4,3,9,0,14,2,971,,2,6,1,0,53
Gipuzkoa,MUTILOA,,57,3,137,94,19,75,,75,43,46,0,17,4,0,0,0,0,,0,1,0,0,,0,0,7
Gipuzkoa,MUTRIKU,,56,4,3964,2905,663,2242,19,2223,1059,1385,170,277,85,0,1,0,0,,3,148,0,1,,0,4,149
Bizkaia,MUXIKA,,67,4,1163,935,180,755,8,747,228,554,22,95,20,0,0,1,0,0,0,21,,0,1,1,0,32
Bizkaia,NABARNIZ,,909,4,193,163,44,119,,119,30,104,0,11,2,0,0,0,0,0,0,0,,0,0,0,0,2
Álava,NAVARIDAS,,41,2,167,137,2,135,,135,30,43,74,1,2,1,0,0,1,,0,12,,0,,0,1,0
Gipuzkoa,OIARTZUN,,63,2,7712,5422,1601,3821,239,3582,2290,1327,280,925,288,1,1,7,0,,7,421,1,1,,1,0,322
Álava,OKONDO,,42,3,822,689,80,609,5,604,133,317,66,134,21,0,0,4,1,,1,37,,0,,0,0,23
Gipuzkoa,OLABERRIA,,58,3,789,601,87,514,1,513,188,197,75,41,36,0,1,2,0,,0,142,0,0,,1,0,18
Bizkaia,ONDARROA,,73,4,7843,5640,1830,3810,31,3779,2203,2262,331,435,163,1,6,6,1,3,0,244,,5,4,0,0,318
Gipuzkoa,ORDIZIA,,76,3,7291,5373,804,4569,39,4530,1918,1548,646,619,382,0,4,9,1,,3,989,0,3,,1,0,325
Gipuzkoa,ORENDAIN,,905,3,137,96,35,61,,61,41,30,0,25,2,0,0,0,0,,0,0,0,0,,0,0,4
