TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,UCE,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,UPYD,EQUO,IU-UPEC,AMAIUR,EB-AZ
Gipuzkoa,BELAUNTZA,,21,3,216,122,,122,,122,94,25,3,0,5,1,0,1,1,1,85,
Bizkaia,BERANGO,,16,4,5214,3782,46,3736,46,3690,1432,1279,649,5,578,16,8,87,56,139,862,11
Álava,BERANTEVILLA,,14,2,385,281,7,274,6,268,104,70,104,0,36,1,1,7,3,15,31,
Gipuzkoa,BERASTEGI,,22,3,832,527,6,521,9,512,305,141,10,2,24,1,3,0,0,5,326,
Gipuzkoa,BERGARA,,74,4,11660,8003,52,7951,31,7920,3657,2088,481,5,1066,23,13,23,62,203,3956,
Bizkaia,BERMEO,,17,4,13554,9303,69,9234,64,9170,4251,4611,345,3,557,22,10,16,33,120,3436,17
Álava,BERNEDO,,16,2,461,241,4,237,2,235,220,66,69,0,28,1,2,1,0,11,57,
Bizkaia,BERRIATUA,,18,4,905,591,4,587,8,579,314,232,5,0,12,2,1,0,0,2,325,0
Bizkaia,BERRIZ,,19,3,3741,2613,18,2595,24,2571,1128,843,266,2,446,13,5,41,19,96,826,14
Gipuzkoa,BERROBI,,23,3,451,260,1,259,2,257,191,35,23,0,17,0,1,1,0,4,176,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,400,238,3,235,,235,162,57,13,0,4,1,0,0,1,3,156,
Bizkaia,BILBAO,,20,1,276437,191777,1636,190141,2335,187806,84660,59604,43548,172,41678,1014,651,4210,2908,6746,26191,1084
Bizkaia,BUSTURIA,,21,4,1460,1024,12,1012,13,999,436,455,48,0,97,2,2,4,6,12,373,0
Álava,CAMPEZO/KANPEZU,,17,2,910,629,8,621,17,604,281,182,131,0,82,3,2,6,7,17,174,
Gipuzkoa,DEBA,,29,4,4283,3014,16,2998,26,2972,1269,887,165,2,288,14,11,13,19,79,1494,
Bizkaia,DERIO,,901,4,4372,3156,32,3124,46,3078,1216,1201,414,1,770,18,9,32,22,124,477,10
Bizkaia,DIMA,,26,3,1093,881,6,875,3,872,212,343,18,0,9,4,1,1,3,9,484,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,146834,101992,767,101225,1287,99938,44842,20588,21610,101,24184,706,369,2692,1759,3494,24435,
Bizkaia,DURANGO,,27,3,21610,15409,135,15274,145,15129,6201,5218,2150,14,2513,69,24,200,192,479,4204,66
Bizkaia,EA,,28,4,767,623,2,621,1,620,144,264,13,0,5,0,0,1,1,3,331,2
Gipuzkoa,EIBAR,,30,4,22191,15262,114,15148,164,14984,6929,3504,2048,32,4310,50,27,204,162,560,4087,
Bizkaia,ELANTXOBE,,31,4,370,296,,296,1,295,74,159,2,0,4,1,0,0,0,0,129,0
Álava,ELBURGO/BURGELU,,21,2,473,332,8,324,3,321,141,95,100,1,39,3,0,9,12,17,45,
Álava,ELCIEGO,,22,2,826,615,13,602,6,596,211,85,230,0,166,3,1,18,8,31,54,
Gipuzkoa,ELDUAIN,,31,3,179,114,1,113,1,112,65,31,1,1,3,1,1,0,0,1,73,
Gipuzkoa,ELGETA,,33,4,884,650,9,641,4,637,234,182,21,0,36,1,0,2,4,14,377,
Gipuzkoa,ELGOIBAR,,32,4,8949,6189,72,6117,55,6062,2760,1896,669,5,1156,23,13,57,42,179,2022,
Bizkaia,ELORRIO,,32,3,5865,4257,34,4223,32,4191,1608,1233,435,2,576,4,12,18,29,77,1795,10
Álava,ELVILLAR/BILAR,,23,2,290,236,1,235,1,234,54,66,93,0,35,0,0,1,2,2,35,
Bizkaia,ERANDIO,,902,4,19232,12809,176,12633,182,12451,6423,4424,1728,24,3139,88,25,163,135,531,2123,71
Bizkaia,EREÑO,,33,4,223,171,,171,1,170,52,86,4,0,2,0,1,0,1,0,75,1
Bizkaia,ERMUA,,34,3,13160,9290,101,9189,82,9107,3870,1225,2548,14,2970,50,30,290,91,690,1148,51
Gipuzkoa,ERRENTERIA,,67,2,31179,20218,201,20017,270,19747,10961,2726,2771,43,5930,175,90,376,197,1020,6419,
Gipuzkoa,ERREZIL,,66,4,467,316,,316,,316,151,61,5,0,4,0,0,0,2,0,244,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,629,428,7,421,5,416,201,124,119,3,59,5,0,8,2,16,80,
Bizkaia,ERRIGOITI,,79,4,470,391,,391,2,389,79,200,11,0,4,0,0,0,6,3,165,0
Gipuzkoa,ESKORIATZA,,34,4,3192,2035,5,2030,11,2019,1157,415,160,0,462,11,3,15,14,84,855,
Bizkaia,ETXEBARRI,,29,3,8022,5488,79,5409,83,5326,2534,1391,1057,10,1614,40,16,141,82,301,638,36
Bizkaia,ETXEBARRIA,,30,4,626,487,4,483,,483,139,218,8,0,10,0,0,0,0,2,245,0
Gipuzkoa,EZKIO-ITSASO,,35,3,497,346,2,344,1,343,151,92,12,0,16,0,1,0,3,2,217,
Bizkaia,FORUA,,906,4,796,625,3,622,5,617,171,273,17,0,30,1,1,2,2,4,287,0
Bizkaia,FRUIZ,,35,4,379,304,3,301,,301,75,160,8,0,8,0,0,3,6,6,108,2
Gipuzkoa,GABIRIA,,38,3,382,281,1,280,1,279,101,76,7,0,7,2,0,0,0,3,184,
Gipuzkoa,GAINTZA,,37,3,100,65,1,64,2,62,35,21,0,0,1,1,0,2,0,2,35,
Bizkaia,GALDAKAO,,36,3,23976,16491,147,16344,179,16165,7485,5719,2236,14,3171,76,45,278,150,779,3621,76
Bizkaia,GALDAMES,,37,2,727,528,9,519,2,517,199,273,23,0,54,3,1,0,2,6,153,2
Bizkaia,GAMIZ-FIKA,,38,4,1087,826,5,821,7,814,261,391,56,0,37,1,0,6,4,8,308,3
Bizkaia,GARAI,,39,3,263,217,1,216,4,212,46,107,10,0,4,0,1,0,1,1,88,0
Bizkaia,GATIKA,,40,4,1274,936,15,921,10,911,338,463,44,2,60,4,2,2,7,11,315,1
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,721,588,3,585,9,576,133,309,19,0,31,3,0,1,8,6,197,2
Gipuzkoa,GAZTELU,,907,3,136,94,,94,,94,42,18,3,0,3,0,0,0,0,1,69,
Bizkaia,GERNIKA-LUMO,,46,4,12635,9231,70,9161,61,9100,3404,3637,634,2,898,28,10,40,40,163,3632,16
Gipuzkoa,GETARIA,,39,4,2003,1517,5,1512,9,1503,486,589,31,0,64,4,1,1,5,14,794,
Bizkaia,GETXO,,44,4,63876,47453,368,47085,511,46574,16423,15362,13979,35,6509,222,110,1105,722,1212,7085,233
Bizkaia,GIZABURUAGA,,47,4,161,126,,126,1,125,35,34,0,0,0,0,0,0,0,0,91,0
Bizkaia,GORDEXOLA,,42,2,1401,1116,17,1099,15,1084,285,589,165,1,96,3,2,22,16,34,150,6
Bizkaia,GORLIZ,,43,4,4256,3066,26,3040,33,3007,1190,1406,310,2,307,14,7,20,48,86,790,17
Bizkaia,GÜEÑES,,45,2,5060,3912,63,3849,31,3818,1148,1755,326,7,590,16,8,51,28,81,942,14
Álava,HARANA/VALLE DE ARANA,,56,2,256,183,2,181,1,180,73,88,46,0,16,0,1,0,1,5,23,
Gipuzkoa,HERNANI,,40,1,15103,9781,95,9686,148,9538,5322,1534,942,6,1755,37,25,83,109,300,4747,
Gipuzkoa,HERNIALDE,,41,3,279,153,2,151,5,146,126,39,10,0,4,0,0,0,5,3,85,
Gipuzkoa,HONDARRIBIA,,36,2,12731,8519,88,8431,131,8300,4212,3059,995,8,1290,45,22,111,120,256,2394,
Gipuzkoa,IBARRA,,42,3,3354,2131,14,2117,18,2099,1223,399,174,0,343,9,2,5,20,67,1080,
Bizkaia,IBARRANGELU,,48,4,547,423,,423,5,418,124,199,6,0,20,0,0,0,4,2,187,0
Gipuzkoa,IDIAZABAL,,43,3,1782,1220,6,1214,13,1201,562,427,52,0,43,1,0,3,4,9,662,
Bizkaia,IGORRE,,94,3,3299,2398,21,2377,15,2362,901,1004,106,4,147,7,1,14,4,35,1036,4
Gipuzkoa,IKAZTEGIETA,,44,3,368,258,1,257,1,256,110,70,7,0,18,3,1,1,0,7,149,
Gipuzkoa,IRUN,,45,2,46542,30907,371,30536,425,30111,15635,5384,6553,46,9671,236,122,835,494,1625,5145,
Gipuzkoa,IRURA,,46,3,1157,734,5,729,6,723,423,153,64,0,82,2,0,4,5,14,399,
Álava,IRURAIZ-GAUNA,,27,2,430,283,7,276,4,272,147,85,61,0,28,0,0,2,7,11,78,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2254,1561,33,1528,24,1504,693,239,467,3,413,13,3,36,34,81,215,
Bizkaia,ISPASTER,,49,4,564,446,,446,2,444,118,229,13,0,5,0,0,0,1,2,192,2
Gipuzkoa,ITSASONDO,,47,3,494,321,2,319,2,317,173,82,5,0,22,5,2,0,2,5,194,
Bizkaia,IURRETA,,910,3,3063,2122,18,2104,14,2090,941,596,308,4,447,4,8,22,17,64,612,8
Bizkaia,IZURTZA,,50,3,216,173,1,172,,172,43,58,3,0,5,0,0,0,0,4,102,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2396,1524,20,1504,12,1492,872,806,148,1,196,3,2,9,9,30,287,1
Bizkaia,KORTEZUBI,,907,4,351,290,,290,1,289,61,153,7,0,6,1,0,0,2,4,116,0
Álava,KRIPAN,,19,2,155,124,,124,,124,31,73,23,0,6,0,0,2,2,3,15,
Álava,KUARTANGO,,20,2,317,222,2,220,,220,95,89,34,0,12,0,0,1,3,1,80,
Álava,LABASTIDA/BASTIDA,,28,2,1106,773,13,760,8,752,333,133,267,1,141,6,1,27,6,34,136,
Álava,LAGRÁN,,30,2,170,123,3,120,1,119,47,34,46,0,18,2,0,3,2,1,13,
Álava,LAGUARDIA,,31,2,1229,916,17,899,13,886,313,185,398,0,144,9,0,13,7,19,111,
Álava,LANCIEGO/LANTZIEGO,,32,2,536,412,12,400,,400,124,118,131,0,85,0,2,6,4,5,49,
Bizkaia,LANESTOSA,,51,2,225,157,1,156,,156,68,64,28,1,34,1,0,3,1,6,18,0
Álava,LANTARÓN,,902,2,776,532,6,526,6,520,244,136,169,2,87,3,1,16,12,27,67,
Álava,LAPUEBLA DE LABARCA,,33,2,679,537,5,532,2,530,142,212,140,0,88,4,1,13,3,19,50,
Bizkaia,LARRABETZU,,52,4,1526,1213,8,1205,7,1198,313,462,39,0,30,1,0,6,8,24,627,1
Gipuzkoa,LARRAUL,,48,3,175,102,,102,1,101,73,18,0,0,7,0,0,0,1,3,72,
Gipuzkoa,LASARTE-ORIA,,902,1,14148,9874,76,9798,120,9678,4274,1424,1643,15,3309,78,43,208,113,399,2446,
Álava,LAUDIO/LLODIO,,36,3,15237,10511,139,10372,141,10231,4726,2815,1797,12,2189,63,22,115,83,320,2815,
Bizkaia,LAUKIZ,,53,4,856,683,3,680,8,672,173,356,129,0,41,0,0,5,2,4,132,3
Gipuzkoa,LAZKAO,,49,3,4081,2741,18,2723,30,2693,1340,582,226,1,467,10,3,12,18,61,1313,
Gipuzkoa,LEABURU,,50,3,293,213,2,211,3,208,80,48,6,1,0,2,0,0,0,0,151,
Gipuzkoa,LEGAZPI,,51,3,7033,4843,64,4779,57,4722,2190,1206,479,6,974,20,6,37,28,137,1829,
Gipuzkoa,LEGORRETA,,52,3,1154,849,2,847,14,833,305,234,46,0,109,3,0,0,3,21,417,
Álava,LEGUTIO,,58,2,1342,877,5,872,8,864,465,203,84,0,118,2,1,9,19,28,400,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,199,132,3,129,2,127,67,34,0,0,1,0,0,1,1,3,87,
Bizkaia,LEIOA,,54,4,23724,16643,204,16439,215,16224,7081,5571,3003,19,3557,106,78,345,255,793,2411,86
Bizkaia,LEKEITIO,,57,4,5934,4407,22,4385,27,4358,1527,1631,108,0,140,5,1,5,6,39,2419,4
Bizkaia,LEMOA,,55,3,2620,1954,20,1934,22,1912,666,675,158,1,189,5,7,16,13,58,783,7
Bizkaia,LEMOIZ,,56,4,849,610,2,608,3,605,239,335,28,1,20,5,0,2,7,3,204,0
Álava,LEZA,,34,2,177,140,3,137,1,136,37,46,17,0,33,0,0,0,1,2,37,
Bizkaia,LEZAMA,,81,4,1938,1449,14,1435,14,1421,489,730,111,0,112,7,3,5,11,25,414,3
Gipuzkoa,LEZO,,53,2,4830,2895,27,2868,36,2832,1935,450,239,9,489,17,7,41,27,101,1452,
Gipuzkoa,LIZARTZA,,54,3,476,350,2,348,1,347,126,47,12,0,1,0,0,0,1,4,282,
Bizkaia,LOIU,,903,4,1909,1455,25,1430,4,1426,454,822,220,2,96,9,0,10,15,24,226,2
Bizkaia,MALLABIA,,58,3,977,706,6,700,2,698,271,218,51,1,74,0,0,1,11,16,324,2
Bizkaia,MARKINA-XEMEIN,,60,4,3689,2477,11,2466,12,2454,1212,1079,76,4,80,5,1,4,16,22,1164,3
Bizkaia,MARURI-JATABE,,61,4,773,585,3,582,6,576,188,291,42,1,39,1,0,5,12,8,177,0
Bizkaia,MAÑARIA,,59,3,397,289,3,286,,286,108,130,6,0,9,0,0,0,2,0,139,0
Gipuzkoa,MENDARO,,901,4,1468,951,4,947,13,934,517,289,57,1,147,7,1,12,19,22,379,
Bizkaia,MENDATA,,62,4,317,263,1,262,1,261,54,137,9,0,1,0,0,0,2,0,111,1
Bizkaia,MENDEXA,,63,4,355,287,,287,6,281,68,124,3,0,5,0,1,0,0,5,143,0
Bizkaia,MEÑAKA,,64,4,599,490,,490,1,489,109,200,16,0,17,1,0,0,4,5,245,1
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,211,164,6,158,1,157,47,43,46,1,44,0,0,7,1,5,10,
Bizkaia,MORGA,,66,4,350,277,,277,,277,73,172,6,0,2,0,0,1,2,2,91,1
Bizkaia,MUNDAKA,,68,4,1577,1224,11,1213,4,1209,353,706,23,2,37,1,0,1,9,8,418,4
Bizkaia,MUNGIA,,69,4,12383,8760,88,8672,66,8606,3623,4266,958,4,921,42,14,78,93,170,2017,43
Álava,MUNICIPIO CERA ARABA,,999,99,4360,343,1,342,1,341,4017,54,86,0,93,4,5,15,13,21,50,
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,28470,1665,5,1660,3,1657,26805,416,364,5,462,8,9,60,35,82,212,4
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,20427,1543,2,1541,4,1537,18884,256,284,2,394,10,8,48,48,87,400,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,354,254,1,253,1,252,100,107,7,0,2,0,0,0,2,2,132,0
Bizkaia,MURUETA,,908,4,242,194,,194,1,193,48,97,6,0,4,1,0,0,1,1,83,0
Bizkaia,MUSKIZ,,71,2,6097,4307,83,4224,61,4163,1790,1656,345,3,1041,30,11,35,32,160,839,11
Gipuzkoa,MUTILOA,,57,3,194,122,,122,,122,72,30,2,0,2,0,0,0,0,2,86,
Gipuzkoa,MUTRIKU,,56,4,3975,2692,23,2669,17,2652,1283,900,133,1,154,8,6,7,38,41,1364,
Bizkaia,MUXIKA,,67,4,1204,895,3,892,4,888,309,402,17,0,31,1,2,0,5,8,422,0
Bizkaia,NABARNIZ,,909,4,194,163,,163,,163,31,59,1,0,0,1,0,0,0,1,101,0
Álava,NAVARIDAS,,41,2,159,116,3,113,1,112,43,26,60,0,8,0,0,4,2,3,9,
Gipuzkoa,OIARTZUN,,63,2,7889,5381,41,5340,48,5292,2508,973,291,6,351,14,8,36,50,100,3463,
Álava,OKONDO,,42,3,915,678,17,661,1,660,237,239,79,1,41,3,2,5,6,9,275,
Gipuzkoa,OLABERRIA,,58,3,770,549,2,547,3,544,221,122,77,0,134,2,0,2,3,11,193,
Bizkaia,ONDARROA,,73,4,7090,4865,63,4802,37,4765,2225,1564,263,0,195,7,1,10,10,34,2678,3
Gipuzkoa,ORDIZIA,,76,3,6978,4823,61,4762,38,4724,2155,1163,477,3,865,15,10,35,44,163,1949,
Gipuzkoa,ORENDAIN,,905,3,142,105,2,103,1,102,37,30,2,0,0,0,0,0,0,0,70,
Gipuzkoa,OREXA,,60,3,92,83,1,82,,82,9,2,0,0,0,0,0,0,0,0,80,
Gipuzkoa,ORIO,,61,4,4011,2666,13,2653,23,2630,1345,1008,134,2,286,6,5,7,13,40,1129,
Gipuzkoa,ORMAIZTEGI,,62,3,995,687,20,667,5,662,308,227,43,1,13,1,2,7,1,9,358,
Bizkaia,OROZKO,,75,3,1915,1362,37,1325,15,1310,553,664,134,2,54,5,2,8,6,14,416,5
Bizkaia,ORTUELLA,,83,2,7026,4722,66,4656,74,4582,2304,1483,492,1,1460,32,15,44,40,241,756,18
Bizkaia,OTXANDIO,,72,3,1009,796,9,787,3,784,213,258,39,0,40,1,0,2,0,11,433,0
Álava,OYÓN-OION,,43,2,2322,1623,28,1595,12,1583,699,231,584,4,373,10,5,47,15,85,229,
Gipuzkoa,OÑATI,,59,4,8816,6335,42,6293,32,6261,2481,1881,345,3,556,12,2,16,21,105,3320,
Gipuzkoa,PASAIA,,64,2,12380,7568,104,7464,112,7352,4812,1247,962,8,1782,59,31,101,88,373,2701,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,242,174,1,173,1,172,68,35,50,0,30,1,2,2,3,6,43,
Bizkaia,PLENTZIA,,77,4,3398,2490,13,2477,33,2444,908,1214,266,0,214,13,6,30,32,53,610,6
Bizkaia,PORTUGALETE,,78,2,39875,27311,316,26995,311,26684,12564,6560,5116,21,8872,167,79,509,266,1543,3453,98
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,942,674,19,655,4,651,268,131,252,2,161,3,0,20,10,28,44,
Álava,SAMANIEGO,,52,2,240,191,,191,1,190,49,76,19,0,47,2,1,0,3,4,38,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,590,341,8,333,4,329,249,100,49,0,22,1,2,5,11,10,129,
Bizkaia,SANTURTZI,,82,2,38552,25768,286,25482,316,25166,12784,7467,4113,16,7640,135,66,370,205,1354,3715,85
Gipuzkoa,SEGURA,,70,3,1109,817,2,815,4,811,292,223,22,0,15,1,0,2,3,5,540,
Bizkaia,SESTAO,,84,2,23494,15322,238,15084,213,14871,8172,3554,2618,9,5361,105,29,191,136,812,1950,106
Bizkaia,SONDIKA,,904,4,3510,2682,17,2665,26,2639,828,1339,344,1,336,10,1,27,25,79,472,5
Bizkaia,SOPELA,,85,4,9893,6960,75,6885,93,6792,2933,2471,667,6,1052,51,16,82,161,235,2006,45
Bizkaia,SOPUERTA,,86,2,2087,1432,12,1420,11,1409,655,542,145,0,207,6,2,13,13,43,437,1
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3176,2156,19,2137,19,2118,1020,473,291,3,407,7,3,14,11,44,865,
Bizkaia,SUKARRIETA,,76,4,294,226,,226,,226,68,138,11,0,3,1,0,0,0,4,69,0
Gipuzkoa,TOLOSA,,71,3,14488,9499,80,9419,93,9326,4989,2819,769,5,1259,30,23,58,100,211,4052,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,463,371,1,370,4,366,92,215,49,1,37,0,0,0,3,4,57,0
Bizkaia,UBIDE,,88,3,148,110,1,109,,109,38,30,8,0,0,0,0,1,0,4,66,0
Bizkaia,UGAO-MIRABALLES,,65,3,3311,2340,17,2323,23,2300,971,921,225,1,335,8,7,23,15,68,689,8
Bizkaia,URDULIZ,,89,4,2878,2120,31,2089,19,2070,758,875,166,1,265,19,4,19,25,72,618,6
Bizkaia,URDUÑA/ORDUÑA,,74,3,3384,2441,44,2397,20,2377,943,887,300,2,247,8,4,14,18,72,817,8
Álava,URKABUSTAIZ,,54,2,959,680,5,675,8,667,279,193,64,0,74,3,2,3,23,20,285,
Gipuzkoa,URNIETA,,72,1,4643,2967,19,2948,46,2902,1676,675,382,3,757,11,12,40,28,93,901,
Gipuzkoa,URRETXU,,77,3,5382,3766,25,3741,42,3699,1616,973,376,0,850,16,13,18,36,142,1275,
Gipuzkoa,USURBIL,,73,1,4689,3196,20,3176,28,3148,1493,542,195,2,388,8,4,22,29,86,1872,
Álava,VALDEGOVÍA/GAUBEA,,55,2,906,632,9,623,7,616,274,182,213,0,80,0,1,6,9,16,109,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10163,6901,86,6815,95,6720,3262,2092,787,2,2200,35,14,94,35,351,1084,26
