TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PCTE / ELAK,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,Cs,EB-AZ,EH BILDU,VOX,RECORTES CERO-GV,SOLIDARIA,MAS PAIS-CAND. ECOLOGISTA,PODEMOS-AHAL DUGU/EZKER ANITZA-IU
Álava,ARRAIA-MAEZTU,,37,2,589,378,4,374,1,373,211,148,34,1,31,1,1,2,,101,10,0,,,44
Bizkaia,ARRANKUDIAGA,,9,3,774,585,7,578,,578,189,248,12,0,30,2,0,0,,246,2,0,0,1,37
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17301,11784,59,11725,43,11682,5517,3528,484,10,2147,55,4,78,9,3504,126,12,,,1725
Bizkaia,ARRATZU,,914,4,332,276,1,275,,275,56,151,0,0,3,0,0,0,,111,0,0,0,0,10
Álava,ARRATZUA-UBARRUNDIA,,8,2,808,546,10,536,6,530,262,172,69,1,89,7,1,3,,116,15,2,,,55
Bizkaia,ARRIETA,,10,4,476,343,,343,1,342,133,187,2,0,8,3,0,2,,93,0,1,0,3,43
Bizkaia,ARRIGORRIAGA,,11,3,9640,6753,31,6722,41,6681,2887,2255,359,1,1227,64,4,51,,1275,128,9,5,101,1202
Bizkaia,ARTEA,,23,3,579,451,3,448,,448,128,218,8,0,9,1,0,1,,167,4,0,0,3,37
Bizkaia,ARTZENTALES,,8,2,609,415,8,407,4,403,194,229,7,1,26,5,0,1,,72,4,1,0,2,55
Álava,ARTZINIEGA,,4,3,1357,952,7,945,5,940,405,312,84,2,108,3,0,8,,239,33,4,,,147
Álava,ASPARRENA,,9,2,1258,839,6,833,2,831,419,238,29,0,88,4,1,2,,332,10,2,,,125
Gipuzkoa,ASTEASU,,14,3,1161,699,6,693,,693,462,203,15,0,49,3,1,0,0,342,3,0,,,77
Gipuzkoa,ASTIGARRAGA,,903,1,5033,3355,14,3341,18,3323,1678,989,108,1,421,28,1,22,4,1051,67,6,,,625
Gipuzkoa,ATAUN,,15,3,1245,880,4,876,5,871,365,278,0,0,31,2,1,2,1,511,0,0,,,45
Bizkaia,ATXONDO,,91,3,1078,758,1,757,5,752,320,294,16,0,69,3,0,3,,296,4,1,0,2,64
Bizkaia,AULESTI,,70,4,527,357,2,355,,355,170,103,1,0,10,1,0,0,,221,0,0,0,0,19
Álava,AYALA/AIARA,,10,3,2315,1705,17,1688,6,1682,610,728,120,3,171,3,2,7,,358,45,1,,,244
Gipuzkoa,AZKOITIA,,17,4,8462,5944,27,5917,11,5906,2518,2475,150,1,663,18,16,22,3,1866,94,6,,,592
Gipuzkoa,AZPEITIA,,18,4,11231,7640,29,7611,33,7578,3591,3228,161,2,440,15,1,31,4,3140,45,3,,,508
Álava,AÑANA,,49,2,130,94,,94,1,93,36,46,6,0,9,1,0,1,,24,3,0,,,3
Bizkaia,BAKIO,,12,4,2057,1610,10,1600,1,1599,447,769,45,2,67,4,1,9,,516,10,2,2,11,161
Gipuzkoa,BALIARRAIN,,904,3,87,56,1,55,1,54,31,11,0,0,1,0,0,0,0,41,0,0,,,1
Bizkaia,BALMASEDA,,90,2,6004,4305,51,4254,28,4226,1699,1776,243,6,905,14,1,35,,494,87,0,1,47,617
Bizkaia,BARAKALDO,,13,2,79355,53591,386,53205,331,52874,25764,14031,4653,59,15460,419,49,702,,4467,1561,80,26,844,10523
Bizkaia,BARRIKA,,14,4,1229,845,2,843,8,835,384,344,51,1,98,6,0,7,,183,6,0,0,14,125
Álava,BARRUNDIA,,13,2,710,469,4,465,2,463,241,131,33,0,38,5,0,2,,182,1,0,,,71
Bizkaia,BASAURI,,15,3,33077,22441,146,22295,145,22150,10636,7076,1810,24,5855,154,18,278,,2304,504,36,6,278,3807
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,213,162,2,160,3,157,51,54,44,0,28,0,0,4,,3,18,0,,,6
Gipuzkoa,BEASAIN,,19,3,9892,6740,23,6717,40,6677,3152,2635,281,6,1126,19,6,40,4,1582,59,8,,,911
Bizkaia,BEDIA,,92,3,872,614,6,608,3,605,258,319,16,1,46,3,1,2,,124,16,0,0,1,76
Gipuzkoa,BEIZAMA,,20,4,114,64,,64,,64,50,31,0,1,0,0,0,0,0,28,0,0,,,4
Gipuzkoa,BELAUNTZA,,21,3,185,104,,104,2,102,81,47,0,0,4,0,0,0,0,41,1,0,,,9
Bizkaia,BERANGO,,16,4,5471,3964,29,3935,31,3904,1507,1500,385,1,557,41,4,44,,637,99,5,1,80,550
Álava,BERANTEVILLA,,14,2,366,271,5,266,2,264,95,93,52,0,35,2,0,3,,25,17,0,,,37
Gipuzkoa,BERASTEGI,,22,3,849,574,3,571,8,563,275,213,10,0,24,0,0,0,0,276,1,0,,,39
Gipuzkoa,BERGARA,,74,4,11521,8379,22,8357,19,8338,3142,2838,191,7,988,34,3,37,6,3160,42,7,,,1025
Bizkaia,BERMEO,,17,4,13121,8929,43,8886,45,8841,4192,4742,119,6,610,31,2,18,,2253,43,9,3,49,956
Álava,BERNEDO,,16,2,428,194,2,192,4,188,234,72,26,0,21,1,0,1,,35,5,0,,,27
Bizkaia,BERRIATUA,,18,4,854,563,3,560,5,555,291,252,3,2,23,2,0,0,,239,4,0,0,0,30
Bizkaia,BERRIZ,,19,3,3431,2424,13,2411,14,2397,1007,807,109,2,403,9,1,30,,567,43,5,0,25,396
Gipuzkoa,BERROBI,,23,3,441,254,3,251,1,250,187,83,4,0,16,4,0,0,0,115,2,1,,,25
Gipuzkoa,BIDANIA-GOIATZ,,24,4,395,245,,245,4,241,150,64,2,1,8,1,0,0,0,136,3,0,,,26
Bizkaia,BILBAO,,20,1,272827,184893,971,183922,1227,182695,87934,63534,22104,130,36338,1182,186,2384,,20104,5598,236,85,3023,27791
Bizkaia,BUSTURIA,,21,4,1325,891,3,888,3,885,434,445,28,2,60,2,0,3,,237,4,0,0,6,98
Álava,CAMPEZO/KANPEZU,,17,2,817,537,5,532,3,529,280,177,53,0,73,1,3,5,,153,12,1,,,51
Gipuzkoa,DEBA,,29,4,4264,3116,12,3104,14,3090,1148,1247,60,0,273,9,4,12,0,1037,30,2,,,416
Bizkaia,DERIO,,901,4,5160,3705,21,3684,16,3668,1455,1371,210,1,747,25,5,42,,524,80,8,1,62,592
Bizkaia,DIMA,,26,3,1132,834,2,832,2,830,298,310,5,1,11,5,0,3,,419,6,0,0,10,60
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147456,102068,372,101696,564,101132,45388,30828,10907,76,20237,676,150,1469,200,17515,2857,148,,,16069
Bizkaia,DURANGO,,27,3,22745,16240,82,16158,74,16084,6505,5838,1075,8,2406,53,20,149,,3721,262,20,7,174,2351
Bizkaia,EA,,28,4,682,551,3,548,3,545,131,243,2,0,4,0,1,0,,260,4,0,0,2,29
Gipuzkoa,EIBAR,,30,4,21151,14598,77,14521,92,14429,6553,4180,900,5,3930,57,16,97,17,2790,204,20,,,2213
Bizkaia,ELANTXOBE,,31,4,303,221,,221,,221,82,119,1,0,2,0,0,1,,90,0,0,0,0,8
Álava,ELBURGO/BURGELU,,21,2,471,321,2,319,3,316,150,118,48,0,36,1,0,6,,48,17,0,,,42
Álava,ELCIEGO,,22,2,755,532,9,523,4,519,223,111,113,0,147,3,2,12,,38,21,2,,,70
Gipuzkoa,ELDUAIN,,31,3,185,113,1,112,3,109,72,43,0,0,4,0,0,0,0,55,0,0,,,7
Gipuzkoa,ELGETA,,33,4,858,644,6,638,1,637,214,225,10,0,28,4,0,2,1,294,7,2,,,64
Gipuzkoa,ELGOIBAR,,32,4,8654,6000,28,5972,21,5951,2654,2308,280,2,984,25,4,49,10,1477,83,5,,,724
Bizkaia,ELORRIO,,32,3,5762,4287,25,4262,14,4248,1475,1411,214,7,548,9,0,28,,1472,39,2,0,27,491
Álava,ELVILLAR/BILAR,,23,2,262,193,3,190,1,189,69,60,44,0,21,1,0,0,,27,9,0,,,27
Bizkaia,ERANDIO,,902,4,18990,12762,92,12670,88,12582,6228,4373,749,10,2951,86,7,133,,1628,286,15,20,156,2168
Bizkaia,EREÑO,,33,4,217,162,,162,1,161,55,75,2,0,4,1,0,1,,64,1,0,0,2,11
Bizkaia,ERMUA,,34,3,12624,8789,78,8711,76,8635,3835,1652,1208,18,2607,41,7,211,,937,243,11,5,142,1553
Gipuzkoa,ERRENTERIA,,67,2,30610,20017,90,19927,111,19816,10593,3764,1086,20,5235,149,18,242,30,4698,369,35,,,4170
Gipuzkoa,ERREZIL,,66,4,437,288,2,286,1,285,149,73,0,0,0,0,0,0,0,203,0,0,,,9
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,639,433,1,432,2,430,206,140,64,0,59,1,0,6,,72,25,0,,,63
Bizkaia,ERRIGOITI,,79,4,397,289,2,287,1,286,108,130,5,0,7,3,0,0,,107,1,0,0,3,30
Gipuzkoa,ESKORIATZA,,34,4,3200,2193,13,2180,8,2172,1007,718,54,2,354,11,1,16,4,683,17,6,,,306
Bizkaia,ETXEBARRI,,29,3,8681,6057,30,6027,41,5986,2624,1840,439,3,1466,48,4,98,,457,208,5,2,129,1287
Bizkaia,ETXEBARRIA,,30,4,591,449,2,447,2,445,142,245,2,1,8,0,0,0,,168,1,0,0,2,18
Gipuzkoa,EZKIO-ITSASO,,35,3,480,361,,361,,361,119,131,6,0,18,1,0,0,0,160,4,0,,,41
Bizkaia,FORUA,,906,4,736,550,2,548,2,546,186,285,12,0,29,2,0,4,,169,4,0,1,0,40
Bizkaia,FRUIZ,,35,4,406,314,,314,,314,92,164,7,0,6,1,0,2,,94,0,0,0,2,38
Gipuzkoa,GABIRIA,,38,3,387,294,1,293,2,291,93,124,1,1,3,2,0,0,0,145,1,0,,,14
Gipuzkoa,GAINTZA,,37,3,101,69,,69,,69,32,32,0,0,0,0,0,0,0,32,0,0,,,5
Bizkaia,GALDAKAO,,36,3,24015,16501,76,16425,83,16342,7514,5750,957,16,2940,94,15,169,,3072,356,20,8,201,2744
Bizkaia,GALDAMES,,37,2,696,497,12,485,,485,199,246,4,0,38,3,0,1,,116,3,0,0,3,71
Bizkaia,GAMIZ-FIKA,,38,4,1151,829,,829,1,828,322,441,17,0,41,4,1,3,,222,2,0,1,8,88
Bizkaia,GARAI,,39,3,254,221,1,220,2,218,33,111,5,0,6,1,0,3,,72,6,0,0,3,11
Bizkaia,GATIKA,,40,4,1303,933,7,926,7,919,370,480,27,0,49,3,0,3,,235,17,0,0,11,94
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,687,548,1,547,4,543,139,313,9,0,12,3,0,2,,144,6,0,0,6,48
Gipuzkoa,GAZTELU,,907,3,118,82,,82,,82,36,26,1,0,0,1,0,0,1,37,0,0,,,16
Bizkaia,GERNIKA-LUMO,,46,4,12626,9300,50,9250,31,9219,3326,4330,265,3,825,44,4,55,,2618,76,12,9,61,917
Gipuzkoa,GETARIA,,39,4,2126,1623,5,1618,9,1609,503,680,9,2,66,4,1,5,1,721,5,0,,,115
Bizkaia,GETXO,,44,4,61963,45253,190,45063,299,44764,16710,16879,8513,27,5983,230,27,634,,5384,1600,46,25,635,4781
Bizkaia,GIZABURUAGA,,47,4,147,105,,105,2,103,42,31,0,0,0,0,1,0,,64,0,0,0,0,7
Bizkaia,GORDEXOLA,,42,2,1359,1055,10,1045,7,1038,304,560,82,1,113,7,0,13,,108,22,1,0,15,116
Bizkaia,GORLIZ,,43,4,4592,3337,12,3325,20,3305,1255,1629,162,1,280,20,3,24,,652,37,3,0,40,454
Bizkaia,GÜEÑES,,45,2,5207,3851,34,3817,9,3808,1356,1664,142,3,509,22,1,24,,739,74,1,3,47,579
Álava,HARANA/VALLE DE ARANA,,56,2,202,107,,107,,107,95,61,11,0,2,0,0,0,,22,1,0,,,10
Gipuzkoa,HERNANI,,40,1,15771,10549,68,10481,54,10427,5222,2293,371,9,1632,46,5,79,11,4036,121,14,,,1810
Gipuzkoa,HERNIALDE,,41,3,241,143,1,142,2,140,98,60,4,0,7,0,0,2,0,58,0,0,,,9
Gipuzkoa,HONDARRIBIA,,36,2,13208,9102,46,9056,59,8997,4106,3797,514,14,1237,61,13,70,28,1553,185,9,,,1516
Gipuzkoa,IBARRA,,42,3,3180,2056,3,2053,7,2046,1124,592,62,2,318,8,2,11,5,750,23,2,,,271
Bizkaia,IBARRANGELU,,48,4,527,381,1,380,3,377,146,187,3,1,13,1,1,1,,130,0,0,0,5,35
Gipuzkoa,IDIAZABAL,,43,3,1718,1189,6,1183,2,1181,529,553,31,0,52,1,0,3,1,478,2,1,,,59
Bizkaia,IGORRE,,94,3,3121,2201,13,2188,7,2181,920,1025,46,1,160,5,0,5,,743,18,1,0,13,164
Gipuzkoa,IKAZTEGIETA,,44,3,355,261,,261,1,260,94,69,4,2,24,1,1,1,1,120,3,0,,,34
Gipuzkoa,IRUN,,45,2,47031,30933,146,30787,172,30615,16098,7659,2789,29,8868,259,47,500,50,3261,1251,61,,,5841
Gipuzkoa,IRURA,,46,3,1243,822,6,816,1,815,421,268,23,1,88,5,0,4,0,311,14,0,,,101
Álava,IRURAIZ-GAUNA,,27,2,444,273,2,271,,271,171,88,24,0,21,4,1,1,,84,3,0,,,45
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2473,1633,21,1612,9,1603,840,354,223,3,368,23,2,33,,200,86,6,,,305
Bizkaia,ISPASTER,,49,4,543,415,1,414,1,413,128,212,1,0,9,3,0,1,,148,3,0,0,0,36
Gipuzkoa,ITSASONDO,,47,3,455,314,,314,1,313,141,81,4,0,15,2,0,1,0,178,1,1,,,30
Bizkaia,IURRETA,,910,3,2811,1952,10,1942,11,1931,859,604,140,1,381,6,2,15,,491,44,0,0,13,234
Bizkaia,IZURTZA,,50,3,188,141,,141,,141,47,52,1,0,5,0,0,0,,73,0,0,0,0,10
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2306,1434,9,1425,11,1414,872,753,48,1,189,5,0,11,,193,28,0,0,3,183
Bizkaia,KORTEZUBI,,907,4,343,274,1,273,,273,69,157,0,0,2,1,0,0,,95,0,0,0,1,17
Álava,KRIPAN,,19,2,148,112,,112,,112,36,71,11,0,5,0,0,2,,15,0,0,,,8
Álava,KUARTANGO,,20,2,323,228,4,224,1,223,95,83,23,0,20,1,0,0,,72,1,1,,,22
Álava,LABASTIDA/BASTIDA,,28,2,1091,735,7,728,5,723,356,159,187,0,128,6,1,9,,103,26,2,,,102
Álava,LAGRÁN,,30,2,141,102,,102,,102,39,33,26,0,19,0,0,0,,12,0,1,,,11
Álava,LAGUARDIA,,31,2,1136,844,14,830,1,829,292,219,201,1,114,3,3,15,,133,50,2,,,88
Álava,LANCIEGO/LANTZIEGO,,32,2,498,363,10,353,1,352,135,118,60,1,70,1,0,2,,60,4,0,,,36
Bizkaia,LANESTOSA,,51,2,220,151,1,150,,150,69,68,9,0,22,1,0,1,,21,2,0,0,2,24
Álava,LANTARÓN,,902,2,723,485,7,478,8,470,238,117,108,0,85,6,0,11,,48,22,0,,,73
Álava,LAPUEBLA DE LABARCA,,33,2,654,476,,476,,476,178,186,75,3,97,1,1,8,,45,17,3,,,40
Bizkaia,LARRABETZU,,52,4,1562,1220,10,1210,5,1205,342,430,20,0,36,3,0,3,,596,7,3,0,8,99
Gipuzkoa,LARRAUL,,48,3,183,112,,112,,112,71,30,1,1,5,0,0,0,1,60,0,0,,,14
Gipuzkoa,LASARTE-ORIA,,902,1,14282,9670,52,9618,52,9566,4612,1920,742,6,2985,53,13,175,16,1754,244,16,,,1642
Álava,LAUDIO/LLODIO,,36,3,14698,10207,76,10131,51,10080,4491,3189,781,10,1989,48,19,93,,2033,216,13,,,1689
Bizkaia,LAUKIZ,,53,4,926,704,2,702,6,696,222,384,97,0,47,4,1,5,,109,10,0,0,7,32
Gipuzkoa,LAZKAO,,49,3,4195,2918,17,2901,12,2889,1277,909,71,4,392,7,2,22,3,1115,24,0,,,340
Gipuzkoa,LEABURU,,50,3,275,174,,174,2,172,101,54,1,0,3,0,0,0,0,98,1,0,,,15
Gipuzkoa,LEGAZPI,,51,3,6736,4829,25,4804,22,4782,1907,1506,222,3,817,13,2,33,4,1425,68,2,,,687
Gipuzkoa,LEGORRETA,,52,3,1050,746,3,743,4,739,304,244,22,0,79,3,2,4,0,285,5,1,,,94
Álava,LEGUTIO,,58,2,1414,893,9,884,1,883,521,249,42,1,119,5,0,6,,297,20,0,,,144
Gipuzkoa,LEINTZ-GATZAGA,,68,4,179,119,,119,2,117,60,35,0,0,2,1,0,0,0,68,1,0,,,10
Bizkaia,LEIOA,,54,4,25075,17705,108,17597,122,17475,7370,6437,1660,10,3418,120,13,245,,1862,507,14,5,272,2912
Bizkaia,LEKEITIO,,57,4,5730,4126,11,4115,14,4101,1604,1820,49,0,131,6,1,7,,1785,7,0,1,9,285
Bizkaia,LEMOA,,55,3,2603,1833,13,1820,14,1806,770,744,60,1,182,13,1,7,,552,20,2,0,11,213
Bizkaia,LEMOIZ,,56,4,980,731,3,728,3,725,249,364,11,0,24,1,0,3,,224,6,0,0,9,83
Álava,LEZA,,34,2,152,107,,107,1,106,45,46,4,0,21,1,0,0,,18,4,0,,,12
Bizkaia,LEZAMA,,81,4,1903,1455,8,1447,7,1440,448,827,46,0,101,6,0,7,,295,14,2,1,11,130
Gipuzkoa,LEZO,,53,2,4856,3169,16,3153,15,3138,1687,754,108,0,439,15,0,20,4,1216,33,1,,,548
Gipuzkoa,LIZARTZA,,54,3,461,294,,294,1,293,167,58,0,0,5,0,0,1,0,212,0,0,,,17
Bizkaia,LOIU,,903,4,1800,1358,5,1353,4,1349,442,779,120,0,94,5,0,11,,155,27,0,1,18,139
Bizkaia,MALLABIA,,58,3,947,682,3,679,2,677,265,259,14,1,64,2,2,8,,249,4,0,0,4,70
Bizkaia,MARKINA-XEMEIN,,60,4,3625,2429,11,2418,12,2406,1196,1167,43,0,99,1,2,6,,881,4,0,0,6,197
Bizkaia,MARURI-JATABE,,61,4,789,602,1,601,2,599,187,318,22,1,33,4,3,3,,136,6,1,0,8,64
Bizkaia,MAÑARIA,,59,3,402,299,2,297,,297,103,132,6,0,13,0,0,0,,131,1,0,0,3,11
Gipuzkoa,MENDARO,,901,4,1399,960,3,957,3,954,439,379,27,1,141,6,0,6,0,218,6,2,,,168
Bizkaia,MENDATA,,62,4,295,236,,236,,236,59,133,0,0,1,0,0,0,,82,2,1,0,1,16
Bizkaia,MENDEXA,,63,4,354,256,4,252,1,251,98,108,3,0,8,1,1,0,,107,1,0,0,1,21
Bizkaia,MEÑAKA,,64,4,608,461,,461,,461,147,217,3,0,17,3,0,0,,184,2,1,0,4,30
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,188,150,3,147,2,145,38,35,17,0,39,0,0,2,,17,2,1,,,32
Bizkaia,MORGA,,66,4,344,246,,246,2,244,98,150,1,0,1,0,0,0,,74,0,0,0,1,17
Bizkaia,MUNDAKA,,68,4,1534,1154,5,1149,1,1148,380,689,15,0,30,3,0,2,,300,1,0,1,5,102
Bizkaia,MUNGIA,,69,4,13131,9211,49,9162,55,9107,3920,4418,586,6,866,34,11,75,,1607,230,6,2,87,1179
Álava,MUNICIPIO CERA ARABA,,999,99,7067,714,2,712,3,709,6353,133,118,4,156,10,6,20,,84,22,6,,,150
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,39997,2994,8,2986,33,2953,37003,731,407,9,613,38,7,97,,282,175,16,8,87,483
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,27894,3083,47,3036,12,3024,24811,636,246,4,677,46,11,99,11,560,132,26,,,576
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,389,243,,243,,243,146,99,1,0,2,1,0,0,,122,2,0,0,2,14
Bizkaia,MURUETA,,908,4,250,212,2,210,1,209,38,118,0,0,10,1,0,2,,71,0,0,0,0,7
Bizkaia,MUSKIZ,,71,2,6013,4240,35,4205,23,4182,1773,1552,132,2,1017,20,2,22,,571,74,5,0,39,746
Gipuzkoa,MUTILOA,,57,3,198,148,1,147,1,146,50,51,1,0,4,0,0,0,2,73,0,0,,,15
Gipuzkoa,MUTRIKU,,56,4,4077,2796,15,2781,12,2769,1281,1093,66,0,164,6,1,9,4,1145,9,2,,,270
Bizkaia,MUXIKA,,67,4,1133,810,5,805,,805,323,369,11,0,27,1,0,1,,336,0,0,0,4,56
Bizkaia,NABARNIZ,,909,4,201,158,1,157,,157,43,58,0,0,0,0,0,0,,91,0,0,0,0,8
Álava,NAVARIDAS,,41,2,150,103,1,102,1,101,47,30,39,1,9,2,0,1,,7,3,0,,,9
Gipuzkoa,OIARTZUN,,63,2,8023,5611,14,5597,19,5578,2412,1394,117,2,345,14,3,17,5,2927,34,5,,,715
Álava,OKONDO,,42,3,911,680,9,671,8,663,231,288,27,0,46,2,0,1,,173,16,0,,,110
Gipuzkoa,OLABERRIA,,58,3,740,523,1,522,3,519,217,158,32,0,101,3,0,8,2,131,8,1,,,75
Bizkaia,ONDARROA,,73,4,6827,4614,23,4591,38,4553,2213,1622,100,0,207,14,0,9,,2119,25,1,0,12,444
Gipuzkoa,ORDIZIA,,76,3,7013,5011,20,4991,16,4975,2002,1572,208,8,694,20,0,36,8,1569,58,2,,,800
Gipuzkoa,ORENDAIN,,905,3,160,123,,123,2,121,37,33,0,0,0,1,0,0,0,80,0,0,,,7
Gipuzkoa,OREXA,,60,3,87,75,,75,,75,12,2,0,0,0,0,0,0,0,73,0,0,,,0
Gipuzkoa,ORIO,,61,4,4427,3073,20,3053,13,3040,1354,1248,72,1,302,5,3,8,4,1033,26,2,,,336
Gipuzkoa,ORMAIZTEGI,,62,3,941,688,5,683,1,682,253,290,15,0,33,5,1,6,1,247,13,0,,,71
Bizkaia,OROZKO,,75,3,2066,1524,16,1508,9,1499,542,760,51,0,100,2,0,3,,369,21,2,0,12,179
Bizkaia,ORTUELLA,,83,2,6937,4800,35,4765,21,4744,2137,1373,181,8,1176,22,1,35,,540,86,5,1,48,1268
Bizkaia,OTXANDIO,,72,3,965,730,6,724,3,721,235,268,14,0,30,3,0,0,,353,2,1,0,1,49
Álava,OYÓN-OION,,43,2,2340,1487,19,1468,11,1457,853,215,248,0,411,5,4,42,,178,96,4,,,254
Gipuzkoa,OÑATI,,59,4,8892,6505,15,6490,18,6472,2387,2293,140,4,521,9,2,19,3,2864,21,2,,,594
Gipuzkoa,PASAIA,,64,2,12395,7959,43,7916,42,7874,4436,1846,413,10,1727,70,13,76,15,1963,145,18,,,1578
Álava,PEÑACERRADA-URIZAHARRA,,44,2,232,151,3,148,2,146,81,40,21,0,20,1,0,1,,43,1,2,,,17
Bizkaia,PLENTZIA,,77,4,3366,2483,16,2467,9,2458,883,1182,131,6,207,15,3,15,,501,36,4,1,31,326
Bizkaia,PORTUGALETE,,78,2,37861,25959,140,25819,157,25662,11902,6959,2253,24,7760,159,20,256,,2447,578,44,11,356,4795
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,982,653,11,642,6,636,329,135,136,2,135,3,1,26,,35,60,1,,,102
Álava,SAMANIEGO,,52,2,272,189,3,186,2,184,83,63,11,1,38,0,0,0,,49,1,0,,,21
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,596,364,2,362,1,361,232,124,20,0,31,4,1,3,,127,4,0,,,47
Bizkaia,SANTURTZI,,82,2,37358,25328,161,25167,125,25042,12030,7252,1759,25,6539,146,17,273,,3191,649,26,8,330,4827
