TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EA,EB-B,EHB,PH,PSE-EE/PSOE,PLN-LNA,EH
Bizkaia,ZARATAMO,,97,3,1364,1016,12,1004,9,995,348,339,91,3,128,39,,1,141,4,249
Gipuzkoa,ZARAUTZ,,79,4,16366,12219,33,12186,186,12000,4147,2734,1757,16,3073,412,,26,1126,33,2823
Bizkaia,ZEANURI,,24,3,1028,853,2,851,3,848,175,431,42,0,186,11,,0,11,0,167
Bizkaia,ZEBERIO,,25,3,840,677,6,671,2,669,163,394,21,0,25,8,,0,9,0,212
Gipuzkoa,ZEGAMA,,25,3,1131,889,1,888,5,883,242,143,35,0,336,3,,1,8,0,357
Gipuzkoa,ZERAIN,,26,3,192,154,,154,1,153,38,68,2,0,23,2,,0,0,0,58
Gipuzkoa,ZESTOA,,27,4,2685,2118,7,2111,16,2095,567,614,60,0,454,33,,1,68,1,864
Bizkaia,ZIERBENA,,913,2,1042,813,3,810,10,800,229,435,68,0,34,38,,1,81,1,142
Álava,ZIGOITIA,,18,2,979,723,6,717,9,708,256,189,128,19,101,24,3,0,57,3,184
Gipuzkoa,ZIZURKIL,,28,3,2243,1558,2,1556,27,1529,685,357,156,1,183,58,,6,211,2,555
Álava,ZUIA,,63,2,1324,1012,6,1006,17,989,312,389,204,42,82,30,6,0,55,1,180
Gipuzkoa,ZUMAIA,,81,4,6732,4839,23,4816,67,4749,1893,1451,434,2,640,164,,8,737,7,1306
Gipuzkoa,ZUMARRAGA,,80,3,8821,6407,27,6380,107,6273,2414,1138,1008,12,1014,440,,22,1598,18,1023
