TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,U.AL.,EA,EB-B,CDS,EKA,EHB,UVE,J.V.
Álava,ARRATZUA-UBARRUNDIA,,8,2,534,344,19,325,4,321,190,132,84,30,44,7,21,3,0,,,,,
Bizkaia,ARRIETA,,10,4,389,289,5,284,4,280,100,179,0,1,44,2,,53,0,,0,1,,
Bizkaia,ARRIGORRIAGA,,11,3,7422,4440,71,4369,42,4327,2982,1868,965,44,933,188,,257,49,,3,20,,
Bizkaia,ARTEA,,23,3,537,482,3,479,1,478,55,206,0,29,109,7,,126,1,,0,0,,
Bizkaia,ARTZENTALES,,8,2,591,450,4,446,4,442,141,332,4,7,36,6,,55,2,0,0,,,
Álava,ARTZINIEGA,,4,3,919,738,8,730,4,726,181,327,48,122,143,20,23,43,,,,,,
Álava,ASPARRENA,,9,2,1311,886,16,870,10,860,425,262,116,17,177,112,47,128,1,,,,,
Gipuzkoa,ASTEASU,,14,3,952,685,3,682,4,678,267,54,18,0,322,14,,268,2,,,,,
Gipuzkoa,ASTIGARRAGA,,903,1,2484,1730,9,1721,16,1705,754,312,80,14,713,54,,527,0,3,,2,,
Gipuzkoa,ATAUN,,15,3,1488,1184,5,1179,7,1172,304,173,2,0,506,146,,344,1,,,,,
Bizkaia,ATXONDO,,91,3,1158,846,7,839,13,826,312,514,26,5,226,7,,45,1,,0,2,,
Bizkaia,AULESTI,,70,4,596,432,2,430,4,426,164,215,0,0,202,1,,6,0,,1,1,,
Álava,AYALA/AIARA,,10,3,1743,1286,9,1277,16,1261,457,577,26,239,154,35,40,190,,,,,,
Gipuzkoa,AZKOITIA,,17,4,8403,5243,46,5197,46,5151,3160,2478,557,263,850,239,,744,20,,,,,
Gipuzkoa,AZPEITIA,,18,4,10258,6768,42,6726,50,6676,3490,2773,258,186,1072,314,,2063,10,,,,,
Álava,AÑANA,,49,2,173,147,2,145,,145,26,66,30,5,14,4,19,6,1,,,,,
Bizkaia,BAKIO,,12,4,1023,822,13,809,7,802,201,538,13,9,123,30,,87,1,,0,1,,
Gipuzkoa,BALIARRAIN,,904,3,88,58,,58,2,56,30,8,0,0,41,0,,7,0,,,,,
Bizkaia,BALMASEDA,,90,2,6171,4425,63,4422,49,4373,1746,2020,952,231,546,147,,424,37,11,5,,,
Bizkaia,BARAKALDO,,13,2,86085,45908,436,45848,462,45386,40177,12679,14804,3852,6152,3101,,2427,1930,401,40,,,
Bizkaia,BARRIKA,,14,4,598,404,2,402,2,400,194,224,11,4,99,45,,13,1,,0,3,,
Álava,BARRUNDIA,,13,2,497,241,9,232,2,230,256,145,2,15,35,7,16,9,1,,,,,
Bizkaia,BASAURI,,15,3,39761,22099,176,21923,186,21737,17662,7739,7014,1169,3074,1212,,784,595,,24,126,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,294,224,1,223,7,216,70,109,8,5,2,17,75,0,0,,,,,
Gipuzkoa,BEASAIN,,19,3,9693,6116,43,6073,39,6034,3577,1450,1137,182,1312,692,,1226,35,,,,,
Bizkaia,BEDIA,,92,3,879,759,1,758,6,752,120,516,17,17,90,10,,96,2,,0,4,,
Gipuzkoa,BEIZAMA,,20,4,161,140,,140,,140,21,61,0,2,49,1,,27,0,,,,,
Gipuzkoa,BELAUNTZA,,21,3,214,184,4,180,5,175,30,26,3,1,98,7,,40,0,,,,,
Bizkaia,BERANGO,,16,4,3127,2099,34,2065,20,2045,1028,839,253,28,483,131,,280,21,,0,10,,
Álava,BERANTEVILLA,,14,2,340,265,1,264,8,256,75,132,12,2,13,1,94,0,2,,,,,
Gipuzkoa,BERASTEGI,,22,3,760,531,1,530,4,526,229,92,6,1,137,7,,281,2,,,,,
Gipuzkoa,BERGARA,,74,4,12662,8086,62,8024,82,7942,4576,2521,782,85,2732,466,,1295,61,,,,,
Bizkaia,BERMEO,,17,4,14639,9441,84,9357,43,9314,5198,3163,578,47,1961,672,,2841,10,,2,40,,
Álava,BERNEDO,,16,2,505,249,2,247,2,245,256,112,35,52,13,1,31,0,1,,,,,
Bizkaia,BERRIATUA,,18,4,870,367,1,366,1,365,503,207,5,4,98,2,,46,0,,0,3,,
Bizkaia,BERRIZ,,19,3,3354,2310,14,2292,14,2278,1044,1041,313,34,408,277,,186,11,,0,8,,
Gipuzkoa,BERROBI,,23,3,463,248,1,247,2,245,215,36,21,3,71,3,,110,1,,,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,410,348,9,339,,339,62,108,150,0,80,1,,0,0,,,,,
Bizkaia,BILBAO,,20,1,311964,166317,1442,164875,1602,163273,145647,58050,34797,23371,20059,11285,,9884,2887,1311,170,1459,,
Bizkaia,BUSTURIA,,21,4,1403,1063,5,1058,10,1048,340,488,32,6,321,16,,181,3,,0,1,,
Álava,CAMPEZO/KANPEZU,,17,2,978,673,3,670,8,662,305,270,79,155,40,10,49,56,3,,,,,
Gipuzkoa,DEBA,,29,4,3836,2727,15,2712,26,2686,1109,567,180,33,649,420,,828,9,,,,,
Bizkaia,DERIO,,901,4,4114,2611,21,2590,21,2569,1503,1076,555,60,320,312,,230,8,,1,7,,
Bizkaia,DIMA,,26,3,883,801,2,799,13,786,82,282,0,23,380,2,,98,0,,0,1,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,142922,80185,537,79822,803,79019,62737,12595,13649,12100,13737,6875,,18263,837,320,,643,,
Bizkaia,DURANGO,,27,3,17636,10898,90,10808,75,10733,6738,4467,1370,1215,1852,783,,819,157,,14,56,,
Bizkaia,EA,,28,4,706,540,4,536,2,534,166,302,0,4,129,11,,87,0,,0,1,,
Gipuzkoa,EIBAR,,30,4,27349,16205,74,16136,112,16024,11144,3594,4884,1072,2919,807,,2261,487,,,,,
Bizkaia,ELANTXOBE,,31,4,458,386,,386,4,382,72,180,3,2,140,5,,50,1,,0,1,,
Álava,ELBURGO/BURGELU,,21,2,179,75,4,71,,71,104,40,2,3,5,0,16,5,0,,,,,
Álava,ELCIEGO,,22,2,753,613,3,610,3,607,140,72,230,90,9,18,42,142,4,,,,,
Gipuzkoa,ELDUAIN,,31,3,228,194,,194,,194,34,19,0,0,75,4,,96,0,,,,,
Gipuzkoa,ELGETA,,33,4,818,582,4,578,5,573,236,280,9,3,176,15,,90,0,,,,,
Gipuzkoa,ELGOIBAR,,32,4,9681,6241,43,6198,54,6144,3440,2414,902,106,1204,521,,975,22,,,,,
Bizkaia,ELORRIO,,32,3,6052,4243,25,4218,26,4192,1809,1606,508,205,902,605,,336,12,,4,14,,
Álava,ELVILLAR/BILAR,,23,2,332,279,,279,,279,53,137,2,23,13,2,101,1,0,,,,,
Bizkaia,ERANDIO,,902,4,19329,10055,128,9927,104,9823,9274,3663,2594,403,1575,706,,668,154,,8,52,,
Bizkaia,EREÑO,,33,4,233,197,2,195,4,191,36,73,0,6,78,4,,28,1,,0,1,,
Bizkaia,ERMUA,,34,3,14188,8488,51,8437,127,8310,5700,1204,3938,756,887,553,,383,469,,15,105,,
Gipuzkoa,ERRENTERIA,,67,2,33123,18275,150,18125,137,17988,14848,1828,6315,816,4720,1713,,2092,368,136,,,,
Gipuzkoa,ERREZIL,,66,4,583,406,1,405,1,404,177,72,0,0,237,2,,93,0,,,,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,474,399,1,398,3,395,75,147,21,48,35,3,134,5,2,,,,,
Bizkaia,ERRIGOITI,,79,4,408,349,,349,,349,59,171,1,4,108,1,,64,0,,0,0,,
Gipuzkoa,ESKORIATZA,,34,4,3062,1967,10,1957,15,1942,1095,386,317,20,488,82,,642,7,,,,,
Bizkaia,ETXEBARRI,,29,3,4637,2792,56,2736,44,2692,1845,641,936,119,336,174,,395,73,,8,10,,
Bizkaia,ETXEBARRIA,,30,4,625,357,1,356,6,350,268,122,1,2,199,4,,22,0,,0,0,,
Gipuzkoa,EZKIO-ITSASO,,35,3,480,402,1,401,3,398,78,50,4,0,180,20,,144,0,,,,,
Bizkaia,FORUA,,906,4,768,584,2,582,5,577,184,222,11,17,223,7,,95,0,,0,2,,
Bizkaia,FRUIZ,,35,4,291,200,1,199,3,196,91,131,0,2,52,0,,11,0,,0,0,,
Gipuzkoa,GABIRIA,,38,3,365,299,,299,,299,66,27,0,2,59,26,,185,0,,,,,
Gipuzkoa,GAINTZA,,37,3,112,61,,61,,61,51,7,0,1,26,0,,27,0,,,,,
Bizkaia,GALDAKAO,,36,3,21245,12142,112,12030,88,11942,9103,4050,2385,502,2413,645,,1458,422,,8,59,,
Bizkaia,GALDAMES,,37,2,692,586,4,585,3,582,106,335,29,3,61,55,,98,1,0,0,,,
Bizkaia,GAMIZ-FIKA,,38,4,741,528,1,527,4,523,213,310,3,1,153,7,,49,0,,0,0,,
Bizkaia,GARAI,,39,3,210,185,1,184,8,176,25,99,0,6,48,5,,14,0,,0,4,,
Bizkaia,GATIKA,,40,4,700,581,1,580,6,574,119,259,5,9,118,11,,170,1,,0,1,,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,651,517,5,512,6,506,134,312,0,16,103,8,,67,0,,0,0,,
Bizkaia,GERNIKA-LUMO,,46,4,12778,8658,99,8559,61,8498,4120,3503,692,328,2089,534,,1301,22,,3,26,,
Gipuzkoa,GETARIA,,39,4,1851,1551,13,1538,13,1525,300,569,16,6,402,66,,463,3,,,,,
Bizkaia,GETXO,,44,4,61458,34884,201,34683,443,34240,26574,13338,3620,6904,4293,2501,,2953,387,,21,223,,
Bizkaia,GIZABURUAGA,,47,4,127,96,1,95,1,94,31,51,0,0,39,1,,2,0,,0,1,,
Bizkaia,GORDEXOLA,,42,2,1280,991,23,969,13,956,289,596,42,96,100,24,,93,3,2,0,,,
Bizkaia,GORLIZ,,43,4,2253,1487,23,1464,19,1445,766,781,52,48,223,201,,125,6,,0,9,,
Bizkaia,GÜEÑES,,45,2,4954,3825,29,3823,16,3807,1129,1911,350,63,641,75,,751,14,1,1,,,
Álava,HARANA/VALLE DE ARANA,,56,2,370,270,1,269,,269,100,81,4,61,38,32,53,0,0,,,,,
Gipuzkoa,HERNANI,,40,1,14858,8947,42,8909,92,8817,5911,1073,1686,274,3420,667,,1543,95,16,,43,,
Gipuzkoa,HERNIALDE,,41,3,220,86,,86,1,85,134,22,1,0,29,8,,25,0,,,,,
Gipuzkoa,HONDARRIBIA,,36,2,10559,6246,48,6198,67,6131,4313,1311,594,312,1531,569,,1768,27,19,,,,
Gipuzkoa,IBARRA,,42,3,3312,2108,7,2101,15,2086,1204,290,347,24,647,192,,580,6,,,,,
Bizkaia,IBARRANGELU,,48,4,482,410,3,407,5,402,72,267,1,4,80,9,,39,0,,2,0,,
Gipuzkoa,IDIAZABAL,,43,3,1625,1243,11,1232,11,1221,382,267,25,7,236,102,,584,0,,,,,
Bizkaia,IGORRE,,94,3,2816,2291,21,2270,15,2255,525,1150,64,32,542,33,,427,6,,0,1,,
Gipuzkoa,IKAZTEGIETA,,44,3,310,253,1,252,5,247,57,49,3,0,119,20,,56,0,,,,,
Gipuzkoa,IRUN,,45,2,42978,23331,222,23109,238,22871,19647,4401,7103,2326,3234,2030,,2887,472,418,,,,
Gipuzkoa,IRURA,,46,3,525,399,1,398,10,388,126,143,19,2,144,10,,69,1,,,,,
Álava,IRURAIZ-GAUNA,,27,2,365,215,3,212,5,207,150,90,2,29,31,3,46,5,1,,,,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1238,912,17,895,10,885,326,211,322,110,59,30,128,21,4,,,,,
Bizkaia,ISPASTER,,49,4,522,431,2,429,2,427,91,300,2,5,65,11,,41,0,,0,3,,
Gipuzkoa,ITSASONDO,,47,3,560,391,6,385,7,378,169,84,5,3,153,37,,94,2,,,,,
Bizkaia,IURRETA,,910,3,3947,2725,16,2709,25,2684,1222,952,613,137,656,106,,174,26,,0,20,,
Bizkaia,IZURTZA,,50,3,221,198,1,197,6,191,23,109,0,0,51,1,,29,0,,0,1,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2736,2015,12,2004,28,1976,721,1091,154,46,332,36,,298,14,3,2,,,
Bizkaia,KORTEZUBI,,907,4,328,282,,282,1,281,46,206,0,4,53,4,,13,1,,0,0,,
Álava,KRIPAN,,19,2,177,115,,115,,115,62,86,3,13,5,3,2,3,0,,,,,
Álava,KUARTANGO,,20,2,314,232,4,228,3,225,82,144,2,3,55,6,14,1,0,,,,,
Álava,LABASTIDA/BASTIDA,,28,2,771,568,6,562,5,557,203,81,83,61,95,4,191,29,13,,,,,
Álava,LAGRÁN,,30,2,187,132,9,123,2,121,55,56,29,9,1,0,23,3,0,,,,,
Álava,LAGUARDIA,,31,2,1234,975,8,967,11,956,259,338,92,299,46,11,127,37,6,,,,,
Álava,LANCIEGO/LANTZIEGO,,32,2,537,424,6,418,2,416,113,203,94,21,19,2,73,1,3,,,,,
Bizkaia,LANESTOSA,,51,2,269,239,1,238,4,234,30,148,57,8,15,2,,1,0,3,0,,,
Álava,LANTARÓN,,902,2,696,502,5,497,7,490,194,262,34,43,27,3,116,0,5,,,,,
Álava,LAPUEBLA DE LABARCA,,33,2,640,544,4,540,6,534,96,326,36,96,10,4,1,61,0,,,,,
Bizkaia,LARRABETZU,,52,4,1245,1034,9,1025,8,1017,211,615,11,9,358,11,,7,0,,0,6,,
Gipuzkoa,LARRAUL,,48,3,136,63,,63,1,62,73,8,0,0,35,2,,17,0,,,,,
Gipuzkoa,LASARTE-ORIA,,902,1,13816,8572,51,8523,75,8448,5244,858,3877,321,1557,426,,1268,62,47,,32,,
Álava,LAUDIO/LLODIO,,36,3,16268,10781,132,10649,84,10565,5487,3337,1840,787,2541,567,337,1156,,,,,,
Bizkaia,LAUKIZ,,53,4,775,570,6,564,5,559,205,332,7,30,55,10,,118,3,,0,4,,
Gipuzkoa,LAZKAO,,49,3,3946,2681,32,2649,19,2630,1265,841,372,8,778,208,,407,16,,,,,
Gipuzkoa,LEABURU,,50,3,503,370,2,368,2,366,133,52,0,4,223,11,,76,0,,,,,
Gipuzkoa,LEGAZPI,,51,3,8164,5547,56,5491,43,5448,2617,1410,723,69,1002,776,,1436,32,,,,,
Gipuzkoa,LEGORRETA,,52,3,1200,870,1,869,12,857,330,262,87,6,215,218,,68,1,,,,,
Álava,LEGUTIO,,58,2,998,611,12,599,6,593,387,240,34,18,154,13,28,104,2,,,,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,184,142,,142,1,141,42,36,0,0,51,1,,53,0,,,,,
Bizkaia,LEIOA,,54,4,17889,10001,80,9921,100,9821,7888,3878,2013,587,1463,896,,548,342,,5,89,,
Bizkaia,LEKEITIO,,57,4,6160,4493,17,4476,38,4438,1667,1656,37,63,1464,212,,989,5,,1,11,,
Bizkaia,LEMOA,,55,3,2283,1979,16,1963,14,1949,304,1003,32,47,309,25,,517,8,,0,8,,
Bizkaia,LEMOIZ,,56,4,669,501,1,500,6,494,168,288,2,4,114,37,,46,0,,0,3,,
Álava,LEZA,,34,2,168,130,4,126,,126,38,35,21,10,2,2,4,50,2,,,,,
Bizkaia,LEZAMA,,81,4,1543,1135,6,1129,9,1120,408,773,21,36,229,23,,34,3,,0,1,,
Gipuzkoa,LEZO,,53,2,4120,2510,21,2489,17,2472,1610,345,379,24,1036,219,,450,15,4,,,,
Gipuzkoa,LIZARTZA,,54,3,591,543,1,542,,542,48,50,0,0,283,4,,205,0,,,,,
Bizkaia,LOIU,,903,4,1510,1052,4,1048,13,1035,458,586,8,101,158,33,,142,0,,1,6,,
Bizkaia,MALLABIA,,58,3,889,717,5,712,3,709,172,266,74,4,313,19,,27,2,,0,4,,
Bizkaia,MARKINA-XEMEIN,,60,4,4078,2544,13,2531,11,2520,1534,1344,38,86,704,47,,278,7,,0,16,,
Bizkaia,MARURI-JATABE,,61,4,413,301,2,299,2,297,112,157,3,12,31,12,,79,0,,0,3,,
Bizkaia,MAÑARIA,,59,3,425,347,4,343,2,341,78,197,0,5,105,1,,32,0,,0,1,,
Gipuzkoa,MENDARO,,901,4,1230,849,4,845,6,839,381,367,85,5,202,11,,167,2,,,,,
Bizkaia,MENDATA,,62,4,313,259,1,258,2,256,54,157,0,0,29,0,,69,1,,0,0,,
Bizkaia,MENDEXA,,63,4,319,259,,259,2,257,60,140,0,2,102,3,,9,0,,0,1,,
Bizkaia,MEÑAKA,,64,4,349,300,1,299,5,294,49,99,0,7,37,10,,140,0,,0,1,,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,247,217,14,203,1,202,30,88,51,40,3,5,11,2,2,,,,,
Bizkaia,MORGA,,66,4,290,217,,217,,217,73,166,0,1,20,0,,29,0,,0,1,,
Bizkaia,MUNDAKA,,68,4,1356,1078,13,1065,3,1062,278,603,0,16,220,24,,198,1,,0,0,,
Bizkaia,MUNGIA,,69,4,8926,5611,41,5570,38,5532,3315,2906,421,258,899,393,,619,19,,1,16,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,425,329,6,323,2,321,96,189,0,0,99,1,,32,0,,0,0,,
Bizkaia,MURUETA,,908,4,189,120,3,117,1,116,69,83,0,2,15,0,,15,0,,0,1,,
Bizkaia,MUSKIZ,,71,2,5001,3612,26,3626,34,3592,1389,1458,822,84,480,240,,357,148,2,1,,,
Gipuzkoa,MUTILOA,,57,3,157,79,1,78,,78,78,15,0,1,27,0,,34,1,,,,,
Gipuzkoa,MUTRIKU,,56,4,3707,2775,26,2749,16,2733,932,1369,104,110,819,52,,273,6,,,,,
Bizkaia,MUXIKA,,67,4,1231,1078,1,1077,7,1070,153,483,2,10,417,2,,152,2,,0,2,,
Bizkaia,NABARNIZ,,909,4,210,191,,191,,191,19,83,0,0,100,0,,8,0,,0,0,,
Álava,NAVARIDAS,,41,2,183,153,2,151,,151,30,50,10,66,2,4,13,4,2,,,,,
Gipuzkoa,OIARTZUN,,63,2,6475,4490,46,4444,41,4403,1985,692,189,37,2061,275,,1134,11,4,,,,
Álava,OKONDO,,42,3,623,533,7,526,,526,90,209,6,67,105,5,3,131,,,,,,
Gipuzkoa,OLABERRIA,,58,3,1042,658,4,654,10,644,384,174,121,19,143,53,,131,3,,,,,
Bizkaia,ONDARROA,,73,4,8698,5868,45,5823,40,5783,2830,2233,72,289,2284,326,,557,8,,7,7,,
Gipuzkoa,ORDIZIA,,76,3,7500,4779,43,4736,42,4694,2721,985,666,172,1224,884,,739,24,,,,,
Gipuzkoa,ORENDAIN,,905,3,152,133,,133,1,132,19,5,0,0,61,0,,66,0,,,,,
Gipuzkoa,OREXA,,60,3,69,55,,55,,55,14,8,0,0,46,0,,1,0,,,,,
Gipuzkoa,ORIO,,61,4,3312,2383,24,2356,9,2347,929,590,159,29,552,315,,701,1,,,,,
Gipuzkoa,ORMAIZTEGI,,62,3,941,788,13,775,8,767,153,265,7,7,197,123,,167,1,,,,,
Bizkaia,OROZKO,,75,3,1656,1241,11,1230,5,1225,415,712,13,70,254,9,,163,0,,0,4,,
Bizkaia,ORTUELLA,,83,2,7017,4489,26,4468,35,4433,2528,1186,1723,90,519,299,,303,299,8,6,,,
Bizkaia,OTXANDIO,,72,3,947,776,2,774,3,771,171,339,7,16,237,104,,68,0,,0,0,,
Álava,OYÓN-OION,,43,2,1802,1184,12,1172,12,1160,618,351,195,252,127,41,108,75,11,,,,,
Gipuzkoa,OÑATI,,59,4,8590,5781,21,5760,41,5719,2809,2870,302,104,1364,324,,739,16,,,,,
Gipuzkoa,PASAIA,,64,2,15416,8130,60,8070,89,7981,7286,1150,1858,376,2342,679,,1422,140,14,,,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,213,144,7,137,11,126,69,62,22,9,13,3,15,1,1,,,,,
Bizkaia,PLENTZIA,,77,4,2247,1473,18,1455,13,1442,774,754,44,50,275,98,,214,6,,0,1,,
Bizkaia,PORTUGALETE,,78,2,45555,24870,250,24886,240,24646,20685,6039,8745,2004,2829,1894,,1155,1685,275,20,,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,331,277,2,275,2,273,54,153,55,38,2,11,11,1,2,,,,,
Álava,SAMANIEGO,,52,2,240,185,1,184,2,182,55,75,50,5,27,8,0,0,17,,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,657,291,7,284,3,281,366,137,5,21,33,6,67,12,0,,,,,
Bizkaia,SANTURTZI,,82,2,40339,21404,172,21403,185,21218,18935,5523,6961,1346,3551,1454,,1071,1036,254,22,,,
Gipuzkoa,SEGURA,,70,3,1065,863,10,853,1,852,202,250,1,0,260,34,,307,0,,,,,
Bizkaia,SESTAO,,84,2,29680,15367,195,15361,145,15216,14313,3184,6129,1057,1901,956,,648,1039,164,138,,,
Bizkaia,SONDIKA,,904,4,3202,2165,36,2129,33,2096,1037,1341,140,62,295,57,,192,7,,0,2,,
Bizkaia,SOPELA,,85,4,5794,3514,23,3491,31,3460,2280,1570,410,91,816,309,,236,18,,0,10,,
Bizkaia,SOPUERTA,,86,2,1783,1508,8,1506,169,1337,275,477,148,57,150,88,,400,16,0,1,,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3986,2912,25,2887,14,2873,1074,987,483,65,662,199,,469,8,,,,,
Bizkaia,SUKARRIETA,,76,4,246,202,1,201,2,199,44,104,0,8,34,3,,47,0,,1,2,,
Gipuzkoa,TOLOSA,,71,3,14876,8956,66,8890,78,8812,5920,1695,809,696,2141,778,,2665,28,,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,440,393,6,387,11,376,47,245,24,23,19,7,,56,2,0,0,,,
Bizkaia,UBIDE,,88,3,142,129,2,127,1,126,13,39,0,14,65,4,,3,0,,1,0,,
Bizkaia,UGAO-MIRABALLES,,65,3,3299,2166,25,2141,14,2127,1133,888,369,98,502,50,,209,4,,1,6,,
Bizkaia,URDULIZ,,89,4,1941,1376,6,1370,7,1363,565,688,170,41,300,23,,136,0,,0,5,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3376,2371,21,2350,25,2325,1005,1034,135,199,564,209,,167,10,,1,6,,
Álava,URKABUSTAIZ,,54,2,714,493,5,488,4,484,221,174,42,41,131,11,48,35,2,,,,,
Gipuzkoa,URNIETA,,72,1,3331,2095,17,2078,31,2047,1236,894,421,26,457,54,,166,13,7,,9,,
Gipuzkoa,URRETXU,,77,3,4948,3525,27,3498,27,3471,1423,493,657,24,596,240,,1443,18,,,,,
Gipuzkoa,USURBIL,,73,1,4294,2960,20,2941,23,2918,1334,506,363,76,1191,131,,626,11,5,,9,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,804,509,15,494,10,484,295,199,24,35,56,10,148,11,1,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10459,6778,50,6728,60,6668,3681,2203,2123,176,999,558,,260,324,21,4,,,
Gipuzkoa,VILLABONA,,75,3,4012,2850,25,2825,14,2811,1162,335,223,38,842,801,,567,5,,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,296,248,2,246,1,245,48,115,3,20,38,1,32,35,1,,,,,
Álava,VITORIA-GASTEIZ,,59,1,159357,85698,783,84915,875,84040,73659,19037,17260,7119,7890,3948,19271,5430,1203,1685,,,732,465
Álava,YÉCORA/IEKORA,,60,2,211,165,3,162,1,161,46,110,8,12,3,4,24,0,0,,,,,
Bizkaia,ZALDIBAR,,95,3,2470,1581,8,1573,23,1550,889,490,370,120,311,29,,197,19,,3,11,,
Gipuzkoa,ZALDIBIA,,78,3,1328,1097,8,1089,10,1079,231,101,36,9,537,143,,247,6,,,,,
Álava,ZALDUONDO,,61,2,110,87,2,85,1,84,23,40,9,2,16,8,5,3,1,,,,,
