TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,U.AL.,EA,EB-B,CDS,EHB,PST,AR,LKI-EMK,DS,LVE,PH,ARM-ADE,PCE(M-L),EK-PCPE
Bizkaia,BALMASEDA,,90,2,6162,4188,25,4163,21,4142,1974,1622,1042,224,550,156,0,448,15,12,15,2,2,3,21,16,0,10,1,3
Bizkaia,BARAKALDO,,13,2,87908,49316,284,49032,364,48668,38592,12786,15042,3820,6896,3788,16,3056,1432,357,224,191,29,25,394,263,45,201,36,67
Bizkaia,BARRIKA,,14,4,601,405,1,404,1,403,196,214,19,13,93,27,2,28,2,0,2,1,0,0,0,2,0,0,0,0
Álava,BARRUNDIA,,13,2,493,243,2,241,,241,250,113,9,23,41,12,14,20,0,5,0,0,0,0,0,1,1,2,,
Bizkaia,BASAURI,,15,3,39370,22678,106,22572,136,22436,16692,7072,6252,1253,3650,1698,10,1088,512,215,91,106,14,9,200,103,34,79,17,33
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,295,192,3,189,1,188,103,102,12,33,8,10,21,0,0,0,0,1,0,0,1,0,0,0,,
Gipuzkoa,BEASAIN,,19,3,9598,6316,23,6293,70,6223,3282,1467,1200,205,1405,672,1,1122,50,13,10,15,3,4,12,29,1,14,,
Bizkaia,BEDIA,,92,3,887,716,4,712,9,703,171,454,49,18,101,15,0,53,5,1,3,0,0,1,1,2,0,0,0,0
Gipuzkoa,BEIZAMA,,20,4,153,112,2,110,,110,41,48,1,2,43,0,0,16,0,0,0,0,0,0,0,0,0,0,,
Gipuzkoa,BELAUNTZA,,21,3,204,123,,123,,123,81,18,5,1,71,3,0,22,0,0,1,0,0,0,0,2,0,0,,
Bizkaia,BERANGO,,16,4,3080,2102,13,2089,9,2080,978,777,283,79,486,130,0,271,11,4,7,17,0,1,6,3,0,4,1,0
Álava,BERANTEVILLA,,14,2,338,236,4,230,2,230,102,106,15,18,20,11,48,5,3,1,0,0,0,0,0,0,0,3,,
Gipuzkoa,BERASTEGI,,22,3,753,469,5,464,2,462,284,91,13,3,147,11,0,195,0,0,0,0,0,0,0,0,0,2,,
Gipuzkoa,BERGARA,,74,4,12581,8207,29,8178,49,8129,4374,2164,983,227,2693,590,0,1283,88,16,30,16,2,7,4,16,5,5,,
Bizkaia,BERMEO,,17,4,14562,9413,66,9347,18,9329,5149,3127,659,132,2218,490,2,2580,14,8,40,6,4,1,10,21,0,10,4,3
Álava,BERNEDO,,16,2,498,189,,189,,189,309,92,9,31,14,6,25,4,1,5,1,0,0,0,0,0,0,1,,
Bizkaia,BERRIATUA,,18,4,861,545,2,543,1,542,316,264,16,4,154,10,0,91,0,0,0,0,1,0,0,2,0,0,0,0
Bizkaia,BERRIZ,,19,3,3311,2271,5,2266,4,2262,1040,904,372,81,450,151,0,215,18,7,0,2,1,2,32,12,0,11,2,2
Gipuzkoa,BERROBI,,23,3,456,253,4,249,1,248,203,72,15,0,80,7,0,69,2,1,0,0,0,0,0,0,0,2,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,403,307,,307,1,306,96,69,1,0,85,3,0,148,0,0,0,0,0,0,0,0,0,0,,
Bizkaia,BILBAO,,20,1,308779,182073,911,181162,1360,179802,126706,62802,35839,23153,23382,14627,80,10981,2238,1210,933,606,155,120,1524,828,161,892,85,186
Bizkaia,BUSTURIA,,21,4,1387,1019,5,1014,7,1007,368,447,78,15,315,13,0,130,2,0,2,2,0,0,3,0,0,0,0,0
Álava,CAMPEZO/KANPEZU,,17,2,980,614,6,609,2,607,366,236,74,131,50,17,18,70,0,3,2,0,1,0,0,2,0,3,,
Gipuzkoa,DEBA,,29,4,3819,2609,2,2607,14,2593,1210,596,234,37,667,386,0,655,3,2,5,1,0,1,0,2,1,3,,
Bizkaia,DERIO,,901,4,4099,2468,4,2464,19,2445,1631,890,592,83,341,238,0,222,13,9,7,11,2,0,12,10,3,9,1,2
Bizkaia,DIMA,,26,3,879,740,1,739,1,738,139,286,0,28,283,9,0,130,0,0,0,0,0,0,0,0,0,2,0,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,141272,83593,338,83255,919,82336,57679,14064,15241,11160,15746,8515,17,15105,687,282,389,137,36,35,188,264,56,414,,
Bizkaia,DURANGO,,27,3,17419,11289,36,11253,66,11187,6130,4397,1620,1100,2016,742,3,902,143,45,56,29,7,7,36,30,8,30,6,10
Bizkaia,EA,,28,4,713,519,2,517,2,515,194,289,5,9,124,10,0,75,0,0,0,1,0,0,0,1,0,1,0,0
Gipuzkoa,EIBAR,,30,4,27171,16428,41,16387,113,16274,10743,3656,4356,1082,3069,1162,61,2213,376,58,75,33,4,6,20,67,11,25,,
Bizkaia,ELANTXOBE,,31,4,455,386,1,385,1,384,69,180,6,2,141,8,0,47,0,0,0,0,0,0,0,0,0,0,0,0
Álava,ELBURGO/BURGELU,,21,2,178,114,3,111,,111,64,61,8,2,11,6,8,11,0,2,0,0,0,1,0,0,1,0,,
Álava,ELCIEGO,,22,2,747,529,12,517,3,514,218,51,190,91,23,26,32,73,5,11,1,1,0,0,1,4,1,4,,
Gipuzkoa,ELDUAIN,,31,3,222,163,,163,1,162,59,35,1,1,69,4,0,51,0,0,1,0,0,0,0,0,0,0,,
Gipuzkoa,ELGETA,,33,4,809,561,5,556,2,554,248,240,35,2,174,35,0,63,0,0,0,2,0,0,0,2,1,0,,
Gipuzkoa,ELGOIBAR,,32,4,9613,6364,21,6343,35,6308,3249,2223,1094,173,1248,559,1,883,44,18,10,13,4,3,5,21,4,5,,
Bizkaia,ELORRIO,,32,3,6024,4221,25,4196,16,4180,1803,1561,666,182,980,338,2,367,21,13,12,15,2,2,4,4,4,4,1,2
Álava,ELVILLAR/BILAR,,23,2,331,208,,208,,208,123,84,10,13,13,7,77,2,0,0,0,0,0,0,0,0,0,2,,
Bizkaia,ERANDIO,,902,4,19183,10962,69,10893,58,10835,8221,3930,2614,370,1790,810,0,731,144,61,34,60,16,3,139,64,3,38,10,18
Bizkaia,EREÑO,,33,4,227,170,1,169,2,167,57,68,0,4,60,4,0,29,1,0,1,0,0,0,0,0,0,0,0,0
Bizkaia,ERMUA,,34,3,13991,7855,54,7801,54,7747,6136,1307,2931,736,897,624,3,401,347,121,46,38,6,6,103,90,19,47,10,15
Gipuzkoa,ERRENTERIA,,67,2,32653,18859,58,18801,136,18665,13794,2049,6070,761,4813,1834,10,2260,374,107,95,44,8,16,28,94,20,82,,
Gipuzkoa,ERREZIL,,66,4,583,356,2,354,,354,227,86,0,0,199,3,0,66,0,0,0,0,0,0,0,0,0,0,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,479,290,1,289,4,285,189,82,29,45,26,10,63,16,0,3,0,0,0,1,1,1,0,8,,
Bizkaia,ERRIGOITI,,79,4,409,330,,330,2,328,79,170,2,7,99,2,0,48,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ESKORIATZA,,34,4,3032,1930,11,1919,8,1911,1102,445,364,39,488,67,1,467,16,2,6,2,1,1,1,4,5,2,,
Bizkaia,ETXEBARRI,,29,3,4548,1657,6,1651,6,1645,2891,466,469,93,249,106,1,197,5,30,0,5,0,2,5,2,1,10,2,2
Bizkaia,ETXEBARRIA,,30,4,623,388,2,386,6,380,235,143,4,1,194,8,0,28,0,2,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,477,344,2,342,1,341,133,40,3,0,153,17,0,126,1,0,0,0,0,0,0,1,0,0,,
Bizkaia,FORUA,,906,4,766,525,,525,5,520,241,209,17,10,178,10,0,86,1,1,1,3,0,0,0,0,0,2,2,0
Bizkaia,FRUIZ,,35,4,292,203,,203,,203,89,134,0,2,46,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,363,282,1,281,,281,81,30,0,0,53,29,0,167,0,0,0,0,0,0,0,1,1,0,,
Gipuzkoa,GAINTZA,,37,3,112,76,,76,3,73,36,15,0,0,35,0,0,23,0,0,0,0,0,0,0,0,0,0,,
Bizkaia,GALDAKAO,,36,3,21007,12791,68,12723,62,12661,8216,4182,2491,547,2612,799,6,1464,187,41,58,62,7,10,81,50,13,34,2,15
Bizkaia,GALDAMES,,37,2,699,524,2,522,2,520,175,262,25,9,86,24,0,107,2,0,2,0,0,0,1,1,0,1,0,0
Bizkaia,GAMIZ-FIKA,,38,4,736,508,1,507,3,504,228,287,3,4,136,13,0,59,1,0,1,0,0,0,0,0,0,0,0,0
Bizkaia,GARAI,,39,3,211,178,,178,2,176,33,93,0,4,47,8,0,22,0,0,0,2,0,0,0,0,0,0,0,0
Bizkaia,GATIKA,,40,4,690,535,3,532,,532,155,256,7,13,97,11,0,146,1,0,1,0,0,0,0,0,0,0,0,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,653,497,6,491,2,489,156,272,8,13,115,11,0,66,0,0,4,0,0,0,0,0,0,0,0,0
Bizkaia,GERNIKA-LUMO,,46,4,12919,9042,40,9002,46,8956,3877,3577,704,371,2335,462,0,1367,18,13,19,25,3,5,8,28,3,13,3,2
Gipuzkoa,GETARIA,,39,4,1854,1500,7,1493,10,1483,354,560,23,12,434,72,0,377,1,0,1,0,0,1,1,0,1,0,,
Bizkaia,GETXO,,44,4,60706,38680,100,38580,303,38277,22026,14429,4313,6798,4980,3115,3,3325,253,168,165,61,12,17,289,135,23,165,9,17
Bizkaia,GIZABURUAGA,,47,4,122,89,4,85,,85,33,42,0,0,36,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1279,953,11,942,8,934,326,533,52,113,87,39,1,95,6,0,2,1,0,0,0,1,0,4,0,0
Bizkaia,GORLIZ,,43,4,2225,1491,14,1477,7,1470,734,746,88,56,231,158,1,153,6,3,11,4,1,0,2,4,0,5,1,0
Bizkaia,GÜEÑES,,45,2,4909,3858,24,3834,12,3822,1051,1776,431,96,692,111,1,626,28,3,13,9,1,0,4,15,2,12,0,2
Álava,HARANA/VALLE DE ARANA,,56,2,367,196,,196,1,195,171,100,9,28,31,1,11,12,1,1,0,1,0,0,0,0,0,0,,
Gipuzkoa,HERNANI,,40,1,14698,8755,41,8714,81,8633,5943,1182,1743,236,3246,700,0,1301,80,22,30,23,5,12,7,18,9,19,,
Gipuzkoa,HERNIALDE,,41,3,220,123,,123,1,122,97,32,3,0,38,8,0,41,0,0,0,0,0,0,0,0,0,0,,
Gipuzkoa,HONDARRIBIA,,36,2,10420,6166,26,6140,53,6087,4254,1371,628,305,1526,584,3,1502,25,18,33,8,5,5,9,35,9,21,,
Gipuzkoa,IBARRA,,42,3,3288,2028,8,2020,13,2007,1260,301,356,29,646,190,0,439,3,4,11,7,0,0,7,8,0,6,,
Bizkaia,IBARRANGELU,,48,4,476,380,,380,3,377,96,248,5,2,69,10,0,40,0,0,2,0,0,1,0,0,0,0,0,0
Gipuzkoa,IDIAZABAL,,43,3,1599,1256,1,1255,11,1244,343,384,36,14,257,104,0,440,1,1,1,0,1,0,1,0,2,2,,
Bizkaia,IGORRE,,94,3,2792,2217,10,2207,5,2202,575,1023,120,45,528,56,2,399,6,1,7,1,0,4,4,4,1,1,0,0
Gipuzkoa,IKAZTEGIETA,,44,3,305,198,1,197,,197,107,41,6,3,98,9,0,40,0,0,0,0,0,0,0,0,0,0,,
Gipuzkoa,IRUN,,45,2,42247,23954,118,23836,216,23620,18293,3740,7221,2246,3462,2559,17,3072,348,240,137,79,21,72,79,142,31,154,,
Gipuzkoa,IRURA,,46,3,522,341,1,340,3,337,181,109,18,1,112,14,0,75,1,1,1,0,0,0,0,2,0,3,,
Álava,IRURAIZ-GAUNA,,27,2,359,204,3,201,2,199,155,101,4,18,34,11,22,2,0,3,0,1,0,1,0,0,0,2,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1222,809,13,796,13,783,413,165,273,108,62,39,63,22,6,9,5,3,2,0,9,7,3,7,,
Bizkaia,ISPASTER,,49,4,522,432,,432,2,430,90,278,2,6,82,11,0,44,1,0,3,0,0,1,0,1,1,0,0,0
Gipuzkoa,ITSASONDO,,47,3,562,383,4,379,6,373,179,78,9,8,163,39,0,74,1,0,1,0,0,0,0,0,0,0,,
Bizkaia,IURRETA,,910,3,3906,2581,16,2565,12,2553,1325,896,606,86,562,126,0,169,26,15,15,15,0,2,13,10,3,6,2,1
Bizkaia,IZURTZA,,50,3,220,176,2,174,1,173,44,95,3,1,47,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2736,1433,8,1425,5,1420,1303,801,130,71,220,37,1,141,0,1,3,4,0,0,4,3,0,1,2,1
Bizkaia,KORTEZUBI,,907,4,332,277,2,275,1,274,55,179,1,4,59,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0
Álava,KRIPAN,,19,2,175,108,3,105,,105,67,78,0,8,6,2,5,6,0,0,0,0,0,0,0,0,0,0,,
Álava,KUARTANGO,,20,2,317,168,6,161,1,161,149,71,10,9,43,10,9,5,0,2,0,1,0,0,0,0,0,1,,
Álava,LABASTIDA/BASTIDA,,28,2,769,498,1,495,2,495,271,78,87,84,64,9,137,12,11,1,3,1,1,1,3,1,2,0,,
Álava,LAGRÁN,,30,2,178,111,2,109,,109,67,61,10,7,4,2,18,5,1,1,0,0,0,0,0,0,0,0,,
Álava,LAGUARDIA,,31,2,1231,783,8,775,2,773,448,203,106,113,62,28,138,75,2,21,2,3,0,1,0,2,1,16,,
Álava,LANCIEGO/LANTZIEGO,,32,2,533,360,1,359,1,358,173,168,82,31,26,3,38,2,0,0,0,1,1,0,1,3,2,0,,
Bizkaia,LANESTOSA,,51,2,265,203,3,200,,200,62,117,40,14,15,7,0,1,0,0,1,0,1,1,3,0,0,0,0,0
Álava,LANTARÓN,,902,2,695,416,3,412,2,413,279,170,29,60,31,15,81,10,4,0,2,2,1,1,3,3,0,1,,
Álava,LAPUEBLA DE LABARCA,,33,2,645,510,,508,2,508,135,277,63,81,14,1,9,55,6,0,0,1,0,0,1,0,0,0,,
Bizkaia,LARRABETZU,,52,4,1238,1010,4,1006,4,1002,228,569,26,10,332,25,0,34,0,1,3,1,0,0,0,0,0,1,0,0
Gipuzkoa,LARRAUL,,48,3,135,63,,63,,63,72,19,0,0,34,1,0,9,0,0,0,0,0,0,0,0,0,0,,
Gipuzkoa,LASARTE-ORIA,,902,1,13658,8498,16,8482,71,8411,5160,1167,3361,323,1654,517,0,1052,116,51,25,34,5,6,26,44,5,25,,
Álava,LAUDIO/LLODIO,,36,3,16108,10516,77,10428,72,10367,5592,2781,2019,917,2308,660,105,1088,92,183,36,30,6,8,22,52,6,54,,
Bizkaia,LAUKIZ,,53,4,762,585,6,579,3,576,177,324,12,37,66,12,1,114,2,0,0,1,0,0,4,1,0,2,0,0
Gipuzkoa,LAZKAO,,49,3,3908,2680,12,2668,29,2639,1228,688,435,34,822,212,0,389,26,7,9,3,5,1,1,7,0,0,,
Gipuzkoa,LEABURU,,50,3,503,341,1,340,1,339,162,53,7,4,213,12,0,50,0,0,0,0,0,0,0,0,0,0,,
Gipuzkoa,LEGAZPI,,51,3,8099,5582,19,5563,59,5504,2517,1113,1049,162,1082,667,0,1309,32,19,17,14,3,6,6,12,5,8,,
Gipuzkoa,LEGORRETA,,52,3,1199,879,9,870,11,859,320,284,122,11,214,155,1,65,1,0,3,0,1,0,0,0,1,1,,
Álava,LEGUTIO,,58,2,990,622,1,617,5,616,368,207,71,20,143,20,21,111,4,10,2,1,0,2,2,1,1,0,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,183,145,,145,,145,38,51,1,0,49,2,0,37,0,0,3,0,0,0,0,0,1,1,,
Bizkaia,LEIOA,,54,4,17706,10514,53,10461,73,10388,7192,3822,2045,614,1570,1085,2,660,213,58,59,29,3,7,93,53,7,58,3,7
Bizkaia,LEKEITIO,,57,4,6094,4492,12,4480,17,4463,1602,1577,53,64,1488,188,1,1051,9,2,15,0,0,2,4,7,0,0,0,2
Bizkaia,LEMOA,,55,3,2272,1925,8,1917,7,1910,347,921,87,66,330,47,0,428,3,3,6,1,1,0,1,7,0,5,1,3
Bizkaia,LEMOIZ,,56,4,663,483,,483,3,480,180,255,13,5,125,31,0,40,0,2,1,0,0,2,0,2,0,2,0,2
Álava,LEZA,,34,2,168,120,,120,,120,48,33,27,13,11,1,5,24,1,1,0,0,1,1,0,2,0,0,,
Bizkaia,LEZAMA,,81,4,1538,1149,7,1142,7,1135,389,710,29,36,238,33,0,76,5,1,1,0,1,3,0,0,0,0,0,2
Gipuzkoa,LEZO,,53,2,4088,2440,13,2427,8,2419,1648,304,415,47,969,185,0,440,25,10,2,8,0,1,0,7,0,6,,
Gipuzkoa,LIZARTZA,,54,3,586,483,,483,2,481,103,47,1,0,265,4,0,164,0,0,0,0,0,0,0,0,0,0,,
Bizkaia,LOIU,,903,4,1510,1036,4,1032,9,1023,474,586,18,99,138,36,0,133,0,4,3,0,2,0,0,3,0,1,0,0
Bizkaia,MALLABIA,,58,3,882,669,4,665,4,661,213,254,67,11,236,28,0,50,3,2,8,0,0,0,1,1,0,0,0,0
Bizkaia,MARKINA-XEMEIN,,60,4,4027,2496,18,2478,12,2466,1531,1234,71,90,685,77,0,274,4,4,14,2,1,3,2,2,0,3,0,0
Bizkaia,MARURI-JATABE,,61,4,412,297,2,295,3,292,115,160,7,15,32,21,0,56,0,0,0,1,0,0,0,0,0,0,0,0
Bizkaia,MAÑARIA,,59,3,418,326,,326,2,324,92,193,1,14,92,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,MENDARO,,901,4,1218,809,,809,7,802,409,315,128,8,184,25,0,128,4,1,1,2,0,0,1,2,0,3,,
Bizkaia,MENDATA,,62,4,313,241,3,238,1,237,72,148,0,0,41,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,MENDEXA,,63,4,319,238,,238,2,236,81,106,1,4,95,7,0,20,0,0,0,0,0,0,0,2,0,0,0,1
Bizkaia,MEÑAKA,,64,4,350,279,3,276,,276,71,116,2,8,45,9,0,96,0,0,0,0,0,0,0,0,0,0,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,245,189,2,187,1,186,56,77,53,34,5,10,2,0,0,1,0,1,0,0,0,0,1,2,,
Bizkaia,MORGA,,66,4,287,231,,231,3,228,56,148,0,13,28,4,0,34,0,0,0,0,0,0,0,0,0,1,0,0
Bizkaia,MUNDAKA,,68,4,1344,1066,6,1060,3,1057,278,540,11,21,236,27,0,209,1,0,1,1,1,0,0,7,2,0,0,0
Bizkaia,MUNGIA,,69,4,8837,5712,19,5693,24,5669,3125,2972,420,274,951,293,0,675,19,5,17,1,2,2,16,6,3,9,1,3
Álava,MUNICIPIO CERA ARABA,,999,99,622,180,2,178,,178,442,39,44,29,10,8,13,7,5,3,5,7,0,0,1,4,0,3,,
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,3681,1143,3,1140,4,1136,2538,412,267,101,108,47,3,32,55,20,4,24,6,1,8,35,0,7,0,6
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,2702,829,1,828,1,827,1873,196,212,75,86,35,4,100,45,7,9,18,2,1,2,22,4,9,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,420,288,,288,1,287,132,148,0,2,88,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,MURUETA,,908,4,186,131,,131,1,130,55,72,0,2,29,2,0,23,0,0,1,0,0,0,0,1,0,0,0,0
Bizkaia,MUSKIZ,,71,2,4940,3379,10,3369,22,3347,1561,1200,754,108,510,203,0,411,104,3,11,4,2,1,5,11,4,7,2,7
Gipuzkoa,MUTILOA,,57,3,156,89,1,88,,88,67,16,2,0,32,1,0,36,0,0,0,0,0,0,0,0,1,0,,
Gipuzkoa,MUTRIKU,,56,4,3680,2815,13,2802,18,2784,865,1340,131,130,834,92,0,234,0,1,10,2,0,0,1,1,0,8,,
Bizkaia,MUXIKA,,67,4,1229,971,3,968,,968,258,359,11,10,399,9,0,176,0,0,1,0,0,0,0,2,0,1,0,0
